Date,Open,High,Low,Close,Volume
2024-01-24,11.0,11.0,11.0,11.0,1285
2024-01-25,12.1,12.1,12.1,12.1,762
2024-01-28,13.3,13.3,13.3,13.3,1162
2024-01-29,14.6,14.6,14.6,14.6,8554
2024-01-30,16.0,16.0,16.0,16.0,820
2024-01-31,17.6,17.6,17.6,17.6,650
2024-02-01,19.3,19.3,19.3,19.3,8364
2024-02-04,21.2,21.2,21.2,21.2,1864
2024-02-05,23.3,23.3,23.3,23.3,1225
2024-02-06,25.6,25.6,25.6,25.6,1613
2024-02-07,28.1,28.1,28.1,28.1,1634
2024-02-08,30.9,30.9,30.9,30.9,5306
2024-02-11,33.9,33.9,33.9,33.9,3277
2024-02-12,37.2,37.2,37.2,37.2,5202
2024-02-13,40.9,40.9,40.9,40.9,22893
2024-02-14,44.9,44.9,44.9,44.9,178832
2024-02-15,48.8,49.3,48.8,49.3,5284148
2024-02-18,51.3,53.9,47.2,48.2,2001956
2024-02-19,47.8,49.3,43.8,44.8,2559632
2024-02-20,44.8,46.4,43.3,44.5,1107261
2024-02-22,44.6,45.9,43.3,43.5,1008540
2024-02-25,43.5,45.1,42.3,44.4,1035483
2024-02-27,44.4,45.9,43.4,43.7,1184576
2024-02-28,43.7,44.6,43.1,43.3,700105
2024-02-29,43.3,44.7,43.0,43.4,706964
2024-03-03,43.6,43.9,41.5,41.8,906957
2024-03-04,41.5,42.7,40.7,40.8,611470
2024-03-05,41.0,42.6,41.0,42.0,567226
2024-03-06,42.0,43.7,41.8,43.1,711901
2024-03-07,43.2,46.4,43.2,44.2,1401940
2024-03-10,44.4,44.8,42.2,42.8,402410
2024-03-11,43.0,43.5,40.8,41.2,647416
2024-03-12,41.5,41.6,38.2,38.6,694326
2024-03-13,38.9,39.9,38.4,38.9,356511
2024-03-14,39.5,40.5,38.2,38.7,422662
2024-03-18,38.8,39.3,36.5,36.7,328455
2024-03-19,36.7,37.9,35.8,36.0,383819
2024-03-20,36.1,37.2,36.1,36.9,182553
2024-03-21,37.0,39.4,37.0,38.2,546971
2024-03-24,38.2,39.8,37.0,37.4,388658
2024-03-25,37.3,37.9,36.4,36.6,214390
2024-03-27,36.9,37.0,34.7,34.8,383027
2024-03-28,35.4,35.7,34.2,35.2,158335
2024-03-31,35.4,36.3,35.4,35.8,223213
2024-04-01,35.8,35.8,33.6,34.0,301941
2024-04-02,34.1,34.3,33.1,33.8,169561
2024-04-03,34.4,34.8,34.1,34.6,166734
2024-04-04,34.4,35.2,34.3,34.8,134175
2024-04-08,35.0,35.9,35.0,35.6,100629
2024-04-09,35.8,37.7,35.6,37.3,628303
2024-04-15,37.3,37.8,36.0,36.2,309895
2024-04-16,36.5,36.5,35.2,36.0,167671
2024-04-17,36.3,36.8,35.3,35.4,309199
2024-04-18,35.9,36.9,35.0,36.5,683813
2024-04-21,36.4,37.6,35.7,37.3,535986
2024-04-22,37.6,39.5,37.5,37.9,1161498
2024-04-23,37.9,38.7,36.0,36.7,629244
2024-04-24,36.7,36.9,34.7,34.9,640940
2024-04-25,34.6,35.0,33.9,33.9,126805
2024-04-28,33.9,34.2,32.9,33.6,544959
2024-04-29,34.5,34.8,32.6,32.8,408456
2024-04-30,32.8,33.4,32.3,32.5,340293
2024-05-02,32.7,33.0,32.1,32.7,276968
