Date,Open,High,Low,Close,Volume
2012-10-01,165.0,170.9,165.0,166.6,57500
2012-10-02,171.8,173.7,167.6,168.8,92250
2012-10-03,174.6,174.6,165.2,166.4,47550
2012-10-04,170.0,170.0,166.0,166.1,38100
2012-10-07,166.4,168.0,161.3,162.7,39850
2012-10-08,163.1,166.0,160.4,161.4,33550
2012-10-09,163.1,165.8,160.2,161.2,39200
2012-10-10,162.6,163.9,157.0,158.8,42500
2012-10-11,159.0,160.1,158.0,158.6,30550
2012-10-14,158.1,158.9,154.4,155.0,36900
2012-10-15,156.0,158.0,156.0,156.8,30200
2012-10-16,157.3,159.8,156.5,157.1,16200
2012-10-17,158.9,158.9,156.0,156.2,18000
2012-10-18,156.8,158.0,155.5,156.1,19150
2012-10-21,157.8,158.1,154.7,157.7,40550
2012-10-22,157.8,157.9,157.0,157.5,10200
2012-10-23,160.0,164.5,160.0,162.3,35150
2012-10-30,161.1,163.0,161.0,161.8,18650
2012-10-31,161.0,163.9,159.0,160.4,23100
2012-11-01,161.8,163.5,161.1,163.0,27150
2012-11-04,163.0,165.9,162.4,163.2,30800
2012-11-05,163.5,165.1,161.2,162.4,39600
2012-11-06,161.0,164.4,161.0,163.9,28650
2012-11-07,156.0,164.9,156.0,161.2,12300
2012-11-08,163.4,170.0,160.6,166.1,77100
2012-11-11,160.0,169.0,160.0,161.4,36200
2012-11-12,163.6,164.0,159.0,160.0,14450
2012-11-13,160.0,162.0,160.0,160.8,27300
2012-11-14,161.1,166.0,159.3,165.0,42300
2012-11-15,165.0,176.1,165.0,173.3,284650
2012-11-18,174.8,177.0,170.2,172.5,73200
2012-11-19,171.8,172.4,165.9,166.2,37250
2012-11-20,163.2,166.0,158.0,159.3,81400
2012-11-21,163.9,163.9,158.1,159.9,32000
2012-11-22,159.8,162.0,157.5,158.0,36200
2012-11-26,160.1,160.1,155.1,155.6,22950
2012-11-27,154.2,156.8,153.9,154.2,17350
2012-11-28,158.9,161.0,152.5,156.1,26800
2012-11-29,160.0,164.4,157.5,163.2,44050
2012-12-02,166.9,168.0,159.0,159.9,38950
2012-12-03,162.8,162.8,155.9,157.1,26450
2012-12-04,156.0,160.0,156.0,158.1,16200
2012-12-05,157.9,158.5,157.0,157.1,12050
2012-12-06,156.5,159.3,155.6,156.1,23500
2012-12-09,156.0,159.1,152.0,156.6,9750
2012-12-10,156.6,157.0,154.0,155.8,32700
2012-12-11,153.1,159.9,152.9,157.2,44000
2012-12-12,159.0,159.0,155.7,156.0,9600
2012-12-13,155.0,156.9,155.0,156.4,9850
2012-12-17,158.0,159.0,156.6,157.2,11500
2012-12-18,159.4,159.5,156.0,157.0,12100
2012-12-19,157.0,158.6,157.0,157.1,16200
2012-12-20,158.9,160.1,157.5,159.6,28950
2012-12-23,157.0,159.3,157.0,157.3,8850
2012-12-24,159.1,159.1,156.9,157.1,9600
2012-12-26,157.1,159.3,157.0,158.5,13650
2012-12-27,159.8,163.9,157.5,160.7,21050
2012-12-30,160.2,165.9,160.1,164.1,45450
2013-01-01,162.0,163.0,160.2,160.5,13400
2013-01-02,160.0,164.9,158.0,160.1,35700
2013-01-03,164.9,164.9,158.8,159.3,10350
2013-01-06,159.4,160.0,158.5,159.8,16150
2013-01-07,158.5,160.0,158.3,159.6,8800
2013-01-08,160.0,161.0,159.8,160.2,15850
2013-01-09,161.9,163.0,161.2,161.4,22450
2013-01-10,162.0,162.2,160.9,161.5,14400
2013-01-13,162.0,164.0,160.1,160.7,4200
2013-01-14,160.5,160.9,159.4,159.6,7300
2013-01-15,160.0,161.0,159.1,160.4,6350
2013-01-16,160.3,163.0,160.3,162.5,28350
2013-01-17,163.0,168.5,162.9,167.5,159800
2013-01-20,169.0,169.0,164.3,164.5,26000
2013-01-21,164.0,166.0,163.2,165.4,33200
2013-01-22,165.7,167.8,165.3,166.9,32750
2013-01-23,167.9,167.9,164.6,165.0,36400
2013-01-24,165.0,166.5,164.0,164.4,15700
2013-01-27,163.8,165.4,162.0,162.3,26900
2013-01-28,162.8,163.0,161.5,161.9,47600
2013-01-29,164.0,164.7,162.2,162.9,35150
2013-01-30,164.1,165.0,162.3,162.6,16150
2013-01-31,163.0,163.8,162.0,162.1,13750
2013-02-03,162.3,164.8,162.0,162.4,24300
2013-02-04,165.2,165.2,161.7,161.9,19850
2013-02-05,162.1,164.6,161.5,163.7,19350
2013-02-06,164.0,165.0,162.0,162.4,39750
2013-02-07,162.0,164.7,161.8,163.7,50550
2013-02-10,164.9,168.0,164.7,167.6,91750
2013-02-11,167.9,168.6,165.0,165.5,31450
2013-02-12,165.7,166.9,163.1,163.9,42850
2013-02-13,165.4,165.4,163.1,163.3,34550
2013-02-14,163.3,165.5,163.3,165.0,42550
2013-02-17,165.0,166.9,165.0,165.9,51450
2013-02-18,166.0,166.5,163.4,164.1,36550
2013-02-19,162.0,164.0,162.0,163.1,27400
2013-02-20,163.2,163.8,161.0,162.4,26850
2013-02-24,162.0,162.7,155.1,158.6,30300
2013-02-25,163.9,164.0,156.6,157.2,19600
2013-02-26,157.8,160.7,157.0,159.7,15700
2013-02-27,158.0,160.0,153.4,153.8,34750
2013-02-28,153.3,158.3,153.3,156.0,15400
2013-03-03,151.0,153.0,145.3,149.6,15900
2013-03-04,152.9,155.2,151.0,153.7,15100
2013-03-05,153.6,153.6,151.7,152.4,41450
2013-03-06,152.0,153.0,148.5,149.5,18350
2013-03-07,148.6,149.9,146.5,147.9,12950
2013-03-10,150.0,151.0,143.5,145.2,16100
2013-03-11,145.0,145.0,140.0,141.9,19950
2013-03-12,140.3,155.6,140.3,153.4,38850
2013-03-13,153.6,155.0,151.1,153.0,29000
2013-03-14,153.0,155.0,150.0,153.9,22700
2013-03-18,153.1,153.1,148.6,149.7,30050
