Date,Open,High,Low,Close,Volume
2012-10-01,32.0,34.7,31.9,34.0,273000
2012-10-02,34.5,37.0,34.1,35.0,524000
2012-10-03,35.2,36.0,33.5,34.0,387500
2012-10-04,33.3,35.0,32.9,33.0,222500
2012-10-07,34.4,34.4,31.7,31.7,136000
2012-10-08,31.7,33.2,31.0,31.2,181500
2012-10-09,32.5,33.3,31.8,32.4,241000
2012-10-10,33.0,33.1,30.8,31.1,165500
2012-10-11,31.5,32.0,29.5,29.8,295000
2012-10-14,31.7,31.8,29.2,29.7,171500
2012-10-15,30.5,30.5,28.7,29.1,199500
2012-10-16,29.2,30.5,29.2,29.4,77500
2012-10-17,29.6,30.0,29.4,29.7,89500
2012-10-18,29.9,30.2,29.4,29.5,119500
2012-10-21,29.0,29.1,28.6,28.6,77000
2012-10-22,29.0,29.7,28.3,29.1,70500
2012-10-23,29.9,30.0,29.4,29.8,138000
2012-10-30,29.7,29.9,29.0,29.0,39000
2012-10-31,28.9,29.4,28.5,28.7,73000
2012-11-01,29.1,29.5,27.7,27.8,202000
2012-11-04,28.3,28.3,27.0,27.0,251500
2012-11-05,28.1,28.1,26.0,27.6,238000
2012-11-06,28.9,28.9,27.0,27.3,74500
2012-11-07,27.3,27.4,26.9,27.2,57000
2012-11-08,27.4,28.0,26.9,27.0,79000
2012-11-11,27.1,27.1,26.2,26.5,101500
2012-11-12,27.2,27.4,26.0,26.1,55000
2012-11-13,26.2,28.0,26.1,27.3,102000
2012-11-14,27.0,27.5,26.5,26.8,88500
2012-11-15,26.9,27.6,26.8,27.2,96500
2012-11-18,27.1,29.2,27.1,28.5,298500
2012-11-19,27.4,28.7,27.4,27.8,322000
2012-11-20,29.5,29.5,27.0,27.0,306500
2012-11-21,28.2,28.5,27.3,27.7,85500
2012-11-22,27.6,28.4,27.5,27.8,126000
2012-11-26,27.2,27.5,26.8,27.0,90500
2012-11-27,26.8,27.1,26.3,26.5,92500
2012-11-28,26.9,26.9,26.3,26.5,88000
2012-11-29,27.4,28.4,27.4,28.2,219000
2012-12-02,28.0,28.4,27.5,27.5,175000
2012-12-03,27.2,27.4,26.6,26.7,85500
2012-12-04,26.5,27.0,26.1,26.7,44500
2012-12-05,27.9,27.9,26.5,26.5,73500
2012-12-06,27.5,27.5,26.4,26.7,58500
2012-12-09,26.1,26.3,26.0,26.0,32000
2012-12-10,26.0,26.2,25.7,25.7,34000
2012-12-11,25.6,26.0,25.5,25.8,16500
2012-12-12,26.0,26.4,25.5,25.7,42000
2012-12-13,25.6,25.9,25.6,25.8,14000
2012-12-17,26.4,26.6,26.0,26.1,71000
2012-12-18,26.3,26.4,26.0,26.0,33000
2012-12-19,26.4,27.3,26.4,26.5,113500
2012-12-20,27.2,27.2,26.4,26.4,40500
2012-12-23,26.6,26.6,26.1,26.3,42000
2012-12-24,26.1,26.6,26.1,26.3,23500
2012-12-26,26.2,26.6,25.9,25.9,88000
2012-12-27,26.0,26.0,25.7,25.8,138500
2012-12-30,26.3,26.7,26.0,26.5,43500
2013-01-01,26.5,26.5,26.1,26.3,34000
2013-01-02,26.0,26.1,25.8,25.9,37000
2013-01-03,26.0,26.1,25.8,25.9,70000
2013-01-06,26.2,26.2,25.7,25.9,11500
2013-01-07,25.6,25.9,25.4,25.5,19500
2013-01-08,26.0,26.0,25.4,25.6,8500
2013-01-09,25.5,25.5,25.2,25.3,42500
2013-01-10,25.2,25.9,25.2,25.6,16500
2013-01-13,25.7,25.8,25.5,25.6,28500
2013-01-14,25.3,25.5,25.2,25.2,14000
2013-01-15,25.1,25.3,25.1,25.2,22000
2013-01-16,25.4,25.5,25.0,25.1,54500
2013-01-17,25.3,25.5,25.0,25.0,32000
2013-01-20,25.2,25.2,25.0,25.0,12500
2013-01-21,25.0,25.0,24.9,24.9,21000
2013-01-22,25.6,25.6,25.0,25.2,27500
2013-01-23,25.5,25.9,25.4,25.7,74000
2013-01-24,25.6,25.9,25.5,25.6,101000
2013-01-27,25.8,26.2,25.7,25.9,87000
2013-01-28,25.7,26.6,25.7,26.4,114500
2013-01-29,26.8,27.9,26.8,27.7,252000
2013-01-30,28.3,28.3,27.0,27.3,182000
2013-01-31,27.3,29.1,27.2,28.7,360000
2013-02-03,28.9,30.0,28.6,29.3,344000
2013-02-04,29.3,29.3,28.0,28.2,139000
2013-02-05,28.0,29.0,28.0,28.4,115500
2013-02-06,29.0,29.0,28.1,28.2,75000
2013-02-07,28.3,28.4,27.9,27.9,95500
2013-02-10,28.5,28.7,28.0,28.5,137500
2013-02-11,28.8,30.0,28.8,29.2,371500
2013-02-12,29.7,30.0,28.4,28.6,158000
