Date,Open,High,Low,Close,Volume
2021-11-07,11.0,11.0,11.0,11.0,410
2021-11-08,12.1,12.1,12.1,12.1,4490
2021-11-09,13.3,13.3,13.3,13.3,234
2021-11-10,14.6,14.6,14.6,14.6,1220
2021-11-11,16.0,16.0,16.0,16.0,491
2021-11-14,17.6,17.6,17.6,17.6,470
2021-11-15,19.3,19.3,19.3,19.3,678
2021-11-16,21.2,21.2,21.2,21.2,612
2021-11-17,23.3,23.3,23.3,23.3,1008
2021-11-18,25.6,25.6,25.6,25.6,6059
2021-11-21,28.1,28.1,28.1,28.1,4771
2021-11-22,30.9,30.9,30.9,30.9,8481
2021-11-23,33.9,33.9,33.9,33.9,15558
2021-11-24,37.2,37.2,37.2,37.2,16163
2021-11-25,40.9,40.9,40.9,40.9,20089
2021-11-28,44.9,44.9,44.9,44.9,15398
2021-11-29,49.3,49.3,49.3,49.3,42907
2021-11-30,54.2,54.2,54.2,54.2,74745
2021-12-01,59.6,59.6,59.6,59.6,84953
2021-12-02,65.5,65.5,64.5,65.5,4555904
2021-12-05,72.0,72.0,72.0,72.0,692669
2021-12-06,78.8,79.2,74.5,79.2,3600631
2021-12-07,82.9,87.1,79.0,87.1,1406816
2021-12-08,87.0,94.0,80.8,82.7,3320351
2021-12-09,83.5,85.8,78.3,79.5,1728199
2021-12-12,78.6,80.0,74.4,74.8,1989327
2021-12-13,74.9,82.2,74.5,82.2,1745148
2021-12-14,84.0,87.9,79.5,80.3,2139673
2021-12-15,80.0,84.1,79.0,81.7,1192540
2021-12-19,82.0,87.8,82.0,85.6,1896811
2021-12-20,86.6,88.8,85.7,86.0,1986963
2021-12-21,86.0,86.4,81.8,82.0,1272837
2021-12-22,82.3,85.7,80.8,84.9,1292452
2021-12-23,85.0,86.8,82.7,83.1,1244382
2021-12-26,84.0,84.0,78.1,78.7,1073901
2021-12-27,79.1,80.8,77.1,77.5,963079
2021-12-28,78.0,80.8,77.4,77.9,1016998
