Date,Open,High,Low,Close,Volume
2012-10-01,145.0,159.9,140.0,151.7,14100
2012-10-02,160.0,166.0,156.1,157.9,17350
2012-10-03,154.0,158.0,148.1,153.7,14800
2012-10-04,154.0,156.0,145.0,146.8,14500
2012-10-07,153.0,155.0,141.6,145.7,9100
2012-10-08,145.0,145.0,138.6,141.2,4450
2012-10-09,142.1,155.0,142.1,151.4,12150
2012-10-10,150.1,151.1,142.2,142.8,7000
2012-10-11,142.0,148.4,140.0,143.3,4600
2012-10-14,145.0,146.0,138.0,140.1,8350
2012-10-15,143.5,143.5,138.0,139.8,5850
2012-10-16,136.0,144.8,135.0,140.6,3750
2012-10-17,140.0,140.2,138.0,138.4,5900
2012-10-18,138.0,141.6,136.6,138.8,4800
2012-10-21,137.4,148.7,137.4,146.4,7750
2012-10-22,151.0,160.9,146.2,158.3,19800
2012-10-23,163.0,164.0,155.3,157.5,18200
2012-10-30,164.9,164.9,148.0,150.9,7400
2012-10-31,144.3,155.7,144.3,145.1,13200
2012-11-01,153.0,153.4,146.5,149.7,12200
2012-11-04,157.0,164.6,154.0,163.6,56900
2012-11-05,168.0,176.8,168.0,172.8,55650
2012-11-06,174.2,176.9,165.6,168.2,18500
2012-11-07,167.0,169.0,162.0,164.2,21400
2012-11-08,161.4,171.0,161.4,168.7,31600
2012-11-11,166.7,169.9,158.4,159.8,20900
2012-11-12,164.0,164.0,150.7,153.4,12650
2012-11-13,151.0,159.5,150.0,157.0,18350
2012-11-14,154.5,160.8,152.1,153.5,10000
2012-11-15,156.8,156.8,152.1,152.4,14750
2012-11-18,158.6,158.6,148.5,150.7,13650
2012-11-19,148.0,148.8,137.1,140.3,17550
2012-11-20,140.0,143.5,133.8,135.4,14650
2012-11-21,144.0,146.0,136.0,139.9,7850
2012-11-22,138.6,144.0,138.6,141.4,9050
2012-11-26,143.5,152.9,143.5,148.5,23750
2012-11-27,147.1,150.0,146.0,146.7,12550
2012-11-28,151.3,151.3,144.6,145.5,6950
2012-11-29,151.9,157.0,150.5,153.1,20750
2012-12-02,154.1,154.1,142.5,144.3,17700
2012-12-03,147.9,148.0,140.0,140.8,10850
2012-12-04,138.6,150.0,138.6,148.7,20000
2012-12-05,148.5,149.6,144.4,147.6,8750
2012-12-06,143.0,147.0,142.0,142.9,9400
2012-12-09,140.5,140.5,136.3,136.7,11050
2012-12-10,135.6,136.7,130.6,133.0,9350
2012-12-11,129.5,129.5,120.0,121.8,22050
2012-12-12,122.1,124.3,120.4,121.1,11050
2012-12-13,121.0,122.8,120.0,121.1,6350
2012-12-17,121.0,126.5,121.0,124.0,17800
2012-12-18,125.3,125.4,122.1,122.6,13150
2012-12-19,122.6,125.0,121.0,124.0,21650
2012-12-23,122.0,122.0,116.1,117.2,7300
2012-12-24,116.0,116.0,114.0,115.4,9050
2012-12-26,115.1,117.9,114.6,115.2,7950
2012-12-27,115.6,116.4,113.1,113.5,8350
2012-12-30,110.0,114.7,109.1,110.1,12850
2013-01-01,111.8,111.9,107.6,108.1,7200
2013-01-02,106.6,107.7,106.6,107.5,4600
2013-01-03,108.0,109.9,106.0,107.1,8300
2013-01-06,105.3,106.8,104.5,105.5,6050
2013-01-07,106.0,107.0,104.1,105.6,2900
2013-01-08,106.0,106.0,105.0,105.2,1500
2013-01-09,105.1,105.1,103.3,103.8,8600
2013-01-10,103.0,105.0,103.0,104.3,4450
2013-01-13,107.9,111.0,106.0,108.2,14150
2013-01-14,107.0,108.4,107.0,107.4,4850
2013-01-15,105.5,108.0,105.5,107.4,4450
2013-01-16,106.5,108.3,106.5,107.5,4450
2013-01-17,107.8,110.0,107.6,109.6,19550
2013-01-20,109.4,109.5,108.5,109.0,4450
2013-01-21,108.7,108.9,107.6,108.2,1950
2013-01-22,108.2,108.5,106.1,106.3,6600
2013-01-23,108.9,109.0,106.1,106.4,7550
2013-01-24,108.0,108.7,106.1,106.5,5800
2013-01-27,108.0,108.3,106.2,106.5,6300
2013-01-28,106.1,106.7,106.0,106.3,4250
2013-01-29,106.0,114.9,106.0,110.2,26800
2013-01-30,111.0,111.0,108.0,108.4,5700
2013-01-31,108.0,108.3,106.4,107.3,6750
2013-02-03,108.0,109.5,106.2,108.4,8000
2013-02-04,108.3,108.3,106.4,106.6,7100
2013-02-05,107.2,108.4,106.0,107.0,4900
2013-02-06,107.1,108.0,106.4,106.8,10900
2013-02-07,108.3,108.3,106.3,106.5,7350
2013-02-10,106.8,107.2,105.8,106.0,8300
2013-02-11,106.6,107.9,106.2,107.0,7500
2013-02-12,108.0,108.1,106.2,106.5,7350
2013-02-13,106.5,107.5,105.5,105.7,9450
2013-02-14,106.2,108.9,106.2,107.5,10250
2013-02-17,105.4,108.0,105.4,106.6,14550
2013-02-18,106.6,106.7,104.6,105.0,12600
2013-02-19,105.6,105.8,103.7,104.2,10200
2013-02-20,104.3,105.0,101.3,101.5,6300
2013-02-24,101.6,102.0,100.0,100.2,8200
2013-02-25,101.9,102.5,98.3,98.6,3600
2013-02-26,100.0,101.9,100.0,100.4,2300
2013-02-27,100.3,100.5,97.1,98.2,4700
2013-02-28,98.0,100.9,97.5,98.7,2600
2013-03-03,94.5,95.0,93.0,93.7,1100
2013-03-04,97.5,97.5,94.2,95.0,2450
2013-03-05,96.5,96.5,94.6,94.7,1200
2013-03-06,94.5,94.5,91.2,91.4,3450
2013-03-07,90.7,90.8,90.5,90.6,1100
2013-03-10,90.5,90.5,89.0,89.7,2250
2013-03-11,86.6,89.0,86.3,86.7,700
2013-03-12,86.0,88.9,86.0,86.6,800
2013-03-13,91.1,93.5,90.4,91.4,3150
2013-03-14,86.7,93.0,86.7,90.0,1600
2013-03-18,91.0,91.0,89.0,90.5,750
2013-03-19,94.0,94.0,90.0,91.5,1000
2013-03-20,90.0,90.0,88.8,89.5,1550
2013-03-24,88.0,88.0,85.0,86.2,2350
2013-03-25,87.0,87.0,83.1,84.1,2500
2013-03-27,81.4,82.0,80.1,81.0,2550
2013-03-28,81.1,83.6,81.1,82.7,2750
2013-03-31,83.3,83.3,80.4,81.7,1050
2013-04-01,78.0,78.0,76.7,77.5,1250
2013-04-02,78.1,78.9,77.1,78.1,3050
2013-04-03,79.0,79.2,77.8,78.2,2500
2013-04-04,77.0,77.5,76.0,76.7,1450
2013-04-07,75.5,75.5,75.1,75.2,1050
2013-04-08,75.0,78.9,75.0,77.0,1250
2013-04-09,82.7,83.5,80.1,81.1,3600
2013-04-10,83.0,85.9,81.6,82.0,5900
2013-04-11,80.3,90.2,80.2,90.2,25850
2013-04-15,96.0,99.2,96.0,99.2,18100
2013-04-16,105.0,105.0,94.2,96.0,19400
2013-04-17,99.8,101.5,90.8,96.4,21500
2013-04-18,101.6,106.0,99.8,105.4,50500
2013-04-21,105.5,114.9,105.5,112.6,34700
2013-04-22,112.0,112.0,104.1,105.7,16400
2013-04-23,107.9,112.6,104.8,107.4,25850
2013-04-24,111.9,113.1,107.1,107.8,15950
2013-04-25,110.0,110.2,107.0,107.3,18250
2013-04-28,106.9,106.9,100.0,102.0,13600
2013-04-29,105.4,112.2,104.0,111.8,48900
2013-04-30,112.0,119.7,108.5,111.3,42800
2013-05-02,110.0,116.0,109.0,111.3,30100
2013-05-05,113.9,119.9,111.8,116.3,29850
2013-05-06,116.9,127.9,115.1,125.5,63800
2013-05-07,134.5,138.0,134.5,138.0,50000
2013-05-08,145.0,151.0,135.3,138.1,68200
2013-05-09,141.7,141.7,131.1,138.9,49450
2013-05-12,137.5,137.8,130.1,131.4,33300
2013-05-13,131.0,133.8,122.3,123.5,43350
2013-05-14,123.0,126.4,116.5,125.1,56000
2013-05-15,125.9,134.8,125.9,131.1,18650
2013-05-16,134.8,135.0,127.0,128.5,22950
2013-05-19,131.0,131.0,124.2,125.3,30750
2013-05-20,126.1,127.0,120.0,120.5,26300
2013-05-21,120.0,123.0,117.0,117.7,21700
2013-05-22,118.0,120.6,116.0,116.6,18650
2013-05-26,120.8,122.7,117.6,120.2,25950
2013-05-27,122.9,127.5,121.9,122.2,18350
2013-05-28,118.4,133.5,118.4,131.6,60400
2013-05-29,135.0,138.0,132.9,133.7,35050
2013-05-30,133.4,139.9,128.6,134.9,42900
2013-06-02,135.5,136.6,127.0,129.1,48850
2013-06-03,132.9,133.6,130.0,131.7,29150
2013-06-04,133.0,143.8,133.0,142.1,89500
2013-06-05,145.0,147.5,138.3,140.8,43900
2013-06-06,142.0,145.0,135.4,137.9,47200
2013-06-09,138.0,139.8,129.9,130.8,33250
2013-06-10,135.5,142.0,135.3,141.3,43000
2013-06-11,145.0,147.9,140.0,141.7,29550
2013-06-12,145.9,145.9,136.3,137.7,39150
2013-06-13,138.0,142.0,137.5,139.5,34300
2013-06-16,143.4,145.0,139.4,140.4,30750
2013-06-17,142.0,143.4,137.2,137.7,30300
2013-06-18,139.0,140.0,135.1,136.4,27650
2013-06-19,135.5,142.0,134.6,135.8,32050
2013-06-20,136.5,138.3,130.7,131.5,29550
2013-06-23,134.8,135.7,128.6,129.8,14950
2013-06-24,131.0,131.9,125.7,126.8,16650
2013-06-26,131.0,132.9,126.4,127.4,19500
2013-06-27,130.0,130.0,122.3,124.2,21900
2013-06-30,123.5,126.0,122.1,122.6,14400
2013-07-02,127.0,132.0,125.0,129.6,10750
2013-07-03,132.1,134.0,127.8,128.9,10250
2013-07-04,129.0,131.8,127.0,128.8,17350
2013-07-07,132.0,135.0,131.8,133.9,24050
2013-07-08,137.9,147.2,134.0,147.2,83250
2013-07-09,157.0,161.9,156.7,161.9,49700
2013-07-10,169.8,175.0,152.0,154.9,48600
2013-07-11,152.0,155.0,140.0,141.9,38450
2013-07-14,141.2,143.9,135.0,138.5,20150
2013-07-15,144.0,150.9,137.5,146.8,24350
2013-07-16,154.0,154.0,136.3,140.2,34700
2013-07-17,142.9,143.7,137.0,138.0,20150
2013-07-18,140.0,140.0,133.0,135.6,14450
2013-07-21,142.5,142.5,126.6,130.7,13800
2013-07-22,135.0,135.0,125.0,128.2,9200
2013-07-23,132.9,132.9,118.2,120.0,11600
2013-07-24,120.0,132.0,120.0,132.0,14850
2013-07-25,135.0,135.0,122.4,125.1,7700
2013-07-28,122.0,125.0,119.7,121.3,7350
2013-07-29,126.0,128.3,124.0,125.0,8650
2013-07-30,127.0,127.8,118.3,120.6,9450
2013-07-31,123.0,125.0,121.0,123.4,5500
2013-08-01,123.9,124.0,120.5,121.9,5050
2013-08-04,119.7,120.0,115.4,117.3,6150
2013-08-05,120.0,125.0,118.5,122.7,9700
2013-08-12,120.0,124.0,120.0,122.5,6750
2013-08-13,124.7,128.0,122.8,126.4,11650
2013-08-14,128.5,136.0,124.5,134.4,26250
2013-08-18,134.0,143.0,134.0,140.5,29250
2013-08-19,143.0,154.0,140.0,152.6,71050
2013-08-20,153.9,153.9,146.0,146.4,33850
2013-08-21,148.0,152.5,142.7,146.4,42900
2013-08-22,149.0,161.0,147.1,160.6,95350
2013-08-25,167.0,176.0,156.8,158.4,55600
2013-08-26,165.0,165.0,152.0,156.2,44550
2013-08-27,159.8,159.8,146.0,147.4,42600
2013-08-29,144.2,154.0,144.2,150.1,15000
2013-09-01,152.0,157.9,150.1,151.8,22200
2013-09-02,153.9,154.0,143.0,145.7,19650
2013-09-03,141.1,150.9,141.1,146.8,12000
2013-09-04,149.5,153.4,148.1,149.6,24100
2013-09-05,151.9,152.6,145.0,145.6,21450
2013-09-08,142.5,152.0,142.5,149.8,25500
2013-09-09,154.0,164.7,153.9,163.4,86500
2013-09-10,164.8,176.9,164.0,169.9,74300
2013-09-11,170.0,175.0,163.5,167.7,49350
2013-09-12,167.7,183.9,162.6,183.2,134600
2013-09-15,192.0,198.9,168.3,180.0,63600
2013-09-16,180.0,180.0,170.0,178.0,37400
2013-09-17,178.0,187.8,171.9,173.4,67150
2013-09-18,177.8,177.8,161.0,165.3,42900
2013-09-19,163.0,169.0,160.0,162.0,35500
2013-09-22,164.0,166.9,155.5,163.3,26550
2013-09-23,168.0,172.3,166.1,168.8,29250
