Date,Open,High,Low,Close,Volume
2012-10-01,33.0,36.6,33.0,35.2,15500
2012-10-02,35.5,36.5,35.5,35.8,18500
2012-10-03,35.7,36.7,35.7,35.9,8000
2012-10-04,37.6,37.7,35.0,36.2,16500
2012-10-07,34.1,34.1,34.1,34.1,1000
2012-10-08,32.0,32.2,32.0,32.1,1500
2012-10-09,33.9,34.9,33.7,34.7,14500
2012-10-10,34.0,34.5,32.5,33.4,8000
2012-10-11,32.3,32.3,32.3,32.3,500
2012-10-14,33.0,33.0,32.5,32.7,1500
2012-10-16,32.7,32.8,31.1,32.2,18500
2012-10-17,31.9,31.9,31.8,31.8,1500
2012-10-18,33.8,34.0,33.8,33.9,1000
2012-10-21,32.3,33.9,32.3,33.1,1000
2012-10-22,32.5,32.5,32.5,32.5,500
2012-10-23,35.0,35.0,33.0,33.8,6000
2012-10-30,32.7,32.7,32.6,32.6,5000
2012-10-31,33.7,33.7,33.0,33.5,5000
2012-11-01,32.4,32.4,32.4,32.4,1000
2012-11-04,32.2,32.2,31.8,31.9,6500
2012-11-05,33.0,33.0,31.7,32.5,17500
2012-11-06,32.0,32.0,32.0,32.0,500
2012-11-11,30.2,30.2,30.0,30.1,3000
2012-11-14,30.0,30.0,30.0,30.0,500
2012-11-15,29.5,29.7,28.1,29.3,6000
2012-11-18,28.8,28.8,28.7,28.7,3500
2012-11-19,26.5,26.5,26.5,26.5,1500
2012-11-20,25.7,25.7,25.3,25.5,3500
2012-11-21,25.0,25.0,23.5,24.2,6500
2012-11-22,24.4,25.1,24.4,24.8,1500
2012-11-27,24.0,24.2,24.0,24.0,4000
2012-11-28,24.5,24.5,24.5,24.5,1000
2012-11-29,24.6,26.0,24.6,25.2,3000
2012-12-02,25.0,25.9,24.7,25.1,3000
2012-12-03,25.0,25.0,25.0,25.0,1000
2012-12-05,24.5,24.5,24.2,24.3,2000
2012-12-06,23.5,23.5,23.5,23.5,500
2012-12-09,24.9,24.9,24.9,24.9,500
2012-12-12,25.0,25.0,25.0,25.0,500
2012-12-18,24.3,24.5,24.3,24.4,1000
2012-12-20,24.3,24.3,24.2,24.2,1000
2012-12-23,24.5,24.5,24.1,24.2,3000
2012-12-30,24.1,24.1,24.1,24.1,1000
2013-01-01,24.2,24.2,24.2,24.2,5000
2013-01-03,24.5,24.5,24.2,24.4,3000
2013-01-06,24.3,24.3,24.3,24.3,500
2013-01-07,24.0,24.0,24.0,24.0,500
2013-01-08,23.5,23.6,23.5,23.5,2500
2013-01-09,23.6,23.6,23.6,23.6,1500
2013-01-10,25.2,25.2,25.2,25.2,500
2013-01-13,25.5,25.5,25.3,25.4,1500
2013-01-14,25.3,25.3,25.3,25.3,1000
2013-01-16,25.2,25.2,25.2,25.2,500
2013-01-20,25.1,25.1,25.1,25.1,500
2013-01-21,25.0,25.0,24.8,24.8,2000
2013-01-22,24.9,25.0,24.9,24.9,1500
2013-01-23,26.3,26.3,26.3,26.3,500
2013-01-24,26.0,26.6,26.0,26.2,3500
2013-01-27,25.7,25.7,25.1,25.4,3000
2013-01-28,25.7,25.9,25.7,25.8,5500
2013-01-29,25.9,25.9,25.9,25.9,500
2013-01-30,27.2,28.4,27.2,28.3,39000
2013-01-31,28.3,28.3,28.3,28.3,2500
2013-02-03,28.0,28.0,28.0,28.0,500
2013-02-04,28.3,28.3,28.0,28.1,13000
2013-02-05,28.0,28.0,27.9,27.9,1500
2013-02-06,27.6,27.8,27.0,27.4,14500
2013-02-10,26.6,27.0,26.1,26.5,3500
2013-02-11,27.0,28.0,27.0,27.3,3000
2013-02-12,27.6,28.1,27.1,27.4,7500
2013-02-13,27.9,27.9,26.9,27.0,3500
2013-02-14,27.9,27.9,27.9,27.9,500
2013-02-17,27.5,27.5,27.2,27.4,1500
2013-02-18,27.1,27.3,26.4,26.8,18000
2013-02-19,26.7,26.7,26.5,26.5,8000
2013-02-20,26.0,26.0,26.0,26.0,500
2013-02-24,25.2,25.4,25.2,25.3,3000
2013-02-25,25.2,25.2,25.1,25.1,1000
2013-02-26,25.2,25.3,25.0,25.1,4500
