Date,Open,High,Low,Close,Volume
2012-10-01,46.7,50.0,46.7,48.3,19500
2012-10-02,49.1,50.0,49.0,49.8,104000
2012-10-03,50.0,51.9,48.2,48.4,131500
2012-10-04,48.5,51.0,48.5,50.1,21500
2012-10-07,49.4,49.4,46.5,47.3,37000
2012-10-08,48.0,48.0,46.8,47.4,34000
2012-10-09,48.9,49.4,47.9,48.3,44000
2012-10-10,47.4,47.5,46.0,46.2,32500
2012-10-11,46.1,46.1,45.7,45.9,30500
2012-10-14,47.0,47.0,45.0,45.4,27500
2012-10-15,46.1,46.4,46.1,46.2,9500
2012-10-16,47.9,47.9,47.0,47.7,10000
2012-10-17,48.5,50.5,46.9,48.9,96000
2012-10-18,50.9,51.0,48.0,49.0,102500
2012-10-21,46.3,49.8,46.3,49.3,25000
2012-10-22,47.3,49.5,47.0,48.1,16000
2012-10-23,46.7,50.1,46.5,49.8,60000
2012-10-30,48.0,48.0,47.7,47.8,8500
2012-10-31,49.7,49.9,47.5,49.3,45500
2012-11-01,49.8,50.0,48.7,49.2,60000
2012-11-04,49.0,49.0,47.1,47.8,11000
2012-11-05,46.1,48.0,46.1,46.9,7000
2012-11-06,46.1,46.6,45.9,45.9,38000
2012-11-07,46.2,47.0,46.2,46.5,25000
2012-11-08,46.6,46.6,46.1,46.5,20500
2012-11-11,46.1,46.1,45.9,45.9,14000
2012-11-12,45.4,45.6,45.4,45.5,26500
2012-11-13,45.0,48.1,45.0,45.4,15000
2012-11-14,45.3,45.9,44.9,45.3,22500
2012-11-15,46.0,46.0,45.6,45.8,1500
2012-11-18,45.9,45.9,45.6,45.7,17000
2012-11-19,44.6,44.6,44.0,44.2,18500
2012-11-20,44.0,44.0,43.9,43.9,7500
2012-11-21,44.0,44.5,43.6,43.9,25500
2012-11-22,44.3,45.0,44.3,44.9,23500
2012-11-26,42.5,43.2,42.2,42.4,11000
2012-11-27,39.0,42.5,39.0,42.0,37500
2012-11-28,41.0,42.0,41.0,42.0,24000
2012-11-29,43.4,45.1,43.0,44.3,21000
2012-12-02,44.2,44.2,42.1,43.3,3500
2012-12-03,42.4,42.4,42.0,42.1,4500
2012-12-04,42.5,42.5,42.0,42.2,10500
2012-12-05,41.6,42.1,41.5,41.8,9500
2012-12-06,42.6,42.6,41.1,41.7,5000
2012-12-09,42.0,42.0,40.2,40.8,5000
2012-12-10,42.0,42.0,39.8,40.8,20000
2012-12-11,41.0,41.9,41.0,41.1,10000
2012-12-12,41.5,41.5,41.5,41.5,1000
2012-12-13,41.0,41.2,40.1,40.5,10500
2012-12-17,42.8,43.2,42.8,42.9,4500
2012-12-18,41.0,43.0,41.0,42.3,4000
2012-12-19,43.2,43.9,41.5,42.3,2500
2012-12-20,42.3,43.5,42.0,42.3,8500
2012-12-23,42.0,42.3,41.6,41.9,5500
2012-12-24,42.0,42.5,41.6,41.7,8500
2012-12-26,42.7,43.5,42.2,42.6,4000
2012-12-27,42.8,43.4,42.8,43.1,22500
2012-12-30,43.0,43.0,42.7,42.9,34000
2013-01-01,43.5,43.5,42.3,42.7,14000
2013-01-02,42.4,42.7,42.2,42.2,23000
2013-01-03,42.8,42.8,42.8,42.8,4000
2013-01-06,41.2,42.9,41.2,42.8,36500
2013-01-07,41.7,42.8,41.7,42.0,13500
2013-01-08,41.7,41.7,41.7,41.7,500
2013-01-09,43.0,43.0,42.7,42.9,85000
2013-01-10,42.4,42.5,42.4,42.4,7000
2013-01-13,42.6,43.0,42.6,42.8,3500
2013-01-14,42.7,43.9,42.7,43.1,18000
2013-01-15,43.3,43.5,43.3,43.4,1500
2013-01-16,43.3,44.0,43.3,43.3,8500
2013-01-17,43.9,44.3,43.8,44.1,20500
2013-01-20,44.0,44.0,43.8,43.9,5000
2013-01-21,43.9,44.0,43.8,43.9,13000
2013-01-22,43.7,44.3,43.7,43.9,9500
2013-01-23,44.1,45.3,44.1,44.6,17000
2013-01-24,44.5,45.5,44.4,44.7,14500
2013-01-27,45.0,47.0,45.0,46.0,22000
2013-01-28,45.2,46.5,43.6,45.5,10000
2013-01-29,46.6,46.7,46.1,46.4,11000
2013-01-30,46.1,47.0,45.9,46.5,16500
2013-01-31,46.5,48.4,46.5,47.9,58000
2013-02-03,49.0,49.8,48.7,49.3,108500
2013-02-04,49.9,49.9,48.0,48.2,22500
2013-02-05,47.7,47.9,47.7,47.7,2000
2013-02-06,47.0,49.4,47.0,48.6,15000
2013-02-07,46.8,47.6,46.8,47.5,15000
2013-02-10,47.8,48.5,47.6,47.8,29500
2013-02-11,48.0,48.5,47.5,47.7,43500
2013-02-12,47.9,48.9,47.2,47.8,22500
2013-02-13,46.5,48.1,46.5,47.8,28500
2013-02-14,47.8,50.9,47.5,48.9,19500
2013-02-17,49.3,49.3,48.2,48.5,42000
2013-02-18,49.0,49.7,48.0,48.8,35500
2013-02-19,49.7,49.7,47.0,47.1,32500
2013-02-20,46.7,48.0,46.3,46.5,61000
2013-02-24,45.3,45.7,44.0,44.7,68000
2013-02-25,44.5,44.6,44.1,44.3,20000
2013-02-26,44.3,45.4,44.3,44.8,2000
2013-02-27,44.2,44.6,44.1,44.1,69000
2013-02-28,44.2,44.5,43.9,44.0,6000
2013-03-03,42.1,48.0,41.0,44.1,43500
2013-03-04,45.0,45.0,44.0,44.8,5500
2013-03-05,43.7,43.7,43.7,43.7,1000
2013-03-06,44.2,44.2,44.2,44.2,3000
2013-03-07,41.2,44.5,41.1,44.1,23000
2013-03-10,43.5,43.5,42.4,43.3,13500
2013-03-11,41.1,41.1,40.9,40.9,4000
2013-03-12,40.0,40.5,40.0,40.1,1500
2013-03-13,41.5,42.8,41.5,42.1,7000
2013-03-14,41.2,42.0,41.2,41.5,3000
2013-03-18,41.0,41.0,40.6,40.7,3000
2013-03-19,41.0,42.1,41.0,41.8,14000
2013-03-20,41.3,41.6,41.3,41.4,6000
2013-03-24,42.0,42.0,42.0,42.0,7500
2013-03-25,42.1,42.1,41.2,41.5,58000
2013-03-27,41.5,42.0,41.5,41.5,15000
2013-03-28,42.0,42.8,42.0,42.4,7000
2013-03-31,42.0,42.0,40.1,41.3,37500
2013-04-01,40.3,40.4,40.1,40.2,26000
2013-04-02,40.5,40.5,40.5,40.5,3000
2013-04-03,41.0,41.0,40.3,40.3,15500
2013-04-04,40.0,40.1,40.0,40.0,12000
2013-04-07,41.0,41.0,40.6,40.8,17000
2013-04-08,40.3,40.3,40.3,40.3,5000
2013-04-09,41.0,41.0,40.9,40.9,1000
2013-04-10,41.6,42.0,41.4,41.7,34500
2013-04-11,42.5,42.6,41.7,42.3,37000
2013-04-15,43.2,43.7,43.2,43.6,6500
2013-04-16,42.2,43.3,42.1,42.5,26000
2013-04-17,43.0,43.9,43.0,43.5,25500
2013-04-18,43.4,43.5,42.9,43.3,13500
2013-04-21,42.7,42.8,42.0,42.4,26000
2013-04-22,43.1,43.1,42.9,43.0,18000
2013-04-23,42.0,43.0,42.0,42.6,10000
2013-04-24,41.7,44.4,41.7,43.9,53000
2013-04-25,42.0,42.2,41.9,42.0,14500
2013-04-28,41.0,42.8,41.0,42.5,46500
2013-04-29,42.7,43.5,42.7,43.2,15000
2013-04-30,43.1,43.2,43.0,43.1,15500
2013-05-02,42.4,43.0,42.1,42.9,18500
2013-05-05,42.6,42.8,42.6,42.7,36500
2013-05-06,43.0,43.0,41.5,42.8,20000
2013-05-07,42.6,43.1,42.5,42.8,35500
2013-05-08,43.0,43.1,42.9,42.9,13000
2013-05-09,42.7,43.5,42.7,42.9,18500
2013-05-12,44.0,44.5,43.7,44.4,23500
2013-05-13,44.9,44.9,43.9,44.0,27500
2013-05-15,40.5,42.0,39.8,40.6,193000
2013-05-16,41.0,42.6,41.0,41.5,81000
2013-05-19,41.6,42.4,41.5,42.0,59500
2013-05-20,41.2,41.5,41.2,41.2,40000
2013-05-21,42.5,42.5,40.5,40.5,59500
2013-05-22,40.6,41.0,39.1,40.1,63000
2013-05-26,40.8,40.8,38.7,39.0,55000
2013-05-27,40.0,40.0,39.8,39.9,25000
2013-05-28,40.9,40.9,39.6,40.0,44500
2013-05-29,40.6,40.9,40.0,40.4,37000
2013-05-30,40.4,40.4,39.8,40.0,63500
2013-06-02,40.0,40.8,40.0,40.2,18000
2013-06-03,40.2,41.2,40.2,40.8,18000
2013-06-04,40.4,40.4,40.0,40.0,28000
2013-06-05,40.0,41.8,40.0,41.2,66500
2013-06-06,40.2,40.2,40.0,40.1,11500
2013-06-09,38.8,40.0,38.8,40.0,32000
2013-06-10,40.1,40.2,40.0,40.0,8500
2013-06-11,40.4,40.6,40.0,40.3,21500
2013-06-12,39.7,40.1,39.6,39.9,56000
2013-06-13,40.0,41.9,40.0,40.9,24000
2013-06-16,41.0,41.5,40.9,41.1,27500
2013-06-17,41.9,41.9,40.3,40.6,41000
2013-06-18,40.0,41.0,40.0,40.4,33500
2013-06-19,40.2,40.9,40.0,40.0,41500
2013-06-20,40.0,40.6,40.0,40.0,18000
2013-06-23,40.0,40.0,40.0,40.0,49000
2013-06-24,40.0,40.2,40.0,40.0,36000
2013-06-26,38.6,41.2,38.6,40.0,59500
2013-06-27,40.0,40.0,38.8,39.7,55000
2013-06-30,40.0,40.0,39.6,39.7,38500
2013-07-02,40.0,40.1,40.0,40.0,25500
2013-07-03,40.0,40.5,40.0,40.0,35000
2013-07-04,40.0,41.5,40.0,41.3,90000
2013-07-07,40.4,41.5,40.4,41.1,107000
2013-07-08,40.5,40.5,40.3,40.4,30000
2013-07-09,39.8,42.4,39.0,39.7,74000
2013-07-10,42.6,43.6,40.3,43.5,226000
2013-07-11,43.9,43.9,40.5,41.1,47000
2013-07-14,41.5,41.5,39.5,40.9,10000
2013-07-15,40.0,41.5,40.0,40.4,35000
2013-07-16,41.9,42.0,40.5,40.8,47000
2013-07-17,43.0,43.0,41.2,42.1,37500
2013-07-18,40.6,42.9,40.6,41.0,17500
2013-07-21,39.6,39.6,39.5,39.5,6000
2013-07-22,40.0,40.0,40.0,40.0,1000
2013-07-23,38.0,40.0,38.0,39.6,12000
2013-07-24,40.0,40.1,39.7,39.9,11500
2013-07-25,40.0,40.0,38.2,39.0,2500
2013-07-28,39.0,39.6,39.0,39.4,1500
2013-07-29,38.6,39.7,38.5,39.1,11500
2013-07-31,37.9,37.9,37.0,37.4,2000
2013-08-01,37.3,38.8,36.8,37.6,42500
2013-08-04,38.9,38.9,37.9,38.0,4500
2013-08-05,36.5,38.0,36.5,37.6,12000
2013-08-12,38.2,38.2,36.6,37.5,6500
2013-08-13,36.7,38.0,36.5,36.6,19500
2013-08-14,37.9,38.2,37.9,37.9,14500
2013-08-18,38.0,38.0,37.1,37.7,2000
2013-08-19,37.0,38.3,37.0,37.7,7500
2013-08-20,38.0,38.0,37.1,37.4,3000
2013-08-21,38.0,39.1,38.0,38.2,37000
2013-08-22,38.0,39.0,38.0,38.6,30000
2013-08-25,38.3,38.6,38.0,38.3,4500
2013-08-26,38.4,38.5,38.3,38.3,3500
2013-08-27,38.5,40.5,38.1,39.3,7500
2013-08-29,38.1,39.5,38.1,38.4,2000
2013-09-01,38.1,39.3,38.0,38.4,3000
2013-09-02,37.1,38.0,37.0,37.8,13000
2013-09-03,40.0,40.0,36.3,38.0,13500
2013-09-04,36.3,38.2,36.3,37.9,9000
2013-09-05,38.0,38.4,38.0,38.0,5500
2013-09-08,37.0,38.0,36.0,37.7,7000
2013-09-09,38.0,38.0,38.0,38.0,14000
2013-09-10,38.0,38.0,38.0,38.0,5500
2013-09-11,38.0,38.1,38.0,38.0,14000
2013-09-12,38.8,38.9,38.1,38.3,5000
2013-09-15,38.8,42.0,38.8,41.8,78000
2013-09-16,42.0,42.9,41.0,41.8,73000
2013-09-17,41.8,42.5,41.8,42.0,48000
2013-09-18,42.0,42.0,40.0,41.4,50000
2013-09-19,41.5,41.5,39.5,39.8,7000
2013-09-22,39.3,39.3,38.0,38.0,13000
2013-09-23,38.0,41.8,38.0,41.1,39500
2013-09-24,42.0,43.9,42.0,43.2,215500
2013-09-25,43.5,43.5,41.1,41.5,29500
2013-09-26,42.4,42.4,41.0,41.5,16000
2013-09-29,39.8,41.0,39.8,40.1,10000
2013-09-30,41.7,41.7,40.0,40.5,2500
2013-10-01,41.0,41.8,40.0,41.1,17500
2013-10-02,41.2,41.9,40.5,41.1,23000
2013-10-03,41.6,41.6,39.2,39.8,21500
2013-10-06,39.1,41.0,38.5,39.3,10500
2013-10-07,40.6,40.6,40.6,40.6,500
2013-10-08,40.6,40.6,39.1,39.9,7000
2013-10-09,40.2,40.2,38.6,38.7,5500
2013-10-10,39.8,39.8,38.2,39.4,3000
2013-10-20,39.4,39.4,39.4,39.4,500
2013-10-21,37.1,40.0,37.1,39.2,8000
2013-10-22,39.5,39.5,38.5,39.2,9500
2013-10-23,39.2,39.2,39.2,39.2,2000
2013-10-24,40.0,40.0,38.1,39.4,8000
2013-10-27,40.0,40.0,39.2,39.2,5500
2013-10-28,39.6,42.8,39.5,40.9,35500
2013-10-29,40.2,42.0,40.0,40.6,215000
