Date,Open,High,Low,Close,Volume
2012-10-01,47.0,49.8,45.4,48.5,85500
2012-10-02,50.0,53.0,49.7,50.9,153000
2012-10-03,51.9,54.8,50.5,50.7,232500
2012-10-04,51.1,51.6,50.3,50.5,84000
2012-10-07,51.4,51.5,48.4,49.1,61500
2012-10-08,50.0,50.9,47.1,47.4,67500
2012-10-09,50.0,51.0,47.8,48.3,107500
2012-10-10,48.8,50.0,47.1,47.5,31000
2012-10-11,47.3,48.0,46.8,47.1,58000
2012-10-14,47.5,49.0,46.0,46.6,84000
2012-10-15,47.0,47.9,46.7,46.7,26500
2012-10-16,47.1,48.8,47.1,47.9,26500
2012-10-17,47.0,49.7,47.0,48.6,68500
2012-10-18,48.5,49.5,47.7,48.4,26500
2012-10-21,48.8,48.8,47.2,47.5,16000
2012-10-22,48.9,48.9,47.4,47.9,15000
2012-10-23,49.0,49.5,48.1,48.4,59000
2012-10-30,48.8,48.8,46.9,47.8,8500
2012-10-31,47.9,48.1,47.3,47.9,23500
2012-11-01,47.5,47.5,47.0,47.0,17000
2012-11-04,46.7,47.0,46.1,46.7,20500
2012-11-05,46.5,46.7,46.0,46.4,42500
2012-11-06,46.0,46.8,45.0,45.5,17000
2012-11-07,46.0,46.7,45.2,46.4,22500
2012-11-08,45.1,45.1,44.6,44.8,6500
2012-11-11,43.1,44.0,42.2,42.7,32500
2012-11-12,43.4,43.4,42.6,42.8,12500
2012-11-13,43.5,44.3,43.5,44.0,13500
2012-11-14,44.0,44.0,42.4,42.9,41500
2012-11-15,43.1,44.1,43.0,43.9,23000
2012-11-18,45.0,45.0,43.7,43.9,28000
2012-11-19,42.6,43.0,42.0,42.5,18000
2012-11-20,42.0,42.0,41.6,41.7,14000
2012-11-21,42.4,42.4,42.0,42.0,17000
2012-11-22,43.0,43.0,41.9,42.7,44000
2012-11-26,41.6,41.6,40.4,41.0,3500
2012-11-27,42.0,42.5,41.0,41.6,9500
2012-11-28,41.6,41.6,41.0,41.2,21000
2012-11-29,42.0,44.5,42.0,43.6,35500
2012-12-02,44.0,44.8,41.3,42.1,33000
2012-12-03,41.7,41.7,41.1,41.3,8500
2012-12-04,42.0,42.4,42.0,42.0,6000
2012-12-05,41.3,42.0,40.8,41.1,28000
2012-12-06,41.6,41.6,40.6,41.0,12500
2012-12-11,40.9,41.5,40.0,40.4,10000
2012-12-12,41.5,42.4,40.2,41.1,10000
2012-12-13,40.1,41.7,40.1,40.9,8000
2012-12-17,42.6,43.0,42.6,42.7,15000
2012-12-18,44.3,44.3,42.0,42.4,7500
2012-12-19,40.0,42.9,40.0,41.4,10000
2012-12-20,42.0,43.0,41.4,41.6,32500
2012-12-23,42.5,42.5,40.5,40.8,7000
2012-12-24,41.7,41.7,40.5,40.8,22500
2012-12-26,41.0,42.1,41.0,41.5,22500
2012-12-27,42.5,44.2,42.3,44.0,121000
2012-12-30,43.2,44.0,43.2,43.5,23000
2013-01-01,42.8,43.3,42.8,43.0,4500
2013-01-02,42.5,42.8,42.1,42.5,56000
2013-01-03,42.6,42.7,42.1,42.4,5000
2013-01-06,42.3,42.8,42.0,42.0,11000
2013-01-07,42.5,42.9,42.2,42.4,55000
2013-01-08,42.6,43.0,42.2,42.4,8500
2013-01-09,42.5,42.9,42.0,42.2,19000
2013-01-10,42.5,42.5,41.8,42.0,19500
2013-01-13,42.0,42.5,42.0,42.0,8500
2013-01-14,42.0,42.0,42.0,42.0,16000
2013-01-15,41.5,42.3,41.5,42.1,23500
2013-01-16,42.0,43.0,42.0,42.2,4500
2013-01-17,42.3,43.4,42.3,42.8,19000
2013-01-20,43.5,43.5,43.1,43.4,15500
