Date,Open,High,Low,Close,Volume
2021-06-13,13.2,13.2,13.2,13.2,1
2021-06-14,14.5,14.5,14.5,14.5,1
2021-06-15,15.9,15.9,15.9,15.9,46
2021-06-16,17.4,17.4,17.4,17.4,1
2021-06-17,19.1,19.1,19.1,19.1,50
2021-06-20,21.0,21.0,21.0,21.0,100
2021-06-21,23.1,23.1,23.1,23.1,476
2021-06-22,25.4,25.4,25.4,25.4,309
2021-06-23,27.9,27.9,27.9,27.9,100
2021-06-24,30.6,30.6,30.6,30.6,600
2021-06-27,33.6,33.6,33.6,33.6,90
2021-06-28,36.9,36.9,36.9,36.9,45
2021-06-29,40.5,40.5,40.5,40.5,1182
2021-06-30,44.5,44.5,44.5,44.5,1146
2021-07-05,48.9,48.9,48.9,48.9,1788
2021-07-06,53.7,53.7,53.7,53.7,7411
2021-07-07,59.0,59.0,59.0,59.0,9334
2021-07-08,64.9,64.9,64.9,64.9,10288
2021-07-12,71.3,71.3,71.3,71.3,50542
2021-07-13,78.4,78.4,78.4,78.4,8405
2021-07-14,86.2,86.2,86.2,86.2,9990
2021-07-15,94.7,94.7,86.0,90.3,117494
2021-07-18,89.9,89.9,81.3,81.3,6790
2021-07-19,74.0,87.9,73.2,87.0,44844
2021-07-25,92.0,92.5,86.8,87.7,27766
2021-07-26,88.2,89.8,85.7,86.4,10543
2021-07-27,80.6,82.9,78.0,80.0,10952
2021-07-28,80.2,80.2,76.4,77.4,5281
2021-07-29,78.3,78.3,70.2,76.5,8348
2021-08-02,84.0,84.0,77.0,78.2,3094
2021-08-03,80.0,83.9,80.0,80.4,9199
2021-08-05,80.5,82.6,79.0,79.2,23564
2021-08-09,79.2,80.0,76.2,77.9,9493
2021-08-10,77.1,77.1,75.0,75.9,17616
2021-08-11,75.0,83.4,75.0,83.1,22813
2021-08-12,84.0,85.0,77.0,82.5,6635
2021-08-16,83.5,83.5,78.6,80.7,487
2021-08-17,82.0,85.0,79.0,82.2,3690
2021-08-18,83.9,84.0,80.0,80.0,5845
2021-08-19,83.5,83.5,80.0,80.4,5704
2021-08-22,85.0,85.0,78.0,82.2,19786
2021-08-23,80.0,83.9,80.0,82.9,10724
2021-08-24,81.7,83.0,81.7,82.3,17126
2021-08-25,84.9,90.0,84.9,87.2,48822
2021-08-26,88.0,94.8,88.0,90.0,32017
2021-08-29,91.0,95.0,90.8,94.5,37835
2021-08-31,98.0,103.9,98.0,103.9,63136
2021-09-01,113.5,114.2,113.5,114.2,37965
2021-09-02,125.6,125.6,120.2,125.6,67830
2021-09-05,137.9,138.1,129.0,138.1,45976
2021-09-06,150.9,151.9,145.5,151.9,34758
2021-09-07,167.0,167.0,167.0,167.0,7329
2021-09-08,183.7,183.7,183.7,183.7,33022
2021-09-09,202.0,202.0,167.0,185.7,77560
2021-09-12,199.9,199.9,170.5,176.0,34147
2021-09-13,171.2,184.7,171.0,180.4,15278
2021-09-14,179.9,179.9,162.5,162.9,23779
2021-09-15,167.0,179.1,163.1,179.1,15260
2021-09-16,188.2,195.0,181.1,184.5,19358
2021-09-19,190.5,190.5,170.0,173.7,11493
2021-09-20,173.7,176.7,169.1,171.6,9773
2021-09-21,179.9,179.9,170.3,170.7,11691
