Date,Open,High,Low,Close,Volume
2023-05-11,11.0,11.0,11.0,11.0,486
2023-05-14,12.1,12.1,12.1,12.1,909
2023-05-15,13.3,13.3,13.3,13.3,570
2023-05-16,14.6,14.6,14.6,14.6,654
2023-05-17,16.0,16.0,16.0,16.0,595
2023-05-18,17.6,17.6,17.6,17.6,271
2023-05-21,19.3,19.3,19.3,19.3,370
2023-05-22,21.2,21.2,21.2,21.2,831
2023-05-23,23.3,23.3,23.3,23.3,586
2023-05-24,25.6,25.6,25.6,25.6,643
2023-05-25,28.1,28.1,28.1,28.1,724
2023-05-28,30.9,30.9,30.9,30.9,1308
2023-05-29,33.9,33.9,33.9,33.9,1198
2023-05-30,37.2,37.2,37.2,37.2,3262
2023-05-31,40.9,40.9,40.9,40.9,9159
2023-06-01,44.9,44.9,44.9,44.9,5889
2023-06-04,49.3,49.3,49.3,49.3,7961
2023-06-05,54.2,54.2,54.2,54.2,15890
2023-06-06,59.6,59.6,59.6,59.6,98426
2023-06-07,65.5,65.5,65.5,65.5,125476
2023-06-08,72.0,72.0,72.0,72.0,219124
2023-06-11,79.2,79.2,79.0,79.2,4324782
2023-06-12,78.1,86.9,78.1,82.5,2429505
2023-06-13,82.0,83.7,75.0,76.8,2647926
2023-06-14,77.0,79.7,70.0,71.1,1556272
2023-06-15,70.1,73.0,66.3,69.8,1159679
2023-06-18,70.4,72.1,69.2,70.7,943586
2023-06-19,70.7,77.7,70.7,77.7,1519784
2023-06-20,78.2,81.0,74.6,76.6,1951072
2023-06-21,76.6,80.9,74.0,79.8,1321150
2023-06-22,80.5,81.8,76.0,76.6,1807335
2023-06-25,76.6,77.4,74.8,75.3,867325
2023-06-26,75.3,77.9,75.3,76.7,1006313
2023-07-02,77.1,77.5,74.4,74.9,847526
2023-07-03,75.1,75.8,71.7,72.5,848697
2023-07-04,72.9,74.2,70.3,70.5,729448
2023-07-05,71.2,71.5,67.7,68.2,947459
2023-07-06,68.2,70.9,66.8,70.3,677192
2023-07-09,71.0,71.4,67.0,67.2,894262
2023-07-10,67.5,68.1,63.7,64.1,815056
2023-07-11,64.2,66.3,63.9,65.4,710882
2023-07-12,65.4,66.1,63.8,64.0,544476
2023-07-13,64.5,64.7,61.5,62.0,548719
2023-07-16,62.1,64.8,61.7,63.5,536413
2023-07-17,63.5,64.8,62.6,62.9,449164
2023-07-18,62.9,63.2,61.3,61.4,470841
2023-07-19,62.5,63.0,60.8,62.4,370919
2023-07-20,62.2,64.3,62.2,62.8,607031
2023-07-23,62.2,63.1,57.0,60.3,434077
2023-07-24,60.0,60.9,59.0,60.2,351651
2023-07-25,60.0,62.5,60.0,60.6,362644
2023-07-26,60.6,61.2,59.3,60.8,349189
2023-07-27,60.7,61.7,60.6,60.9,274035
2023-07-30,60.9,64.7,60.9,63.5,851312
2023-07-31,63.9,64.1,61.9,62.0,422865
2023-08-01,62.1,62.4,61.0,61.5,422304
2023-08-02,61.7,62.3,60.8,61.0,319444
2023-08-03,61.2,61.8,60.6,61.0,218191
2023-08-06,60.5,61.4,59.3,59.7,149995
2023-08-07,60.2,60.2,58.0,58.2,210841
2023-08-08,58.2,59.0,58.0,58.4,73226
2023-08-09,58.2,58.9,56.7,57.0,216872
2023-08-10,56.2,57.2,55.9,56.3,143857
2023-08-13,56.5,56.9,54.0,54.4,190806
2023-08-14,53.9,53.9,51.3,51.6,171125
2023-08-16,51.5,51.7,46.5,47.0,337243
2023-08-17,47.0,49.7,47.0,49.2,121247
2023-08-20,49.3,49.9,47.6,49.6,114339
2023-08-21,49.0,51.6,49.0,51.4,208599
2023-08-22,51.5,53.8,50.3,52.9,260598
2023-08-23,52.2,54.5,52.2,52.9,354439
2023-08-24,52.9,53.4,52.0,52.4,169258
2023-08-27,52.8,56.4,52.2,55.5,260865
2023-08-28,55.5,56.9,54.4,54.6,305554
2023-08-29,54.3,54.7,53.1,53.4,158768
2023-08-30,53.1,53.7,52.7,52.9,173466
2023-08-31,52.8,53.6,52.8,53.0,97266
2023-09-03,52.8,54.1,52.8,53.6,195524
2023-09-04,53.5,53.9,52.5,52.8,179520
2023-09-05,52.9,52.9,51.4,51.8,383380
2023-09-07,51.0,53.4,51.0,52.6,301757
2023-09-10,52.2,56.0,52.2,54.4,513779
2023-09-11,53.7,54.8,52.5,52.7,241094
2023-09-12,52.6,54.3,52.5,53.3,330886
2023-09-13,53.6,54.3,53.0,53.2,246464
2023-09-14,53.2,53.6,52.4,53.1,259401
2023-09-17,52.9,55.7,52.9,55.3,606891
2023-09-18,55.3,60.8,55.3,60.5,1353363
2023-09-19,61.0,66.5,60.7,65.5,2285286
2023-09-20,65.0,65.5,61.7,62.1,1150629
2023-09-21,60.8,67.9,60.8,65.0,1418212
2023-09-24,65.0,66.5,61.9,63.4,757832
2023-09-25,63.4,63.4,58.7,61.2,693021
2023-09-26,61.8,63.0,60.1,60.6,428155
2023-09-27,60.2,61.2,58.9,59.2,302083
2023-10-01,59.3,60.0,54.5,55.9,454208
2023-10-02,55.0,57.5,53.7,57.2,261284
2023-10-03,57.6,57.7,54.2,54.5,294744
2023-10-04,55.4,55.4,53.5,54.1,170117
2023-10-05,54.7,54.9,53.6,54.0,146442
2023-10-08,54.0,54.0,52.0,52.4,145159
2023-10-09,52.4,53.1,51.5,51.8,114783
2023-10-10,52.0,53.0,51.4,52.2,237885
2023-10-11,52.6,53.6,52.2,53.3,112059
2023-10-12,53.4,55.1,53.4,54.8,276014
2023-10-15,54.0,55.3,54.0,54.2,162715
2023-10-16,54.6,54.6,52.5,52.7,250188
2023-10-17,53.3,53.4,52.0,52.5,247837
2023-10-18,52.7,53.5,52.7,53.0,126629
2023-10-19,53.0,54.7,52.7,54.5,270506
2023-10-22,55.3,57.9,54.6,56.3,609509
2023-10-23,56.5,56.5,54.8,55.1,270376
2023-10-25,54.5,56.2,54.1,54.4,253377
2023-10-26,54.6,54.6,52.6,53.0,191107
2023-10-29,53.0,53.5,51.7,52.0,160008
2023-10-30,49.6,50.3,48.1,49.3,368466
2023-10-31,49.3,50.8,49.2,50.4,202037
2023-11-01,50.0,50.9,49.3,49.5,227889
2023-11-02,49.5,49.9,48.5,48.9,177569
2023-11-05,48.9,50.6,48.9,50.2,160752
2023-11-06,50.4,51.4,50.2,50.4,210122
2023-11-07,50.7,51.0,49.7,50.0,135558
2023-11-08,49.8,50.2,48.6,48.8,272173
2023-11-09,48.9,49.5,48.0,48.3,161197
2023-11-12,50.4,50.4,47.5,47.6,76999
2023-11-13,47.8,48.0,47.1,47.4,62228
2023-11-14,48.2,48.5,47.1,47.7,66255
2023-11-15,47.5,48.8,47.1,47.8,74069
2023-11-16,47.2,48.7,47.1,47.7,50382
2023-11-20,47.9,47.9,45.6,46.3,128717
2023-11-21,46.3,47.2,44.8,44.9,79861
2023-11-22,45.0,45.7,44.0,44.8,70235
2023-11-23,45.7,45.7,44.6,44.7,81817
2023-11-26,44.5,45.3,42.9,43.3,132323
2023-11-27,43.4,43.8,42.5,42.6,46646
2023-11-28,42.6,44.4,42.6,43.5,122190
2023-11-29,44.0,45.0,43.8,44.7,76634
2023-11-30,44.8,46.5,44.7,46.4,163008
2023-12-03,46.4,47.2,46.0,46.8,111669
2023-12-04,46.8,49.3,46.7,48.7,324978
2023-12-05,48.7,49.2,48.4,48.8,191807
2023-12-06,48.8,50.7,48.2,50.4,350070
2023-12-07,50.4,50.7,49.6,50.3,229679
2023-12-10,49.8,51.3,49.3,51.0,320783
2023-12-11,50.7,52.6,50.7,52.4,357562
2023-12-12,52.2,52.9,51.1,51.5,249142
2023-12-13,52.3,53.5,51.0,53.1,508467
2023-12-14,53.1,53.7,52.4,52.8,274701
2023-12-17,52.8,53.4,50.5,51.0,213220
2023-12-18,51.0,51.9,50.2,51.5,160082
2023-12-19,51.0,51.9,51.0,51.1,159031
2023-12-20,51.1,53.5,50.9,52.8,307289
2023-12-21,52.2,54.8,52.2,53.9,467806
2023-12-24,51.3,54.0,51.3,53.2,268848
2023-12-26,53.2,56.2,52.7,55.4,768461
2023-12-27,56.0,57.1,54.9,56.5,490375
2023-12-28,56.5,56.6,54.8,55.1,342599
2024-01-01,55.4,56.0,54.3,55.4,302246
2024-01-02,55.9,56.5,55.4,55.5,380749
2024-01-03,55.8,55.8,54.4,54.6,130902
2024-01-04,54.9,55.1,53.9,54.8,218616
2024-01-08,55.1,55.6,54.2,55.2,230236
2024-01-09,55.9,57.5,54.6,55.7,446253
2024-01-10,55.7,57.3,55.5,56.0,243370
2024-01-11,56.0,57.2,55.4,56.9,542111
2024-01-14,57.5,59.2,57.1,57.5,597695
2024-01-15,57.5,57.7,56.3,57.4,263802
2024-01-16,57.5,58.4,55.9,56.3,473030
2024-01-17,56.4,56.9,55.3,55.4,338987
2024-01-18,54.1,55.7,53.9,54.1,359746
2024-01-21,52.1,54.9,52.1,54.5,212083
2024-01-22,55.0,55.7,54.5,54.8,336734
2024-01-23,55.7,55.8,54.6,54.8,280064
2024-01-24,54.6,55.1,53.0,53.2,144664
2024-01-25,53.0,53.6,52.8,53.0,136753
2024-01-28,53.0,53.8,52.3,52.7,109942
2024-01-29,51.8,52.8,50.7,51.2,98460
2024-01-30,50.5,51.9,50.4,51.5,81413
2024-01-31,51.6,52.3,50.6,51.8,143681
2024-02-01,51.3,52.9,51.3,52.4,66715
2024-02-04,51.6,54.3,51.6,53.7,306188
2024-02-05,53.8,55.9,53.2,54.7,426917
2024-02-06,54.2,54.9,53.5,53.7,224716
2024-02-07,54.4,55.0,53.2,54.0,220592
2024-02-08,54.0,54.8,53.9,54.0,361343
2024-02-11,54.1,54.6,53.0,53.3,176974
2024-02-12,53.3,54.0,52.7,53.1,116461
2024-02-13,53.1,53.7,52.4,52.5,119838
2024-02-14,52.1,53.4,52.1,52.9,107540
2024-02-15,52.3,53.0,52.3,52.5,83496
2024-02-18,50.2,53.5,50.2,52.0,72236
2024-02-19,52.1,53.0,51.1,51.3,114714
2024-02-20,52.0,52.0,50.9,51.1,44768
2024-02-22,51.1,51.7,50.6,50.9,34358
2024-02-25,50.9,51.5,50.3,50.7,18241
2024-02-27,51.5,52.0,51.1,51.6,37661
2024-02-28,51.4,51.9,50.9,51.0,70554
2024-02-29,50.6,51.8,50.6,51.0,31598
2024-03-03,51.4,51.4,50.4,50.9,31607
2024-03-04,50.1,51.2,50.1,50.8,33184
2024-03-05,51.2,51.4,47.0,49.2,52968
2024-03-06,50.0,50.0,48.8,49.3,59287
2024-03-07,48.9,49.9,48.9,49.6,53599
2024-03-10,49.2,49.9,49.0,49.1,19157
2024-03-11,49.1,49.4,48.5,48.8,36812
2024-03-12,48.2,49.4,46.5,47.0,33380
2024-03-13,46.9,48.0,46.1,47.1,23795
2024-03-14,49.0,49.0,47.0,47.0,28691
2024-03-18,47.0,47.0,45.0,45.2,24417
2024-03-19,44.0,45.0,43.7,44.7,17410
2024-03-20,44.0,47.4,44.0,45.8,15642
2024-03-21,45.8,48.2,45.6,47.8,20013
2024-03-24,48.0,49.3,46.1,47.0,18550
2024-03-25,46.0,46.8,45.1,46.1,9527
2024-03-27,45.2,49.8,45.2,45.9,46231
2024-03-28,46.0,46.7,45.4,46.3,12012
2024-03-31,46.0,46.6,45.6,45.8,9998
2024-04-01,46.1,47.0,44.0,45.2,10212
2024-04-02,44.2,47.0,43.6,45.2,59126
2024-04-03,45.2,46.5,45.2,46.0,7691
2024-04-04,46.8,47.7,45.8,46.9,13528
2024-04-08,47.1,47.6,46.3,47.3,7629
2024-04-09,47.4,48.5,46.5,48.1,14715
2024-04-15,47.7,48.7,46.3,47.0,4443
2024-04-16,47.0,49.7,46.3,47.0,7199
2024-04-17,46.7,48.5,46.7,47.6,5118
2024-04-18,46.2,47.1,45.2,46.1,18453
2024-04-21,45.6,46.5,44.0,45.6,13115
2024-04-22,45.8,45.9,44.3,44.9,26946
2024-04-23,45.0,45.0,43.9,44.2,12775
2024-04-24,43.8,43.9,43.5,43.6,7694
2024-04-25,43.7,43.7,42.3,42.3,9784
2024-04-28,42.3,42.6,41.1,42.5,28416
2024-04-29,41.7,43.6,41.7,42.1,6930
2024-04-30,42.8,45.0,42.0,42.4,17393
2024-05-02,42.5,44.4,42.0,43.4,39708
2024-05-05,42.9,47.0,42.9,46.2,52473
2024-05-06,46.2,47.0,45.8,46.1,38738
2024-05-07,45.4,46.0,45.1,45.1,53628
2024-05-08,44.5,45.0,43.8,43.8,53028
2024-05-09,44.0,45.8,43.0,44.0,45036
2024-05-12,43.8,48.4,43.2,48.4,166372
2024-05-13,48.0,50.0,47.0,47.6,109893
2024-05-14,46.6,48.0,46.2,46.3,106018
2024-05-15,45.7,47.5,45.0,46.9,41843
2024-05-16,47.8,47.9,45.5,45.8,49303
2024-05-19,45.5,45.5,44.5,44.9,35541
2024-05-20,43.7,44.6,43.6,43.9,52101
2024-05-21,43.0,45.0,42.6,42.8,39558
2024-05-23,42.2,42.2,41.6,41.6,41249
2024-05-26,41.4,41.4,40.4,40.4,21957
2024-05-27,39.2,42.8,39.2,40.1,53125
2024-05-28,43.7,43.7,38.9,39.1,32350
2024-05-29,38.9,43.0,38.2,41.0,23250
2024-05-30,41.0,45.1,40.0,42.5,43327
2024-06-02,42.0,46.7,41.4,45.8,166161
2024-06-03,45.1,49.9,45.1,49.0,397424
2024-06-04,48.1,52.7,47.6,51.4,437004
2024-06-05,52.0,54.1,50.2,51.2,761211
2024-06-06,50.8,51.0,49.7,49.7,290730
2024-06-09,48.4,48.4,48.3,48.3,32487
2024-06-10,46.9,46.9,46.9,46.9,10742
2024-06-11,45.5,45.5,45.5,45.5,60661
2024-06-12,44.2,49.7,44.2,45.1,177295
2024-06-13,45.1,47.6,44.0,47.1,91422
2024-06-19,47.0,48.8,45.7,46.1,77277
2024-06-20,46.1,46.8,44.8,45.3,99324
2024-06-23,45.3,46.0,44.0,44.0,185604
2024-06-24,44.0,44.0,42.7,42.9,71788
2024-06-25,42.9,45.9,42.6,45.4,114902
2024-06-26,45.9,47.8,44.8,46.7,201275
2024-06-27,48.3,48.9,46.3,47.3,125756
2024-06-30,47.3,47.3,45.9,45.9,53846
2024-07-02,46.3,46.3,44.9,45.1,41037
2024-07-03,45.1,45.9,43.8,44.0,272285
2024-07-04,45.5,45.8,44.0,45.5,103628
2024-07-07,45.4,46.0,45.1,45.8,163470
2024-07-08,45.8,47.3,45.8,47.1,187866
