Date,Open,High,Low,Close,Volume
2012-10-01,88.5,89.7,86.8,87.1,2673000
2012-10-02,90.0,94.4,88.9,92.7,4558000
2012-10-03,92.8,95.2,91.9,93.0,5756500
2012-10-04,93.1,95.5,90.5,90.9,3752500
2012-10-07,91.9,92.2,88.5,88.7,2754000
2012-10-08,89.0,90.4,85.9,86.7,2842000
2012-10-09,89.8,90.4,87.3,87.8,2338000
2012-10-10,89.8,90.8,86.6,87.2,2394500
2012-10-11,79.9,88.1,79.9,86.4,1955500
2012-10-14,87.9,90.1,85.8,88.5,2720000
2012-10-15,90.0,91.0,86.9,87.2,2599500
2012-10-16,88.9,90.0,86.7,87.2,2109000
2012-10-17,87.6,87.9,86.0,86.3,1758000
2012-10-18,87.7,87.7,84.8,85.5,1932500
2012-10-21,87.2,87.5,85.1,85.1,1522000
2012-10-22,84.8,87.2,84.8,86.6,992000
2012-10-23,86.8,87.3,85.8,86.1,772500
2012-10-30,86.2,87.0,85.0,85.8,1094500
2012-10-31,87.0,88.0,85.7,87.0,1905500
2012-11-01,87.9,88.4,86.7,87.0,1465000
2012-11-04,87.0,87.5,85.0,85.1,630500
2012-11-05,85.0,86.2,84.5,85.1,881000
2012-11-06,86.0,86.7,84.8,85.1,796500
2012-11-07,85.8,86.1,84.7,84.9,972500
2012-11-08,85.1,85.5,84.4,84.7,901000
2012-11-11,85.0,85.0,81.0,81.6,1249000
2012-11-12,82.0,82.7,78.0,79.3,738000
2012-11-13,79.8,82.7,77.5,82.1,1123500
2012-11-14,82.5,83.4,81.5,82.2,1486500
2012-11-15,76.1,81.9,76.1,78.8,1908500
2012-11-18,79.0,80.4,78.5,78.9,1185000
2012-11-19,78.9,79.0,76.0,76.3,730500
2012-11-20,76.2,77.2,75.0,75.1,1688000
2012-11-21,75.5,76.2,72.8,73.2,1570500
2012-11-22,73.5,73.7,72.5,72.8,1542000
2012-11-26,71.1,72.7,70.0,70.6,1168000
2012-11-28,65.1,66.8,61.8,62.8,1697500
2012-11-29,65.0,67.2,63.4,66.8,1173500
2012-12-02,67.0,67.7,64.4,64.7,1093000
2012-12-03,64.2,65.1,63.5,63.7,745000
2012-12-04,63.7,64.6,63.6,64.2,423000
2012-12-05,64.0,65.3,63.5,63.8,1516500
2012-12-06,64.8,64.8,63.0,63.9,1156500
2012-12-09,64.0,64.0,62.8,63.5,558500
2012-12-10,63.3,64.1,63.0,63.7,715500
2012-12-11,63.1,65.5,63.1,64.4,452000
2012-12-12,64.2,65.5,64.0,64.2,485500
2012-12-13,63.9,65.0,63.9,64.7,328000
2012-12-17,64.5,66.6,64.5,66.4,898000
2012-12-18,66.6,66.6,65.7,66.1,594500
2012-12-19,66.2,67.2,66.0,66.5,479500
2012-12-20,67.0,68.0,66.5,66.6,518000
2012-12-23,67.8,67.8,65.1,65.5,262500
2012-12-24,65.5,65.5,64.0,64.1,404000
2012-12-26,64.0,64.7,63.9,64.0,388500
2012-12-27,65.4,65.4,64.1,64.7,356500
2012-12-30,65.4,65.8,64.5,65.3,962500
2013-01-01,66.0,66.5,64.7,64.9,351000
2013-01-02,64.6,65.0,64.0,64.1,302000
2013-01-03,63.8,64.6,63.8,64.1,354000
2013-01-06,65.0,65.1,64.4,64.6,215500
2013-01-07,64.8,64.8,63.7,63.8,323500
2013-01-08,64.0,64.4,63.5,63.6,197000
2013-01-09,63.9,64.0,63.4,63.6,204000
2013-01-10,64.8,64.8,63.6,63.7,289500
2013-01-13,63.9,64.0,63.8,63.9,220000
2013-01-14,63.8,64.2,63.8,64.0,241500
2013-01-15,64.0,64.3,63.8,64.0,231500
2013-01-16,64.0,64.7,63.8,64.4,281000
2013-01-17,64.4,66.7,64.4,66.4,828500
2013-01-20,66.5,66.7,65.1,65.2,300000
2013-01-21,65.0,65.4,64.8,64.9,519000
2013-01-22,65.0,65.8,64.8,65.2,239500
2013-01-23,65.7,66.1,65.4,65.7,287000
2013-01-24,65.4,66.5,65.4,65.9,435000
2013-01-27,65.8,66.3,65.3,65.4,409000
2013-01-28,65.2,67.1,65.1,66.9,634000
2013-01-29,67.0,67.5,66.5,66.7,551000
2013-01-30,67.0,67.4,66.3,66.4,446500
2013-01-31,66.3,66.7,65.7,65.8,412000
2013-02-03,64.6,67.3,64.6,65.9,531000
2013-02-04,66.7,67.2,66.2,66.6,752000
2013-02-05,66.4,69.5,66.2,68.6,869500
2013-02-06,69.2,71.5,68.6,70.8,951500
2013-02-07,71.5,73.0,70.9,72.0,1124000
2013-02-10,73.1,74.5,72.2,72.4,1068500
2013-02-11,72.0,73.2,71.2,71.6,989000
2013-02-12,72.1,72.2,71.0,71.0,902000
2013-02-13,71.0,72.3,70.6,71.8,1021500
2013-02-14,72.3,73.6,72.3,72.8,809000
2013-02-17,73.3,73.3,71.0,71.5,678000
2013-02-18,72.0,72.0,71.3,71.6,818000
2013-02-19,71.4,72.0,71.0,71.3,1084500
2013-02-20,71.1,71.4,69.9,70.7,1267000
2013-02-24,69.7,70.8,68.2,69.3,597000
2013-02-25,69.5,69.9,66.5,67.0,413000
