Date,Open,High,Low,Close,Volume
2012-10-01,550.0,550.0,531.5,545.8,1000
2012-10-02,545.0,545.0,530.0,531.3,1250
2012-10-03,535.5,546.9,530.0,534.6,600
2012-10-04,531.0,532.0,531.0,531.4,450
2012-10-07,531.0,531.5,531.0,531.2,1100
2012-10-08,520.0,520.0,520.0,520.0,100
2012-10-09,512.0,515.0,512.0,512.5,550
2012-10-10,510.5,510.5,510.5,510.5,50
2012-10-15,512.0,515.0,512.0,514.5,300
2012-10-16,511.0,515.0,511.0,513.6,150
2012-10-17,505.0,505.0,505.0,505.0,50
2012-10-18,516.0,516.0,500.0,510.0,600
2012-10-21,502.0,502.0,502.0,502.0,100
2012-10-22,501.0,515.0,499.9,502.9,500
2012-10-23,503.0,503.0,503.0,503.0,1500
2012-11-04,505.0,505.0,495.0,501.6,150
2012-11-06,510.0,510.0,510.0,510.0,100
2012-11-07,501.0,501.0,501.0,501.0,100
2012-11-08,525.0,536.0,515.0,526.8,5650
2012-11-11,520.0,520.0,515.0,517.5,100
2012-11-12,540.0,540.0,519.0,519.3,4550
2012-11-13,520.0,549.0,520.0,548.0,5150
2012-11-14,548.1,589.1,548.1,584.3,6250
2012-11-15,605.0,628.1,605.0,628.1,30100
2012-11-18,615.0,640.0,611.0,622.8,3400
2012-11-19,614.9,615.0,583.2,584.7,1700
2012-11-20,550.0,574.1,550.0,560.0,1650
2012-11-21,565.0,570.1,561.0,563.2,1200
2012-11-22,552.2,553.0,552.0,552.5,200
2012-11-26,541.5,541.5,541.2,541.2,400
2012-11-27,540.0,546.0,540.0,543.5,500
2012-11-28,541.0,541.0,539.0,540.0,750
2012-11-29,555.0,564.0,555.0,558.8,350
2012-12-02,555.0,555.0,548.1,552.5,300
2012-12-03,545.0,545.0,524.0,536.6,700
2012-12-05,521.0,521.0,512.0,518.2,200
2012-12-06,514.1,525.0,510.0,512.1,1550
2012-12-09,495.4,515.0,495.4,507.9,300
2012-12-10,500.3,502.0,492.0,497.9,1200
2012-12-11,527.9,535.0,527.9,534.6,2900
2012-12-12,540.0,540.0,511.7,521.6,300
2012-12-13,509.3,509.3,509.3,509.3,50
2012-12-17,535.0,535.0,525.0,529.9,450
2012-12-18,509.0,527.9,508.7,518.8,750
2012-12-23,480.0,520.0,480.0,504.3,300
2012-12-24,519.0,519.0,512.0,513.7,700
2012-12-26,515.0,525.0,515.0,519.3,550
2012-12-27,539.0,558.2,537.0,558.0,3100
2012-12-30,570.0,570.0,570.0,570.0,100
2013-01-01,550.0,550.0,532.0,537.3,250
2013-01-02,533.0,558.0,533.0,545.7,600
2013-01-03,535.0,535.0,530.0,533.4,1100
2013-01-06,532.5,532.5,532.0,532.1,350
