Date,Open,High,Low,Close,Volume
2022-01-26,11.0,11.0,11.0,11.0,40265
2022-01-27,12.1,12.1,12.1,12.1,108537
2022-01-30,13.3,13.3,13.3,13.3,3918716
2022-01-31,14.6,14.6,13.0,13.2,65931798
2022-02-01,13.2,13.3,12.8,13.1,17690397
2022-02-02,13.0,13.1,12.7,12.8,19290223
2022-02-03,12.8,14.0,12.6,14.0,30513155
2022-02-06,14.3,14.5,13.7,13.8,21990501
2022-02-07,13.6,13.7,13.2,13.2,12002999
2022-02-08,13.2,13.9,13.1,13.5,11632734
2022-02-09,13.5,13.7,13.4,13.5,8361726
2022-02-10,13.5,13.6,13.3,13.3,9135279
2022-02-13,13.4,13.9,13.3,13.7,13319448
2022-02-14,13.8,14.0,13.6,13.7,16926351
2022-02-15,13.6,13.7,13.3,13.4,7803656
2022-02-16,13.5,13.5,13.2,13.2,6559286
2022-02-17,13.2,13.3,13.0,13.1,8509623
2022-02-20,13.1,13.1,12.8,12.9,8025176
2022-02-22,12.9,13.0,12.8,12.8,5474847
2022-02-23,12.9,13.3,12.8,12.9,6647440
2022-02-24,13.0,13.0,12.6,12.7,8017407
2022-02-27,12.7,12.7,12.0,12.1,13927103
2022-02-28,12.2,12.4,12.1,12.2,6288565
2022-03-01,12.3,12.6,12.1,12.2,10418347
2022-03-02,12.3,12.3,12.0,12.1,6266192
2022-03-03,12.0,12.3,11.9,12.1,7797354
2022-03-06,12.2,12.2,12.0,12.0,3235718
2022-03-07,12.1,12.2,11.8,11.8,8779384
2022-03-08,11.9,12.1,11.6,12.0,5753700
2022-03-09,12.1,12.3,11.9,12.2,7414495
2022-03-10,12.3,13.3,12.3,12.9,18045608
2022-03-13,13.0,13.0,12.7,12.8,7715936
2022-03-14,12.8,12.8,12.6,12.6,9918668
2022-03-15,12.6,12.6,12.4,12.5,5621227
2022-03-16,12.6,12.7,12.5,12.6,5489234
2022-03-20,12.7,12.7,12.4,12.4,3845456
2022-03-21,12.4,12.4,12.2,12.2,3496719
2022-03-22,12.3,12.5,12.3,12.4,2712189
2022-03-23,12.4,12.5,12.3,12.3,3429908
2022-03-24,12.3,12.4,12.2,12.3,3188894
2022-03-27,12.3,12.4,12.1,12.2,2937138
2022-03-28,12.3,12.3,12.1,12.1,2099170
2022-03-29,12.3,12.3,12.1,12.1,2816660
2022-03-30,12.1,12.2,12.0,12.1,2032392
2022-03-31,12.2,12.2,12.0,12.0,3126212
2022-04-03,12.0,12.2,12.0,12.0,2084914
2022-04-04,12.0,12.1,11.9,11.9,2404131
2022-04-05,11.9,12.0,11.8,11.8,2006504
2022-04-06,11.8,11.9,11.7,11.8,1804372
2022-04-07,11.8,12.0,11.7,11.9,2260358
2022-04-10,11.9,12.0,11.8,11.8,1745499
2022-04-11,11.8,11.9,11.7,11.7,1509672
2022-04-12,11.7,11.8,11.6,11.6,1579542
2022-04-13,11.6,11.7,11.5,11.6,1941737
2022-04-17,11.7,11.7,11.6,11.6,1367864
2022-04-18,11.6,11.6,11.4,11.4,2876174
2022-04-19,11.4,11.5,11.2,11.5,2938795
2022-04-20,11.5,11.9,11.5,11.9,3100874
2022-04-21,11.9,12.1,11.7,12.0,4188830
2022-04-24,12.1,12.6,12.0,12.3,6472301
2022-04-25,12.3,12.4,12.0,12.1,4315163
2022-04-26,12.1,12.2,11.9,12.0,3008970
2022-04-27,12.0,12.1,11.9,12.1,2921810
2022-04-28,12.1,12.1,11.7,11.8,4628055
2022-05-05,12.0,12.1,11.7,11.9,3379421
2022-05-08,11.9,12.0,11.6,11.7,6763806
2022-05-09,11.7,11.8,11.7,11.8,4055618
2022-05-10,11.8,11.9,11.7,11.7,4935704
2022-05-11,11.7,11.8,11.6,11.6,4445081
2022-05-12,11.6,11.6,11.4,11.4,4576122
2022-05-16,11.4,11.5,11.1,11.2,6999604
2022-05-17,11.3,11.3,11.0,11.2,5109638
2022-05-18,11.3,11.3,10.9,11.0,4167037
2022-05-19,11.0,11.0,10.8,11.0,3260954
2022-05-22,10.8,11.0,10.7,10.8,4459396
2022-05-23,11.0,11.1,10.8,11.0,2994539
2022-05-24,11.0,11.1,10.9,10.9,3983867
2022-05-25,10.9,11.0,10.8,10.9,3187939
2022-05-26,10.9,11.0,10.8,10.9,4741906
2022-05-29,11.0,11.3,11.0,11.2,5891429
2022-05-31,11.0,11.0,11.0,11.0,688470
2022-06-01,10.8,11.0,10.8,10.9,7746766
2022-06-02,10.9,11.0,10.8,10.9,2500910
2022-06-05,10.9,10.9,10.7,10.7,3715863
2022-06-06,10.8,11.2,10.7,11.0,6885189
