Date,Open,High,Low,Close,Volume
2022-01-16,11.0,11.0,11.0,11.0,769
2022-01-17,12.1,12.1,12.1,12.1,618
2022-01-18,13.3,13.3,13.3,13.3,381
2022-01-19,14.6,14.6,14.6,14.6,711
2022-01-20,16.0,16.0,16.0,16.0,527
2022-01-23,17.6,17.6,17.6,17.6,843
2022-01-24,19.3,19.3,19.3,19.3,497
2022-01-25,21.2,21.2,21.2,21.2,660
2022-01-26,23.3,23.3,23.3,23.3,620
2022-01-27,25.6,25.6,25.6,25.6,1199
2022-01-30,28.1,28.1,28.1,28.1,2721
2022-01-31,30.9,30.9,30.9,30.9,7968
2022-02-01,33.9,33.9,33.9,33.9,7916
2022-02-02,37.2,37.2,37.2,37.2,3497
2022-02-03,40.9,40.9,40.9,40.9,27013
2022-02-06,44.9,44.9,44.9,44.9,19354
2022-02-07,49.3,49.3,49.3,49.3,20284
2022-02-08,54.2,54.2,54.2,54.2,49537
2022-02-09,59.6,59.6,59.6,59.6,370972
2022-02-10,65.5,65.5,65.5,65.5,1327156
2022-02-13,65.4,68.0,61.0,64.0,4177506
2022-02-14,62.4,63.9,60.4,60.7,1422619
2022-02-15,60.1,60.1,58.1,58.5,1367718
2022-02-16,58.0,58.8,54.5,54.7,1612533
2022-02-17,54.2,56.3,53.9,54.7,750605
2022-02-20,55.1,55.5,51.7,52.0,777180
2022-02-22,52.1,54.8,52.1,53.8,895765
2022-02-23,53.7,54.4,52.8,53.5,643273
2022-02-24,53.5,53.6,49.5,50.3,733088
2022-02-27,50.3,50.4,45.4,45.7,990876
2022-02-28,45.5,47.5,45.5,46.2,525547
2022-03-01,46.6,48.9,46.2,46.5,1116078
2022-03-02,46.9,47.4,45.4,46.2,616457
2022-03-03,45.9,48.2,45.8,46.9,891670
2022-03-06,47.6,47.8,46.1,46.4,514348
2022-03-07,46.6,47.1,44.5,44.7,759284
2022-03-08,44.9,45.6,43.5,44.5,803241
2022-03-09,45.1,47.0,45.1,46.7,782032
2022-03-10,47.0,48.5,46.8,47.1,874297
2022-03-13,47.8,47.8,46.2,46.6,610515
2022-03-14,46.6,47.9,46.4,46.6,714232
2022-03-15,46.6,46.9,45.9,46.0,622043
2022-03-16,46.1,46.2,45.1,45.3,309232
2022-03-20,45.1,45.4,44.4,44.4,240572
2022-03-21,44.1,44.6,43.6,43.7,402096
2022-03-22,43.7,44.4,43.1,43.5,364576
2022-03-23,43.7,44.3,43.2,43.3,287319
2022-03-24,43.4,44.0,43.1,43.2,270537
2022-03-27,43.2,43.5,42.5,42.7,247505
2022-03-28,43.2,44.1,42.9,43.1,262094
2022-03-29,43.2,43.5,42.8,43.1,214671
2022-03-30,43.4,45.4,43.3,44.0,741897
2022-03-31,44.2,44.8,43.5,43.6,344484
2022-04-03,43.6,43.7,42.8,42.9,215266
2022-04-04,42.7,43.1,42.1,42.1,220284
2022-04-05,42.1,42.1,41.3,41.3,191873
2022-04-06,40.8,41.7,40.5,40.5,235295
2022-04-07,40.2,40.7,39.9,40.3,145226
2022-04-10,40.4,40.9,40.0,40.4,144878
2022-04-11,40.8,41.2,40.1,40.2,141850
2022-04-12,40.3,40.3,39.4,39.4,167575
2022-04-13,39.3,39.5,38.7,39.1,253188
2022-04-17,38.8,39.4,38.8,39.3,127424
2022-04-18,38.9,39.2,38.6,38.6,78893
2022-04-19,38.4,39.0,37.9,38.7,196641
2022-04-20,39.4,39.4,38.4,38.9,119709
2022-04-21,38.9,41.1,38.5,40.6,458181
2022-04-24,40.6,44.6,40.6,44.6,1513167
2022-04-25,44.8,46.9,44.0,44.8,1369587
2022-04-26,44.7,45.6,44.2,44.9,800205
2022-04-27,44.9,44.9,42.7,42.8,783170
2022-04-28,43.0,43.0,40.7,40.9,463045
2022-05-05,40.9,41.5,39.6,40.2,133809
2022-05-08,40.8,41.8,40.0,40.4,374488
2022-05-09,40.7,41.4,40.6,40.9,298810
2022-05-10,41.4,43.9,41.0,42.4,650597
2022-05-11,42.1,42.6,40.3,40.6,276656
2022-05-12,40.6,41.0,40.2,40.4,257462
2022-05-16,40.0,40.4,38.4,38.4,425874
2022-05-17,38.5,39.0,36.8,37.4,313386
2022-05-18,37.5,38.5,35.7,36.5,294549
2022-05-19,36.5,36.6,35.0,35.3,200655
2022-05-22,35.0,35.4,33.6,33.8,209686
2022-05-23,34.5,36.2,34.4,35.2,195168
2022-05-24,35.0,36.4,34.3,35.0,242384
2022-05-25,34.7,35.1,33.7,34.1,179726
2022-05-26,34.9,35.4,33.7,34.9,97567
2022-05-29,36.9,36.9,35.2,36.4,180277
2022-05-30,36.2,36.8,35.9,36.1,288953
2022-05-31,36.4,38.3,35.8,37.2,435636
2022-06-01,36.5,37.4,36.5,37.3,121412
2022-06-02,37.0,37.6,36.7,37.1,200166
2022-06-05,36.9,38.9,36.9,38.4,284883
2022-06-06,38.4,42.0,38.4,41.0,1034328
2022-06-07,41.4,42.9,40.6,42.5,993897
2022-06-08,43.0,43.0,41.7,41.7,617372
2022-06-09,38.0,39.8,37.9,38.6,929801
2022-06-12,37.9,38.9,37.9,37.9,190570
2022-06-13,37.7,37.7,37.2,37.2,316596
2022-06-14,38.8,38.8,36.5,36.9,318665
2022-06-15,37.5,38.5,36.5,37.2,433613
2022-06-16,37.2,38.0,37.0,37.3,245641
2022-06-19,37.2,37.5,36.6,36.6,214654
2022-06-20,36.6,36.6,35.9,35.9,96276
2022-06-21,35.4,36.3,35.2,35.6,121733
2022-06-22,35.6,36.3,35.4,35.5,146337
2022-06-23,35.5,36.6,35.5,36.3,237477
2022-06-26,36.6,36.7,35.6,35.6,285886
2022-06-27,35.2,37.3,35.2,37.2,509516
2022-06-28,37.2,39.1,36.6,38.8,587125
2022-06-29,38.1,38.5,38.1,38.1,191519
2022-06-30,37.5,38.1,37.4,37.4,157926
2022-07-03,37.0,38.0,36.8,37.7,159084
2022-07-04,37.2,37.5,37.0,37.0,174726
2022-07-05,36.3,38.5,36.3,37.4,509298
2022-07-06,37.4,38.0,36.7,37.0,280223
2022-07-07,37.3,37.7,36.6,37.1,136862
2022-07-12,36.7,37.1,36.5,36.6,163313
2022-07-13,36.6,37.1,36.4,36.9,320231
2022-07-14,36.5,36.7,36.2,36.3,206977
2022-07-17,36.1,36.1,35.6,35.6,140260
2022-07-18,35.6,35.6,34.9,34.9,63489
2022-07-19,34.8,34.8,34.3,34.3,60081
2022-07-21,33.9,34.5,33.7,33.7,78932
2022-07-24,33.1,33.7,33.1,33.1,48155
2022-07-25,32.5,33.0,32.5,32.8,87614
2022-07-26,33.0,35.2,33.0,33.5,152007
2022-07-27,33.1,33.5,32.9,32.9,47114
2022-07-28,32.3,32.3,32.3,32.3,24291
2022-07-31,32.9,36.1,32.9,36.1,904770
2022-08-01,36.6,37.8,35.5,36.0,444767
2022-08-02,35.5,37.0,35.3,36.7,412597
2022-08-03,36.7,37.8,36.5,36.7,735752
2022-08-04,35.7,36.5,35.2,35.4,155402
2022-08-07,35.0,35.4,34.0,34.3,232902
2022-08-08,33.7,35.0,33.7,34.2,170777
2022-08-10,34.0,34.5,33.2,33.4,155227
