Date,Open,High,Low,Close,Volume
2012-10-01,36.1,38.2,36.0,37.1,143800
2012-10-02,40.0,40.0,38.2,38.5,238400
2012-10-03,40.9,40.9,36.5,37.2,220000
2012-10-04,37.2,38.4,37.0,37.1,119800
2012-10-07,37.5,38.8,35.4,35.7,121400
2012-10-08,36.7,36.8,34.2,34.7,240400
2012-10-09,35.5,36.5,35.3,35.5,184200
2012-10-10,35.5,35.5,34.5,34.6,109200
2012-10-11,34.4,35.0,33.6,34.0,140400
2012-10-14,34.2,34.9,33.1,33.3,84800
2012-10-15,33.6,34.5,33.6,34.3,67600
2012-10-16,34.1,35.7,34.0,34.5,146200
2012-10-17,34.5,34.9,34.0,34.1,43800
2012-10-18,34.0,34.8,34.0,34.4,51000
2012-10-21,35.0,35.0,33.6,34.0,70400
2012-10-22,34.0,34.9,34.0,34.3,40000
2012-10-23,34.9,35.4,34.6,34.9,49200
2012-10-30,34.3,35.9,34.3,35.3,103400
2012-10-31,35.2,35.3,34.1,34.3,50800
2012-11-01,34.5,34.7,33.9,34.1,79800
2012-11-04,34.6,34.6,33.1,33.5,57000
2012-11-05,33.5,34.0,32.5,33.0,90600
2012-11-06,33.5,33.8,33.0,33.1,44200
2012-11-07,32.9,33.9,32.9,33.1,73000
2012-11-08,32.4,33.1,32.4,32.6,56600
2012-11-11,32.1,32.4,31.2,31.5,45200
2012-11-12,31.5,32.8,31.1,31.4,29800
2012-11-13,31.5,33.0,31.5,32.6,61000
2012-11-14,32.9,33.1,32.0,32.3,29000
2012-11-15,32.2,33.3,32.1,33.0,81000
2012-11-18,32.9,33.5,32.5,32.8,55600
2012-11-19,32.2,33.0,31.9,31.9,80400
2012-11-20,31.4,32.0,31.4,31.4,28200
2012-11-21,31.8,31.8,31.1,31.3,23600
2012-11-22,31.8,31.8,31.2,31.3,21400
2012-11-26,31.3,31.6,30.0,30.4,68000
2012-11-27,30.0,31.3,30.0,30.5,60400
2012-11-28,31.6,32.0,30.7,30.9,82800
2012-11-29,31.5,33.4,31.5,33.0,128400
2012-12-02,34.9,34.9,32.2,32.6,78600
2012-12-03,32.9,32.9,31.3,31.5,31800
2012-12-04,31.9,32.4,31.2,31.5,35800
2012-12-05,31.8,31.9,31.3,31.7,102400
2012-12-06,31.0,31.6,30.5,30.8,117400
2012-12-09,30.2,30.7,29.8,30.2,36600
2012-12-10,30.9,30.9,29.5,29.8,74200
2012-12-11,29.8,30.7,29.5,29.9,49600
2012-12-12,30.7,31.5,30.0,30.2,66800
2012-12-13,30.0,32.0,30.0,31.6,179600
2012-12-17,32.5,33.2,32.5,32.9,145400
2012-12-18,33.0,33.0,31.7,31.8,66600
2012-12-19,32.1,32.8,32.0,32.1,117400
2012-12-20,32.8,32.8,31.6,31.8,73200
2012-12-23,32.2,32.2,31.0,31.2,60400
2012-12-24,30.7,32.3,30.7,31.5,113400
2012-12-26,32.7,32.8,31.6,31.9,73000
2012-12-27,32.0,32.2,31.3,31.4,72200
2012-12-30,31.8,31.8,31.0,31.2,109800
2013-01-01,31.7,31.8,31.5,31.6,42800
2013-01-02,31.6,31.6,31.1,31.2,31600
2013-01-03,31.1,31.5,31.0,31.2,39600
2013-01-06,31.4,31.9,31.0,31.0,31200
2013-01-07,31.0,31.4,30.7,30.9,31000
