Date,Open,High,Low,Close,Volume
2015-04-05,98.0,139.9,98.0,134.6,6983330
2015-04-06,140.0,151.8,125.6,128.1,2043970
2015-04-07,123.0,150.0,117.0,148.2,4446350
2015-04-08,152.0,159.0,148.0,153.6,2533610
2015-04-09,150.0,158.0,143.5,145.3,3046210
2015-04-12,144.0,159.8,144.0,159.8,2442840
2015-04-13,165.0,175.7,165.0,175.7,2785790
2015-04-15,182.0,193.2,178.0,190.9,2977330
2015-04-16,188.0,208.4,186.1,207.8,2650090
2015-04-19,213.8,225.0,190.2,199.3,2839380
2015-04-20,197.2,214.8,195.3,211.7,2954620
2015-04-21,224.9,228.7,216.0,225.8,2346340
2015-04-22,232.8,233.9,206.9,210.7,2818270
2015-04-23,215.0,221.0,196.0,198.2,2265760
2015-04-26,202.0,204.0,181.5,185.5,2335700
2015-04-27,186.5,195.0,170.0,173.4,1933270
2015-04-29,176.0,190.7,176.0,190.3,1648710
2015-04-30,197.0,205.0,178.7,182.3,2791580
2015-05-04,180.1,194.9,171.1,189.1,1916050
2015-05-05,190.0,194.5,183.0,185.0,1794430
2015-05-06,185.0,193.4,182.0,186.4,1533480
2015-05-07,189.0,203.9,188.0,198.7,2515100
2015-05-10,205.0,214.9,204.0,211.8,2436170
2015-05-11,209.9,215.0,201.0,203.5,2223950
2015-05-12,202.0,210.9,200.2,203.0,1851550
2015-05-13,204.0,209.9,198.0,203.1,1920960
2015-05-14,206.9,219.9,204.5,218.5,2573020
2015-05-17,222.0,226.5,215.5,219.4,2441570
2015-05-18,220.0,221.0,212.0,212.7,1364830
2015-05-19,213.4,224.9,213.4,220.6,1749970
2015-05-21,205.7,213.9,194.2,197.4,2626770
2015-05-24,195.1,198.8,185.0,188.8,829755
2015-05-25,194.8,195.0,184.9,185.8,1487950
2015-05-26,189.8,202.0,187.6,194.7,1495760
2015-05-27,199.0,201.8,190.3,191.7,1358550
2015-05-28,194.0,196.1,185.2,186.1,1379660
2015-05-31,189.8,192.7,182.1,183.4,1562560
2015-06-01,187.7,193.0,180.7,182.3,1168130
2015-06-02,186.0,186.0,173.0,174.2,791030
2015-06-04,175.2,178.8,170.0,173.9,683543
2015-06-07,179.9,183.0,163.8,168.4,864373
2015-06-08,170.8,170.8,153.7,155.5,1038400
2015-06-09,157.0,169.8,152.5,165.9,890727
2015-06-10,170.0,174.8,165.0,166.3,890640
2015-06-11,168.0,168.0,157.0,158.2,560694
2015-06-14,159.6,159.6,154.1,156.4,426224
2015-06-15,158.5,164.2,156.4,162.1,566798
2015-06-16,164.3,165.0,158.6,159.4,383238
2015-06-17,160.0,162.5,157.8,158.5,503946
2015-06-18,160.0,160.4,156.0,156.8,426982
2015-06-21,158.5,160.5,156.5,158.3,340892
2015-06-22,159.0,161.9,157.2,157.8,288380
2015-06-23,159.9,160.0,153.1,154.4,365689
2015-06-24,158.0,161.0,156.2,157.1,660121
2015-06-25,158.0,158.0,151.5,152.2,316503
2015-06-28,153.8,154.9,149.8,150.7,374157
2015-06-29,152.7,155.5,150.7,154.2,309389
2015-06-30,155.1,167.5,155.1,165.6,1037200
2015-07-02,166.0,167.9,160.5,165.8,1023970
2015-07-05,165.7,171.0,163.5,164.5,1050540
2015-07-06,164.5,164.9,156.0,158.0,668549
2015-07-07,158.5,161.8,157.0,159.0,548384
2015-07-08,160.0,162.0,156.6,157.3,385766
2015-07-09,158.0,158.8,155.0,155.8,434698
2015-07-12,156.5,157.8,151.9,153.1,604253
2015-07-13,155.4,159.1,154.0,156.6,440633
2015-07-14,157.0,164.0,157.0,161.9,976050
2015-07-21,163.9,169.9,163.7,167.9,734839
2015-07-22,169.4,172.0,160.7,163.1,1012460
2015-07-23,162.4,164.9,158.7,160.0,784602
2015-07-26,162.9,164.0,157.0,157.4,615072
2015-07-27,159.9,164.0,155.7,162.1,906380
2015-07-28,163.0,168.0,163.0,167.1,1371590
2015-07-29,167.0,169.0,163.1,165.7,690143
2015-07-30,165.7,166.8,163.5,165.0,809936
2015-08-02,166.9,166.9,160.0,160.3,868420
2015-08-03,160.3,163.0,157.0,158.1,941089
2015-08-04,158.5,165.1,156.5,163.8,1075240
2015-08-05,163.7,174.0,156.9,172.2,6417700
2015-08-06,172.5,179.5,170.0,172.1,2128980
2015-08-09,171.7,175.4,164.5,167.6,3331690
2015-08-10,166.8,169.3,162.6,163.4,1829440
2015-08-11,165.0,165.0,158.6,159.2,2342870
2015-08-12,162.8,167.0,159.5,165.5,1705680
2015-08-13,166.5,168.0,161.1,161.6,1421700
2015-08-16,162.7,162.7,159.2,159.8,1265450
2015-08-17,160.0,164.8,160.0,160.7,1104240
2015-08-18,163.0,163.0,158.6,159.5,796582
2015-08-19,160.0,161.6,157.1,157.7,983947
2015-08-20,159.9,159.9,156.6,157.5,779584
2015-08-23,158.9,159.7,156.5,157.1,634559
2015-08-24,157.7,159.0,154.5,155.3,608350
2015-08-25,156.2,156.4,152.9,153.7,684918
2015-08-26,155.0,155.1,152.1,152.7,604368
2015-08-27,154.4,154.5,152.4,152.9,530673
2015-08-30,154.0,156.4,153.4,154.1,604318
2015-08-31,156.9,157.5,152.1,152.3,373423
2015-09-01,154.5,154.5,149.6,150.1,505654
2015-09-02,151.9,152.3,149.8,150.2,509281
2015-09-03,150.3,151.5,147.0,147.3,612065
2015-09-06,147.6,149.4,145.1,145.4,491204
2015-09-07,145.2,151.7,145.1,150.8,729053
2015-09-08,151.3,153.0,148.1,148.4,548865
2015-09-09,147.2,148.8,145.3,145.6,494096
2015-09-10,146.1,147.4,143.8,144.8,376753
2015-09-13,146.8,147.3,143.0,144.5,364786
2015-09-14,145.9,146.0,143.2,143.8,278535
2015-09-15,144.0,145.3,142.6,142.9,360821
2015-09-16,144.2,147.7,143.4,144.4,608165
2015-09-17,146.8,153.4,146.5,152.5,1418870
2015-09-20,153.9,156.9,152.0,152.7,806901
2015-09-21,152.7,153.3,150.6,151.2,502490
2015-09-22,151.3,151.9,150.6,150.8,379276
2015-09-28,151.0,152.0,148.6,149.4,288360
2015-09-29,148.3,150.0,147.1,147.5,253725
2015-09-30,147.8,147.9,145.0,145.5,373879
2015-10-01,146.1,148.0,146.0,146.7,286152
2015-10-04,147.8,147.8,144.3,144.8,243822
2015-10-05,143.1,146.3,143.1,144.1,187542
2015-10-06,145.0,145.5,142.2,142.6,250717
2015-10-07,143.2,144.0,140.4,140.8,280259
