Date,Open,High,Low,Close,Volume
2012-10-01,94.6,97.0,94.0,94.5,8300
2012-10-02,97.3,97.3,95.2,96.4,2850
2012-10-03,94.7,95.2,94.7,95.0,1800
2012-10-04,95.0,95.8,93.3,93.4,4100
2012-10-07,92.0,95.0,92.0,93.4,2400
2012-10-08,92.5,94.9,92.5,92.6,1050
2012-10-09,95.9,95.9,94.0,94.4,400
2012-10-10,95.0,96.4,94.1,94.2,2950
2012-10-11,92.7,92.7,92.4,92.5,1450
2012-10-14,90.1,90.1,90.1,90.1,800
2012-10-15,91.0,96.7,91.0,94.4,450
2012-10-16,96.0,96.0,92.0,92.9,2350
2012-10-17,94.0,95.0,90.5,91.3,1850
2012-10-18,91.1,91.1,90.5,90.7,300
2012-10-21,91.1,91.1,91.1,91.1,950
2012-10-22,91.0,91.0,91.0,91.0,150
2012-10-23,93.9,93.9,91.3,93.0,1950
2012-10-30,98.0,98.0,95.0,96.2,8350
2012-10-31,97.8,102.0,97.0,101.3,9950
2012-11-01,100.0,101.4,97.0,98.7,1750
2012-11-04,99.0,100.0,98.5,98.7,1900
2012-11-05,98.0,102.0,98.0,101.6,13000
2012-11-06,100.0,102.0,98.0,100.3,7600
2012-11-07,98.5,101.5,98.5,99.1,2900
2012-11-08,102.0,108.0,101.8,103.4,20400
2012-11-11,108.9,108.9,99.0,101.2,3300
2012-11-12,98.3,102.0,98.3,99.4,1300
2012-11-13,98.4,101.0,98.0,99.0,8600
2012-11-14,98.1,100.9,98.1,99.5,5250
2012-11-15,101.0,103.0,100.0,102.6,11600
2012-11-18,103.0,103.0,100.6,101.7,4400
2012-11-19,101.0,101.0,96.6,97.9,9300
2012-11-20,98.1,100.6,98.1,99.0,3150
2012-11-21,102.0,102.0,99.4,100.5,4750
2012-11-22,98.4,101.0,98.0,100.0,5250
2012-11-27,80.0,81.0,77.0,77.8,3200
2012-11-28,77.9,78.0,76.5,76.8,2950
2012-11-29,76.5,81.0,76.5,78.7,2600
2012-12-02,77.6,77.6,75.5,77.1,350
2012-12-03,73.2,73.2,73.2,73.2,700
2012-12-05,73.6,77.3,73.5,74.4,2750
2012-12-06,75.0,76.0,74.1,74.9,3250
2012-12-09,75.0,75.0,72.5,74.0,400
2012-12-10,72.8,73.9,72.0,72.8,1300
2012-12-11,70.0,73.0,70.0,70.6,700
2012-12-12,71.5,72.1,71.2,71.4,800
2012-12-13,71.5,75.0,71.5,71.9,2300
2012-12-17,71.5,73.5,71.0,71.9,1000
2012-12-18,71.4,71.4,71.4,71.4,100
2012-12-19,73.0,73.0,70.3,70.7,2700
2012-12-20,72.3,72.3,71.2,71.6,1050
2012-12-23,68.1,71.2,68.0,69.5,850
2012-12-24,70.0,70.0,69.9,69.9,700
2012-12-26,70.0,71.5,69.0,69.7,650
2012-12-27,70.7,70.7,70.0,70.3,1250
2012-12-30,70.2,70.3,70.1,70.2,600
2013-01-01,71.0,71.0,70.2,70.5,1250
2013-01-02,71.5,71.5,70.6,70.9,300
2013-01-03,71.0,71.0,71.0,71.0,50
2013-01-06,70.4,71.0,70.4,70.6,300
2013-01-07,71.0,71.0,70.0,70.0,1150
2013-01-08,71.0,71.0,70.2,70.6,950
2013-01-09,70.1,70.1,70.0,70.0,2550
2013-01-13,70.5,71.0,70.2,70.6,1500
2013-01-14,70.0,70.0,69.0,69.1,1550
2013-01-15,70.0,70.0,70.0,70.0,150
2013-01-16,70.0,70.0,69.7,69.8,1000
2013-01-17,71.0,73.5,71.0,72.8,7950
2013-01-20,73.6,73.6,71.8,72.5,1450
2013-01-21,71.0,73.5,71.0,73.0,2600
2013-01-22,73.9,73.9,72.0,72.7,3550
2013-01-23,73.4,73.9,72.7,72.9,3350
2013-01-24,73.7,75.7,73.7,74.9,4750
2013-01-27,74.0,76.4,73.9,75.6,7300
2013-01-28,75.0,77.9,74.3,77.1,4400
2013-01-29,79.6,84.8,79.6,84.8,17900
2013-01-30,86.0,90.0,81.7,82.6,13650
2013-01-31,84.4,84.4,81.2,81.7,6700
2013-02-03,83.9,85.0,81.1,83.1,4650
2013-02-04,80.2,81.9,78.5,79.9,9550
2013-02-05,77.1,82.4,77.1,81.2,2800
2013-02-06,80.2,80.9,80.2,80.4,4500
2013-02-07,80.5,80.5,79.1,79.4,3200
2013-02-10,82.0,82.0,80.6,81.6,11950
2013-02-11,80.5,81.7,80.5,80.9,7800
2013-02-12,81.5,83.0,81.5,82.3,5800
2013-02-13,82.5,83.5,82.3,82.8,2450
2013-02-14,82.6,83.5,82.6,82.9,2650
2013-02-17,82.1,82.5,82.1,82.3,1200
2013-02-18,81.5,82.2,81.5,82.1,2800
2013-02-19,82.1,82.4,82.0,82.2,6250
2013-02-20,81.4,81.5,81.4,81.4,1750
2013-02-24,82.0,82.0,81.1,81.5,1450
2013-02-25,80.5,80.5,80.5,80.5,700
