Date,Open,High,Low,Close,Volume
2012-10-01,90.7,95.8,90.7,93.4,177900
2012-10-02,97.3,97.5,94.1,94.7,144500
2012-10-03,96.9,97.1,94.0,94.3,164600
2012-10-04,95.9,96.5,92.9,93.2,112500
2012-10-07,93.0,95.1,91.0,91.6,122600
2012-10-08,92.0,94.0,90.0,90.5,116350
2012-10-09,92.1,93.9,91.1,91.6,75500
2012-10-10,90.0,93.7,89.6,90.1,91450
2012-10-11,90.8,90.9,87.9,88.2,124600
2012-10-14,89.9,90.4,86.5,86.9,100800
2012-10-15,87.7,90.4,87.6,89.7,90500
2012-10-16,91.8,92.0,88.5,88.8,73300
2012-10-17,91.0,91.0,88.6,89.2,56950
2012-10-18,90.0,90.0,88.8,88.9,66750
2012-10-21,90.0,90.2,87.5,88.0,66750
2012-10-22,90.0,90.0,82.0,88.4,90200
2012-10-23,90.7,95.6,90.7,94.6,360200
2012-10-30,95.7,95.7,93.5,95.1,91650
2012-10-31,93.5,94.5,93.3,93.5,64650
2012-11-01,94.0,94.5,92.2,92.9,65150
2012-11-04,93.0,93.0,89.6,90.4,81300
2012-11-05,89.2,91.3,89.2,90.2,59100
2012-11-06,91.0,91.1,88.6,89.1,66050
2012-11-07,90.5,90.5,88.0,88.4,68650
2012-11-08,89.0,89.0,87.1,87.5,96850
2012-11-11,89.0,89.0,85.5,86.3,65950
2012-11-12,86.5,87.0,85.4,85.7,82150
2012-11-13,87.4,89.0,85.7,88.2,41400
2012-11-14,88.9,88.9,86.2,88.4,95000
2012-11-15,87.0,90.8,87.0,89.4,68850
2012-11-18,88.5,89.7,87.9,88.2,108950
2012-11-19,87.6,87.9,85.4,85.7,65900
2012-11-20,85.7,86.5,84.8,85.3,58850
2012-11-21,86.5,86.5,85.0,85.2,42600
2012-11-22,85.9,86.9,85.2,86.1,46800
2012-11-26,85.6,86.1,83.2,83.4,56700
2012-11-27,87.2,87.9,82.3,82.9,45750
2012-11-28,83.2,84.0,80.2,80.6,66800
2012-11-29,81.5,86.9,81.5,86.4,56350
2012-12-02,87.2,87.7,84.7,85.0,53950
2012-12-03,84.3,85.0,82.6,82.9,34150
2012-12-04,82.0,83.0,81.1,82.1,42450
2012-12-05,82.4,83.4,81.0,82.6,23900
2012-12-06,82.0,83.0,81.8,82.2,27850
2012-12-09,81.1,82.4,80.5,81.2,87450
2012-12-10,83.0,83.0,80.6,81.5,32900
2012-12-11,82.0,82.0,80.8,81.6,36400
2012-12-12,82.7,83.3,82.0,82.1,42400
2012-12-13,82.7,82.8,81.7,82.5,22550
2012-12-17,84.9,84.9,83.2,84.0,81800
2012-12-18,84.3,84.3,82.6,83.2,47350
2012-12-19,83.4,84.4,82.8,83.5,66550
2012-12-20,83.8,84.4,82.8,82.8,49150
2012-12-23,83.1,83.1,81.6,81.9,54700
2012-12-24,82.0,83.0,81.9,82.0,68500
2012-12-26,83.9,83.9,82.1,82.1,62000
2012-12-27,82.3,82.9,81.8,82.6,62300
2012-12-30,82.6,83.3,82.5,82.9,43950
2013-01-01,83.0,83.2,82.3,82.4,40950
2013-01-02,82.2,82.9,81.5,81.6,26000
2013-01-03,81.7,82.1,81.0,81.6,28800
2013-01-06,82.6,82.6,81.2,81.5,37700
2013-01-07,81.9,81.9,80.8,81.3,28950
2013-01-08,82.0,82.0,80.7,80.9,11700
2013-01-09,80.3,81.6,80.3,81.0,25500
2013-01-10,80.6,81.9,80.1,81.0,32900
2013-01-13,80.6,81.5,80.6,80.9,30050
2013-01-14,81.5,81.5,80.3,80.3,17750
2013-01-15,80.5,80.6,80.1,80.4,16300
2013-01-16,80.2,81.0,80.2,80.8,11800
2013-01-17,81.2,81.5,80.6,81.0,39150
2013-01-20,81.1,81.8,81.0,81.3,27750
