Date,Open,High,Low,Close,Volume
2018-09-09,35.0,39.0,29.5,30.7,7050144
2018-09-10,31.0,33.4,30.5,31.0,2037246
2018-09-11,31.0,31.8,27.9,28.1,3709911
2018-09-12,28.3,29.2,26.6,27.4,1921399
2018-09-13,27.5,28.4,26.5,26.7,1932523
2018-09-16,27.0,29.3,26.7,29.3,2594214
2018-09-17,29.6,30.6,26.8,27.2,2529120
2018-09-18,27.6,27.8,25.9,26.0,1394140
2018-09-19,26.5,27.6,25.8,27.0,1652079
2018-09-20,27.4,29.0,27.1,28.7,2048464
2018-09-23,28.8,28.8,26.1,26.6,1256185
2018-09-24,26.6,26.9,25.0,25.4,1145644
2018-09-25,25.9,26.6,25.4,26.2,987198
2018-09-26,26.3,28.6,26.2,28.0,1841829
2018-09-27,28.5,29.6,28.0,29.1,2108355
2018-09-30,29.8,31.6,29.5,31.0,1939792
2018-10-01,31.0,31.9,29.6,29.9,1939490
2018-10-02,30.2,32.8,29.8,32.8,4069196
2018-10-03,33.4,35.7,33.0,34.6,3797267
2018-10-04,34.8,37.6,33.9,36.7,4775884
2018-10-07,37.0,40.1,36.1,38.9,3697210
2018-10-08,38.9,39.7,37.8,38.3,2585523
2018-10-09,38.6,42.1,38.3,42.1,2398032
2018-10-10,43.5,46.0,42.5,45.0,2464392
2018-10-11,45.0,45.8,43.1,44.8,1822625
2018-10-14,45.3,46.4,42.3,43.5,3030433
2018-10-15,43.2,43.3,40.7,42.7,2362007
2018-10-16,43.4,46.5,43.4,46.2,2957960
2018-10-17,46.5,47.4,45.3,45.8,2182382
2018-10-18,46.0,50.2,46.0,49.8,2144358
2018-10-21,50.5,51.7,49.5,50.0,2291518
2018-10-22,50.3,50.8,45.9,48.6,2015829
2018-10-23,49.0,49.8,46.3,46.7,1002587
2018-10-24,46.7,48.3,45.6,47.5,833251
2018-10-25,47.6,50.7,47.6,50.3,969960
2018-10-28,50.0,51.8,48.5,50.3,1562853
2018-10-29,50.9,50.9,48.2,49.6,1473468
2018-10-30,50.0,54.5,50.0,54.5,1999273
2018-10-31,55.7,58.6,55.6,57.3,1750585
2018-11-01,57.0,59.3,56.5,57.9,1909154
2018-11-04,58.0,58.7,56.5,56.8,1709827
2018-11-05,56.9,57.2,53.1,54.1,2087328
2018-11-06,54.2,59.5,54.2,59.5,3613655
2018-11-07,61.0,64.8,59.6,62.1,2872590
2018-11-08,62.0,65.4,56.5,58.7,2369169
2018-11-11,59.0,60.4,56.7,57.4,684506
2018-11-12,57.4,57.9,53.5,53.8,627155
2018-11-13,54.0,54.5,50.7,51.4,533466
2018-11-14,52.0,53.9,51.7,52.3,1089643
2018-11-18,50.0,52.2,49.8,52.2,493032
2018-11-19,53.9,57.2,53.9,57.1,1693746
2018-11-20,58.5,58.5,55.7,57.6,1393910
2018-11-22,58.8,58.8,56.3,57.1,1246111
2018-11-25,56.1,56.8,53.0,54.1,1430558
2018-11-26,53.0,55.7,53.0,53.7,591779
2018-11-27,53.1,57.1,52.3,56.8,1929934
2018-11-28,56.8,58.6,55.1,56.5,1229129
2018-11-29,56.7,61.2,56.3,60.1,3040107
2018-12-02,61.0,61.9,57.2,58.0,2308137
2018-12-03,58.1,60.4,57.5,59.3,1572587
2018-12-04,60.0,61.8,59.8,60.3,2092377
2018-12-05,60.3,60.5,57.8,58.9,1240287
2018-12-06,58.9,60.0,57.9,58.2,789292
2018-12-09,59.0,59.9,56.9,57.9,1198921
2018-12-10,57.6,60.0,57.6,58.3,855609
2018-12-11,59.5,64.1,59.5,63.5,3728132
2018-12-12,64.3,65.0,60.8,62.5,1963765
2018-12-13,62.8,62.8,59.7,60.1,962068
2018-12-17,60.1,60.1,57.0,58.1,759085
2018-12-18,58.1,59.4,58.1,59.1,901072
2018-12-19,59.2,60.0,57.3,58.7,714080
2018-12-20,58.5,59.7,57.9,59.0,540090
2018-12-23,59.6,59.6,57.6,58.0,401603
2018-12-24,59.0,59.3,57.1,58.1,453157
2018-12-26,58.3,58.3,57.1,57.6,94508
2018-12-27,57.1,58.6,54.7,57.8,635493
2019-01-01,58.0,61.0,57.8,59.9,981139
2019-01-02,58.9,60.6,58.0,58.7,1576692
2019-01-03,59.0,59.9,58.2,59.6,1151930
2019-01-06,59.9,62.4,59.5,61.6,4122903
2019-01-07,62.0,62.3,58.5,59.7,2044689
2019-01-08,60.0,60.3,58.3,59.2,820846
2019-01-09,59.7,60.3,58.5,60.1,1569735
2019-01-10,60.5,61.5,57.9,58.3,1439727
2019-01-13,58.6,58.7,57.5,57.9,523287
2019-01-14,58.2,58.2,55.5,55.7,810730
2019-01-15,55.7,57.4,53.0,53.5,1309924
2019-01-16,54.0,55.3,52.6,54.2,1064284
2019-01-17,54.9,55.0,52.9,54.2,358135
2019-01-20,54.5,58.2,54.5,57.9,727062
2019-01-21,58.4,60.4,58.3,59.2,1173802
2019-01-22,59.2,59.2,56.0,58.0,407401
2019-01-23,58.2,59.5,57.0,58.7,621518
2019-01-24,59.0,60.5,57.2,57.6,670183
2019-01-27,58.6,58.9,56.3,57.3,270933
2019-01-28,58.8,59.9,57.0,57.9,758027
2019-01-29,58.8,58.8,56.5,56.8,110736
2019-01-30,57.4,57.4,55.3,55.6,252212
2019-01-31,57.1,57.1,54.5,54.7,240158
2019-02-03,55.6,56.2,53.0,54.9,151034
2019-02-04,55.5,56.0,54.1,54.6,168123
2019-02-05,54.9,55.0,53.5,54.0,88484
2019-02-06,55.0,55.0,53.1,53.8,107236
2019-02-07,53.7,55.0,53.7,54.1,115547
2019-02-10,54.1,55.3,52.9,53.2,107182
2019-02-11,53.5,55.8,52.1,55.1,178327
2019-02-12,55.8,56.6,55.0,56.2,325529
2019-02-13,55.5,57.2,55.5,56.5,209245
2019-02-14,55.1,60.4,55.1,60.0,864717
2019-02-17,61.0,64.4,61.0,63.1,1984066
2019-02-18,64.0,66.8,61.0,61.6,1858764
2019-02-19,61.5,62.3,58.9,61.0,700140
2019-02-20,61.1,61.3,59.0,59.5,436501
2019-02-24,59.0,60.8,57.9,58.4,193190
2019-02-25,58.6,59.5,58.6,59.0,108186
2019-02-26,59.1,59.6,57.1,57.9,235566
2019-02-27,57.1,57.1,54.5,55.5,861077
2019-03-03,55.7,59.6,54.8,59.2,840835
2019-03-04,60.0,60.0,57.0,57.4,623873
2019-03-05,56.7,57.5,56.0,56.4,341139
2019-03-06,56.4,59.3,56.2,59.0,644296
2019-03-07,59.0,60.3,58.3,59.9,722585
2019-03-10,60.5,62.5,60.5,62.0,1397027
2019-03-11,62.6,63.0,61.3,61.9,1073390
2019-03-12,61.9,62.3,58.0,58.9,1099257
2019-03-13,58.6,58.7,55.5,56.7,1098781
2019-03-14,55.5,57.1,55.0,55.2,472046
2019-03-18,55.6,56.5,54.5,55.4,488372
2019-03-19,55.8,56.4,54.6,55.4,233952
2019-03-20,55.4,55.5,53.8,54.0,219431
2019-03-21,54.7,54.7,52.9,53.4,298406
2019-03-24,53.3,54.4,52.5,54.2,247335
2019-03-25,54.1,56.3,54.0,56.0,561862
2019-03-27,56.1,56.8,55.4,55.9,429247
2019-03-28,56.2,56.3,55.2,55.9,323232
2019-03-31,55.4,56.3,54.1,55.4,287559
2019-04-01,54.0,55.2,53.5,53.8,277816
2019-04-02,53.6,54.9,53.5,54.4,344726
2019-04-03,54.0,54.8,53.0,53.8,230385
2019-04-04,54.6,54.6,53.2,53.9,97626
2019-04-07,53.3,54.5,53.1,53.3,135695
2019-04-08,53.3,54.3,52.8,53.0,171464
2019-04-09,53.7,53.7,51.9,52.3,133026
2019-04-10,52.9,52.9,51.1,52.2,134301
2019-04-11,52.4,54.1,51.9,53.8,163094
2019-04-15,53.7,54.8,52.6,53.7,530777
2019-04-16,52.6,54.0,52.5,53.4,160900
2019-04-17,52.7,53.6,52.4,52.9,146887
2019-04-18,53.7,53.8,52.0,52.9,246886
2019-04-21,53.7,53.7,51.9,52.5,238052
2019-04-23,52.2,52.8,50.2,51.0,178056
2019-04-24,51.8,51.8,49.0,49.7,86079
2019-04-25,50.9,51.4,48.0,50.5,737782
2019-04-28,50.9,52.3,50.5,52.2,239885
2019-04-29,50.5,51.6,49.1,50.4,767147
2019-04-30,50.4,50.9,49.2,50.2,283520
2019-05-02,51.0,51.6,50.6,51.4,234158
2019-05-05,51.8,51.8,49.6,50.3,237102
2019-05-06,50.3,50.7,48.2,49.9,392796
2019-05-07,49.5,50.1,48.5,49.5,237085
2019-05-08,49.6,50.0,48.5,49.1,154497
2019-05-09,50.0,53.0,50.0,52.4,1092716
2019-05-12,52.5,53.0,50.4,51.4,692186
2019-05-13,51.5,51.5,49.6,50.3,223880
2019-05-14,50.4,50.4,48.7,49.0,122403
2019-05-15,48.7,49.4,48.0,49.0,112906
2019-05-16,49.5,51.1,48.9,50.4,135265
2019-05-19,50.4,52.0,49.9,51.4,448227
2019-05-20,51.5,51.5,50.3,51.0,141316
2019-05-21,50.6,51.7,50.4,51.4,270410
2019-05-22,51.3,52.3,50.5,51.1,332266
2019-05-23,52.0,52.2,51.0,51.3,300817
2019-05-26,51.6,51.6,50.6,51.2,120844
2019-05-27,50.7,51.0,50.0,50.7,194026
2019-05-28,51.3,51.7,50.6,51.1,215992
2019-05-29,50.5,51.6,50.1,50.7,177285
2019-05-30,51.2,51.4,50.2,50.5,239238
2019-06-09,50.1,51.6,50.1,50.8,273323
2019-06-10,50.3,51.5,50.0,51.2,244197
