Date,Open,High,Low,Close,Volume
2020-09-23,378.0,378.0,378.0,378.0,348
2020-09-24,567.0,567.0,567.0,567.0,2442
2020-09-27,609.5,609.5,609.5,609.5,13299
2020-09-28,655.2,655.2,655.2,655.2,12257
2020-09-29,704.3,704.3,704.3,704.3,6868
2020-09-30,757.1,757.1,757.1,757.1,2912
2020-10-01,813.8,813.8,813.8,813.8,8723
2020-10-04,874.8,874.8,874.8,874.8,105534
2020-10-05,940.4,940.4,880.0,940.4,542672
2020-10-06,999.0,1009.0,960.0,1002.7,189538
2020-10-07,1005.0,1009.0,940.1,940.1,196920
2020-10-08,926.0,926.0,869.6,869.6,210663
2020-10-11,825.0,908.0,805.0,885.9,236163
2020-10-12,890.1,890.1,819.5,819.5,154742
2020-10-13,795.0,810.0,761.2,767.4,217346
2020-10-14,790.0,824.9,775.0,820.3,206047
2020-10-15,828.8,849.8,820.0,834.0,114909
2020-10-18,840.0,868.5,825.0,830.3,127492
2020-10-19,832.0,837.8,786.0,799.3,139792
2020-10-20,801.0,834.0,781.1,786.2,142101
2020-10-21,795.0,810.0,780.0,788.9,109531
2020-10-22,775.1,790.1,751.0,755.8,131412
2020-10-25,750.0,770.0,680.0,688.6,215894
2020-10-27,695.0,708.0,655.0,663.1,140217
2020-10-28,660.0,670.0,620.0,637.7,160952
2020-10-29,641.0,685.5,631.0,685.5,120075
2020-11-01,700.0,735.0,690.0,714.5,129516
2020-11-02,718.0,738.0,700.1,704.7,109884
2020-11-03,704.0,710.0,673.1,678.6,101035
2020-11-04,683.7,701.8,670.6,694.5,63039
2020-11-05,706.0,738.0,702.0,722.9,178650
2020-11-08,729.0,777.1,725.1,777.1,295009
2020-11-09,788.0,815.5,770.0,774.9,193732
2020-11-10,777.0,800.0,750.0,792.7,141391
2020-11-11,792.8,806.8,773.0,778.8,91112
2020-11-12,837.2,837.2,799.0,836.8,351386
2020-11-15,848.0,854.9,795.0,803.1,156595
2020-11-16,803.1,818.0,783.4,791.3,118874
2020-11-17,792.0,800.0,760.1,766.3,75543
2020-11-18,766.3,774.9,748.0,761.8,76374
2020-11-22,761.8,769.9,726.2,730.6,81157
2020-11-23,730.0,730.0,693.2,700.9,78637
2020-11-24,713.0,732.0,705.0,727.8,61990
2020-11-25,732.0,744.9,715.1,720.0,50402
2020-11-26,728.8,728.8,706.3,713.4,66145
2020-11-29,717.7,724.1,705.8,708.7,46638
2020-11-30,716.8,716.8,695.1,699.8,54314
2020-12-01,709.0,745.9,699.9,743.3,106389
2020-12-02,747.7,794.9,736.4,789.5,151383
2020-12-03,800.0,807.0,777.0,796.6,100062
2020-12-06,800.0,829.9,793.1,818.9,122273
2020-12-07,821.0,838.0,797.0,813.5,115393
2020-12-08,822.0,822.9,795.2,801.7,56850
2020-12-09,801.7,828.3,795.0,822.8,109884
2020-12-10,831.0,884.5,825.3,884.5,177580
2020-12-13,920.0,950.8,916.5,946.6,171791
2020-12-14,940.0,949.0,916.0,919.5,172233
2020-12-15,916.1,988.4,916.1,977.1,242627
2020-12-17,990.0,1039.0,960.4,1026.7,183394
2020-12-20,1039.0,1090.8,1006.0,1074.5,247204
2020-12-21,1080.0,1095.0,1027.0,1032.4,178479
2020-12-22,1039.6,1066.0,1005.0,1021.4,183138
2020-12-23,1030.0,1039.9,957.7,961.2,229611
2020-12-24,971.0,984.5,945.1,967.4,141939
2020-12-27,971.0,1039.9,971.0,1039.7,220586
2020-12-28,1059.0,1095.0,1048.0,1059.9,206733
2020-12-29,1065.0,1093.7,1045.7,1064.1,159322
2020-12-30,1065.0,1129.8,1065.0,1113.8,167191
2021-01-03,1113.8,1182.7,1113.8,1179.1,130386
2021-01-04,1189.0,1199.0,1140.0,1149.4,111477
2021-01-05,1170.0,1170.0,1077.6,1080.0,212352
2021-01-06,1098.0,1100.0,1046.9,1057.2,98323
2021-01-07,1065.0,1104.0,1046.3,1050.6,86187
2021-01-10,1060.8,1069.0,1020.0,1030.3,84600
2021-01-11,1034.0,1068.0,1034.0,1039.6,66833
2021-01-12,1055.0,1104.5,1047.1,1104.3,152189
2021-01-13,1105.0,1155.0,1085.0,1142.2,141138
2021-01-14,1161.0,1179.0,1100.1,1120.8,81212
2021-01-17,1148.8,1160.0,1050.8,1058.2,159417
2021-01-18,1075.0,1080.0,1028.3,1035.7,71615
2021-01-19,1036.2,1049.9,1020.0,1024.0,61833
2021-01-20,1044.0,1049.8,1008.0,1014.7,86665
2021-01-21,1029.0,1070.0,1015.1,1054.9,49682
2021-01-24,1060.0,1065.0,1030.5,1037.5,36939
2021-01-25,1045.0,1062.6,1030.0,1034.9,45173
2021-01-26,1035.5,1047.9,1015.0,1020.5,42029
2021-01-27,1014.9,1032.0,1014.8,1021.8,22967
2021-01-28,1028.0,1055.8,1017.7,1025.6,61636
2021-01-31,1032.0,1060.0,1031.0,1047.4,39009
2021-02-01,1055.0,1075.9,1055.0,1064.2,58144
2021-02-02,1070.0,1124.9,1066.0,1111.8,149917
2021-02-03,1118.0,1129.0,1072.0,1085.2,50948
2021-02-04,1075.1,1090.0,1052.8,1058.4,60956
2021-02-07,1055.1,1124.5,1055.1,1071.9,90313
2021-02-08,1070.0,1080.0,1025.3,1038.4,57585
2021-02-09,1049.0,1070.0,1035.0,1067.7,58622
2021-02-10,1068.0,1084.3,1055.0,1068.2,55199
2021-02-11,1080.0,1086.0,1040.0,1061.0,119620
2021-02-14,1051.0,1080.5,1051.0,1074.0,62881
2021-02-15,1075.0,1141.1,1075.0,1141.1,234562
2021-02-16,1150.0,1182.9,1120.2,1142.7,153243
2021-02-17,1150.0,1151.8,1115.2,1117.3,72840
2021-02-18,1120.0,1178.0,1116.5,1157.9,96624
2021-02-22,1170.0,1222.0,1170.0,1216.7,176477
2021-02-23,1229.9,1240.1,1180.0,1196.1,134884
2021-02-24,1201.1,1265.0,1180.0,1249.9,154655
2021-02-25,1264.0,1285.0,1255.0,1264.1,101063
2021-02-28,1260.0,1262.0,1215.1,1220.5,131695
2021-03-01,1220.5,1248.5,1211.5,1233.8,65914
2021-03-02,1235.0,1263.3,1226.1,1232.9,84911
2021-03-03,1243.8,1243.8,1190.0,1197.7,95675
2021-03-04,1190.7,1214.0,1188.1,1193.4,45484
2021-03-07,1190.7,1226.9,1190.7,1223.0,54184
2021-03-08,1228.0,1250.9,1217.1,1238.3,89036
2021-03-09,1250.0,1281.1,1238.3,1275.3,110059
2021-03-10,1275.3,1329.8,1270.1,1323.4,156609
2021-03-11,1329.9,1340.0,1291.2,1297.9,100713
2021-03-14,1300.1,1319.0,1270.0,1274.3,78736
2021-03-15,1274.3,1292.0,1268.5,1287.3,60261
2021-03-16,1296.5,1325.0,1290.0,1296.8,77350
2021-03-18,1314.9,1314.9,1260.0,1265.3,87203
2021-03-21,1265.6,1270.0,1205.1,1214.7,91743
2021-03-22,1220.0,1267.9,1190.0,1259.0,60662
2021-03-23,1265.0,1268.0,1221.0,1231.8,47145
2021-03-24,1229.0,1237.8,1196.0,1200.3,49632
2021-03-25,1201.5,1214.8,1190.0,1206.8,45306
2021-03-28,1196.0,1217.8,1196.0,1215.1,21935
2021-03-29,1212.5,1235.0,1212.5,1222.9,32825
2021-03-31,1230.0,1230.0,1185.1,1192.9,46940
2021-04-01,1188.2,1217.0,1163.2,1207.7,44974
2021-04-04,1140.0,1165.0,1132.3,1132.9,41500
2021-04-05,1149.0,1180.0,1136.0,1170.7,16034
2021-04-06,1177.8,1205.0,1174.0,1196.7,24441
2021-04-07,1197.1,1207.0,1188.0,1195.7,33510
2021-04-08,1184.0,1188.5,1176.1,1182.4,16445
2021-04-11,1151.2,1168.5,1135.0,1138.7,16895
2021-04-12,1140.0,1168.0,1140.0,1146.0,16806
2021-04-13,1131.0,1175.0,1131.0,1171.8,18558
2021-04-15,1190.0,1194.0,1173.2,1191.0,13374
2021-04-18,1182.0,1205.8,1178.7,1191.9,14390
2021-04-19,1201.6,1203.9,1188.5,1196.8,19365
2021-04-20,1199.0,1222.0,1190.1,1215.5,29423
2021-04-21,1230.0,1230.0,1198.0,1201.3,26687
2021-04-22,1200.1,1208.0,1187.0,1189.7,34738
2021-04-25,1185.7,1206.9,1185.6,1200.3,25363
2021-04-26,1209.9,1212.6,1195.0,1204.2,28903
2021-04-27,1205.7,1206.5,1191.0,1193.9,16427
2021-04-28,1195.0,1200.0,1190.1,1192.3,33374
2021-04-29,1195.0,1206.0,1187.5,1190.1,22544
2021-05-02,1199.0,1199.0,1180.0,1182.7,34938
2021-05-03,1182.7,1194.6,1182.0,1183.2,21521
2021-05-04,1183.1,1190.0,1178.0,1181.9,24085
2021-05-05,1181.9,1190.0,1172.1,1175.1,31013
2021-05-06,1176.1,1204.0,1176.1,1192.0,20311
2021-05-09,1194.0,1227.0,1192.0,1221.8,45171
2021-05-11,1225.0,1244.5,1225.0,1230.6,29402
2021-05-12,1230.6,1242.0,1227.0,1235.5,27349
2021-05-16,1230.0,1237.8,1220.0,1229.4,30942
2021-05-17,1236.0,1277.0,1231.6,1275.1,83142
2021-05-18,1280.0,1285.0,1251.1,1257.5,31717
2021-05-19,1264.0,1275.0,1235.0,1239.0,42360
2021-05-20,1256.0,1256.0,1231.3,1245.0,36987
2021-05-23,1247.3,1259.7,1243.0,1248.9,40639
2021-05-24,1261.0,1292.0,1249.0,1286.0,95257
2021-05-25,1300.0,1335.0,1300.0,1310.8,98517
2021-05-27,1311.0,1319.3,1285.2,1292.4,53385
2021-05-30,1267.0,1300.0,1267.0,1271.9,38713
2021-05-31,1274.0,1284.0,1267.1,1274.0,48830
2021-06-01,1274.0,1285.0,1265.0,1266.2,34992
2021-06-02,1279.7,1286.0,1273.0,1282.3,61331
2021-06-03,1285.0,1341.7,1285.0,1332.2,120767
2021-06-06,1351.3,1405.0,1342.0,1393.8,120305
2021-06-07,1399.0,1475.0,1399.0,1439.9,102789
2021-06-08,1421.7,1458.0,1421.7,1435.5,60944
2021-06-09,1435.2,1447.0,1406.0,1417.7,49757
2021-06-10,1420.1,1420.1,1371.0,1377.0,57349
2021-06-13,1390.0,1390.0,1349.2,1359.8,29660
2021-06-14,1360.0,1363.0,1330.0,1332.3,54776
2021-06-16,1348.1,1389.0,1340.4,1348.6,38787
2021-06-17,1353.1,1365.0,1335.1,1340.6,19977
2021-06-20,1342.0,1366.0,1337.0,1342.3,29389
2021-06-21,1355.0,1372.0,1355.0,1359.6,26367
2021-06-22,1378.6,1378.6,1350.0,1353.5,16449
2021-06-23,1350.2,1350.5,1330.1,1338.3,29422
2021-06-24,1333.0,1345.5,1295.0,1324.6,32154
2021-06-27,1304.0,1316.0,1299.6,1304.9,31706
2021-06-28,1305.2,1320.0,1305.0,1315.8,37256
2021-06-29,1329.5,1347.0,1321.0,1332.5,12660
2021-06-30,1349.8,1350.0,1332.5,1340.0,18210
2021-07-05,1352.0,1353.0,1340.0,1343.1,11179
2021-07-06,1340.0,1347.0,1326.0,1331.1,14797
2021-07-07,1337.9,1337.9,1321.2,1328.5,12786
2021-07-08,1328.9,1349.9,1325.0,1335.3,14202
2021-07-12,1349.0,1349.0,1325.0,1327.9,25914
2021-07-13,1329.1,1360.0,1327.0,1346.0,18099
2021-07-14,1341.2,1359.5,1341.2,1349.9,14148
2021-07-15,1350.3,1374.0,1350.3,1367.5,16232
2021-07-18,1368.7,1414.9,1368.7,1409.2,35375
2021-07-19,1415.0,1445.0,1405.0,1435.4,44749
2021-07-25,1449.0,1449.0,1412.0,1417.5,37544
2021-07-26,1418.5,1421.1,1406.0,1411.9,30004
2021-07-27,1415.0,1416.0,1396.1,1400.2,36011
2021-07-28,1406.9,1407.0,1396.0,1398.9,20050
2021-07-29,1400.0,1403.0,1393.3,1397.3,8194
2021-08-02,1397.3,1445.0,1391.0,1440.2,30396
