Date,Open,High,Low,Close,Volume
2014-05-15,54.4,54.4,54.4,54.4,200
2014-05-25,54.4,54.4,54.4,54.4,0
2014-05-29,59.8,59.8,59.8,59.8,5200
2014-06-02,400.0,515.0,350.0,487.1,302600
2014-06-03,524.6,524.6,449.6,449.6,51800
2014-06-04,412.2,412.2,412.2,412.2,5800
2014-06-05,376.2,419.9,376.2,376.5,243800
2014-06-08,381.0,409.4,381.0,405.1,77000
2014-06-09,411.0,415.0,374.5,382.5,61800
2014-06-10,382.0,383.0,355.0,360.4,98000
2014-06-12,300.0,301.4,290.0,301.4,9800
2014-06-15,327.7,327.7,276.0,279.8,114000
2014-06-16,288.0,290.0,260.2,264.1,49400
2014-06-17,266.0,284.0,266.0,270.1,60800
2014-06-18,274.0,279.8,271.5,274.5,62200
2014-06-19,279.0,279.0,262.1,263.8,45000
2014-06-22,260.4,270.0,258.0,260.2,30400
2014-06-23,260.3,261.1,248.1,250.0,33600
2014-06-24,246.7,257.8,245.0,246.6,29800
2014-06-25,252.7,268.1,251.5,268.1,36800
2014-06-26,279.0,279.0,257.4,263.8,34400
2014-06-29,261.0,269.8,256.0,259.6,44800
2014-06-30,259.9,262.9,247.0,248.7,58800
2014-07-02,257.0,257.5,242.0,248.9,27000
2014-07-03,251.4,257.0,248.7,250.7,29200
2014-07-06,248.3,250.0,242.0,244.1,10400
2014-07-07,244.2,247.4,241.0,242.3,13600
2014-07-08,242.1,243.0,235.0,236.1,26600
2014-07-09,235.0,247.8,235.0,236.0,26400
2014-07-10,237.0,239.2,227.1,228.9,17600
2014-07-13,227.1,227.1,210.6,213.0,28200
2014-07-14,217.9,225.8,216.1,223.7,19400
2014-07-15,221.1,221.1,210.0,211.6,29800
2014-07-16,215.0,229.0,214.9,226.5,40800
2014-07-17,222.5,235.0,222.0,233.9,31400
2014-07-20,236.8,237.0,223.3,225.6,24800
2014-07-21,224.0,224.0,215.0,220.1,32000
2014-07-22,221.6,222.0,216.5,217.7,22000
2014-07-23,219.0,221.5,211.2,212.1,31800
2014-07-24,215.8,216.0,211.0,214.4,19600
2014-08-03,219.0,219.0,202.0,204.5,31000
2014-08-04,205.2,214.5,204.7,212.2,62800
2014-08-05,216.0,228.6,216.0,218.1,67400
2014-08-06,220.0,220.9,212.6,214.1,58200
2014-08-07,217.6,232.8,217.5,232.8,79200
2014-08-10,248.0,253.1,248.0,253.1,24000
2014-08-11,269.4,275.0,255.0,259.1,148200
2014-08-12,264.8,276.8,258.0,261.7,85200
2014-08-13,266.0,278.0,266.0,275.3,97600
2014-08-14,280.0,286.0,275.5,280.9,67600
2014-08-18,285.0,285.0,262.9,264.7,61400
2014-08-19,266.0,268.0,251.2,253.7,57800
2014-08-20,260.0,262.0,241.0,243.3,47800
2014-08-21,244.0,258.0,235.3,250.5,38400
2014-08-24,258.0,258.0,240.0,243.2,40000
2014-08-25,241.3,246.6,232.0,233.4,20400
2014-08-26,236.2,240.6,231.0,233.2,44400
2014-08-27,232.0,243.0,230.4,238.6,21800
2014-08-28,236.0,245.0,234.0,235.2,22400
2014-08-31,234.1,235.0,223.0,224.9,39600
2014-09-01,227.8,229.6,219.0,219.5,18400
2014-09-02,222.3,232.8,222.3,225.9,20000
2014-09-03,230.0,245.6,230.0,245.6,56200
2014-09-04,254.0,254.0,236.0,237.2,52000
2014-09-07,240.9,248.0,233.8,235.4,22000
2014-09-08,235.5,237.0,227.7,229.3,36600
2014-09-09,236.8,243.9,233.0,234.0,30600
2014-09-10,240.8,245.0,235.3,236.2,42000
2014-09-11,242.4,249.7,238.0,239.1,43000
2014-09-14,245.0,248.9,241.5,245.7,51200
2014-09-15,244.0,244.5,236.0,236.6,30600
2014-09-16,236.0,237.4,231.1,234.3,39800
2014-09-17,238.0,238.8,231.2,232.0,23000
2014-09-18,230.0,236.0,228.5,229.2,25000
2014-09-21,229.2,233.0,227.7,229.0,21400
2014-09-22,228.5,229.5,223.1,224.7,28000
2014-09-23,224.2,227.0,220.0,221.5,15800
2014-09-24,223.7,224.3,216.0,217.5,24000
2014-09-25,223.5,233.9,220.5,223.5,19200
2014-09-28,229.0,229.8,223.1,223.4,16600
2014-09-29,219.1,230.0,219.0,220.6,25600
2014-09-30,222.0,224.0,217.0,218.6,22800
2014-10-01,216.0,224.5,216.0,220.4,18400
2014-10-02,219.4,224.4,217.3,218.7,16400
2014-10-12,218.7,219.8,218.7,219.0,13600
2014-10-13,226.7,230.0,220.2,227.3,26400
2014-10-14,230.9,236.9,229.9,231.5,39200
2014-10-15,232.0,236.0,223.1,225.8,23000
2014-10-16,222.5,235.0,222.5,228.9,14000
2014-10-19,227.0,230.0,223.1,225.5,11200
2014-10-20,223.2,224.0,220.1,221.9,10000
2014-10-21,218.2,232.0,218.1,223.2,29200
2014-10-22,224.2,224.2,220.0,220.9,19800
2014-10-23,225.0,225.0,220.2,221.1,11800
2014-10-26,227.5,227.5,221.0,221.7,10000
2014-10-27,218.9,222.0,218.9,220.6,9800
2014-10-28,218.4,222.0,218.0,218.5,8200
2014-10-29,222.0,226.0,219.0,220.2,17400
2014-10-30,216.7,222.9,216.7,218.5,13600
2014-11-02,219.9,227.0,217.1,221.2,28000
2014-11-03,218.0,224.5,213.0,214.3,28400
2014-11-05,214.0,219.0,212.6,213.5,18800
2014-11-06,212.0,217.0,211.6,211.9,17200
2014-11-09,210.4,211.0,205.0,205.2,24000
2014-11-10,204.8,216.0,204.5,207.6,16800
2014-11-11,214.0,214.0,206.0,206.6,16800
2014-11-12,209.9,218.0,207.4,214.5,27200
2014-11-13,218.5,225.0,215.5,217.7,34200
2014-11-16,219.2,234.6,219.1,232.2,71600
2014-11-17,236.0,249.0,236.0,238.7,68200
2014-11-18,239.8,259.5,239.8,259.5,116600
2014-11-19,270.0,280.0,245.0,245.9,78000
2014-11-20,254.0,257.8,235.0,237.3,41600
2014-11-23,244.0,250.0,230.2,233.8,36400
2014-11-24,230.1,234.0,216.2,218.8,33000
2014-11-25,212.2,230.0,212.2,221.1,24000
2014-11-26,226.0,230.0,216.0,219.7,24400
2014-11-27,218.0,224.9,214.6,215.7,28600
2014-11-30,219.2,219.2,213.0,217.3,20400
2014-12-01,219.8,221.0,216.1,216.8,15200
2014-12-02,218.3,232.0,218.3,222.6,40000
2014-12-03,226.8,231.0,223.0,225.4,31400
2014-12-04,225.0,225.0,217.3,218.2,24000
2014-12-07,222.0,223.0,213.5,215.3,34800
2014-12-08,216.1,219.0,213.7,214.5,19400
2014-12-09,215.2,219.0,214.5,217.3,15400
2014-12-10,217.3,219.9,212.0,213.6,19600
2014-12-11,214.0,216.9,208.0,210.2,15004
2014-12-14,210.2,214.9,210.2,212.0,5868
2014-12-15,211.9,215.0,210.0,211.5,5977
2014-12-17,213.8,214.0,212.2,213.1,4805
2014-12-18,214.9,215.0,211.1,214.5,5893
2014-12-21,213.5,214.6,208.8,210.0,7292
2014-12-22,213.4,213.4,210.6,211.8,4527
2014-12-23,212.4,212.4,210.1,210.9,4961
2014-12-24,210.0,210.9,206.0,207.0,15606
2014-12-28,206.4,208.0,197.0,201.0,14268
2014-12-29,202.6,208.0,202.6,206.4,6637
2014-12-30,209.9,214.0,208.5,212.4,5521
2015-01-01,214.0,215.8,211.0,213.5,11296
2015-01-05,210.6,213.5,210.5,211.6,12251
2015-01-06,211.2,215.5,210.9,212.5,5928
2015-01-07,213.3,214.8,208.0,209.3,9708
2015-01-08,210.8,212.8,209.0,210.1,8020
2015-01-11,214.0,214.4,208.5,209.5,6810
2015-01-12,208.2,210.0,207.1,207.7,12048
2015-01-13,209.0,212.0,207.0,211.1,9213
2015-01-14,208.5,210.9,208.5,209.3,4327
2015-01-15,209.0,225.9,209.0,223.1,43199
2015-01-18,225.0,233.8,218.9,229.4,42308
2015-01-19,223.1,227.9,211.1,213.4,23701
2015-01-20,216.1,219.5,213.0,214.0,17464
2015-01-21,212.0,212.0,207.5,208.9,11666
2015-01-22,208.5,214.0,208.5,211.2,14150
2015-01-25,208.1,213.0,206.0,206.8,17721
2015-01-26,210.2,211.8,206.0,206.7,8157
2015-01-27,206.2,210.0,206.1,208.5,10204
2015-01-28,208.0,213.5,207.1,210.4,9062
2015-01-29,206.3,209.5,206.3,207.2,7939
2015-02-01,210.0,210.0,198.0,199.2,21274
2015-02-02,198.0,199.0,194.7,195.9,10103
2015-02-03,195.7,200.0,195.7,197.1,5318
2015-02-04,196.8,198.5,195.0,196.1,7025
2015-02-05,196.1,198.0,192.0,196.2,9872
2015-02-08,196.2,199.8,195.0,196.6,7405
2015-02-09,196.0,208.0,196.0,204.1,13920
2015-02-10,205.5,210.0,205.5,207.0,12057
2015-02-11,207.0,207.4,204.0,204.2,13602
2015-02-12,205.0,208.0,204.2,206.7,8762
2015-02-15,207.1,209.8,203.0,206.5,8627
2015-02-16,209.0,214.9,204.0,206.1,21427
2015-02-17,207.0,207.9,205.1,206.0,15649
2015-02-18,207.5,208.0,203.1,203.8,15835
2015-02-19,196.0,205.8,196.0,201.8,11610
2015-02-22,205.8,214.0,205.0,211.2,22477
2015-02-23,214.8,215.0,209.6,212.2,27745
2015-02-24,214.0,214.7,209.0,210.4,12974
2015-02-25,211.2,211.2,205.7,206.5,18594
2015-02-26,211.5,218.0,210.5,216.1,42860
2015-03-01,218.0,228.9,218.0,225.7,51022
2015-03-02,222.1,225.0,213.0,214.3,26975
2015-03-03,212.1,217.0,208.0,209.9,22464
2015-03-04,214.8,216.8,211.0,214.2,8468
2015-03-05,215.5,216.0,211.2,212.0,9391
2015-03-08,214.4,214.4,210.0,210.9,6461
2015-03-09,214.7,214.7,209.7,210.5,7279
2015-03-10,211.7,212.9,209.7,210.1,5762
2015-03-11,211.0,212.5,206.1,208.1,12123
2015-03-12,207.0,220.0,207.0,218.3,16026
2015-03-15,220.0,220.0,211.5,212.8,13304
2015-03-16,211.4,213.9,210.0,210.6,8693
2015-03-18,210.0,212.0,208.2,209.7,5490
2015-03-19,212.0,212.0,209.0,209.5,3477
2015-03-22,213.0,217.0,213.0,216.2,12932
2015-03-23,216.5,222.0,215.0,215.6,19398
2015-03-24,217.8,219.1,213.5,216.3,6477
2015-03-25,218.0,229.7,218.0,228.7,63751
2015-03-29,230.2,233.5,224.0,225.8,37811
2015-03-30,222.5,227.1,220.0,225.3,23175
2015-03-31,229.8,229.8,221.8,222.2,23915
2015-04-01,222.0,224.9,217.0,217.3,28429
2015-04-02,220.0,220.0,214.0,214.7,15597
2015-04-05,214.1,217.8,211.0,211.3,9785
2015-04-06,213.1,214.4,201.0,206.8,11055
2015-04-07,205.2,211.0,205.2,209.8,18473
2015-04-08,211.1,213.8,207.0,208.6,16015
2015-04-09,213.9,213.9,207.0,208.2,17189
2015-04-12,207.5,208.0,202.7,204.7,8733
2015-04-13,207.0,209.1,202.0,204.1,18010
2015-04-15,205.0,207.8,204.2,205.9,11540
2015-04-16,209.4,209.4,203.6,204.4,13277
2015-04-19,203.5,206.7,201.9,202.7,35164
2015-04-20,207.4,207.8,203.0,204.2,10573
2015-04-21,203.5,206.6,201.0,202.8,26390
2015-04-22,203.1,209.8,203.0,206.7,18719
2015-04-23,207.0,209.0,198.2,200.0,14946
2015-04-26,197.2,198.3,186.1,190.2,9814
2015-04-27,188.2,190.0,185.0,186.5,10648
2015-04-29,186.5,194.3,185.0,188.0,10000
2015-04-30,185.1,185.9,178.0,179.1,19023
2015-05-04,187.0,215.0,178.1,210.8,63167
2015-05-05,209.1,213.5,199.1,202.9,35739
2015-05-06,202.2,212.8,202.0,205.1,35156
2015-05-07,209.0,209.0,201.4,203.0,37730
2015-05-10,204.0,211.0,204.0,210.2,38196
2015-05-11,209.0,228.5,208.1,227.9,82421
2015-05-12,225.0,230.0,212.1,215.5,18127
2015-05-13,211.5,220.0,211.5,217.8,27563
2015-05-17,180.8,189.9,180.8,183.7,36402
2015-05-18,182.5,196.0,182.5,193.7,39576
2015-05-19,191.0,196.9,185.0,185.9,24996
2015-05-20,184.0,187.0,180.1,182.0,19177
2015-05-21,185.0,185.0,174.0,176.1,18743
2015-05-24,175.2,184.0,175.0,181.0,7685
2015-05-25,180.8,186.8,177.6,179.1,24857
2015-05-26,184.9,186.9,182.1,182.7,15626
2015-05-27,186.0,189.0,182.3,185.4,30074
2015-05-28,185.0,185.0,178.0,178.3,18282
2015-05-31,179.0,179.0,168.9,170.1,47631
2015-06-01,168.3,177.4,168.1,170.0,32392
2015-06-02,174.0,180.0,172.0,174.2,55684
2015-06-04,178.2,179.0,175.2,178.1,17970
2015-06-07,184.7,184.7,172.1,174.6,14000
2015-06-08,175.0,176.0,169.0,170.7,14103
2015-06-09,173.2,173.2,168.0,169.3,6286
2015-06-10,172.0,172.0,163.2,164.5,13166
2015-06-11,167.5,169.1,165.5,166.2,4745
2015-06-14,167.0,170.0,160.0,161.6,12191
2015-06-15,164.8,164.8,160.3,161.0,6913
2015-06-16,165.0,165.0,161.1,161.6,5960
2015-06-17,162.0,164.9,161.4,163.0,8177
2015-06-18,163.0,167.0,162.2,163.2,8765
2015-06-21,164.2,166.9,164.0,166.0,5328
2015-06-22,166.0,166.0,163.0,163.1,4191
2015-06-23,163.1,163.3,161.2,162.2,6608
2015-06-24,162.2,163.0,159.3,160.2,7353
2015-06-25,160.2,161.0,154.9,156.6,7805
2015-06-28,155.1,158.0,155.0,155.3,7611
2015-06-29,154.1,158.0,153.4,155.1,8578
2015-06-30,157.8,159.9,154.5,158.7,10812
2015-07-02,159.9,159.9,154.8,155.2,18827
2015-07-05,156.0,157.5,153.1,154.3,7715
