Date,Open,High,Low,Close,Volume
2024-03-11,11.0,11.0,11.0,11.0,1
2024-03-12,12.1,12.1,12.1,12.1,1
2024-03-13,13.3,13.3,13.3,13.3,50
2024-03-14,14.6,14.6,14.6,14.6,1
2024-03-18,16.0,16.0,16.0,16.0,1
2024-03-19,17.6,17.6,17.6,17.6,1
2024-03-20,19.3,19.3,19.3,19.3,2
2024-03-21,21.2,21.2,21.2,21.2,2
2024-03-24,23.3,23.3,23.3,23.3,1
2024-03-25,25.6,25.6,25.6,25.6,1
2024-03-27,28.1,28.1,28.1,28.1,1
2024-03-28,30.9,30.9,30.9,30.9,5127
2024-03-31,33.9,33.9,31.4,33.9,1912998
2024-04-01,35.2,37.2,34.3,35.7,1092620
2024-04-02,34.9,35.5,33.7,34.6,734957
2024-04-03,35.4,38.0,34.5,38.0,908100
2024-04-04,39.0,40.8,37.1,37.5,458570
2024-04-08,38.1,38.1,35.1,36.0,298516
2024-04-09,36.0,37.2,34.8,35.2,320972
2024-04-15,36.0,36.0,34.4,34.6,177530
2024-04-16,37.9,37.9,34.3,34.9,170612
2024-04-17,35.0,35.6,34.0,34.5,153382
2024-04-18,33.6,35.0,33.6,34.5,184498
2024-04-21,34.1,35.6,33.9,35.2,268088
2024-04-22,35.3,36.3,35.1,35.6,201216
2024-04-23,36.1,36.1,34.5,34.7,142320
2024-04-24,35.0,35.9,34.0,34.2,58836
2024-04-25,34.9,34.9,32.9,33.2,50039
2024-04-28,34.0,34.5,31.5,33.7,125940
2024-04-29,34.5,34.5,31.6,31.8,172799
2024-04-30,33.8,33.8,31.2,31.4,42687
2024-05-02,32.9,33.2,32.2,32.6,143316
2024-05-05,34.1,34.1,33.0,33.3,54788
2024-05-06,34.9,34.9,32.4,32.6,64352
2024-05-07,34.0,34.0,32.0,32.1,54415
2024-05-08,32.5,33.3,32.0,32.7,201253
2024-05-09,34.5,34.5,32.2,32.5,123529
2024-05-12,33.7,33.7,32.1,32.3,58686
2024-05-13,32.2,32.9,31.0,31.2,54856
2024-05-14,33.4,33.4,30.8,30.9,29678
2024-05-15,30.8,30.8,29.6,30.4,54557
2024-05-16,31.5,31.5,30.0,31.2,51269
2024-05-19,32.9,32.9,29.8,29.9,36353
2024-05-20,29.1,32.8,29.1,31.3,23467
2024-05-21,31.0,31.9,30.2,30.7,15708
2024-05-23,28.1,30.8,28.1,29.7,1632
2024-05-26,32.0,32.0,28.8,28.8,23204
2024-05-27,31.6,31.6,29.5,29.5,502
2024-05-28,31.9,31.9,29.5,29.7,10805
2024-05-29,31.4,31.4,28.7,28.8,21001
