Date,Open,High,Low,Close,Volume
2024-01-28,65.5,65.5,54.5,55.4,4708
2024-01-29,56.5,56.5,52.0,52.2,5260
2024-01-30,57.2,57.2,52.5,52.9,1150
2024-01-31,57.9,57.9,48.0,50.3,11087
2024-02-01,50.0,50.3,48.1,49.1,13618
2024-02-04,48.2,53.0,48.1,50.3,20642
2024-02-05,53.5,53.5,48.7,49.2,22169
2024-02-06,50.5,50.5,47.0,48.1,18550
2024-02-07,47.0,49.9,46.5,47.0,34901
2024-02-08,49.9,50.0,46.0,46.3,28564
2024-02-11,49.7,49.7,45.0,46.9,14546
2024-02-12,46.3,48.8,46.0,46.8,28543
2024-02-13,47.5,51.4,47.0,51.2,38269
2024-02-14,56.0,56.3,53.0,56.3,44008
2024-02-15,61.9,61.9,61.9,61.9,50972
2024-02-18,67.9,68.0,60.1,67.4,103049
2024-02-19,68.2,68.2,63.1,65.7,26589
2024-02-20,62.1,65.9,62.1,65.2,545
2024-02-22,66.0,66.9,62.2,64.0,11700
2024-02-25,65.9,66.0,62.1,64.7,21841
2024-02-27,67.9,67.9,63.0,63.3,25742
2024-02-28,64.0,64.5,61.3,61.5,4890
2024-02-29,62.7,65.4,60.0,60.7,22543
2024-03-03,66.0,66.0,58.7,62.9,5452
2024-03-04,62.6,69.0,61.1,68.5,58526
2024-03-05,69.1,74.0,65.2,67.0,41725
2024-03-06,67.0,69.3,63.0,66.8,44938
2024-03-07,66.8,68.4,63.0,63.8,11102
2024-03-10,63.4,65.9,62.6,63.0,7409
2024-03-11,64.8,64.8,62.1,63.4,16391
2024-03-12,66.6,66.6,57.3,59.6,16987
2024-03-13,63.4,63.4,57.0,57.2,19081
2024-03-14,62.0,62.7,59.0,59.9,16408
2024-03-18,63.0,63.0,58.3,58.5,53100
2024-03-19,61.5,61.5,57.0,57.0,11470
2024-03-20,58.0,60.3,57.0,58.2,18490
2024-03-21,58.9,61.8,58.0,58.4,46104
2024-03-24,59.9,61.9,59.0,59.4,2428
2024-03-25,60.0,60.7,56.5,57.2,27503
2024-03-27,53.1,58.4,53.1,55.0,24714
2024-03-28,54.1,59.2,53.2,55.8,8726
2024-03-31,55.0,59.3,55.0,57.7,9328
2024-04-01,62.0,62.0,56.2,56.8,29935
2024-04-02,59.0,59.0,56.0,57.0,8322
2024-04-03,58.9,62.7,56.0,62.7,88365
2024-04-04,62.0,66.8,59.5,60.2,15129
2024-04-08,61.0,65.9,59.0,64.9,45839
2024-04-09,68.5,69.9,62.1,67.8,66878
2024-04-15,68.0,72.0,65.5,71.4,106832
2024-04-16,74.3,74.3,66.9,67.4,28252
2024-04-17,69.7,69.7,64.0,64.4,74545
2024-04-18,62.4,64.0,61.1,62.1,37176
2024-04-21,58.3,63.0,58.3,62.3,3847
2024-04-22,66.8,66.8,61.0,62.0,23485
2024-04-23,62.5,63.0,60.0,60.5,32150
2024-04-24,58.0,61.0,55.6,57.0,75836
2024-04-25,54.1,55.0,51.3,53.9,48209
2024-04-28,50.9,54.0,50.1,50.7,112616
2024-04-29,54.8,54.8,49.0,49.7,45191
2024-04-30,48.5,51.9,46.5,47.2,49712
2024-05-02,51.8,51.8,47.8,48.0,21382
2024-05-05,51.0,51.4,49.0,49.8,12126
2024-05-06,54.5,54.5,48.0,49.2,11208
2024-05-07,51.0,51.0,48.0,48.1,20273
2024-05-08,48.1,51.8,47.8,49.6,40100
2024-05-09,51.0,51.0,48.1,48.2,7233
2024-05-12,45.0,50.7,45.0,48.1,29065
2024-05-13,45.1,50.5,45.1,49.2,3503
2024-05-14,50.2,50.2,44.3,47.9,17960
2024-05-15,47.5,48.2,44.1,44.4,15404
2024-05-16,40.3,48.0,40.3,44.8,4282
2024-05-19,48.2,48.2,43.6,44.1,509
2024-05-20,47.9,47.9,43.0,46.9,2017
2024-05-21,49.9,49.9,45.1,45.4,7528
2024-05-23,43.5,47.3,43.5,46.6,22
2024-05-26,49.5,49.5,49.5,49.5,1
2024-05-27,49.9,49.9,49.9,49.9,1
2024-05-28,49.7,49.7,46.2,46.5,727
2024-05-29,49.9,49.9,43.0,43.1,6039
2024-05-30,47.4,47.4,47.4,47.4,2
2024-06-02,49.8,49.8,46.5,46.6,306
2024-06-03,49.8,49.8,49.8,49.8,5
2024-06-04,53.0,53.0,49.4,50.6,16
2024-06-05,52.9,52.9,49.0,50.3,15
