Date,Open,High,Low,Close,Volume
2012-10-01,50.5,54.7,50.2,53.7,1053500
2012-10-02,55.2,55.2,52.0,52.8,1345500
2012-10-03,54.8,55.5,53.1,53.6,1503500
2012-10-04,54.0,55.5,52.3,52.7,890500
2012-10-07,53.7,54.3,48.6,49.3,699500
2012-10-08,50.0,51.9,46.6,48.2,587500
2012-10-09,51.0,53.0,51.0,53.0,628500
2012-10-10,56.0,56.0,50.5,51.1,763000
2012-10-11,53.0,53.2,50.8,51.0,583500
2012-10-14,53.0,53.0,49.8,50.2,648000
2012-10-15,50.1,50.8,47.6,48.0,445500
2012-10-16,48.8,50.5,47.3,48.2,482000
2012-10-17,48.2,49.6,47.4,47.8,368000
2012-10-18,48.0,49.0,47.2,48.0,133000
2012-10-21,48.0,48.0,44.9,45.3,361000
2012-10-22,46.0,47.4,45.2,46.4,170500
2012-10-23,48.4,48.6,47.3,47.8,371500
2012-10-30,47.8,47.8,45.3,46.0,188500
2012-10-31,47.0,47.0,44.7,45.0,574500
2012-11-01,45.0,46.0,44.9,45.1,388500
2012-11-04,45.8,45.8,43.7,43.9,237500
2012-11-05,42.1,45.0,42.1,44.3,210000
2012-11-06,44.1,45.0,44.0,44.3,187000
2012-11-07,43.4,44.9,43.4,43.8,122500
2012-11-08,44.2,44.2,42.1,42.3,168500
2012-11-11,41.6,42.0,39.2,39.8,213500
2012-11-12,39.5,40.9,37.2,37.7,130500
2012-11-13,36.2,40.9,36.2,39.4,194500
2012-11-14,39.0,39.8,37.6,39.0,203000
2012-11-18,36.5,38.6,34.8,37.4,541500
2012-11-19,36.3,36.6,34.9,35.0,271000
2012-11-20,34.7,36.2,34.0,34.1,198000
2012-11-21,35.5,36.0,33.8,34.6,206500
2012-11-22,35.1,36.8,34.7,35.8,250000
2012-11-26,34.9,35.9,34.6,34.8,131500
2012-11-27,34.5,35.7,34.2,34.6,166000
2012-11-28,35.4,35.4,34.0,34.3,149000
2012-11-29,34.7,36.9,34.7,36.7,255500
2012-12-02,37.5,37.6,34.3,35.0,226000
2012-12-03,35.3,35.4,33.8,34.2,146500
2012-12-04,34.2,34.5,33.5,34.2,87000
2012-12-05,34.3,35.0,33.9,34.2,92000
2012-12-06,33.8,35.0,33.6,33.8,116000
2012-12-09,33.0,33.7,32.5,32.6,58500
2012-12-10,31.9,32.2,31.6,31.8,51000
2012-12-11,30.6,32.0,30.6,31.7,61000
2012-12-12,32.5,32.7,31.3,31.6,73500
2012-12-13,32.0,32.0,31.0,31.2,53500
2012-12-17,31.9,32.0,31.5,31.6,60500
2012-12-18,30.0,32.4,30.0,31.1,105500
2012-12-19,31.4,32.1,31.4,31.8,91500
2012-12-20,32.4,32.6,31.6,31.9,93000
2012-12-23,31.6,31.8,30.7,30.9,47500
2012-12-24,30.2,31.2,30.1,31.0,55000
2012-12-26,31.5,31.5,30.8,30.9,61000
2012-12-27,31.0,31.4,30.9,31.2,41000
2012-12-30,30.7,31.4,30.7,30.9,153000
2013-01-01,31.3,31.6,31.0,31.0,58000
2013-01-02,30.8,31.0,30.5,30.7,85000
2013-01-03,31.0,31.5,30.5,31.1,62000
2013-01-06,30.5,31.4,30.5,30.6,82500
2013-01-07,31.2,31.2,30.1,30.3,42000
2013-01-08,30.3,31.0,30.0,30.4,19500
2013-01-09,31.0,31.0,30.2,30.3,45500
2013-01-10,30.2,30.6,30.1,30.1,52000
2013-01-13,30.7,30.7,30.0,30.1,26500
2013-01-14,29.9,30.7,29.9,29.9,64000
2013-01-15,30.0,30.2,29.8,30.0,47000
2013-01-16,29.5,30.0,29.5,29.7,52000
2013-01-17,29.9,30.2,29.8,29.9,41000
2013-01-20,29.4,30.2,29.4,29.8,119000
2013-01-21,29.7,29.7,29.4,29.4,34500
2013-01-22,29.5,29.8,29.3,29.4,65500
2013-01-23,29.7,30.0,29.7,29.9,55500
2013-01-24,30.4,31.3,30.2,30.5,204000
2013-01-27,30.5,30.6,29.2,29.3,149000
2013-01-28,29.2,29.3,28.6,28.9,218500
2013-01-29,29.7,30.9,29.7,30.6,396500
2013-01-30,31.3,31.3,30.1,30.5,121500
2013-01-31,30.9,32.1,30.2,31.9,521000
2013-02-03,31.0,32.6,31.0,31.8,352500
2013-02-04,30.6,31.8,30.6,31.1,234000
2013-02-05,30.9,31.6,30.7,31.4,153000
2013-02-06,32.0,32.0,30.9,30.9,190000
2013-02-07,31.0,31.6,30.9,30.9,188500
2013-02-10,31.2,31.7,31.0,31.4,206000
2013-02-11,31.3,32.3,31.3,32.0,355500
2013-02-12,32.4,33.2,32.0,32.5,581500
2013-02-13,32.3,33.9,32.1,33.6,405000
2013-02-14,34.0,36.3,33.9,35.7,897500
2013-02-17,35.5,35.5,34.2,34.4,207000
2013-02-18,34.5,35.0,33.8,33.9,279000
2013-02-19,33.6,36.0,33.6,33.7,499000
2013-02-20,35.0,35.0,33.0,33.3,224500
2013-02-24,32.8,32.9,30.8,31.1,241500
