Date,Open,High,Low,Close,Volume
2012-10-02,11.0,11.1,10.4,10.9,3500
2012-10-03,11.7,11.9,11.0,11.2,3900
2012-10-04,10.4,10.8,10.4,10.6,2800
2012-10-07,10.6,10.6,10.1,10.5,1900
2012-10-08,11.2,11.2,9.9,10.1,8900
2012-10-09,10.2,11.1,10.1,10.3,2100
2012-10-10,9.9,10.4,9.8,9.8,2900
2012-10-11,9.6,10.7,9.6,10.2,2000
2012-10-15,11.0,11.0,10.6,10.8,300
2012-10-16,10.9,11.5,10.9,11.2,9100
2012-10-17,11.2,11.4,11.2,11.2,1800
2012-10-23,10.6,10.6,10.5,10.5,1500
2012-10-30,9.0,11.7,9.0,10.3,200
2012-10-31,9.4,9.5,9.3,9.4,1500
2012-11-01,10.3,10.3,10.0,10.0,1100
2012-11-04,9.4,9.4,9.3,9.3,2000
2012-11-05,9.4,9.8,9.4,9.5,1800
2012-11-06,9.6,9.6,9.5,9.5,1300
2012-11-07,9.9,9.9,9.6,9.7,600
2012-11-08,9.5,9.5,8.8,8.8,7000
2012-11-11,9.0,9.0,8.8,8.9,2000
2012-11-13,9.0,9.0,9.0,9.0,500
2012-11-14,9.0,9.1,9.0,9.0,1600
2012-11-15,9.5,9.5,9.5,9.5,1000
2012-11-18,9.5,9.5,9.4,9.4,1300
2012-11-19,9.5,9.6,9.3,9.4,6000
2012-11-20,9.3,9.9,9.3,9.5,1800
2012-11-22,9.5,9.5,9.5,9.5,5100
2012-11-26,9.2,9.2,9.2,9.2,200
2012-11-27,9.1,9.1,8.6,8.8,2400
2012-11-28,9.0,9.1,9.0,9.0,4000
2012-11-29,9.1,9.2,9.1,9.1,200
2012-12-02,8.7,8.7,8.6,8.6,200
2012-12-03,8.8,8.8,8.8,8.8,400
2012-12-05,8.8,8.8,8.5,8.6,400
2012-12-06,8.5,8.5,8.5,8.5,300
2012-12-09,8.6,8.8,8.6,8.7,400
2012-12-10,9.0,9.0,9.0,9.0,100
2012-12-11,8.5,8.6,8.5,8.5,1200
2012-12-13,8.9,9.0,8.9,8.9,800
2012-12-18,9.0,9.0,8.9,8.9,2200
2012-12-19,9.0,9.0,8.8,8.9,8400
2012-12-23,8.6,8.6,8.5,8.5,2300
2012-12-24,8.6,8.8,8.6,8.7,1000
2012-12-26,8.8,8.8,8.8,8.8,100
2013-01-01,8.8,8.8,8.7,8.7,400
2013-01-02,8.7,8.7,8.7,8.7,300
2013-01-03,8.7,8.7,8.6,8.6,3500
2013-01-06,8.5,8.5,8.5,8.5,3400
2013-01-07,8.5,8.5,8.5,8.5,100
2013-01-08,8.7,8.7,8.2,8.2,800
2013-01-10,8.4,8.4,8.3,8.3,500
2013-01-13,8.7,8.8,8.7,8.7,1100
2013-01-14,8.8,8.8,8.5,8.6,1100
2013-01-15,8.5,8.5,8.5,8.5,500
2013-01-17,8.5,8.7,8.3,8.5,700
2013-01-21,8.5,8.6,8.5,8.5,1700
2013-01-22,8.6,8.6,8.5,8.5,1200
2013-01-24,8.6,8.7,8.6,8.6,1100
2013-01-27,8.7,8.7,8.7,8.7,400
2013-01-28,8.8,8.8,8.8,8.8,500
2013-01-29,8.8,8.8,8.6,8.7,1800
2013-01-30,8.5,8.5,8.5,8.5,100
2013-01-31,8.2,8.5,8.2,8.4,1100
2013-02-03,8.5,8.5,8.4,8.4,500
2013-02-04,8.4,8.4,8.3,8.3,1000
2013-02-06,8.6,8.6,8.4,8.5,700
2013-02-07,8.5,8.5,8.5,8.5,600
2013-02-10,8.3,8.3,8.3,8.3,300
2013-02-11,8.5,8.5,8.5,8.5,700
2013-02-12,8.7,8.7,8.4,8.4,800
2013-02-14,8.3,8.6,8.2,8.4,3900
2013-02-19,8.4,8.5,8.3,8.3,1100
2013-02-20,8.4,8.4,8.1,8.1,500
2013-02-24,8.1,8.4,8.1,8.2,1000
2013-02-25,8.2,8.3,8.2,8.2,1200
2013-02-26,8.1,8.1,8.1,8.1,400
2013-02-27,8.1,8.1,7.8,7.8,3100
2013-02-28,7.8,7.8,7.8,7.8,1500
2013-03-04,7.4,7.4,7.1,7.2,3200
2013-03-05,7.0,7.0,7.0,7.0,2700
2013-03-06,7.5,7.5,7.5,7.5,100
2013-03-07,7.5,7.5,7.5,7.5,200
2013-03-10,7.5,7.5,7.5,7.5,100
2013-03-12,7.0,7.0,6.9,6.9,300
2013-03-13,7.5,7.5,7.5,7.5,400
2013-03-14,7.7,7.7,7.7,7.7,100
2013-03-18,8.4,8.4,7.8,8.1,200
2013-03-19,8.0,8.0,8.0,8.0,1000
2013-03-24,7.2,7.2,7.2,7.2,100
2013-03-27,7.3,7.3,7.3,7.3,100
