source,t_recv,seq,epoch,body_sha256,http_status,elapsed_ms,symbol,bid_levels,ask_levels,src_order_preserved,n_bid_levels,n_ask_levels,ltp,open,high,low,close_published,yclose,day_trades,day_volume,day_value_mn,buy_pct,sell_pct,total_buy_volume,total_sell_volume,raw_keys,zero_fields,dup_payload
lankabd_depth,2026-09-10 07:50:07.503682+00:00,1,615fcdbc546d4cda8f1815a78b44ca3a,b22e04eaa9138a2b7a6bdb095330cfbf3d0695d8416ac571a49b2b9d34a73962,200,422,1JANATAMF,"[(3.5, 782693.0), (3.4, 1183011.0), (3.3, 648305.0), (3.2, 208096.0), (3.1, 20000.0)]","[(3.6, 1121216.0), (3.7, 850185.0)]",True,5,2,3.5,3.5,3.6,3.4,0.0,3.4,204.0,1565703.0,5.483,59.04,40.96,2842105.0,1971401.0,"['buyPercentage', 'buyPriceTable', 'closePrice', 'dataGrid', 'daysHigh', 'daysLow', 'exchange', 'lastTradePrice', 'noOfTrade', 'openPrice', 'sellPercentage', 'sellPriceTable', 'symbol', 'totalBuyVolume', 'totalSellVolume', 'totalValueBDT', 'totalValueMN', 'totalVolume', 'yClosePrice', 'yDaysHigh', 'yDaysLow', 'yLastTradePrice', 'yNoOfTrade', 'yOpenPrice', 'yTotalValueBDT', 'yTotalVolume', 'yesterdayClosePrice']",['close_published'],False
lankabd_depth,2026-09-10 07:55:27.469964+00:00,385,615fcdbc546d4cda8f1815a78b44ca3a,0af3ff551b183cc5869ae9ddaa58980211373251ef163855953c90ae128e3e3d,200,335,1JANATAMF,"[(3.5, 747507.0), (3.4, 1174811.0), (3.3, 608305.0), (3.2, 208096.0), (3.1, 20000.0)]","[(3.6, 1141531.0), (3.7, 850185.0)]",True,5,2,3.5,3.5,3.6,3.4,0.0,3.4,209.0,1592390.0,5.577,58.07,41.93,2758719.0,1991716.0,"['buyPercentage', 'buyPriceTable', 'closePrice', 'dataGrid', 'daysHigh', 'daysLow', 'exchange', 'lastTradePrice', 'noOfTrade', 'openPrice', 'sellPercentage', 'sellPriceTable', 'symbol', 'totalBuyVolume', 'totalSellVolume', 'totalValueBDT', 'totalValueMN', 'totalVolume', 'yClosePrice', 'yDaysHigh', 'yDaysLow', 'yLastTradePrice', 'yNoOfTrade', 'yOpenPrice', 'yTotalValueBDT', 'yTotalVolume', 'yesterdayClosePrice']",['close_published'],False
lankabd_depth,2026-09-10 07:58:11.144447+00:00,769,615fcdbc546d4cda8f1815a78b44ca3a,67fa58371322eb9bfa36bf9b4f53ac0786a171ace0adc5a5323d5b4e937cc164,200,335,1JANATAMF,"[(3.5, 867507.0), (3.4, 1126352.0), (3.3, 608305.0), (3.2, 208096.0), (3.1, 20000.0)]","[(3.6, 1105036.0), (3.7, 850185.0)]",True,5,2,3.6,3.5,3.6,3.4,0.0,3.4,218.0,1617997.0,5.669,59.14,40.86,2830260.0,1955221.0,"['buyPercentage', 'buyPriceTable', 'closePrice', 'dataGrid', 'daysHigh', 'daysLow', 'exchange', 'lastTradePrice', 'noOfTrade', 'openPrice', 'sellPercentage', 'sellPriceTable', 'symbol', 'totalBuyVolume', 'totalSellVolume', 'totalValueBDT', 'totalValueMN', 'totalVolume', 'yClosePrice', 'yDaysHigh', 'yDaysLow', 'yLastTradePrice', 'yNoOfTrade', 'yOpenPrice', 'yTotalValueBDT', 'yTotalVolume', 'yesterdayClosePrice']",['close_published'],False
lankabd_depth,2026-09-10 08:01:05.806731+00:00,138,a64a998b32c9463bb26069c1f881f54a,cc6ca25b72294e1133cc70eda88668e601981536c17d91c0037720684f9d2144,200,381,1JANATAMF,"[(3.5, 864507.0), (3.4, 1124627.0), (3.3, 608305.0), (3.2, 208096.0), (3.1, 20000.0)]","[(3.6, 1101585.0), (3.7, 850185.0)]",True,5,2,3.5,3.5,3.6,3.4,3.6,3.4,224.0,1621448.0,5.681,59.14,40.86,2825535.0,1951770.0,"['buyPercentage', 'buyPriceTable', 'closePrice', 'dataGrid', 'daysHigh', 'daysLow', 'exchange', 'lastTradePrice', 'noOfTrade', 'openPrice', 'sellPercentage', 'sellPriceTable', 'symbol', 'totalBuyVolume', 'totalSellVolume', 'totalValueBDT', 'totalValueMN', 'totalVolume', 'yClosePrice', 'yDaysHigh', 'yDaysLow', 'yLastTradePrice', 'yNoOfTrade', 'yOpenPrice', 'yTotalValueBDT', 'yTotalVolume', 'yesterdayClosePrice']",[],False
lankabd_depth,2026-09-10 08:03:45.909118+00:00,522,a64a998b32c9463bb26069c1f881f54a,0532c54912f76761553045d9bc1eb1c5c1b4db807a3f70cca27486fc3162de2e,200,325,1JANATAMF,"[(3.5, 864507.0), (3.4, 1109627.0), (3.3, 605305.0), (3.2, 208096.0), (3.1, 20000.0)]","[(3.6, 1099535.0), (3.7, 849685.0)]",True,5,2,3.6,3.5,3.6,3.4,3.6,3.4,225.0,1621498.0,5.681,59.02,40.98,2807535.0,1949220.0,"['buyPercentage', 'buyPriceTable', 'closePrice', 'dataGrid', 'daysHigh', 'daysLow', 'exchange', 'lastTradePrice', 'noOfTrade', 'openPrice', 'sellPercentage', 'sellPriceTable', 'symbol', 'totalBuyVolume', 'totalSellVolume', 'totalValueBDT', 'totalValueMN', 'totalVolume', 'yClosePrice', 'yDaysHigh', 'yDaysLow', 'yLastTradePrice', 'yNoOfTrade', 'yOpenPrice', 'yTotalValueBDT', 'yTotalVolume', 'yesterdayClosePrice']",[],False
lankabd_depth,2026-09-10 08:06:23.216633+00:00,906,a64a998b32c9463bb26069c1f881f54a,ad587d2ed001c395c971cd577ec35a0be97f5f72bd81e0a00f91963661f03cd8,200,347,1JANATAMF,"[(3.5, 645548.0), (3.4, 1102627.0), (3.3, 605305.0), (3.2, 208096.0), (3.1, 20000.0)]","[(3.6, 950675.0), (3.7, 849685.0)]",True,5,2,3.6,3.5,3.6,3.4,3.6,3.4,234.0,1671498.0,5.861,58.91,41.09,2581576.0,1800360.0,"['buyPercentage', 'buyPriceTable', 'closePrice', 'dataGrid', 'daysHigh', 'daysLow', 'exchange', 'lastTradePrice', 'noOfTrade', 'openPrice', 'sellPercentage', 'sellPriceTable', 'symbol', 'totalBuyVolume', 'totalSellVolume', 'totalValueBDT', 'totalValueMN', 'totalVolume', 'yClosePrice', 'yDaysHigh', 'yDaysLow', 'yLastTradePrice', 'yNoOfTrade', 'yOpenPrice', 'yTotalValueBDT', 'yTotalVolume', 'yesterdayClosePrice']",[],False
lankabd_depth,2026-09-10 08:08:59.648214+00:00,1290,a64a998b32c9463bb26069c1f881f54a,ccd47238e50b1f3da1a95be317e11da61176c33b2c22dc8bac04d44effc4000b,200,335,1JANATAMF,"[(3.5, 645548.0), (3.4, 1102627.0), (3.3, 605305.0), (3.2, 208096.0), (3.1, 20000.0)]","[(3.6, 900675.0), (3.7, 849685.0)]",True,5,2,3.6,3.5,3.6,3.4,3.6,3.4,235.0,1721498.0,6.041,59.59,40.41,2581576.0,1750360.0,"['buyPercentage', 'buyPriceTable', 'closePrice', 'dataGrid', 'daysHigh', 'daysLow', 'exchange', 'lastTradePrice', 'noOfTrade', 'openPrice', 'sellPercentage', 'sellPriceTable', 'symbol', 'totalBuyVolume', 'totalSellVolume', 'totalValueBDT', 'totalValueMN', 'totalVolume', 'yClosePrice', 'yDaysHigh', 'yDaysLow', 'yLastTradePrice', 'yNoOfTrade', 'yOpenPrice', 'yTotalValueBDT', 'yTotalVolume', 'yesterdayClosePrice']",[],False
lankabd_depth,2026-09-10 07:50:07.870155+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,2de37038cc8d2b1dbaa114d7f7e41435359a1781f35119ea0361153f3899f463,200,363,1STPRIMFMF,"[(22.0, 15732.0), (21.9, 54101.0), (21.8, 1012.0), (21.7, 27011.0), (21.6, 1033.0), (21.5, 22148.0), (21.4, 1255.0), (21.3, 3005.0), (21.2, 19300.0), (21.1, 12500.0)]","[(22.1, 3242.0), (22.2, 9290.0), (22.3, 16260.0), (22.4, 23473.0), (22.5, 60107.0), (22.6, 20727.0), (22.7, 24783.0), (22.8, 24148.0), (22.9, 27404.0), (23.0, 35700.0)]",True,10,10,22.0,22.0,22.5,22.0,0.0,21.7,411.0,352311.0,7.848,39.06,60.94,157097.0,245134.0,"['buyPercentage', 'buyPriceTable', 'closePrice', 'dataGrid', 'daysHigh', 'daysLow', 'exchange', 'lastTradePrice', 'noOfTrade', 'openPrice', 'sellPercentage', 'sellPriceTable', 'symbol', 'totalBuyVolume', 'totalSellVolume', 'totalValueBDT', 'totalValueMN', 'totalVolume', 'yClosePrice', 'yDaysHigh', 'yDaysLow', 'yLastTradePrice', 'yNoOfTrade', 'yOpenPrice', 'yTotalValueBDT', 'yTotalVolume', 'yesterdayClosePrice']",['close_published'],False
lankabd_depth,2026-09-10 07:55:27.884330+00:00,386,615fcdbc546d4cda8f1815a78b44ca3a,732b02d7b12c96137cd85002559e9685ab15b1e0255747d06c187d12afedf321,200,349,1STPRIMFMF,"[(22.0, 19331.0), (21.9, 54101.0), (21.8, 1012.0), (21.7, 27011.0), (21.6, 1033.0), (21.5, 22148.0), (21.4, 1255.0), (21.3, 3005.0), (21.2, 16500.0), (21.1, 12500.0)]","[(22.1, 3120.0), (22.2, 15290.0), (22.3, 10260.0), (22.4, 23473.0), (22.5, 57706.0), (22.6, 20727.0), (22.7, 24783.0), (22.8, 24148.0), (22.9, 27404.0), (23.0, 35700.0)]",True,10,10,22.1,22.0,22.5,22.0,0.0,21.7,419.0,360334.0,8.025,39.42,60.58,157896.0,242611.0,"['buyPercentage', 'buyPriceTable', 'closePrice', 'dataGrid', 'daysHigh', 'daysLow', 'exchange', 'lastTradePrice', 'noOfTrade', 'openPrice', 'sellPercentage', 'sellPriceTable', 'symbol', 'totalBuyVolume', 'totalSellVolume', 'totalValueBDT', 'totalValueMN', 'totalVolume', 'yClosePrice', 'yDaysHigh', 'yDaysLow', 'yLastTradePrice', 'yNoOfTrade', 'yOpenPrice', 'yTotalValueBDT', 'yTotalVolume', 'yesterdayClosePrice']",['close_published'],False
lankabd_depth,2026-09-10 07:58:11.542319+00:00,770,615fcdbc546d4cda8f1815a78b44ca3a,bd962d4b31aeeeecc61b03ce3666412cf7684d0e05afdf71293883fbb4d16e90,200,333,1STPRIMFMF,"[(22.0, 42131.0), (21.9, 54101.0), (21.8, 1012.0), (21.7, 27011.0), (21.6, 1033.0), (21.5, 22148.0), (21.4, 1255.0), (21.3, 3005.0), (21.2, 16500.0), (21.1, 12500.0)]","[(22.1, 14910.0), (22.2, 2600.0), (22.3, 14760.0), (22.4, 23473.0), (22.5, 57706.0), (22.6, 20727.0), (22.7, 24783.0), (22.8, 24148.0), (22.9, 27404.0), (23.0, 35700.0)]",True,10,10,22.1,22.0,22.5,22.0,0.0,21.7,427.0,367734.0,8.189,42.33,57.67,180696.0,246211.0,"['buyPercentage', 'buyPriceTable', 'closePrice', 'dataGrid', 'daysHigh', 'daysLow', 'exchange', 'lastTradePrice', 'noOfTrade', 'openPrice', 'sellPercentage', 'sellPriceTable', 'symbol', 'totalBuyVolume', 'totalSellVolume', 'totalValueBDT', 'totalValueMN', 'totalVolume', 'yClosePrice', 'yDaysHigh', 'yDaysLow', 'yLastTradePrice', 'yNoOfTrade', 'yOpenPrice', 'yTotalValueBDT', 'yTotalVolume', 'yesterdayClosePrice']",['close_published'],False
