symbol,lankabd_best_bid,dsebd_best_bid,lankabd_best_ask,dsebd_best_ask,bid_agree,ask_agree,levels_lankabd,levels_dsebd
1STPRIMFMF,21.6,21.6,21.8,21.8,True,True,2,2
AAMRANET,,,17.8,17.8,,True,1,1
ABBANK,,,4.6,4.6,,True,1,1
ACIFORMULA,,,151.5,151.5,,True,1,1
ACMEPL,23.7,23.7,24.2,24.2,True,True,2,2
ACTIVEFINE,5.7,5.7,6.0,6.0,True,True,1,1
ADNTEL,,,59.5,59.5,,True,2,2
AGRANINS,,,29.8,29.8,,True,1,1
AL-HAJTEX,77.8,77.8,,,True,,3,3
ANWARGALV,105.2,105.2,105.7,105.7,True,True,1,1
AOL,16.1,16.1,16.4,16.4,True,True,2,2
APEXFOOT,205.0,205.0,,,True,,1,1
ASIAINS,40.0,40.0,,,True,,1,1
BANGAS,,,126.1,126.1,,True,1,1
BANKASIA,16.8,16.8,,,True,,2,2
BARKAPOWER,,,10.0,10.0,,True,2,2
BATBC,,,232.3,232.3,,True,1,1
BBSCABLES,17.7,17.7,,,True,,1,1
BDCOM,29.3,29.3,,,True,,1,1
BDFINANCE,,,12.5,12.5,,True,1,1
BDTHAI,,,16.8,16.8,,True,4,4
BENGALWTL,21.9,21.9,,,True,,1,1
BERGERPBL,1489.2,1489.2,,,True,,1,1
BESTHLDNG,,,14.4,14.4,,True,1,1
BEXIMCO,,,21.7,21.7,,True,2,2
BGIC,40.5,40.5,,,True,,1,1
BNICL,110.2,110.2,,,True,,1,1
BPPL,,,19.8,19.8,,True,1,1
BRACBANK,62.3,62.3,62.5,62.5,True,True,4,4
BSC,,,110.9,110.9,,True,1,1
BSRMLTD,,,97.4,97.4,,True,1,1
BXPHARMA,149.5,149.5,,,True,,3,3
CAPMBDBLMF,,,7.7,7.7,,True,1,1
CITYGENINS,126.7,126.7,,,True,,2,2
CLICL,44.1,44.1,,,True,,1,1
CNATEX,2.9,2.9,,,True,,1,1
