source,t_recv,seq,epoch,body_sha256,http_status,elapsed_ms,symbol,cash_dividend,bonus_dividend,right_issue,year_end,reserve_surplus_mn,oci_mn,financials_url,price_sensitive_url,listing_year,market_category,electronic_share,operational_status,short_term_loan_mn,long_term_loan_mn,scrip_code,cash_dividend_history,bonus_dividend_history,latest_dividend_pct,latest_dividend_year,labels_matched,latest_dividend_raw
dse_ownership,2026-09-08 09:50:14.055381+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,2b3bfa0c1e7c2fb28408ddc52c01672bfa3c3591405a36be099ae674f198036c,200,4830,1JANATAMF,"7% 2022, 13% 2021 3% 2019, 2% 2018, 2% 2017","6%RIU 2018, 10%RIU 2017, 5%RIU 2016, 12.00%RIU 2015, 12.50%RIU 2014",-,30-Jun,-742.8,0.0,http://www.racebd.com/index.php?menu=FinancialReport&Fund=jb11mf,http://www.1janatamf.com/,2010.0,A,Y,Active,0.0,0.0,12178,"[{""year"": 2022, ""percent"": 7.0}, {""year"": 2021, ""percent"": 13.0}, {""year"": 2019, ""percent"": 3.0}, {""year"": 2018, ""percent"": 2.0}, {""year"": 2017, ""percent"": 2.0}]",[],,,14,
dse_ownership,2026-09-08 09:50:16.312033+00:00,2,a4e388692d1a4e3fa50e0610a30f29c3,e278fe4bcaf50e55c8b835ce30c3120a2fefd17ad1a2948b0ea94adae7e2751e,200,2090,1STPRIMFMF,"10% 2023, 11% 2022, 10% 2021, 8% 2020, 7% 2019, 8.5% 2018, 8.5% 2017, 6% 2016, 5% 2015, 10% 2014",-,-,31-Dec,-43.4,0.0,https://icbamcl.gov.bd/investor-relation/price-sensitive-information,,2009.0,A,Y,Active,0.0,0.0,12168,"[{""year"": 2023, ""percent"": 10.0}, {""year"": 2022, ""percent"": 11.0}, {""year"": 2021, ""percent"": 10.0}, {""year"": 2020, ""percent"": 8.0}, {""year"": 2019, ""percent"": 7.0}, {""year"": 2018, ""percent"": 8.5}, {""year"": 2017, ""percent"": 8.5}, {""year"": 2016, ""percent"": 6.0}, {""year"": 2015, ""percent"": 5.0}, {""year"": 2014, ""percent"": 10.0}]",[],,,13,
dse_ownership,2026-09-08 09:50:16.968453+00:00,3,a4e388692d1a4e3fa50e0610a30f29c3,94e31da9ae4c4ef5b4d9243b71e50a222b0e22682607d86cc8bd405bc3da7215,200,417,AAMRANET,"10% 2024, 11% 2023, 5% 2022, 5% 2021, 10% 2020, 6% 2019, 10% 2018, 10% 2017","5% 2022, 5% 2021, 6% 2019","1R:2, 2024",30-Jun,1360.8,0.0,http://www.aamranetworks.com/annual-financial-statements/ ;                          www.aamranetworks.com/quarterly-report/,http://www.aamranetworks.com/price-sensitive-information/,2017.0,Z,Y,Active,275.04,186.89,22649,"[{""year"": 2024, ""percent"": 10.0}, {""year"": 2023, ""percent"": 11.0}, {""year"": 2022, ""percent"": 5.0}, {""year"": 2021, ""percent"": 5.0}, {""year"": 2020, ""percent"": 10.0}, {""year"": 2019, ""percent"": 6.0}, {""year"": 2018, ""percent"": 10.0}, {""year"": 2017, ""percent"": 10.0}]","[{""year"": 2022, ""percent"": 5.0}, {""year"": 2021, ""percent"": 5.0}, {""year"": 2019, ""percent"": 6.0}]",10.0,2024.0,15,10.00 for 2024
dse_ownership,2026-09-08 09:50:18.703659+00:00,4,a4e388692d1a4e3fa50e0610a30f29c3,ffaa257f3fea5edad739a888e9a993f1bbaf04b05f499387e3f75ac9b8ee0697,200,1566,AAMRATECH,"1% 2024, 10% 2023, 6% 2022, 5% 2021, 10% 2020, 5% 2019, 10% 2018, 10% 2017, 10% 2016, 10% 2015, 10% 2014, 5% 2013","6% 2022, 5% 2021, 5% 2019, 10% 2013, 20% 2012",-,30-Jun,256.5,0.0,http://www.aamratechnologies.com/annual-financial-statements/ ;   www.aamratechnologies.com/quarterly-report/,http://www.aamratechnologies.com/price-sensitive-information/,2012.0,Z,Y,Active,247.85,331.07,22647,"[{""year"": 2024, ""percent"": 1.0}, {""year"": 2023, ""percent"": 10.0}, {""year"": 2022, ""percent"": 6.0}, {""year"": 2021, ""percent"": 5.0}, {""year"": 2020, ""percent"": 10.0}, {""year"": 2019, ""percent"": 5.0}, {""year"": 2018, ""percent"": 10.0}, {""year"": 2017, ""percent"": 10.0}, {""year"": 2016, ""percent"": 10.0}, {""year"": 2015, ""percent"": 10.0}, {""year"": 2014, ""percent"": 10.0}, {""year"": 2013, ""percent"": 5.0}]","[{""year"": 2022, ""percent"": 6.0}, {""year"": 2021, ""percent"": 5.0}, {""year"": 2019, ""percent"": 5.0}, {""year"": 2013, ""percent"": 10.0}, {""year"": 2012, ""percent"": 20.0}]",1.0,2024.0,15,1.00 for 2024
dse_ownership,2026-09-08 09:50:20.016289+00:00,5,a4e388692d1a4e3fa50e0610a30f29c3,10495ed24ebb801a1c16c4b5ce02e2a72a69350a6b67f15e430beca17237a8ef,200,1141,ABB1STMF,"5% 2023, 7% 2022, 8% 2021, 3% 2019, 2% 2018, 3% 2017","8%RIU 2018, 10%RIU 2017, 7%RIU 2016, 15%RIU 2015, 10%RIU 2014, 10%RIU 2013",-,30-Jun,-462.2,0.0,,http://www.abb1stmf.com/,2012.0,A,Y,Active,0.0,0.0,12189,"[{""year"": 2023, ""percent"": 5.0}, {""year"": 2022, ""percent"": 7.0}, {""year"": 2021, ""percent"": 8.0}, {""year"": 2019, ""percent"": 3.0}, {""year"": 2018, ""percent"": 2.0}, {""year"": 2017, ""percent"": 3.0}]",[],,,13,
dse_ownership,2026-09-08 09:50:21.818998+00:00,6,a4e388692d1a4e3fa50e0610a30f29c3,0da5bf00e77b86c34fc3fa999f94d8f9715fe1fe0824600ef32a4dcf5b5449d0,200,1567,ABBANK,"2% 2021, 5% 2013, 5% 2011, 10% 2010","2% 2023, 2% 2022, 3% 2021, 5% 2020, 5% 2019, 12.50% 2016, 12.50% 2015, 12.50% 2014, 7% 2013, 12.50% 2012, 20% 2011, 15% 2010, 25% 2009, 15% 2008, 200% 2007, 30% 2006, 10% 2005, 5% 2003 & 2004, 15% 2002, 1B:10 99, 1B:10 97, 1B:10 96, 1B:6 95, 1B:10 94, 1B:6 9",n/a,31-Dec,-41404.8,0.0,https://abbl.com/wp-content/uploads/2025/06/Un-Audited-FS-March-2025.pdf,https://abbl.com/price-sensitive-information/,1983.0,Z,Y,Active,0.0,35922.49,11101,"[{""year"": 2021, ""percent"": 2.0}, {""year"": 2013, ""percent"": 5.0}, {""year"": 2011, ""percent"": 5.0}, {""year"": 2010, ""percent"": 10.0}]","[{""year"": 2023, ""percent"": 2.0}, {""year"": 2022, ""percent"": 2.0}, {""year"": 2021, ""percent"": 3.0}, {""year"": 2020, ""percent"": 5.0}, {""year"": 2019, ""percent"": 5.0}, {""year"": 2016, ""percent"": 12.5}, {""year"": 2015, ""percent"": 12.5}, {""year"": 2014, ""percent"": 12.5}, {""year"": 2013, ""percent"": 7.0}, {""year"": 2012, ""percent"": 12.5}, {""year"": 2011, ""percent"": 20.0}, {""year"": 2010, ""percent"": 15.0}, {""year"": 2009, ""percent"": 25.0}, {""year"": 2008, ""percent"": 15.0}, {""year"": 2007, ""percent"": 200.0}, {""year"": 2006, ""percent"": 30.0}, {""year"": 2005, ""percent"": 10.0}, {""year"": 2003, ""percent"": 5.0}, {""year"": 2002, ""percent"": 15.0}]",,,14,
dse_ownership,2026-09-08 09:50:22.600354+00:00,7,a4e388692d1a4e3fa50e0610a30f29c3,1cfb360721fa154c2e4ae01ab1dc3094df8fad0ffec2ec54a35d0e67843d9ce3,200,606,ABBLPBOND,-,-,-,31-Dec,0.0,0.0,https://abbl.com/wp-content/uploads/2025/06/Un-Audited-FS-March-2025.pdf,https://abbl.com/price-sensitive-information/,2023.0,A,Y,,0.0,0.0,26013,[],[],,,13,
dse_ownership,2026-09-08 09:50:23.207250+00:00,8,a4e388692d1a4e3fa50e0610a30f29c3,015e3c264a9e59cbe46efbef8ee75310e800abe6cd215dfa00c5764406acc0f3,200,441,ACFL,"10% 2025, 10% 2024, 10% 2023, 10% 2022, 11% 2021 10% 2020, 10% 2019, 10% 2018",-,-,30-Jun,1807.4,0.0,https://www.amancotton.com/about-us/financial-statement/,https://www.amancotton.com/psi-for-q3-march-2025/#,2018.0,A,Y,Active,966.74,476.98,17477,"[{""year"": 2025, ""percent"": 10.0}, {""year"": 2024, ""percent"": 10.0}, {""year"": 2023, ""percent"": 10.0}, {""year"": 2022, ""percent"": 10.0}, {""year"": 2021, ""percent"": 11.0}, {""year"": 2020, ""percent"": 10.0}, {""year"": 2019, ""percent"": 10.0}, {""year"": 2018, ""percent"": 10.0}]",[],10.0,2025.0,15,10.00 for 2025
dse_ownership,2026-09-08 09:50:24.405689+00:00,11,a4e388692d1a4e3fa50e0610a30f29c3,8079f86f5f4d0e5e77033d360ebd308f3fdbdb6c2648fa7795083443552c485e,200,411,ACI,"25% 2025, 20% 2024, 40% 2023, 50% 2022, 65% 2021, 80% 2020,100% 2019, 115% 2018, 115% 2017, 115% 2016","15% 2024, 5% 2022, 15% 2021, 10% 2020, 15% 2019, 3.50% 2018, 10% 2017, 10% 2016, 15% 2014, 20% 2013, 20% 2012, 20% 2011, 20% 2008, 20% 1997, 25% 1996, 100% 1994, 100% 1983.",1R:1(At Par) 1997,30-Jun,5916.5,0.0,https://www.aci-bd.com/financials/,https://www.aci-bd.com/price-sensitive-information/,1976.0,A,Y,Active,648.2,5548.42,18455,"[{""year"": 2025, ""percent"": 25.0}, {""year"": 2024, ""percent"": 20.0}, {""year"": 2023, ""percent"": 40.0}, {""year"": 2022, ""percent"": 50.0}, {""year"": 2021, ""percent"": 65.0}, {""year"": 2020, ""percent"": 80.0}, {""year"": 2019, ""percent"": 100.0}, {""year"": 2018, ""percent"": 115.0}, {""year"": 2017, ""percent"": 115.0}, {""year"": 2016, ""percent"": 115.0}]","[{""year"": 2024, ""percent"": 15.0}, {""year"": 2022, ""percent"": 5.0}, {""year"": 2021, ""percent"": 15.0}, {""year"": 2020, ""percent"": 10.0}, {""year"": 2019, ""percent"": 15.0}, {""year"": 2018, ""percent"": 3.5}, {""year"": 2017, ""percent"": 10.0}, {""year"": 2016, ""percent"": 10.0}, {""year"": 2014, ""percent"": 15.0}, {""year"": 2013, ""percent"": 20.0}, {""year"": 2012, ""percent"": 20.0}, {""year"": 2011, ""percent"": 20.0}, {""year"": 2008, ""percent"": 20.0}, {""year"": 1997, ""percent"": 20.0}, {""year"": 1996, ""percent"": 25.0}, {""year"": 1994, ""percent"": 100.0}, {""year"": 1983, ""percent"": 100.0}]",25.0,2025.0,15,25.00 for 2025
dse_ownership,2026-09-08 09:50:26.084364+00:00,12,a4e388692d1a4e3fa50e0610a30f29c3,f4714a962431b5e244ca4c37a3643e1aa7f709f3dbdf2a5ebc1f34f6b5b2adac,200,1510,ACIFORMULA,"25% 2025, 20% 2024, 25% 2023, 25% 2022, 30% 2021, 20% 2020, 35% 2019, 35% 2018, 35% 2017, 35% 2016","5% 2021, 50% 2011, 20% 2008",-,30-Jun,3061.4,33.7,https://www.aci-bd.com/acifl/financials-fl/,https://www.aci-bd.com/acifl/price-sensitive-information-aci-fl-ltd/,2008.0,A,Y,Active,3643.05,0.0,18480,"[{""year"": 2025, ""percent"": 25.0}, {""year"": 2024, ""percent"": 20.0}, {""year"": 2023, ""percent"": 25.0}, {""year"": 2022, ""percent"": 25.0}, {""year"": 2021, ""percent"": 30.0}, {""year"": 2020, ""percent"": 20.0}, {""year"": 2019, ""percent"": 35.0}, {""year"": 2018, ""percent"": 35.0}, {""year"": 2017, ""percent"": 35.0}, {""year"": 2016, ""percent"": 35.0}]","[{""year"": 2021, ""percent"": 5.0}, {""year"": 2011, ""percent"": 50.0}, {""year"": 2008, ""percent"": 20.0}]",25.0,2025.0,15,25.00 for 2025
