source,t_recv,seq,epoch,body_sha256,http_status,elapsed_ms,symbol,exchange,ltp,open,high,low,yclose,day_trades,day_value_mn,day_volume,zero_fields
cse_current_price,2026-09-08 09:30:38.264000+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,1821017764e7f09ae7179b9d34bccfdbec354354b6a0ef973a6c1b53f92d6c52,200,1531,1JANATAMF,CSE,3.4,3.5,3.4,3.4,3.5,1.0,0.0,500.0,[]
cse_current_price,2026-09-08 09:30:38.264000+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,1821017764e7f09ae7179b9d34bccfdbec354354b6a0ef973a6c1b53f92d6c52,200,1531,1STPRIMFMF,CSE,22.4,22.4,22.4,22.4,22.4,0.0,0.0,0.0,[]
cse_current_price,2026-09-08 09:30:38.264000+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,1821017764e7f09ae7179b9d34bccfdbec354354b6a0ef973a6c1b53f92d6c52,200,1531,AAMRANET,CSE,18.0,18.0,18.0,18.0,18.0,1.0,0.02,1000.0,[]
cse_current_price,2026-09-08 09:30:38.264000+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,1821017764e7f09ae7179b9d34bccfdbec354354b6a0ef973a6c1b53f92d6c52,200,1531,AAMRATECH,CSE,18.0,16.4,18.0,18.0,16.4,1.0,0.0,1.0,[]
cse_current_price,2026-09-08 09:30:38.264000+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,1821017764e7f09ae7179b9d34bccfdbec354354b6a0ef973a6c1b53f92d6c52,200,1531,ABB1STMF,CSE,3.6,3.6,3.6,3.6,3.6,0.0,0.0,0.0,[]
cse_current_price,2026-09-08 09:30:38.264000+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,1821017764e7f09ae7179b9d34bccfdbec354354b6a0ef973a6c1b53f92d6c52,200,1531,ABBANK,CSE,4.5,4.5,4.6,4.5,4.5,3.0,0.02,4193.0,[]
cse_current_price,2026-09-08 09:30:38.264000+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,1821017764e7f09ae7179b9d34bccfdbec354354b6a0ef973a6c1b53f92d6c52,200,1531,ABBLPBOND,CSE,950.0,950.0,950.0,950.0,950.0,0.0,0.0,0.0,[]
cse_current_price,2026-09-08 09:30:38.264000+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,1821017764e7f09ae7179b9d34bccfdbec354354b6a0ef973a6c1b53f92d6c52,200,1531,ACFL,CSE,24.1,24.1,24.1,24.1,24.1,0.0,0.0,0.0,[]
cse_current_price,2026-09-08 09:30:38.264000+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,1821017764e7f09ae7179b9d34bccfdbec354354b6a0ef973a6c1b53f92d6c52,200,1531,ACI,CSE,193.2,193.2,193.2,193.2,193.2,0.0,0.0,0.0,[]
cse_current_price,2026-09-08 09:30:38.264000+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,1821017764e7f09ae7179b9d34bccfdbec354354b6a0ef973a6c1b53f92d6c52,200,1531,ACIFORMULA,CSE,152.0,152.0,152.0,152.0,152.0,0.0,0.0,0.0,[]
