source,t_recv,seq,epoch,body_sha256,http_status,elapsed_ms,symbol,ltp,high,low,yclose,day_trades,day_volume,day_value_mn
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,1JANATAMF,3.4,3.6,3.4,3.4,189,1093782,3.769
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,1STPRIMFMF,21.5,22.1,21.3,21.8,350,252145,5.492
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,AAMRANET,17.7,18.6,17.4,17.4,293,261037,4.687
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,AAMRATECH,17.5,18.0,17.3,17.5,171,119114,2.097
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,ABB1STMF,3.5,3.7,3.5,3.5,176,1387229,4.944
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,ABBANK,4.5,4.6,4.4,4.5,146,398431,1.794
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,ACFL,22.2,23.0,21.4,22.3,87,134012,2.969
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,ACI,189.2,190.9,188.8,189.0,88,6197,1.173
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,ACIFORMULA,148.1,154.4,147.3,151.9,564,89968,13.607
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,ACMELAB,77.7,79.0,77.7,77.8,493,127514,9.933
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,ACMEPL,24.1,25.2,24.0,24.7,1026,1831673,44.92
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,ACTIVEFINE,5.8,6.0,5.8,5.9,76,134328,0.785
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,ADNTEL,59.3,61.0,58.9,59.9,275,92251,5.514
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,ADVENT,14.1,14.5,14.0,14.1,101,98251,1.401
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,AFCAGRO,6.6,6.8,6.5,6.6,23,11054,0.073
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,AFTABAUTO,26.9,27.9,26.7,27.2,140,73541,2.006
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,AGNISYSL,30.5,31.6,30.1,31.2,752,857233,26.71
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,AGRANINS,28.6,29.5,28.3,28.9,114,58110,1.688
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,AIBL1STIMF,5.7,6.0,5.6,5.7,403,2386656,13.856
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,AIL,32.0,34.0,31.9,33.4,313,121255,3.968
dsebd_latest,2026-09-08 09:30:29.188339+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,53f2b68418a1323699472f38f3b799976e4707c8ad1265ab6f1e2007dde8e6dc,200,2435,AL-HAJTEX,74.4,78.5,73.8,77.1,672,124756,9.525
