row,symbol,ts,code,detail
370755,ICBSONALI1,2018-09-05,NONPOS_PRICE,price <= 0
509688,MONNOCERA,2018-09-20,NONPOS_PRICE,price <= 0
800838,TAKAFULINS,2018-09-05,NONPOS_PRICE,price <= 0
191827,CONTININS,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
202697,DACCADYE,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
215917,DESCO,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
225059,DHAKAINS,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
232604,DSSL,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
235141,DULAMIACOT,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
277578,FAREASTLIF,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
292923,FIRSTFIN,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
305173,GBBPOWER,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
317183,GHCL,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
320359,GLOBALINS,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
341877,HAKKANIPUL,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
344561,HEIDELBCEM,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
354676,IBNSINA,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
365881,ICBAMCL2ND,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
370755,ICBSONALI1,2018-09-05,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
383935,IMAMBUTTON,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
399996,ISLAMIINS,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
404606,ITC,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
412708,JANATAINS,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
416130,JMISMDL,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
421320,KARNAPHULI,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
423965,KAY&QUE,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
438987,KPPL,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
470976,MEGCONMILK,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
477135,MEGHNALIFE,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
479712,MEGHNAPET,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
492599,MIDASFIN,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
517602,MTB,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
536938,NHFIL,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
540005,NITOLINS,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
558377,OAL,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
574110,PADMALIFE,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
595074,PHOENIXFIN,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
605491,PRAGATIINS,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
608145,PRAGATILIF,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
779439,SQURPHARMA,2013-01-10,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
792973,STYLECRAFT,2018-09-20,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
798212,SUNLIFEINS,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
800814,TAKAFULINS,2018-07-24,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
800838,TAKAFULINS,2018-09-05,OHLC_INCONSISTENT,"high < max(open,close) or low > min(open,close) or high < low"
1786,AAMRANET,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
1792,AAMRANET,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
2857,AAMRATECH,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
2901,AAMRATECH,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
5558,ABBANK,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
5602,ABBANK,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
8853,ACFL,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
8859,ACFL,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
9321,ACHIASF,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
9327,ACHIASF,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
10391,ACI,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
10435,ACI,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
13083,ACIFORMULA,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
13127,ACIFORMULA,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
14893,ACMELAB,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
14937,ACMELAB,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
17451,ACMEPL,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
17457,ACMEPL,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
18510,ACTIVEFINE,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
18554,ACTIVEFINE,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
21493,ADNTEL,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
21499,ADNTEL,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
23303,ADVENT,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
23309,ADVENT,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
24053,AFCAGRO,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
24097,AFCAGRO,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
26620,AFTABAUTO,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
26664,AFTABAUTO,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
29324,AGNISYSL,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
29368,AGNISYSL,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
