symbol,file,file_bytes,lines_physical,header_ok,rows_raw,rows_skipped_by_parser,daily_file_present,daily_header_ok,daily_rows,daily_date_unparseable,daily_date_duplicates,daily_first,daily_last,status,ts_unparseable,nonnumeric_closing,nonnumeric_opening,nonnumeric_high,nonnumeric_low,nonnumeric_volume,seconds_nonzero,rows_unusable,rows_usable,non_monotonic_rows,duplicate_ts_rows,duplicate_ts_distinct,duplicate_ts_conflicting_prices,first_ts,last_ts,days,rows_fri_sat,days_fri_sat,rows_outside_strict_session,rows_outside_loose_session,gap_1min_share,gap_2min_share,gap_gt5min_share,rows_per_day_p10,rows_per_day_median,rows_per_day_p90,rows_per_day_max,days_with_1_row,days_with_lt5_rows,rows_nonpositive_price,rows_negative_volume,rows_zero_volume,rows_volume_1,rows_ohlc_equal,rows_off_tick_grid,rows_ohlc_violation,rows_high_lt_low,rows_minute_jump_ge10pct,rows_minute_jump_ge10pct_finite,rows_minute_jump_through_zero,rows_spike_and_revert,days_gap_zero_endpoint,days_gap_beyond_band,days_gap_gt20pct,rows_floor_era,days_floor_era,ohlc_equal_share_floor,ohlc_equal_share_nonfloor,days_not_in_daily_file,rows_snapshot_prev_session,rows_snapshot_same_day_multirow,xcheck_days,xcheck_close_mismatch,xcheck_close_within_day_range,xcheck_high_mismatch,xcheck_high_minute_above_daily,xcheck_low_mismatch,xcheck_low_minute_below_daily,xcheck_volume_untestable_daily_zero,xcheck_volume_mismatch_5pct,xcheck_volume_minute_gt_daily,xcheck_volume_minute_lt_daily,xcheck_volume_minute_gt_2x_daily,xcheck_days_in_daily_not_minute,xcheck_days_in_minute_not_daily,minute_start_vs_daily_start_days,daily_rows_in_minute_era,days_gap_beyond_band_daily_agrees,days_gap_beyond_band_daily_disagrees,days_gap_beyond_band_daily_untestable,calendar_days_in_span,days_present,days_missing,missing_share,longest_missing_run
1JANATAMF,1JANATAMF.csv,2995504,72632,True,72631,0,True,True,2660.0,0.0,0.0,2012-10-01,2024-02-20,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72631.0,0.0,0.0,0.0,0.0,2015-10-15 10:54:00,2024-01-31 14:29:00,1944.0,150.0,37.0,853.0,147.0,0.2765006295358411,0.23534737646243298,0.27566596403864924,3.0,27.0,85.70000000000005,249.0,104.0,271.0,1.0,0.0,2.0,843.0,69639.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3791.0,333.0,0.9730941704035875,0.9580185938407902,46.0,92.0,97.0,1898.0,460.0,456.0,56.0,1.0,32.0,3.0,0.0,254.0,190.0,64.0,69.0,26.0,46.0,1109.0,1938.0,,,,2002.0,1944.0,58.0,0.028971028971028972,8.0
1STPRIMFMF,1STPRIMFMF.csv,4649845,104210,True,104209,0,True,True,2695.0,0.0,0.0,2012-10-01,2024-02-20,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104209.0,0.0,0.0,0.0,0.0,2015-10-15 11:00:00,2024-01-31 14:22:00,1984.0,154.0,37.0,900.0,151.0,0.38362435803374906,0.22403521643433602,0.19764245536806066,10.0,42.0,109.70000000000005,228.0,67.0,140.0,2.0,0.0,2.0,1218.0,95150.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,17337.0,362.0,0.8236142354501932,0.930921355557602,47.0,63.0,84.0,1937.0,497.0,493.0,139.0,7.0,149.0,8.0,0.0,260.0,178.0,82.0,69.0,25.0,47.0,1109.0,1975.0,1.0,3.0,0.0,2002.0,1984.0,18.0,0.008991008991008992,2.0
AAMRANET,AAMRANET.csv,6897163,154717,True,154716,0,True,True,1502.0,0.0,0.0,2017-10-02,2024-02-20,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154716.0,0.0,0.0,0.0,0.0,2017-10-02 10:30:00,2024-01-31 14:28:00,1476.0,0.0,0.0,1930.0,16.0,0.5606956408248499,0.22362960062646828,0.07139780736100235,33.0,95.0,197.0,263.0,6.0,20.0,0.0,0.0,2.0,1437.0,125541.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,65421.0,368.0,0.7192491707555678,0.8789629878492636,0.0,0.0,9.0,1476.0,203.0,203.0,68.0,3.0,52.0,2.0,0.0,82.0,58.0,24.0,10.0,12.0,0.0,0.0,1502.0,1.0,0.0,0.0,1490.0,1476.0,14.0,0.009395973154362415,2.0
AAMRATECH,AAMRATECH.csv,6490291,145113,True,145112,0,True,True,2700.0,0.0,0.0,2012-10-01,2024-02-20,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145112.0,0.0,0.0,0.0,0.0,2015-10-15 11:00:00,2024-01-31 14:15:00,1986.0,171.0,37.0,2597.0,157.0,0.407815491245476,0.29582326062350656,0.12615457708592429,16.0,61.0,151.5,253.0,36.0,75.0,0.0,0.0,1.0,1091.0,127185.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,48401.0,369.0,0.7883928018016156,0.9205364436310244,47.0,38.0,86.0,1939.0,285.0,283.0,89.0,6.0,63.0,0.0,0.0,283.0,189.0,94.0,69.0,27.0,47.0,1109.0,1980.0,,,,2002.0,1986.0,16.0,0.007992007992007992,4.0
ABB1STMF,ABB1STMF.csv,2472775,59467,True,59466,0,True,True,2613.0,0.0,0.0,2012-10-02,2024-02-20,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59466.0,0.0,0.0,0.0,0.0,2015-10-15 10:56:00,2024-01-31 14:29:00,1911.0,154.0,37.0,771.0,151.0,0.29700286682303884,0.2301972026757015,0.2836591086786552,2.0,19.0,80.0,221.0,107.0,298.0,1.0,0.0,2.0,504.0,56891.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3051.0,303.0,0.9816453621763356,0.955348754763804,47.0,77.0,91.0,1864.0,350.0,346.0,59.0,1.0,54.0,3.0,0.0,263.0,187.0,76.0,68.0,27.0,47.0,1108.0,1905.0,,,,2002.0,1911.0,91.0,0.045454545454545456,8.0
ABBANK,ABBANK.csv,6723884,150964,True,150963,0,True,True,2698.0,0.0,0.0,2012-10-01,2024-02-20,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150963.0,0.0,0.0,0.0,0.0,2015-10-15 10:42:00,2024-01-31 14:23:00,1984.0,229.0,37.0,1675.0,178.0,0.3579900522892488,0.3743010759905758,0.09840313064257379,6.0,73.0,143.70000000000005,271.0,42.0,152.0,0.0,0.0,2.0,878.0,136818.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,8639.0,361.0,0.9145734460006946,0.9057994435232287,47.0,25.0,79.0,1937.0,377.0,374.0,120.0,1.0,85.0,0.0,0.0,268.0,194.0,74.0,71.0,26.0,47.0,1109.0,1977.0,0.0,2.0,0.0,2002.0,1984.0,18.0,0.008991008991008992,1.0
ABBLPBOND,ABBLPBOND.csv,2158,50,True,49,0,True,True,33.0,0.0,0.0,2023-06-15,2024-02-20,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,2023-06-15 10:03:00,2024-01-30 12:57:00,27.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.8636363636363636,1.0,1.0,3.400000000000002,8.0,17.0,26.0,0.0,0.0,0.0,22.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,27.0,1.0,,0.0,5.0,0.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,33.0,,,,154.0,27.0,127.0,0.8246753246753247,63.0
ACFL,ACFL.csv,3478205,78179,True,78178,0,True,True,1216.0,0.0,0.0,2018-08-06,2024-02-20,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78178.0,0.0,0.0,0.0,0.0,2018-08-06 10:33:00,2024-01-31 14:20:00,1193.0,0.0,0.0,831.0,24.0,0.48831590569591476,0.19518087939208936,0.12706371371046307,2.0,62.0,132.0,204.0,109.0,219.0,0.0,0.0,1.0,1191.0,68529.0,0.0,0.0,0.0,1.0,1.0,0.0,12.0,0.0,3.0,0.0,6709.0,296.0,0.8660008943210613,0.8775692957785893,1.0,9.0,9.0,1192.0,242.0,240.0,34.0,1.0,33.0,1.0,0.0,95.0,53.0,42.0,7.0,10.0,1.0,0.0,1216.0,2.0,1.0,0.0,1282.0,1193.0,89.0,0.06942277691107644,6.0
ACHIASF,ACHIASF.csv,393243,9012,True,9011,0,True,True,18.0,0.0,0.0,2024-01-28,2024-02-20,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9011.0,0.0,0.0,0.0,0.0,2022-08-30 15:00:00,2024-01-31 14:16:00,320.0,0.0,0.0,166.0,15.0,0.057645840524680705,0.46266252445058104,0.3325279024277989,8.0,22.0,51.0,275.0,8.0,22.0,411.0,0.0,32.0,1090.0,8933.0,0.0,0.0,0.0,9.0,7.0,2.0,24.0,4.0,4.0,1.0,9011.0,320.0,0.9913439129952281,,316.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,-516.0,18.0,0.0,0.0,4.0,351.0,320.0,31.0,0.08831908831908832,4.0
ACI,ACI.csv,6574316,142259,True,142258,0,True,True,2692.0,0.0,0.0,2012-10-01,2024-02-20,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142258.0,0.0,0.0,0.0,0.0,2015-10-15 10:36:00,2024-01-31 14:24:00,1979.0,201.0,37.0,1852.0,169.0,0.35464324667270225,0.3466306432181581,0.11294634264572745,6.0,71.0,128.0,259.0,44.0,155.0,0.0,0.0,1.0,2457.0,124112.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,9895.0,355.0,0.8323395654370894,0.8754410220378807,47.0,19.0,85.0,1932.0,175.0,170.0,39.0,3.0,31.0,5.0,0.0,260.0,183.0,77.0,66.0,25.0,47.0,1109.0,1971.0,3.0,1.0,0.0,2002.0,1979.0,23.0,0.011488511488511488,5.0
