regime,variant,footprint,outcome,horizon,door_outcome,placebo,n_guarded_rows,n_population,n_occurrences,n_no_outcome,unmeasurable_share,n_measured,n_dates,n_hit,n_failed,n_distinct_doors,n_symbols_hit,top3_symbol_share,hit_rate,fail_share,base_sameday,lift_sameday,t_sameday,base_volmatched,excess_volmatched,lift_volmatched,t_volmatched,t_volmatched_nw,base_shockmatched,lift_shockmatched,t_shockmatched_nw,within_parent,within_parent_t_nw,within_parent_dates,within_parent_diff,within_parent_test,ref_moved_used,lift_vm_vs_ref_volume,lift_vm_vs_ref_moved,p_volmatched_nw,fdr10_volmatched_nw,eligible
DISCOVERY,any,F01_quiet_volume,limit_up,1,True,False,362402.0,360774.0,6661.0,158.0,0.023720162137817146,6503.0,1248.0,116.0,6387.0,116.0,85.0,0.10344827586206896,0.01783792095955713,0.9821620790404428,0.010083526545873783,1.7690161153844013,4.069781797817288,0.012333127756517726,0.005504793203039402,1.4463420238333513,2.9360887524650954,3.054658692476223,0.007695170927072945,2.3180668926794374,4.7755826444236344,F15_REF_abnormal_volume,-6.046128048520828,1220.0,-0.023971318556112592,paired-by-date,"MAX(F16u,F16d)",0.5331871603277191,0.30651665656149335,0.0022531677676117167,True,True
DISCOVERY,any,F02_quiet_volume_persistent,limit_up,1,True,False,362402.0,360774.0,27374.0,378.0,0.013808723606341784,26996.0,1403.0,311.0,26685.0,311.0,153.0,0.08038585209003216,0.011520225218550896,0.9884797747814491,0.01015407202800375,1.1345423970579935,3.0871837467941727,0.012630418685234856,-0.0011101934666839595,0.9121016100612886,-0.6821495451854533,-0.5793389115098755,0.012519318654493993,0.9201958618103824,-1.0043231236956012,,,,,,"MAX(F16u,F16d)",0.33624195341430063,0.19329752669383402,0.5623605148045535,False,True
DISCOVERY,any,F03_dip_recovered,limit_up,1,True,False,362402.0,360774.0,3160.0,51.0,0.016139240506329113,3109.0,1079.0,66.0,3043.0,66.0,50.0,0.16666666666666666,0.02122869089739466,0.9787713091026053,0.010189244771528817,2.083441057055837,3.7373234270205327,0.008968717470550292,0.012259973426844368,2.366970636225442,4.192284315253228,3.699270099557115,0.01018807482067796,2.0836803096801373,3.714597051786465,,,,,,"MAX(F16u,F16d)",0.8725725529036769,0.501621271898166,0.0002162203995926586,True,True
DISCOVERY,any,F04_dip_recovered_persistent,limit_up,1,True,False,362402.0,360774.0,1538.0,13.0,0.008452535760728219,1525.0,807.0,16.0,1509.0,16.0,12.0,0.4375,0.010491803278688525,0.9895081967213115,0.009308164814818482,1.1271613134724157,0.299871745724031,0.007911583627715926,0.0025802196509725987,1.3261318810981853,1.0911261925825362,1.139316013311056,0.010703488394398409,0.9802227920552828,0.2182155125006125,,,,,,"MAX(F16u,F16d)",0.4888722586022763,0.2810410702694584,0.2545713717412893,False,False
DISCOVERY,any,F05_departure_calm,limit_up,1,True,False,362402.0,360774.0,16258.0,285.0,0.01752983146758519,15973.0,1384.0,169.0,15804.0,169.0,105.0,0.1301775147928994,0.010580354347962187,0.9894196456520378,0.008840021876499609,1.1968697018826495,1.6739589223509346,0.00928703641561126,0.0012933179323509278,1.13926056434719,1.103252733809953,0.9847589588186193,0.00594043470075906,1.7810740932158122,4.209449835552021,F06_departure_any,-6.757287802180827,1381.0,-0.020754240628583512,paired-by-date,"MAX(F16u,F16d)",0.4199830297177499,0.24143828595296082,0.324742484453446,False,True
DISCOVERY,any,F06_departure_any,limit_up,1,True,False,362402.0,360774.0,35060.0,541.0,0.015430690245293782,34519.0,1386.0,693.0,33826.0,693.0,209.0,0.06637806637806638,0.02007590022885947,0.9799240997711405,0.009550980419459643,2.1019727134981694,12.604431596574422,0.009586731518573869,0.010489168710285601,2.0941339798619896,12.7229612430123,8.055836300884627,0.014278286972638797,1.4060440350674088,5.9722453701140505,,,,,,"MAX(F16u,F16d)",0.7719926073288531,0.44380024594588524,7.893721873855855e-16,True,True
DISCOVERY,any,F07_idio_activity,limit_up,1,True,False,362402.0,360774.0,5833.0,97.0,0.01662952168695354,5736.0,849.0,216.0,5520.0,216.0,113.0,0.10185185185185185,0.03765690376569038,0.9623430962343096,0.007947083140189694,4.738455997176282,9.13234805267262,0.010023107003827707,0.027633796761862672,3.7570090543091728,8.757671255517845,5.593733477087844,0.017033547181314418,2.2107493738591053,4.716938108453161,F15_REF_abnormal_volume,2.136371393273869,1388.0,0.007887076079594636,between-dates (Welch),"MAX(F16u,F16d)",1.3850036547257554,0.796205762552601,2.2223802501034524e-08,True,True
DISCOVERY,any,F08u_idio_move_up,limit_up,1,True,False,362402.0,360774.0,10357.0,107.0,0.010331176981751473,10250.0,925.0,493.0,9757.0,493.0,169.0,0.0872210953346856,0.04809756097560976,0.9519024390243902,0.010848875907209144,4.433414243741938,14.048826941065588,0.00982720663083107,0.038270354344778684,4.894326819659254,14.45353695922868,9.341225077273696,0.024719973779733652,1.9456962780050324,8.047130398881643,F16u_REF_moved_up,3.3272877647590446,180.0,0.02908949739725845,paired-by-date,F16u_REF_moved_up,1.8042704807632646,1.037232319991039,9.522583354156363e-21,True,True
DISCOVERY,any,F08d_idio_move_down,limit_up,1,True,False,362402.0,360774.0,3223.0,70.0,0.02171889543903196,3153.0,794.0,50.0,3103.0,50.0,40.0,0.16,0.01585791309863622,0.9841420869013637,0.009543691800342266,1.661612029222015,1.9283075541778323,0.007702432092400464,0.008155481006235754,2.058818942952095,2.786733932278964,3.048286630713907,0.019635271944807606,0.8076238079722506,-1.2700269273474012,F16d_REF_moved_down,0.9487370786473043,186.0,0.005816032832161863,paired-by-date,F16d_REF_moved_down,0.758973885659583,1.1091392119182086,0.002301502885271312,True,True
DISCOVERY,any,F09_idio_quiet_volume,limit_up,1,True,False,362402.0,360774.0,2073.0,55.0,0.02653159671972986,2018.0,710.0,36.0,1982.0,36.0,31.0,0.19444444444444445,0.017839444995044598,0.9821605550049554,0.007638824838816567,2.3353651080456435,2.6989558013831765,0.010801465459587756,0.007037979535456842,1.6515763589476358,1.8209896652906143,1.6900486557691237,0.007302125040275801,2.4430484135301525,2.453382022823089,F07_idio_activity,-4.966272780353152,682.0,-0.030108479008772265,paired-by-date,"MAX(F16u,F16d)",0.6088458292581195,0.3500110314563902,0.09101864651582556,False,True
DISCOVERY,any,F10_coil_then_volume,limit_up,1,True,False,362402.0,360774.0,303.0,8.0,0.026402640264026403,295.0,241.0,12.0,283.0,12.0,12.0,0.25,0.04067796610169491,0.9593220338983051,0.006989130230160245,5.820175724606903,2.8458473914245843,0.007151920252517416,0.033526045849177497,5.687698501304823,2.8490028889705874,2.8198311192162033,0.015058081389088368,2.701404319090189,2.1468722139038596,,,,,,"MAX(F16u,F16d)",2.09674320647435,1.2053679554502412,0.004804892977052121,True,False
DISCOVERY,any,F11_closing_strength,limit_up,1,True,False,362402.0,360774.0,1076.0,40.0,0.03717472118959108,1036.0,650.0,16.0,1020.0,16.0,14.0,0.3125,0.015444015444015444,0.9845559845559846,0.009871911077449077,1.564440291535346,1.5870885004027797,0.012042010009339068,0.003402005434676376,1.2825114272482736,1.11945421727508,1.0683287967388908,0.0085642344570916,1.8033153484287268,1.7737948499164908,F15_REF_abnormal_volume,-1.0843256668267913,326.0,-0.008648452236665143,paired-by-date,"MAX(F16u,F16d)",0.4727917841797752,0.2717967867933182,0.2853722231325974,False,False
DISCOVERY,any,F12_closing_strength_10s,limit_up,1,True,False,362402.0,360774.0,1509.0,9.0,0.005964214711729622,1500.0,755.0,64.0,1436.0,64.0,24.0,0.375,0.042666666666666665,0.9573333333333334,0.009632603348159526,4.429401390727758,5.558245330076482,0.013752573627429283,0.028914093039237383,3.102449608527723,4.9449994079545165,3.269754806083768,0.02145734631438966,1.988440976881362,2.729884259645619,,,,,,"MAX(F16u,F16d)",1.1437034045699117,0.6574879699865521,0.0010764074323219184,True,True
DISCOVERY,any,F13_volume_price_divergence,limit_up,1,True,False,362402.0,360774.0,820.0,21.0,0.025609756097560974,799.0,536.0,14.0,785.0,14.0,14.0,0.21428571428571427,0.017521902377972465,0.9824780976220275,0.010377289823860223,1.6884854018131812,1.2536058315086949,0.011262464920683612,0.006259437457288852,1.5557786418311805,0.9530133923691017,1.0657682486013145,0.01671931640807209,1.048003515832315,0.0326075498520165,,,,,,"MAX(F16u,F16d)",0.5735304530099589,0.32970905898176417,0.28652841734756124,False,False
DISCOVERY,any,F14_volume_no_range,limit_up,1,True,False,362402.0,360774.0,1149.0,45.0,0.0391644908616188,1104.0,651.0,68.0,1036.0,68.0,42.0,0.20588235294117646,0.06159420289855073,0.9384057971014492,0.010211177366926096,6.03203731413517,6.382581184461814,0.013611946413323367,0.04798225648522736,4.5250106801965035,6.1023318945860625,4.075055346017829,0.019382865642456434,3.1777655603015753,3.8181352627965466,F15_REF_abnormal_volume,2.1729743361329166,598.0,0.021576078224598356,paired-by-date,"MAX(F16u,F16d)",1.6681238291286522,0.9589648380144774,4.600340467650758e-05,True,True
DISCOVERY,any,F15_REF_abnormal_volume,limit_up,1,True,False,362402.0,360774.0,18449.0,292.0,0.01582741612011491,18157.0,1388.0,597.0,17560.0,597.0,192.0,0.06365159128978225,0.03287988103761635,0.9671201189623837,0.01073234089469542,3.0636262265828322,12.352870052233973,0.012121012950931051,0.020758868086685298,2.7126347583920984,11.931898409882704,7.952701178788688,0.020234437653416183,1.624946618275069,6.462777691159434,,,,,,"MAX(F16u,F16d)",1.0,0.5748762899187134,,False,True
DISCOVERY,any,F16u_REF_moved_up,limit_up,1,True,False,362402.0,360774.0,16732.0,166.0,0.009921109251733206,16566.0,1373.0,748.0,15818.0,748.0,205.0,0.06550802139037433,0.0451527224435591,0.9548472775564409,0.010868140553305502,4.154595003818392,14.411139665549841,0.009569010158031266,0.035583712285527834,4.7186408727617914,14.924715723444315,10.402028999477258,0.024501949517809242,1.8428216257134904,8.853566733558406,,,,,,"MAX(F16u,F16d)",1.739504685680111,1.0,,False,True
