regime,footprint,n_fired,share_of_guarded_rows,n_symbols,n_dates
DISCOVERY,F01_quiet_volume,6774,0.01869194982367647,306,1265
DISCOVERY,F02_quiet_volume_persistent,27551,0.07602331112962953,306,1406
DISCOVERY,F03_absorption,3176,0.008763748544434081,298,1093
DISCOVERY,F04_absorption_persistent,1547,0.004268740238740404,193,812
DISCOVERY,F05_departure_calm,16420,0.04530880072405782,304,1385
DISCOVERY,F06_departure_any,35547,0.0980872070242438,306,1387
DISCOVERY,F07_idio_activity,6023,0.01661966545438491,304,855
DISCOVERY,F08_idio_move,13802,0.038084778781574055,307,928
DISCOVERY,F09_idio_quiet_volume,2147,0.005924360240837523,297,725
DISCOVERY,F10_coil_then_volume,304,0.0008388474677292068,178,250
DISCOVERY,F11_closing_strength,1095,0.0030215065038272414,276,677
DISCOVERY,F12_accumulation_proxy,1526,0.004210793538667005,201,759
DISCOVERY,F13_volume_price_divergence,845,0.0023316648362867753,258,557
DISCOVERY,F14_turnover_no_range,1161,0.0032036247040579248,271,675
DISCOVERY,F15_REF_abnormal_volume,18745,0.05172432823218415,308,1395
DISCOVERY,F16_REF_already_moved,25888,0.07143448435715034,308,1415
DISCOVERY,F17_abnormal_volume_persistent,8961,0.024726684731320468,306,1296
DISCOVERY,F18_quiet_volume_repeat,3215,0.008871363844570395,299,1028
FLOOR,F01_quiet_volume,1846,0.022628649881095392,312,310
FLOOR,F02_quiet_volume_persistent,6857,0.08405452450415553,335,359
FLOOR,F03_absorption,1033,0.0126627276961926,278,300
FLOOR,F04_absorption_persistent,684,0.008384613498737405,132,260
FLOOR,F05_departure_calm,8112,0.09943857412537695,335,369
FLOOR,F06_departure_any,10806,0.1324621834318076,338,369
FLOOR,F07_idio_activity,1366,0.016744710583735813,236,219
FLOOR,F08_idio_move,6085,0.07459118880090221,317,338
FLOOR,F09_idio_quiet_volume,484,0.0059329721248375785,173,175
FLOOR,F10_coil_then_volume,150,0.0018387310304248694,100,82
FLOOR,F11_closing_strength,154,0.001887763857902866,108,107
FLOOR,F12_accumulation_proxy,266,0.0032606830272867687,77,187
FLOOR,F13_volume_price_divergence,444,0.005442643850057613,168,207
FLOOR,F14_turnover_no_range,168,0.0020593787540758536,88,114
FLOOR,F15_REF_abnormal_volume,5059,0.0620142685527961,338,355
FLOOR,F16_REF_already_moved,7417,0.09091912035107505,337,370
FLOOR,F17_abnormal_volume_persistent,3248,0.03981465591213317,307,333
FLOOR,F18_quiet_volume_repeat,1024,0.012552403834367109,250,256
POSTBREAK,F01_quiet_volume,676,0.02052029262665817,78,286
POSTBREAK,F02_quiet_volume_persistent,2504,0.07601007801353854,85,418
POSTBREAK,F03_absorption,306,0.009288771514434023,72,197
POSTBREAK,F04_absorption_persistent,132,0.004006921045442128,25,107
POSTBREAK,F05_departure_calm,1511,0.04586710378532617,86,397
POSTBREAK,F06_departure_any,3301,0.10020338159851866,86,421
POSTBREAK,F07_idio_activity,571,0.017332969067783748,77,265
POSTBREAK,F08_idio_move,1032,0.03132683726436572,84,268
POSTBREAK,F09_idio_quiet_volume,264,0.008013842090884255,62,175
POSTBREAK,F10_coil_then_volume,53,0.001608839510669945,36,46
POSTBREAK,F11_closing_strength,87,0.0026409252344959475,45,75
POSTBREAK,F12_accumulation_proxy,121,0.00367301095832195,31,96
POSTBREAK,F13_volume_price_divergence,117,0.0035515891084600673,43,99
POSTBREAK,F14_turnover_no_range,158,0.004796163069544364,55,124
POSTBREAK,F15_REF_abnormal_volume,1526,0.04632243572230823,83,387
POSTBREAK,F16_REF_already_moved,2197,0.06669095103663904,87,421
POSTBREAK,F17_abnormal_volume_persistent,764,0.023191573323619586,73,302
POSTBREAK,F18_quiet_volume_repeat,369,0.011201165649758675,60,202
