regime,variant,footprint,outcome,horizon,door_outcome,placebo,n_guarded_rows,n_population,n_occurrences,n_no_outcome,unmeasurable_share,n_measured,n_dates,n_hit,n_failed,n_distinct_doors,n_symbols_hit,top3_symbol_share,hit_rate,fail_share,base_sameday,lift_sameday,t_sameday,base_volmatched,excess_volmatched,lift_volmatched,t_volmatched,t_volmatched_nw,base_shockmatched,lift_shockmatched,t_shockmatched_nw,within_parent,within_parent_t_nw,within_parent_dates,within_parent_diff,within_parent_test,ref_moved_used,lift_vm_vs_ref_volume,lift_vm_vs_ref_moved,p_volmatched_nw,fdr10_volmatched_nw,eligible,boot_lower_ratio_vs_volume,boot_lower_ratio_vs_moved
DISCOVERY,fresh_both,F08u_idio_move_up,limit_up,1,True,False,362402.0,315269.0,5496.0,77.0,0.01401018922852984,5419.0,894.0,82.0,5337.0,82.0,69.0,0.0975609756097561,0.015131943162945192,0.9848680568370548,0.005175379922897149,2.9238323347041186,4.709116714395494,0.003939672039408056,0.011192271123537136,3.840914424241973,5.167853698130691,4.659626341652813,0.008597835506567938,1.7599712336187183,3.004848141134625,F16u_REF_moved_up,0.6888779457498925,158.0,0.0062157076397582715,paired-by-date,F16u_REF_moved_up,1.6216096355136893,1.0614929013322063,3.167839105731782e-06,True,True,1.2314624764483806,0.9139632292385307
DISCOVERY,fresh_both,F07_idio_activity,abn_up,1,True,False,362402.0,315269.0,3068.0,74.0,0.024119947848761408,2994.0,786.0,97.0,2897.0,97.0,82.0,0.07216494845360824,0.03239812959251837,0.9676018704074816,0.01122435306814042,2.8864139782343723,5.712424008102727,0.010879925693655071,0.021518203898863303,2.9777896012113607,5.802349128155109,5.432533089217859,0.014832453297541369,2.184273157151197,4.539783098184621,F15_REF_abnormal_volume,-0.7021979774991538,1323.0,-0.003712951001310496,between-dates (Welch),"MAX(F16u,F16d)",1.211549109976346,1.2004724988960396,5.555964683282636e-08,True,True,1.0262488207447753,0.967010964519176
DISCOVERY,fresh_both,F08u_idio_move_up,abn_up,1,True,False,362402.0,315269.0,5496.0,77.0,0.01401018922852984,5419.0,894.0,227.0,5192.0,227.0,155.0,0.05286343612334802,0.04188964753644584,0.9581103524635541,0.014333697713519451,2.922459254665026,8.23293600125057,0.015183570267923947,0.026706077268521894,2.7588799470266765,8.053846048938356,7.24575451107796,0.02516894870708022,1.6643383887012315,5.3162432435714315,F16u_REF_moved_up,2.714493277685952,158.0,0.03842203858026643,paired-by-date,F16u_REF_moved_up,1.1224831139822729,1.1122207904863348,4.3003841081616637e-13,True,True,0.9628555324369692,0.9996189403583031
DISCOVERY,fresh_both,F14_volume_no_range,abn_up,1,True,False,362402.0,315269.0,798.0,35.0,0.043859649122807015,763.0,502.0,31.0,732.0,31.0,27.0,0.1935483870967742,0.04062909567496723,0.9593709043250328,0.014395858351302662,2.8222767051115616,3.4421077968981764,0.014512703968168056,0.026116391706799177,2.7995538091373233,3.4842900727798853,3.792492414595594,0.012705513198718689,3.1977532146489405,3.9374920756777767,F15_REF_abnormal_volume,0.13571019339720108,457.0,0.0013698356001161911,paired-by-date,"MAX(F16u,F16d)",1.1390317584598437,1.1286181386629348,0.0001491428075859133,True,True,0.7980206215396842,0.7339742900759205
DISCOVERY,fresh_both,F07_idio_activity,abn_up,2,True,False,362402.0,315269.0,3068.0,118.0,0.038461538461538464,2950.0,783.0,134.0,2816.0,126.0,93.0,0.08955223880597014,0.04542372881355932,0.9545762711864407,0.02031702250750864,2.2357473294510504,5.492983402913423,0.02029732408889698,0.025126404724662342,2.237917107428312,5.6665941824422585,5.500715676726268,0.024291718334838973,1.8699265398781197,4.572607443361402,F15_REF_abnormal_volume,-0.5554768732745885,1320.0,-0.003324698197173688,between-dates (Welch),"MAX(F16u,F16d)",1.1659216307413225,1.238053561442776,3.782527460588569e-08,True,True,0.9871515541451111,1.0233581953294082
DISCOVERY,fresh_both,F08u_idio_move_up,abn_up,2,True,False,362402.0,315269.0,5496.0,122.0,0.02219796215429403,5374.0,894.0,352.0,5022.0,344.0,187.0,0.05397727272727273,0.06550055824339412,0.9344994417566059,0.025417025596184736,2.577034751588958,9.567332758603792,0.03158942082481745,0.033911137418576674,2.0734966496104676,8.528131331641145,8.646212923517954,0.04360368348390167,1.5021794722360258,6.241054794750254,F16u_REF_moved_up,3.4385313960777473,158.0,0.05044696864317117,paired-by-date,F16u_REF_moved_up,1.080261010126778,1.1470933857062604,5.323673719518727e-18,True,True,0.9618504172376959,1.0553552370612609
DISCOVERY,fresh_both,F14_volume_no_range,abn_up,2,True,False,362402.0,315269.0,798.0,55.0,0.06892230576441102,743.0,495.0,38.0,705.0,37.0,34.0,0.15789473684210525,0.05114401076716016,0.9488559892328399,0.02466417430711037,2.073615363333529,3.1579372182056624,0.023702340965550104,0.027441669801610055,2.1577620050903343,3.3272736146595188,3.4121714523755937,0.020569443166208016,2.4864071600723148,3.6809357570614156,F15_REF_abnormal_volume,0.4705971338591636,448.0,0.004963046331942304,paired-by-date,"MAX(F16u,F16d)",1.1241620109055703,1.1937104043222784,0.0006444756388438055,True,True,0.7475673629824163,0.7799126461712133
DISCOVERY,fresh_both,F07_idio_activity,abn_up,3,True,False,362402.0,315269.0,3068.0,157.0,0.051173402868318126,2911.0,781.0,163.0,2748.0,145.0,101.0,0.08588957055214724,0.0559945036070079,0.9440054963929921,0.025962945924912908,2.156708401617785,5.983293542437419,0.02592420210793428,0.030070301499073623,2.1599316103877464,6.156180635648947,6.594481308250638,0.03038275742635633,1.8429697746404672,5.446371658854274,F15_REF_abnormal_volume,0.7077828783475228,1318.0,0.004615769382316046,between-dates (Welch),"MAX(F16u,F16d)",1.2303399067350762,1.2925711776248858,4.267451717394795e-11,True,True,1.0463166146319514,1.0779457848767775
DISCOVERY,fresh_both,F07_idio_activity,abn_up,5,True,False,362402.0,315269.0,3068.0,231.0,0.07529335071707953,2837.0,777.0,175.0,2662.0,150.0,105.0,0.11428571428571428,0.06168487839266831,0.9383151216073317,0.03209584970525384,1.9218957889926493,5.887379379806501,0.03267264437974377,0.02901223401292454,1.8879671224564671,6.0469122812559215,5.257858934136581,0.037801075304731105,1.631828668771969,4.072848003267776,F15_REF_abnormal_volume,1.0023710179384593,1312.0,0.006840168703794541,between-dates (Welch),"MAX(F16u,F16d)",1.2011059550626537,1.2289126414825378,1.457422442220543e-07,True,True,1.0322145361297541,1.0452907640767128
DISCOVERY,fresh_both,F07_idio_activity,abn_up,10,True,False,362402.0,315269.0,3068.0,396.0,0.1290743155149935,2672.0,760.0,189.0,2483.0,163.0,107.0,0.13756613756613756,0.07073353293413173,0.9292664670658682,0.038525000486613434,1.8360423631586984,5.555355436641503,0.039607742607427235,0.031125790326704497,1.7858511563056814,5.615976516963469,4.4847774814846195,0.043635824483808275,1.620996824762151,4.125640265237362,F15_REF_abnormal_volume,2.967537231197586,1295.0,0.02250155242965264,between-dates (Welch),"MAX(F16u,F16d)",1.3455892048576434,1.317192239501238,7.299006488614244e-06,True,True,1.1335814780080147,1.107839535496592
DISCOVERY,fresh_both,F07_idio_activity,run20,5,True,False,362402.0,315269.0,3068.0,231.0,0.07529335071707953,2837.0,777.0,58.0,2779.0,54.0,49.0,0.13793103448275862,0.020444131124427212,0.9795558688755728,0.007865139919385531,2.5993347014765407,4.195983059064039,0.008244854970752821,0.012199276153674391,2.4796228917244982,3.94069899771381,3.896338204390135,0.009375942705589196,2.1804880603888543,3.172457527298018,F15_REF_abnormal_volume,2.9893437532797673,1312.0,0.012650777620004432,between-dates (Welch),"MAX(F16u,F16d)",1.5514607168397228,1.48781401057312,9.765799435654828e-05,True,True,1.2159659019305609,1.0913970810783509
