regime,feature,sessions_before_door,n_events,n_dates,mean_excess_vs_xs,t_over_dates
DISCOVERY,rel_volume_z,1,2247,892,0.45690347422055966,13.595013372004383
DISCOVERY,rel_volume_z,2,2245,891,0.25883434883306655,9.269787731706684
DISCOVERY,rel_volume_z,3,2244,890,0.19715927141293788,6.8423734541974675
DISCOVERY,rel_volume_z,4,2244,890,0.1766962786891713,6.69820393570452
DISCOVERY,rel_volume_z,5,2244,890,0.11933338906255056,4.318751132308121
DISCOVERY,rel_volume_z,6,2243,890,0.14124947222528794,3.7690333925910706
DISCOVERY,rel_volume_z,7,2242,889,0.14057897895556465,4.13587388250369
DISCOVERY,rel_volume_z,8,2240,889,0.1363015797112407,3.499040938976977
DISCOVERY,rel_volume_z,9,2239,889,0.12641148975425384,2.832742081280167
DISCOVERY,rel_volume_z,10,2238,889,0.1275944522348033,3.3823330128294704
DISCOVERY,rel_turnover_z,1,2247,892,0.418022247363272,12.191095162801984
DISCOVERY,rel_turnover_z,2,2245,891,0.2532804186278644,9.367185769239285
DISCOVERY,rel_turnover_z,3,2244,890,0.2008815818920482,7.302842962480859
DISCOVERY,rel_turnover_z,4,2244,890,0.18663934314866,7.165846187983697
DISCOVERY,rel_turnover_z,5,2244,890,0.13707651179986646,5.063607975864878
DISCOVERY,rel_turnover_z,6,2243,890,0.15462036334254417,4.1256629712562365
DISCOVERY,rel_turnover_z,7,2242,889,0.15780713021548037,4.648288132489203
DISCOVERY,rel_turnover_z,8,2240,889,0.15338110762261925,4.132735417917657
DISCOVERY,rel_turnover_z,9,2239,889,0.1369261827401857,3.2496311622990053
DISCOVERY,rel_turnover_z,10,2238,889,0.1380347732052855,3.7775617840931424
DISCOVERY,range_z,1,2240,892,0.49211419151094,9.435609929737888
DISCOVERY,range_z,2,2238,891,0.3211158033744832,6.080005328377682
DISCOVERY,range_z,3,2237,890,0.283528913046981,6.2442841005558245
DISCOVERY,range_z,4,2238,890,0.2460679604215007,5.592962356505354
DISCOVERY,range_z,5,2238,890,0.1867641093416758,3.906351081295688
DISCOVERY,range_z,6,2236,890,0.20581746298948908,4.051875349617036
DISCOVERY,range_z,7,2235,889,0.16719551711879835,3.3397489918314447
DISCOVERY,range_z,8,2232,888,0.16498094294838786,2.8298331352809765
DISCOVERY,range_z,9,2233,889,0.14403594697907132,3.1937082708098754
DISCOVERY,range_z,10,2233,889,0.17142544756814146,3.6370720637926657
DISCOVERY,close_location,1,2206,878,0.06606382821413906,9.390505855586532
DISCOVERY,close_location,2,2210,880,-0.016885139265711103,-2.591901601736587
DISCOVERY,close_location,3,2217,884,-0.006352791655242094,0.5765997259143134
DISCOVERY,close_location,4,2214,879,-0.005689116257685667,-0.40661433798472835
DISCOVERY,close_location,5,2202,877,-0.014293764886254756,-0.7631620601589116
DISCOVERY,close_location,6,2203,882,-0.0019124812994249047,0.32833337294994985
DISCOVERY,close_location,7,2196,879,0.014415633757331688,1.195132335296439
DISCOVERY,close_location,8,2188,875,0.01654787934577197,1.232150574412684
DISCOVERY,close_location,9,2183,875,0.012257876755385646,1.3861457791184095
DISCOVERY,close_location,10,2182,878,0.016493086691992752,1.231195257483646
DISCOVERY,market_relative_ret,1,2247,892,-0.0019906883659703213,1.453192487463677
DISCOVERY,market_relative_ret,2,2245,891,-0.00531995762698352,-5.178832420502336
DISCOVERY,market_relative_ret,3,2244,890,-0.0029620949383218293,-1.9597587370403888
DISCOVERY,market_relative_ret,4,2244,890,-0.0022026741239442728,-1.536650716416004
DISCOVERY,market_relative_ret,5,2244,890,-0.0013799285546294384,-0.5936072630608857
DISCOVERY,market_relative_ret,6,2243,890,0.001040775887328998,2.0514795329219044
DISCOVERY,market_relative_ret,7,2242,889,0.001186570069126533,0.8259609017585523
DISCOVERY,market_relative_ret,8,2240,889,0.0010411980965075198,1.0017707053577483
DISCOVERY,market_relative_ret,9,2239,889,0.0009285214191356204,1.761822638506456
DISCOVERY,market_relative_ret,10,2238,889,0.002356972013793967,1.4570938599318854
DISCOVERY,volume_price_divergence,1,2247,892,0.1656832795741552,12.4612328849077
DISCOVERY,volume_price_divergence,2,2245,891,0.10658577795537372,8.94047933534026
DISCOVERY,volume_price_divergence,3,2244,890,0.05857394379336375,4.935377270747621
DISCOVERY,volume_price_divergence,4,2244,890,0.03857572864892782,4.036060096499018
DISCOVERY,volume_price_divergence,5,2244,890,0.016663326217525507,1.3070332847950286
DISCOVERY,volume_price_divergence,6,2243,890,0.022594562158790975,1.9716352829794113
DISCOVERY,volume_price_divergence,7,2242,889,0.01923988478388458,1.382218254356551
DISCOVERY,volume_price_divergence,8,2240,889,0.028744482080805676,2.0606730274895373
DISCOVERY,volume_price_divergence,9,2239,889,0.020276630858313622,0.6633612583004055
DISCOVERY,volume_price_divergence,10,2238,889,0.003123573241361935,0.4956847679549129
DISCOVERY,accumulation_proxy,1,2043,839,-0.003736714094570948,-1.0053829333692026
DISCOVERY,accumulation_proxy,2,2045,842,-0.004845322927359265,-1.621300986967959
DISCOVERY,accumulation_proxy,3,2034,841,0.0014189239194325588,-0.036704134952429975
DISCOVERY,accumulation_proxy,4,2028,837,0.0058984784990056245,1.0135710668880946
DISCOVERY,accumulation_proxy,5,2017,835,0.008640223631985806,1.4503248936083997
DISCOVERY,accumulation_proxy,6,2015,837,0.01183995068112496,2.515595842900542
DISCOVERY,accumulation_proxy,7,2008,835,0.012815294756603385,2.889253094034658
DISCOVERY,accumulation_proxy,8,2000,831,0.012720761303423455,2.932844561813526
DISCOVERY,accumulation_proxy,9,2003,834,0.012899700080275365,2.7388919671098524
DISCOVERY,accumulation_proxy,10,2011,834,0.01325791148732359,2.850251338333142
DISCOVERY,amihud_z,1,2147,872,-0.08057656105143288,-5.723320361193253
DISCOVERY,amihud_z,2,2148,866,-0.13285069084414416,-5.709273077150108
DISCOVERY,amihud_z,3,2138,874,-0.08538375522407608,-4.112883182461388
DISCOVERY,amihud_z,4,2125,867,-0.11196748426616342,-4.684929334674915
DISCOVERY,amihud_z,5,2139,859,-0.10431296432657332,-4.75998807776051
DISCOVERY,amihud_z,6,2119,867,-0.05354307828364788,-2.697791932197413
DISCOVERY,amihud_z,7,2127,867,-0.058952478963867745,-3.501917895368992
DISCOVERY,amihud_z,8,2121,871,-0.06453013459234413,-2.2462499403463156
DISCOVERY,amihud_z,9,2126,864,-0.08329439752638287,-2.5450154999345265
DISCOVERY,amihud_z,10,2100,862,-0.06312581394926761,-1.9624165790812826
DISCOVERY,ret_1,1,2247,892,-0.0019906883659703213,1.4531924874636772
DISCOVERY,ret_1,2,2245,891,-0.00531995762698352,-5.178832420502336
DISCOVERY,ret_1,3,2244,890,-0.0029620949383218293,-1.9597587370403888
DISCOVERY,ret_1,4,2244,890,-0.0022026741239442728,-1.536650716416004
DISCOVERY,ret_1,5,2244,890,-0.0013799285546294382,-0.593607263060886
DISCOVERY,ret_1,6,2243,890,0.001040775887328998,2.051479532921905
DISCOVERY,ret_1,7,2242,889,0.001186570069126533,0.8259609017585521
DISCOVERY,ret_1,8,2240,889,0.0010411980965075195,1.0017707053577483
DISCOVERY,ret_1,9,2239,889,0.0009285214191356202,1.761822638506456
DISCOVERY,ret_1,10,2238,889,0.002356972013793967,1.4570938599318846
FLOOR,rel_volume_z,1,701,261,0.9283674142323515,11.79196302045013
FLOOR,rel_volume_z,2,697,260,0.7258397934289055,10.266874210863003
FLOOR,rel_volume_z,3,694,259,0.6430123934408142,9.072344876056821
FLOOR,rel_volume_z,4,693,258,0.6229865458965838,8.358580929427957
FLOOR,rel_volume_z,5,691,257,0.628058453904153,9.422084554727322
FLOOR,rel_volume_z,6,689,256,0.5890380516384133,7.5907841012969035
FLOOR,rel_volume_z,7,687,255,0.5699012779917711,7.154320127511129
FLOOR,rel_volume_z,8,687,255,0.5265703701598661,7.072585554800652
FLOOR,rel_volume_z,9,687,255,0.6055640038911455,7.49992483548992
FLOOR,rel_volume_z,10,684,254,0.5140347702323039,6.5975008978465475
FLOOR,rel_turnover_z,1,701,261,0.9032154645663362,12.138949231019986
FLOOR,rel_turnover_z,2,697,260,0.7189588425874344,10.651294093779875
FLOOR,rel_turnover_z,3,694,259,0.6517750108429949,9.532781865599022
FLOOR,rel_turnover_z,4,693,258,0.6344694841754662,8.94749431269658
FLOOR,rel_turnover_z,5,691,257,0.641745013741147,9.853994525768995
FLOOR,rel_turnover_z,6,689,256,0.6079553859357018,8.119583808030141
FLOOR,rel_turnover_z,7,687,255,0.5857196612283088,7.745084336677595
FLOOR,rel_turnover_z,8,687,255,0.5473303521188334,7.637761270868795
FLOOR,rel_turnover_z,9,687,255,0.6152151026610307,8.052972781315402
FLOOR,rel_turnover_z,10,684,254,0.5259598283815913,6.856819397677698
FLOOR,range_z,1,615,247,0.626541521882196,5.7005370482047395
FLOOR,range_z,2,608,246,0.5019588781607185,4.4557106409988565
FLOOR,range_z,3,605,245,0.5812665221848476,5.619968560347254
FLOOR,range_z,4,599,243,0.5649363422534819,3.9779465741507516
FLOOR,range_z,5,596,242,0.5414410635710889,4.1502981584162795
FLOOR,range_z,6,591,238,0.43030724540697485,4.5834236889664695
FLOOR,range_z,7,589,237,0.5718815248374055,5.218127359858047
FLOOR,range_z,8,590,237,0.5054533134679495,4.943514218639877
FLOOR,range_z,9,587,237,0.5492270858718666,5.176404617103849
FLOOR,range_z,10,584,236,0.46208238043760436,4.314316791145154
FLOOR,close_location,1,680,257,0.07914864066424188,5.844336776297583
FLOOR,close_location,2,660,254,-0.011571341816235467,-1.6929699531891123
FLOOR,close_location,3,652,251,0.005871422909245761,0.40759116906726783
FLOOR,close_location,4,641,248,-0.005096155496124338,-0.18365422770402728
FLOOR,close_location,5,629,246,0.00037092424355142926,0.8745013093454526
FLOOR,close_location,6,611,239,0.033440832003830766,3.075470256146547
FLOOR,close_location,7,612,240,0.04316340792620173,1.7501730514713807
FLOOR,close_location,8,606,240,0.05160411694229907,3.2968838478265092
FLOOR,close_location,9,606,240,0.03998144399345639,2.9100082454559186
FLOOR,close_location,10,598,238,0.042821332927721084,3.4106984571131127
FLOOR,market_relative_ret,1,701,261,0.0007991056739792025,1.2054538124110703
FLOOR,market_relative_ret,2,697,260,-0.005209248398911442,-2.8131819189853493
FLOOR,market_relative_ret,3,694,259,0.002052342182728574,0.5161165854932901
FLOOR,market_relative_ret,4,693,258,-0.005402229619037583,-3.4985456161076187
FLOOR,market_relative_ret,5,691,257,-0.005336185594767606,-2.069978888430131
FLOOR,market_relative_ret,6,689,256,0.0009769692530732146,1.349510963312302
FLOOR,market_relative_ret,7,687,255,0.0021361569886230044,0.9736937591569161
FLOOR,market_relative_ret,8,687,255,0.003192199974711337,1.5199715990077673
FLOOR,market_relative_ret,9,687,255,0.0010349872408209866,1.2707243564777795
FLOOR,market_relative_ret,10,684,254,0.0028734292532008225,2.752935594989039
FLOOR,volume_price_divergence,1,701,261,0.5401787913981603,12.018321409103537
FLOOR,volume_price_divergence,2,697,260,0.48849969258826165,10.842954458630661
FLOOR,volume_price_divergence,3,694,259,0.45069461754139345,10.547349551757039
FLOOR,volume_price_divergence,4,693,258,0.4102372497293591,9.972508360918697
FLOOR,volume_price_divergence,5,691,257,0.36116419450975773,9.052559245941152
FLOOR,volume_price_divergence,6,689,256,0.3415850451709343,7.6293323830532085
FLOOR,volume_price_divergence,7,687,255,0.3415329717807213,8.335993589976102
FLOOR,volume_price_divergence,8,687,255,0.3266068609494998,7.930112049152806
FLOOR,volume_price_divergence,9,687,255,0.34620969111357913,8.032435784837004
FLOOR,volume_price_divergence,10,684,254,0.2891245443116237,5.90308679755862
FLOOR,accumulation_proxy,1,576,235,-0.009940326936571216,-0.3973727204562516
FLOOR,accumulation_proxy,2,573,236,-0.011099085309703839,-0.6785010071370767
FLOOR,accumulation_proxy,3,563,234,-0.009268301207794337,-1.0600183532980423
FLOOR,accumulation_proxy,4,560,232,-0.0056491400136866165,-0.6252050540030495
FLOOR,accumulation_proxy,5,555,230,-0.0022801435890501495,-0.3605267455628745
FLOOR,accumulation_proxy,6,552,228,0.0017945885456309106,0.15170569646560134
FLOOR,accumulation_proxy,7,558,230,0.003509495575327105,0.04538597819265024
