regime,door,footprint,window,n_fresh_doors,n_doors_with_footprint,recall,base_share_predoor_rows,recall_lift,lead_median,lead_p25,lead_p75
DISCOVERY,limit_up,F01_quiet_volume,5,3328,411,0.12349759615384616,0.06662490825105821,1.8536250089602881,2.0,1.0,3.0
DISCOVERY,limit_up,F01_quiet_volume,10,3328,584,0.17548076923076922,0.11221516437547255,1.5637883721634058,3.0,2.0,6.0
DISCOVERY,limit_up,F02_quiet_volume_persistent,5,3328,740,0.22235576923076922,0.1648638804421609,1.348723374910359,2.0,1.0,3.0
DISCOVERY,limit_up,F02_quiet_volume_persistent,10,3328,1031,0.3097956730769231,0.24603892914498265,1.2591327484374257,3.0,1.0,6.0
DISCOVERY,limit_up,F03_dip_recovered,5,3328,220,0.06610576923076923,0.03849040568208785,1.7174609635650748,3.0,1.0,4.0
DISCOVERY,limit_up,F03_dip_recovered,10,3328,341,0.1024639423076923,0.07111439782341157,1.4408325942958369,4.0,2.0,7.0
DISCOVERY,limit_up,F04_dip_recovered_persistent,5,3328,35,0.010516826923076924,0.009045203944790591,1.1626964949899097,1.0,1.0,3.0
DISCOVERY,limit_up,F04_dip_recovered_persistent,10,3328,53,0.015925480769230768,0.014715702451973223,1.0822100284512974,3.0,1.0,7.0
DISCOVERY,limit_up,F05_departure_calm,5,3328,701,0.21063701923076922,0.17601999988962533,1.1966652616910054,2.0,1.0,4.0
DISCOVERY,limit_up,F05_departure_calm,10,3328,1107,0.33263221153846156,0.2948576442734864,1.1281112021295894,4.0,2.0,7.0
DISCOVERY,limit_up,F06_departure_any,5,3328,1450,0.43569711538461536,0.30121246571486915,1.4464777025431967,2.0,1.0,3.0
DISCOVERY,limit_up,F06_departure_any,10,3328,1879,0.5646033653846154,0.4610929299507177,1.2244893137809791,2.0,1.0,5.0
DISCOVERY,limit_up,F07_idio_activity,5,3328,487,0.1463341346153846,0.05563711017047367,2.630153402414552,2.0,1.0,3.0
DISCOVERY,limit_up,F07_idio_activity,10,3328,656,0.1971153846153846,0.09556514588771585,2.0626284068773892,3.0,1.0,6.0
DISCOVERY,limit_up,F08u_idio_move_up,5,3328,1035,0.31099759615384615,0.12575261725928666,2.473090444810439,2.0,1.0,3.0
DISCOVERY,limit_up,F08u_idio_move_up,10,3328,1396,0.41947115384615385,0.22802026478882567,1.8396222556562456,3.0,1.0,6.0
DISCOVERY,limit_up,F08d_idio_move_down,5,3328,194,0.05829326923076923,0.043934636122317204,1.3268180728406753,2.0,1.0,4.0
DISCOVERY,limit_up,F08d_idio_move_down,10,3328,345,0.10366586538461539,0.0845773478071313,1.2256930262345564,5.0,2.0,7.0
DISCOVERY,limit_up,F09_idio_quiet_volume,5,3328,139,0.04176682692307692,0.02347393226306698,1.7792854837871073,2.0,1.0,4.0
DISCOVERY,limit_up,F09_idio_quiet_volume,10,3328,223,0.06700721153846154,0.042405946987047534,1.5801371340422656,4.0,2.0,7.0
DISCOVERY,limit_up,F10_coil_then_volume,5,3328,26,0.0078125,0.003926578771640333,1.989645555165144,2.0,1.0,3.0
DISCOVERY,limit_up,F10_coil_then_volume,10,3328,40,0.01201923076923077,0.007690354909741117,1.5628967596809362,3.0,1.0,7.0
DISCOVERY,limit_up,F11_closing_strength,5,3328,61,0.018329326923076924,0.014100363684527127,1.2999187349465604,2.0,1.0,4.0
DISCOVERY,limit_up,F11_closing_strength,10,3328,110,0.033052884615384616,0.02727633953455003,1.211778602972647,5.0,2.0,7.0
DISCOVERY,limit_up,F12_closing_strength_10s,5,3328,122,0.03665865384615385,0.008783064111125215,4.173788712269508,1.0,1.0,3.0
DISCOVERY,limit_up,F12_closing_strength_10s,10,3328,175,0.052584134615384616,0.013929282950977092,3.775078358336889,3.0,1.0,6.0
DISCOVERY,limit_up,F13_volume_price_divergence,5,3328,44,0.013221153846153846,0.01038901551315942,1.272608923281234,2.0,1.0,4.0
DISCOVERY,limit_up,F13_volume_price_divergence,10,3328,76,0.02283653846153846,0.0197681028250396,1.1552215538160888,4.5,2.0,8.0
DISCOVERY,limit_up,F14_volume_no_range,5,3328,182,0.0546875,0.013832705117521427,3.9534927937362854,2.0,1.0,3.0
DISCOVERY,limit_up,F14_volume_no_range,10,3328,271,0.08143028846153846,0.025871821899437642,3.1474508744708256,3.0,1.0,7.0
DISCOVERY,limit_up,F15_REF_abnormal_volume,5,3328,1054,0.3167067307692308,0.14004337724405494,2.261490239679831,1.0,1.0,2.0
DISCOVERY,limit_up,F15_REF_abnormal_volume,10,3328,1330,0.3996394230769231,0.22161853411405014,1.8032761775748376,2.0,1.0,4.0
DISCOVERY,limit_up,F16u_REF_moved_up,5,3328,1368,0.4110576923076923,0.19073846170826872,2.1550854957423224,1.0,1.0,3.0
DISCOVERY,limit_up,F16u_REF_moved_up,10,3328,1792,0.5384615384615384,0.33328734388883063,1.6156075180614855,2.0,1.0,5.0
DISCOVERY,limit_up,F16d_REF_moved_down,5,3328,407,0.12229567307692307,0.11031672010640117,1.1085869209940988,3.0,1.0,4.0
DISCOVERY,limit_up,F16d_REF_moved_down,10,3328,708,0.2127403846153846,0.2015938101886855,1.0552922454130227,5.0,2.0,7.0
DISCOVERY,limit_up,F17_abnormal_volume_persistent,5,3328,517,0.15534855769230768,0.060137637209507676,2.5832168488945437,1.0,1.0,3.0
DISCOVERY,limit_up,F17_abnormal_volume_persistent,10,3328,682,0.2049278846153846,0.09743323712341544,2.1032646627126765,2.0,1.0,5.0
DISCOVERY,limit_up,F18_quiet_volume_repeat,5,3328,191,0.05739182692307692,0.028380086202614774,2.0222569626229387,2.0,1.0,3.0
