regime,variant,footprint,outcome,horizon,split,level,n_measured,n_dates,n_hit,n_distinct_doors,hit_rate,base_volmatched,lift_volmatched,t_volmatched_nw
DISCOVERY,fresh_both,F07_idio_activity,abn_up,3,year,2013,210,86,13,13,0.06190476190476191,0.02913099317776717,2.125048106907929,2.0093873262507946
DISCOVERY,fresh_both,F07_idio_activity,abn_up,3,year,2014,508,150,26,25,0.051181102362204724,0.024735067834852333,2.0691717000302408,2.7889583424868163
DISCOVERY,fresh_both,F07_idio_activity,abn_up,3,year,2015,607,158,30,27,0.04942339373970346,0.024822712018312303,1.9910553570150857,2.689439448494578
DISCOVERY,fresh_both,F07_idio_activity,abn_up,3,year,2016,417,97,21,17,0.050359712230215826,0.02827766846623375,1.7809004405844193,1.766360534296619
DISCOVERY,fresh_both,F07_idio_activity,abn_up,3,year,2017,622,154,41,33,0.06591639871382636,0.02591997377421867,2.5430735111078766,3.9429425688579567
DISCOVERY,fresh_both,F07_idio_activity,abn_up,3,year,2018,547,136,32,30,0.05850091407678245,0.025230405257150895,2.318667238220516,3.4281346643472275
DISCOVERY,fresh_both,F07_idio_activity,abn_up,3,price_bucket,10-50,1471,637,76,69,0.05166553365057784,0.02386008373107471,2.165354247407359,4.470466998307951
DISCOVERY,fresh_both,F07_idio_activity,abn_up,3,price_bucket,50-200,960,532,58,49,0.06041666666666667,0.02645209028546199,2.2840034951745016,3.642008009394274
DISCOVERY,fresh_both,F07_idio_activity,abn_up,3,price_bucket,>200,478,327,29,27,0.060669456066945605,0.031199084714942024,1.9445908949338337,2.0539210636945224
DISCOVERY,fresh_both,F07_idio_activity,run20,5,year,2013,198,83,11,10,0.05555555555555555,0.029270705136370662,1.8979917052467703,1.200244189679261
DISCOVERY,fresh_both,F07_idio_activity,run20,5,year,2014,495,150,12,11,0.024242424242424242,0.006615674997621184,3.664391653329578,2.4208619182534177
DISCOVERY,fresh_both,F07_idio_activity,run20,5,year,2015,596,157,8,8,0.013422818791946308,0.007519926183661976,1.7849668286783371,1.1015836285971439
DISCOVERY,fresh_both,F07_idio_activity,run20,5,year,2016,408,97,8,7,0.0196078431372549,0.0062664500983959145,3.12901927397046,1.472318285002899
DISCOVERY,fresh_both,F07_idio_activity,run20,5,year,2017,605,154,11,10,0.01818181818181818,0.004713126919566846,3.857697552411586,2.8638790316599065
DISCOVERY,fresh_both,F07_idio_activity,run20,5,year,2018,535,136,8,8,0.014953271028037384,0.008280869867767972,1.8057609003422117,1.605984210252068
DISCOVERY,fresh_both,F07_idio_activity,run20,5,price_bucket,10-50,1442,632,37,34,0.02565880721220527,0.009716713343809342,2.6406878853283104,2.70427982205209
DISCOVERY,fresh_both,F07_idio_activity,run20,5,price_bucket,50-200,934,524,11,11,0.011777301927194861,0.007240696847492652,1.6265426070521334,1.4126018055014444
DISCOVERY,fresh_both,F07_idio_activity,run20,5,price_bucket,>200,459,319,10,9,0.02178649237472767,0.005700091622428206,3.822130207346869,2.305699845733932
