panel,cohort,horizon,exec_status,exec_note,n_occurrences,n_untradeable,n_no_outcome,n_measured,n_dates,gross_mean,gross_median,net_verified_mean,t_clustered,t_naive,excess_vs_base,t_excess,fail_share_gross,fail_share_net_verified,p05,p95,mfe_mean,mae_mean,net_est_+0.2%,net_est_+0.4%,p_clustered,survives_fdr10,p_excess,excess_survives_fdr10,eligible
PRIMARY,state=CALM,1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,362736,11030,0,351706,2595,-0.0038294278884105403,-0.003960401216097017,-0.011829427888410541,-65.61808220373169,-271.8798815180949,0.00020775828553568654,3.7022800481128475,0.6465144182925512,0.7555799446128301,-0.04181793968332148,0.03750439545845427,0.01685803182781138,-0.018138234038864033,-0.013829427888410541,-0.01582942788841054,0.0,True,0.000213670577388712,True,True
PRIMARY,state=CALM,2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,362736,11030,2508,349198,2594,-0.003460966500348412,-0.004657128051965902,-0.011460966500348412,-36.99337601246182,-180.29435706309087,0.0003278280726057704,4.285598784860468,0.6147858807896952,0.6980108706235431,-0.05720489161936924,0.05789397841890267,0.025614426391900383,-0.025580137625774345,-0.013460966500348412,-0.015460966500348412,1.4633799453851942e-299,True,1.82247641851501e-05,True,True
PRIMARY,state=CALM,3,OK,sell 2 sessions after purchase — unaffected by the settlement question,362736,11030,2723,348983,2593,-0.003392075218603867,-0.005333345975362617,-0.011392075218603866,-28.791941392018344,-146.38811676769552,0.00042311249254057995,4.786706591912426,0.6050695879168899,0.6762507056217638,-0.06859831634275244,0.07180041865210027,0.03235273029304345,-0.03124068683050946,-0.013392075218603866,-0.015392075218603866,2.705949277539238e-182,True,1.695404097661025e-06,True,True
PRIMARY,state=CALM,5,OK,sell 4 sessions after purchase,362736,11030,3195,348511,2591,-0.0030726213188331892,-0.0062305497506361975,-0.01107262131883319,-20.31093088957248,-109.70994910567418,0.0006939773673094099,6.2082983161746235,0.5931175773504997,0.6500713033448011,-0.08701137698962969,0.09531017980432493,0.04315826475459154,-0.040034238524334964,-0.01307262131883319,-0.01507262131883319,1.0293490116108178e-91,True,5.356140437552413e-10,True,True
PRIMARY,state=CALM,10,OK,sell 9 sessions after purchase,362736,11030,4104,347602,2586,-0.0029150564278953217,-0.007843177461026005,-0.010915056427895323,-12.605511682953727,-75.18934257376529,0.0009343671208898856,6.100544438692614,0.5797665145770162,0.6215988400527039,-0.12375320264288726,0.13976194237515863,0.06369786824459164,-0.0564447190568667,-0.012915056427895323,-0.014915056427895323,1.968906297184903e-36,True,1.0570778761529628e-09,True,True
PRIMARY,state=CALM (entering),1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,132375,4656,0,127719,2595,-0.0037375862478241195,-0.0036297680505787237,-0.011737586247824118,-61.549420053939315,-166.4138106169782,0.0002678502176441048,3.1147566046966193,0.6415255365294122,0.7521120585034333,-0.042891564629312866,0.038212525397447475,0.01698885659758953,-0.01836966373971448,-0.013737586247824118,-0.01573758624782412,0.0,True,0.0018409675062358963,True,True
PRIMARY,state=CALM (entering),2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,132375,4656,966,126753,2594,-0.0034091523111104208,-0.004352563998841886,-0.01140915231111042,-35.2949635395648,-109.63483980550203,0.00037050544982187965,3.0384001278503643,0.6108888941484619,0.6949105741086996,-0.05818195538273588,0.058268908123975824,0.025769631758455258,-0.025867581997834222,-0.01340915231111042,-0.01540915231111042,7.01585082432378e-273,True,0.0023783792586768307,True,True
PRIMARY,state=CALM (entering),3,OK,sell 2 sessions after purchase — unaffected by the settlement question,132375,4656,1030,126689,2593,-0.0033162718763198352,-0.004987541511039162,-0.011316271876319835,-27.500089903252952,-87.97370063069444,0.0005152706316705251,3.5571344623703562,0.6005730568557649,0.6730971118250203,-0.06959329179919535,0.0723206615796262,0.032507864958860364,-0.031567024990140864,-0.013316271876319835,-0.015316271876319835,1.7512932317169702e-166,True,0.0003749222734240295,True,True
PRIMARY,state=CALM (entering),5,OK,sell 4 sessions after purchase,132375,4656,1163,126556,2591,-0.003096683822886627,-0.005899722127188383,-0.011096683822886626,-19.865026316378657,-66.73241613073573,0.0007360060726947193,4.001008360228144,0.5915009956066879,0.6496017573248206,-0.08701137698962981,0.09495991873156268,0.04317312589107066,-0.04037449409427384,-0.013096683822886626,-0.015096683822886627,8.170928993916546e-88,True,6.30731291359231e-05,True,True
PRIMARY,state=CALM (entering),10,OK,sell 9 sessions after purchase,132375,4656,1517,126202,2586,-0.0030310350853355685,-0.007434978487518035,-0.011031035085335568,-12.546532396810626,-46.684187269485825,0.0009570745769312825,3.7504691295384274,0.5781049428693682,0.620703316904645,-0.1222553318849517,0.13593000933661276,0.06305129501158582,-0.056340104324057345,-0.013031035085335568,-0.015031035085335568,4.153018114465114e-36,True,0.00017650403514426848,True,True
PRIMARY,state=CALM (held ≥3),1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,155240,4076,0,151164,2593,-0.0039992043147112815,-0.004357305368955813,-0.01199920431471128,-62.78589252979429,-173.19724826208702,6.224909251245862e-05,0.728939099061004,0.6525561641660713,0.7588579291365669,-0.04132819549284606,0.03710321382148742,0.016791090048873355,-0.018098996410925723,-0.01399920431471128,-0.01599920431471128,0.0,True,0.46603891646795875,False,True
PRIMARY,state=CALM (held ≥3),2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,155240,4076,1011,150153,2592,-0.0036648293166692244,-0.005141399500418763,-0.011664829316669225,-35.23992430230427,-116.8646460903038,0.00017242247532618264,1.3272054990718682,0.6202873069469141,0.7013446284789515,-0.05691299546420063,0.0574870909176816,0.025502093147333222,-0.02551799610639525,-0.013664829316669225,-0.015664829316669224,4.8951172982340817e-272,True,0.18444071382896043,False,True
PRIMARY,state=CALM (held ≥3),3,OK,sell 2 sessions after purchase — unaffected by the settlement question,155240,4076,1134,150030,2591,-0.003511894624902861,-0.005730674708985095,-0.011511894624902862,-27.45767850750875,-95.89440296274678,0.00034469774893500243,2.197819792971403,0.6093847897087249,0.6793841231753649,-0.0681705426837541,0.07145896398214505,0.032279421051202996,-0.03116434120430718,-0.013511894624902862,-0.015511894624902862,5.625510468691641e-166,True,0.027961950378404047,True,True
PRIMARY,state=CALM (held ≥3),5,OK,sell 4 sessions after purchase,155240,4076,1346,149818,2589,-0.0030814742673283993,-0.006644542718668501,-0.011081474267328398,-19.518676029257666,-70.75325569827565,0.0005434137205692018,2.732056204564172,0.5955692907394305,0.65122348449452,-0.08702596204482138,0.0969434965017943,0.043312690267723525,-0.039950532635053534,-0.013081474267328398,-0.015081474267328398,7.618694416850658e-85,True,0.006294040282704524,True,True
PRIMARY,state=CALM (held ≥3),10,OK,sell 9 sessions after purchase,155240,4076,1706,149458,2584,-0.0027679027780242887,-0.00823049913651548,-0.01076790277802429,-12.122779794998527,-47.37579244755892,0.0007279823611991395,2.6753762988859724,0.58051091276479,0.6217867226913246,-0.12516314295400605,0.1443423087287382,0.06461364152912633,-0.05681105794653445,-0.01276790277802429,-0.01476790277802429,7.99989226827545e-34,True,0.007464541425452956,True,True
PRIMARY,state=DRIFT,1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,282461,14566,0,267895,2595,-0.004024598286528159,-0.0039761483796392945,-0.01202459828652816,-61.047413243749695,-223.98748399666488,6.966358397355862e-05,1.2743463552867504,0.6387763862707404,0.744481979880177,-0.04688033952956665,0.0425596144187959,0.018289929079346623,-0.02016336686469256,-0.01402459828652816,-0.01602459828652816,0.0,True,0.2025406949741254,False,True
PRIMARY,state=DRIFT,2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,282461,14566,2018,265877,2594,-0.003709562070740138,-0.004842624475788015,-0.011709562070740137,-35.5433923541537,-149.4639410785568,0.00013711456961972593,1.7476232474863649,0.6078449809498377,0.6872125080394318,-0.06415639846308066,0.06416194421728585,0.027748142427817597,-0.02840332735420304,-0.013709562070740137,-0.01570956207074014,1.05103986990888e-276,True,0.08052928710165592,False,True
