panel,cohort,horizon,exec_status,exec_note,n_occurrences,n_untradeable,n_no_outcome,n_measured,n_dates,gross_mean,gross_median,net_verified_mean,t_clustered,t_naive,excess_vs_base,t_excess,fail_share_gross,fail_share_net_verified,p05,p95,mfe_mean,mae_mean,net_est_+0.2%,net_est_+0.4%,p_clustered,survives_fdr10,p_excess,excess_survives_fdr10,eligible
PRIMARY,state=CALM,1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,362736,11030,2508,349198,2594,0.00038182162503638665,0.0,-0.007618178374963615,-36.07648327131983,-175.89703941521324,0.00011741370698912722,2.1553150651773083,0.5957393799506298,0.7171060544447563,-0.03425894982101545,0.04445176257083359,0.021070335957349265,-0.013976559262592293,-0.009618178374963614,-0.011618178374963616,5.3027706660830784e-285,True,0.031137187686732737,True,True
PRIMARY,state=CALM,2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,362736,11030,2723,348983,2593,0.00042957807147277893,-0.0009505704137819246,-0.007570421928527221,-23.13845202140677,-119.09312001176832,0.0002194690634479216,2.9190089596101747,0.5798677872561128,0.6706773682385675,-0.0506437328187548,0.06371581438610778,0.0299284614982007,-0.02161038733847402,-0.009570421928527221,-0.011570421928527221,1.9001135772430213e-118,True,0.0035114613103550737,True,True
PRIMARY,state=CALM,3,OK,sell 2 sessions after purchase — unaffected by the settlement question,362736,11030,2967,348739,2592,0.0005845644363204748,-0.0019550348358033506,-0.007415435563679524,-17.9636895251037,-95.23446063756867,0.0003582533372131136,4.058622533042064,0.5749113233679055,0.6516908060182544,-0.061533722496343014,0.07745882869900646,0.036708280284693584,-0.027248668428850882,-0.009415435563679523,-0.011415435563679525,3.7503041117402596e-72,True,4.936302982501977e-05,True,True
PRIMARY,state=CALM,5,OK,sell 4 sessions after purchase,362736,11030,3404,348302,2590,0.0007905267226980529,-0.003273325344969249,-0.007209473277301948,-12.759260537163192,-71.17086091012023,0.0005390900448620015,4.834081792110073,0.5691038236932318,0.6298643131535276,-0.0811011039155857,0.10125373370517289,0.047541319963719214,-0.03606075380493833,-0.009209473277301948,-0.011209473277301948,2.7681634055139664e-37,True,1.3376158526374004e-06,True,True
PRIMARY,state=CALM,10,OK,sell 9 sessions after purchase,362736,11030,4167,347539,2585,0.0008890629372470572,-0.004849127335420524,-0.007110937062752944,-7.640021845922313,-49.006752413026234,0.0008097782432024921,5.271140321199176,0.561577261832485,0.6060269494934382,-0.11819356971244085,0.14562018994352663,0.06804875457048086,-0.052543936224018435,-0.009110937062752945,-0.011110937062752943,2.171848872281674e-14,True,1.3557876357656457e-07,True,True
PRIMARY,state=CALM (entering),1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,132375,4656,966,126753,2594,0.0003501878864243258,0.0,-0.0076498121135756755,-34.982038030648084,-107.0947925435035,0.00010697208439688688,1.2558629304593711,0.593824209288932,0.7161881770056725,-0.03466701832541133,0.044573807045780095,0.020948325383169382,-0.014157433403525545,-0.009649812113575676,-0.011649812113575676,4.2201511625908146e-268,True,0.20916567059143695,False,True
PRIMARY,state=CALM (entering),2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,132375,4656,1030,126689,2593,0.000417311593801668,-0.0004876859399267241,-0.007582688406198332,-22.29946037292079,-71.27098841760721,0.00024930687360621854,2.088526280740311,0.5778244362178248,0.6689767856719999,-0.05129329438755058,0.06402185876493102,0.029887892017576544,-0.02188796737827553,-0.00958268840619833,-0.011582688406198333,3.739825491460767e-110,True,0.036750387270307855,False,True
PRIMARY,state=CALM (entering),3,OK,sell 2 sessions after purchase — unaffected by the settlement question,132375,4656,1065,126654,2592,0.0004206220586873521,-0.0017399404329054352,-0.0075793779413126485,-17.712371478909372,-57.770159184471574,0.00026960698946065635,1.8455577406196149,0.5728914996762834,0.6507808675604403,-0.062229461014271764,0.07735602091283274,0.0366281464256621,-0.027564128286332444,-0.00957937794131265,-0.011579377941312648,3.365873927651917e-70,True,0.06495644731535834,False,True
PRIMARY,state=CALM (entering),5,OK,sell 4 sessions after purchase,132375,4656,1276,126443,2590,0.0007637576407760845,-0.002985076843453174,-0.007236242359223916,-12.491386635295237,-43.039140327418124,0.0005769978151479722,3.116696464764599,0.56756799506497,0.6297383010526483,-0.08080255466649848,0.09980480307872124,0.047305421656112984,-0.03634294697180902,-0.009236242359223917,-0.011236242359223915,8.319094118872322e-36,True,0.0018288977213514921,True,True
PRIMARY,state=CALM (entering),10,OK,sell 9 sessions after purchase,132375,4656,1540,126179,2585,0.0006534288727580409,-0.0045977092486295425,-0.007346571127241961,-7.639512378643132,-31.06198583257049,0.000787693999520924,3.1027870724392983,0.5609808288225457,0.6072325822838983,-0.11701645838618796,0.14183019543921763,0.06715977574668142,-0.05246653304144092,-0.009346571127241961,-0.011346571127241961,2.18045943915233e-14,True,0.0019170751663975024,True,True
