regime,variant,footprint,outcome,horizon,door_outcome,n_guarded_rows,n_population,n_occurrences,n_no_outcome,n_measured,n_dates,n_hit,n_failed,hit_rate,fail_share,base_sameday,excess_sameday,lift_sameday,t_sameday,base_volmatched,excess_volmatched,lift_volmatched,t_volmatched,p_sameday,fdr10_sameday,p_volmatched,fdr10_volmatched,eligible,lift_vm_vs_ref_volume,lift_vm_vs_ref_moved,pass_prereg,beats_both_refs,tier,status
DISCOVERY,fresh,F08_idio_move,abn_up,2,True,362402,324571,8442,191,8251,918,535,7716,0.06484062537874197,0.9351593746212581,0.027123879623678782,0.03771674575506319,2.390536541171528,10.473056204180294,0.03223159043142108,0.03260903494732089,2.0117103906710065,9.230726823421856,1.1487322617947878e-25,True,2.688016540328947e-20,True,True,1.0452197309105897,1.1203432816967784,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F08_idio_move,abn_up,3,True,362402,324571,8442,275,8167,916,625,7542,0.07652748867393168,0.9234725113260683,0.033935441792226274,0.042592046881705405,2.2550903902321418,11.06704499348386,0.04231204945738572,0.03421543921654596,1.8086452832072293,9.094726246459294,1.812800174046698e-28,True,9.482504952962411e-20,True,True,1.0324321590654446,1.0936388139639734,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F08_idio_move,abn_down,1,True,362402,349931,12549,122,12427,926,233,12194,0.018749497062847027,0.981250502937153,0.005698595076454382,0.013050901986392645,3.2901964100444223,9.098756616285215,0.005809353244738777,0.012940143818108249,3.227467202106784,9.071256960387286,9.137184911609563e-20,True,1.176518292067368e-19,True,True,1.2756027282248175,1.1434018036915206,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F08_idio_move,abn_up,1,True,362402,324571,8442,104,8338,918,381,7957,0.04569441112976733,0.9543055888702326,0.01645119424978168,0.029243216879985653,2.777574104103338,9.261582578524163,0.01684492234748265,0.028849488782284684,2.712651930781743,9.010477595735326,2.014242519170722e-20,True,2.0516106197746611e-19,True,True,1.0966956205024823,1.1796674115708976,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F08_idio_move,limit_down,10,True,362402,349931,12549,1005,11544,920,327,11217,0.028326403326403328,0.9716735966735967,0.01548306664245009,0.012843336683953238,1.8295085838318699,6.880549137210028,0.012988302460993308,0.01533810086541002,2.180916514030503,8.12794544980729,5.962227524854437e-12,True,4.3662761482521884e-16,True,True,1.256169262747506,1.1494761797623705,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F08_idio_move,abn_down,10,True,362402,349931,12549,1005,11544,920,498,11046,0.04313929313929314,0.9568607068607069,0.022355205948991323,0.02078408719030182,1.9297202288239088,9.60334593809567,0.026731558168771527,0.016407734970521615,1.6137964299323764,7.9425240312761245,7.739048161249107e-22,True,1.981079577721312e-15,True,True,1.080891070945271,1.0796649943582097,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F07_idio_activity,abn_down,2,True,362402,349931,5654,127,5527,845,160,5367,0.02894879681563235,0.9710512031843677,0.01020448835064692,0.018744308464985426,2.836869014975858,6.906560833205131,0.00881175643687989,0.02013704037875246,3.2852470472825144,7.574650399633883,4.965440616853279e-12,True,3.600960063959103e-14,True,True,1.1830153872873568,1.4628479482514039,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F08_idio_move,limit_up,5,True,362402,324571,8442,405,8037,915,369,7668,0.04591265397536394,0.9540873460246361,0.028894058201379726,0.017018595773984214,1.5889998440292321,5.48111144920568,0.023657073103505177,0.022255580871858763,1.9407580039375725,7.2624376818273495,4.22662112283072e-08,True,3.80175685978495e-13,True,True,1.1934515120332907,1.0899516947716728,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F17_abnormal_volume_persistent,abn_down,3,True,362402,349931,8605,229,8376,1270,216,8160,0.025787965616045846,0.9742120343839542,0.010517382503489832,0.015270583112556014,2.4519376002050888,6.140709358050224,0.008447717456017443,0.017340248160028403,3.0526548443777166,7.256905167645881,8.215377886718326e-10,True,3.960471607877953e-13,True,True,1.2115004604863693,1.542970173325183,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F17_abnormal_volume_persistent,abn_down,2,True,362402,349931,8605,150,8455,1276,198,8257,0.023418095801301005,0.976581904198699,0.008319471012132902,0.015098624789168102,2.8148539452987644,6.55175265808315,0.007392580069207316,0.01602551573209369,3.1677838565246756,7.188670358328973,5.686567457972755e-11,True,6.542531845216871e-13,True,True,1.1407169664665122,1.4105441838397434,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
