candidate,outcome,horizon,n_signal,n_population,n_symbols,n_dates,n_years,hit_rate,base_rate_all,control_rate_mean,control_rate_sd,n_matched,match_share,lift,excess_pp,t_nw_date,n_diff_dates,ci_lo,ci_hi,ci_excludes_control,median_mfe_20d,mean_mfe_20d,median_mae_20d,mean_mae_20d,median_fwd_ret_20d,mean_fwd_ret_20d,median_days_to_p10,years_total,years_beat,year_consistency,loso_worst_rate,top3_symbol_share,p_nw,check,strata,unit,median_mfe_30d,mean_mfe_30d,median_mae_30d,mean_mae_30d,median_fwd_ret_30d,mean_fwd_ret_30d,median_mfe_10d,mean_mfe_10d,median_mae_10d,mean_mae_10d,median_fwd_ret_10d,mean_fwd_ret_10d,median_mfe_5d,mean_mfe_5d,median_mae_5d,mean_mae_5d,median_fwd_ret_5d,mean_fwd_ret_5d,split_value,dh_thr,dex_thr,bh_reject_q10,bh_p_threshold
surface dh>=-0.2 dex>=-0.1,hit_p10_20d,20,492021,587082,392,2347,12,0.2974669780354904,0.3274380750900215,0.4634852548104285,0.000671430737337252,451571,0.9177880618916672,0.6418046204221026,-16.601827677493812,-10.400382030786663,2347,0.2876768945725657,0.30688695732484783,False,0.05517241379310356,0.09366212027023828,-0.04749340369393129,-0.06589144879939275,0.0,0.005774788723679225,11.0,12,0,0.0,0.2977009548248128,0.013643726588905758,2.4694115321624814e-25,8_surface,original,row,,,,,,,,,,,,,,,,,,,,-0.2,-0.1,True,0.052335726251435136
surface dh>=-0.2 dex>=-0.1,hit_p10_20d,20,492021,587082,392,2347,12,0.2974669780354904,0.3274380750900215,0.44545882853582175,0.0015393949968667622,32899,0.06686503218358567,0.6677765911892836,-14.799185050033136,-10.400382030786663,2347,0.2876768945725657,0.30688695732484783,False,0.05517241379310356,0.09366212027023828,-0.04749340369393129,-0.06589144879939275,0.0,0.005774788723679225,11.0,12,0,0.0,0.2977009548248128,0.013643726588905758,2.4694115321624814e-25,8_surface,full,row,,,,,,,,,,,,,,,,,,,,-0.2,-0.1,True,0.052335726251435136
surface dh>=-0.2 dex>=-0.07,hit_p10_20d,20,450390,587082,392,2346,12,0.2878460889451364,0.3274380750900215,0.43472542559033495,0.0005199257103726527,418830,0.9299273962565776,0.6621330890724737,-14.687933664519853,-10.561699703634444,2346,0.27829385120515643,0.2972567505577557,False,0.053497942386831365,0.09082734336633688,-0.04466501240694787,-0.06353701734290172,0.0,0.005829668062670158,11.0,12,0,0.0,0.2881785805025251,0.014483003619085682,4.4846679238190676e-26,8_surface,original,row,,,,,,,,,,,,,,,,,,,,-0.2,-0.07,True,0.052335726251435136
surface dh>=-0.2 dex>=-0.07,hit_p10_20d,20,450390,587082,392,2346,12,0.2878460889451364,0.3274380750900215,0.37482412381683294,0.0008059909627988659,62544,0.13886631585958836,0.7679497413699861,-8.697803487169653,-10.561699703634444,2346,0.27829385120515643,0.2972567505577557,False,0.053497942386831365,0.09082734336633688,-0.04466501240694787,-0.06353701734290172,0.0,0.005829668062670158,11.0,12,0,0.0,0.2881785805025251,0.014483003619085682,4.4846679238190676e-26,8_surface,full,row,,,,,,,,,,,,,,,,,,,,-0.2,-0.07,True,0.052335726251435136
surface dh>=-0.2 dex>=-0.05,hit_p10_20d,20,400699,587082,392,2345,12,0.2775325119353929,0.3274380750900215,0.42265436885279356,0.0005191866542872204,392048,0.9784102281263493,0.6566417678067304,-14.512185691740065,-10.326016413281982,2345,0.2678612401395796,0.2868537633559969,False,0.051587301587301626,0.0879828512575834,-0.04166666666666663,-0.061270538098950715,0.0,0.005750049038045791,12.0,12,0,0.0,0.2778756317006622,0.01543552641758527,5.374651517785441e-25,8_surface,original,row,,,,,,,,,,,,,,,,,,,,-0.2,-0.05,True,0.052335726251435136
surface dh>=-0.2 dex>=-0.05,hit_p10_20d,20,400699,587082,392,2345,12,0.2775325119353929,0.3274380750900215,0.35170171062009975,0.0007922089429137399,106628,0.26610498154475054,0.7891133410903087,-7.416919868470684,-10.326016413281982,2345,0.2678612401395796,0.2868537633559969,False,0.051587301587301626,0.0879828512575834,-0.04166666666666663,-0.061270538098950715,0.0,0.005750049038045791,12.0,12,0,0.0,0.2778756317006622,0.01543552641758527,5.374651517785441e-25,8_surface,full,row,,,,,,,,,,,,,,,,,,,,-0.2,-0.05,True,0.052335726251435136
surface dh>=-0.2 dex>=-0.03,hit_p10_20d,20,320794,587082,392,2344,12,0.2597118399970074,0.3274380750900215,0.388369580781163,0.0009268211958429531,314275,0.9796785476037582,0.6687234347086523,-12.865774078415559,-11.342106086282962,2344,0.2501022639099485,0.2690201257244239,False,0.048223350253806974,0.08330278021097973,-0.03749999999999998,-0.05820606146136348,0.0,0.005096366265112547,12.0,12,1,0.08333333333333333,0.2601832691025324,0.01676465270547454,8.116721715062425e-30,8_surface,original,row,,,,,,,,,,,,,,,,,,,,-0.2,-0.03,True,0.052335726251435136
surface dh>=-0.2 dex>=-0.03,hit_p10_20d,20,320794,587082,392,2344,12,0.2597118399970074,0.3274380750900215,0.3260128916594248,0.0006878242421562552,146141,0.4555602660897648,0.7966305831473788,-6.63010516624174,-11.342106086282962,2344,0.2501022639099485,0.2690201257244239,False,0.048223350253806974,0.08330278021097973,-0.03749999999999998,-0.05820606146136348,0.0,0.005096366265112547,12.0,12,1,0.08333333333333333,0.2601832691025324,0.01676465270547454,8.116721715062425e-30,8_surface,full,row,,,,,,,,,,,,,,,,,,,,-0.2,-0.03,True,0.052335726251435136
surface dh>=-0.2 dex>=-0.02,hit_p10_20d,20,262464,587082,392,2342,12,0.24598040112167763,0.3274380750900215,0.365771011835049,0.0008741708087021255,259568,0.9889661058278468,0.672498347769381,-11.979061071337139,-12.243552593803262,2342,0.23639176755170385,0.255524663188308,False,0.04516129032258065,0.07942193311650267,-0.03433476394849788,-0.05609364644765094,0.0,0.004053290912140128,12.0,12,1,0.08333333333333333,0.2464159695060812,0.0174766825164594,1.8189312744289358e-34,8_surface,original,row,,,,,,,,,,,,,,,,,,,,-0.2,-0.02,True,0.052335726251435136
surface dh>=-0.2 dex>=-0.02,hit_p10_20d,20,262464,587082,392,2342,12,0.24598040112167763,0.3274380750900215,0.30641332234748764,0.00067846918736326,149283,0.5687751463057791,0.8027731928767807,-6.043292122581001,-12.243552593803262,2342,0.23639176755170385,0.255524663188308,False,0.04516129032258065,0.07942193311650267,-0.03433476394849788,-0.05609364644765094,0.0,0.004053290912140128,12.0,12,1,0.08333333333333333,0.2464159695060812,0.0174766825164594,1.8189312744289358e-34,8_surface,full,row,,,,,,,,,,,,,,,,,,,,-0.2,-0.02,True,0.052335726251435136
