horizon,band_pct,population_rate,n
3,5,0.24207350932237745,587082
3,8,0.11508954456106643,587082
3,10,0.06780483816570769,587082
3,15,0.02527415250339816,587082
3,20,0.010277950950633812,587082
3,30,0.002406818808956841,587082
5,5,0.32451514439209517,587082
5,8,0.17685604395978757,587082
5,10,0.11674519062073101,587082
5,15,0.05103546012311738,587082
5,20,0.024449736152700987,587082
5,30,0.0075457942842737475,587082
10,5,0.4449480651765852,587082
10,8,0.2841255565662037,587082
10,10,0.21010693565805116,587082
10,15,0.11117016021611972,587082
10,20,0.062211071025853285,587082
10,30,0.02357592295454468,587082
20,5,0.5618652930936394,587082
20,8,0.4066893551497065,587082
20,10,0.3274380750900215,587082
20,15,0.20431898780749538,587082
20,20,0.1305899346258274,587082
20,30,0.0597361186341942,587082
30,5,0.6243948886186257,587082
30,8,0.47941854800521905,587082
30,10,0.40138174905720153,587082
30,15,0.27151403040801797,587082
30,20,0.18646287912080425,587082
30,30,0.0953222888795773,587082
