candidate_id,horizon_frames,outcome,n_rows,n_valid,n_signal,n_signal_valid,episodes,symbol_coverage,share_of_valid_rows,base_p_outcome,n_matched,ctrl_p_outcome,control_draws,p_up,p_down,p_outcome,mean_fwd_ticks,median_fwd_ticks,mfe,mae,median_t_favourable_s,median_t_adverse_s,lift_vs_base_pp,matched_lift_pp,matched_lift_sd,ctrl_mean_ticks,ticks_vs_ctrl,family,logic,formula,truth_class,status,reason,dev_val_agreement
CTX_xs_rank_top,4,up,4257,3533,511,478,204,14,0.1353,0.24455,471,0.22187,20,0.43933,0.18201,0.43933,0.37029,0.0,0.73326,-0.1841,107.77905,119.74924,19.47786,21.74616,1.73923,-0.33625,0.70654,context,top decile of cross-sectional pressure at this instant,,INFERRED,PROMISING,matched lift +21.75pp on 204 episodes,"UNAVAILABLE — one session, no split"
CTX_sector_permission,4,up,4257,3533,655,579,171,8,0.16388,0.24455,574,0.22274,20,0.40415,0.25389,0.40415,0.25561,0.0,0.71244,-0.31434,108.62161,108.33832,15.95986,18.14148,1.42465,-0.52835,0.78396,context,E1 and sector pressure > 0 (observable sectors only),,INFERRED,PROMISING,matched lift +18.14pp on 171 episodes,"UNAVAILABLE — one session, no split"
GEO_touch_dominant_ask,4,down,4257,3533,1205,1145,258,14,0.32409,0.31956,1079,0.28253,20,0.15284,0.44629,0.44629,-0.52358,0.0,0.13755,-0.83712,114.25631,107.52946,12.67316,16.37599,1.3914,0.01311,-0.53669,geometry,L1 < −θ and L1 − top5 < −θ,,INFERRED,PROMISING,matched lift +16.38pp on 258 episodes,"UNAVAILABLE — one session, no split"
GEO_broad_bid,4,up,4257,3533,1368,1238,247,14,0.35041,0.24455,1201,0.17057,20,0.33279,0.21325,0.33279,0.15509,0.0,0.51616,-0.28473,107.5828,115.58004,8.82386,16.22238,0.74045,-0.4596,0.61469,geometry,L1 > θ and top5 > θ,,INFERRED,PROMISING,matched lift +16.22pp on 247 episodes,"UNAVAILABLE — one session, no split"
GEO_touch_dominant_bid,4,up,4257,3533,871,816,210,14,0.23097,0.24455,800,0.20213,20,0.36397,0.21446,0.36397,0.28676,0.0,0.61091,-0.18199,107.88322,121.81795,11.94186,16.1845,1.29403,-0.30734,0.5941,geometry,L1 > θ and L1 − top5 > θ,,INFERRED,PROMISING,matched lift +16.18pp on 210 episodes,"UNAVAILABLE — one session, no split"
X_E1_and_TLPI1,4,up,4257,3533,1598,1487,279,14,0.42089,0.24455,1445,0.16097,20,0.3228,0.21318,0.3228,0.15198,0.0,0.5037,-0.26664,109.09845,116.48803,7.82486,16.18311,0.60138,-0.455,0.60698,cross,E1 and TLPI(1) both above θ,,INFERRED,PROMISING,matched lift +16.18pp on 279 episodes,"UNAVAILABLE — one session, no split"
CTX_market_weak_share_strong,4,up,4257,3533,559,527,235,14,0.14917,0.24455,526,0.21797,20,0.37951,0.17078,0.37951,0.26376,0.0,0.6518,-0.25427,104.85898,110.991,13.49586,16.15442,1.21384,-0.23265,0.49641,context,E1 while the market tier is negative — the decoupling case,,INFERRED,PROMISING,matched lift +16.15pp on 235 episodes,"UNAVAILABLE — one session, no split"
E1,4,up,4257,3533,1793,1634,312,14,0.4625,0.24455,1590,0.16538,20,0.32313,0.22705,0.32313,0.13464,0.0,0.49847,-0.28703,109.20054,115.30565,7.85786,15.77526,0.93786,-0.47604,0.61068,reference,imb_l1 > 0.2,(bid_qty1-ask_qty1)/(bid_qty1+ask_qty1),INFERRED from OBSERVED L1 quantities,PROMISING,matched lift +15.78pp on 312 episodes,"UNAVAILABLE — one session, no split"
DYN_A_level,4,up,4257,3533,1793,1634,312,14,0.4625,0.24455,1590,0.16538,20,0.32313,0.22705,0.32313,0.13464,0.0,0.49847,-0.28703,109.20054,115.30565,7.85786,15.77526,0.93786,-0.47604,0.61068,dynamics,P > 0.2,,INFERRED,PROMISING,matched lift +15.78pp on 312 episodes,"UNAVAILABLE — one session, no split"
TLPI_l8,4,up,4257,3533,1756,1636,309,14,0.46306,0.24455,1583,0.16841,20,0.32274,0.228,0.32274,0.12775,0.0,0.49725,-0.29523,109.42587,115.53634,7.81886,15.43256,0.66489,-0.44348,0.57123,tlpi,TLPI(8) > 0.2,Σq·exp(-λ·|p-mid|/tick) imbalance,INFERRED,PROMISING,matched lift +15.43pp on 309 episodes,"UNAVAILABLE — one session, no split"
TLPI_l8_rank,4,up,4257,3533,1756,1636,309,14,0.46306,0.24455,1583,0.16841,20,0.32274,0.228,0.32274,0.12775,0.0,0.49725,-0.29523,109.42587,115.53634,7.81886,15.43256,0.66489,-0.44348,0.57123,tlpi_rank_ablation,rank-decayed twin of TLPI(8) > 0.2,,INFERRED,PROMISING,matched lift +15.43pp on 309 episodes,"UNAVAILABLE — one session, no split"
TLPI_l1,4,up,4257,3533,2099,1962,262,14,0.55534,0.24455,1767,0.1474,20,0.3002,0.24669,0.3002,0.11035,0.0,0.49134,-0.3104,110.20928,112.76111,5.56486,15.28033,0.55737,-0.61978,0.73013,tlpi,TLPI(1) > 0.2,Σq·exp(-λ·|p-mid|/tick) imbalance,INFERRED,PROMISING,matched lift +15.28pp on 262 episodes,"UNAVAILABLE — one session, no split"
CTX_share_resid,4,up,4257,3533,1715,1582,365,14,0.44778,0.24455,1526,0.17788,20,0.32933,0.22314,0.32933,0.15044,0.0,0.51296,-0.29204,109.15003,111.33945,8.47786,15.14466,1.00524,-0.48476,0.6352,context,share pressure minus market > 0.2,,INFERRED,PROMISING,matched lift +15.14pp on 365 episodes,"UNAVAILABLE — one session, no split"
TLPI_l4_rank,4,up,4257,3533,1771,1649,310,14,0.46674,0.24455,1593,0.17734,20,0.32444,0.23105,0.32444,0.12674,0.0,0.50243,-0.29867,109.64872,115.00109,7.98886,14.71016,0.85601,-0.41492,0.54166,tlpi_rank_ablation,rank-decayed twin of TLPI(4) > 0.2,,INFERRED,PROMISING,matched lift +14.71pp on 310 episodes,"UNAVAILABLE — one session, no split"
VETO_E1_no_depletion,4,up,4257,3533,1700,1559,320,14,0.44127,0.24455,1521,0.17337,20,0.32008,0.22322,0.32008,0.13214,0.0,0.4891,-0.27614,108.85046,115.97802,7.55286,14.67072,0.60072,-0.38143,0.51357,veto,E1 and liquidity not depleting,,INFERRED,PROMISING,matched lift +14.67pp on 320 episodes,"UNAVAILABLE — one session, no split"
VETO_E1_no_hard_risk,4,up,4257,3533,1736,1585,334,14,0.44863,0.24455,1563,0.17655,20,0.3205,0.22397,0.3205,0.13312,0.0,0.49748,-0.28265,108.5142,115.30565,7.59486,14.39485,0.65163,-0.39995,0.53307,veto,E1 and fewer than two risk states,,INFERRED,PROMISING,matched lift +14.39pp on 334 episodes,"UNAVAILABLE — one session, no split"
TLPI_l2,4,up,4257,3533,1891,1762,294,14,0.49873,0.24455,1695,0.17088,20,0.31271,0.23893,0.31271,0.08939,0.0,0.4651,-0.31413,109.47389,114.20932,6.81586,14.1825,0.75268,-0.46513,0.55452,tlpi,TLPI(2) > 0.2,Σq·exp(-λ·|p-mid|/tick) imbalance,INFERRED,PROMISING,matched lift +14.18pp on 294 episodes,"UNAVAILABLE — one session, no split"
