candidate_id,horizon_frames,outcome,n_rows,n_valid,n_signal,n_signal_valid,episodes,symbol_coverage,share_of_valid_rows,base_p_outcome,n_matched,ctrl_p_outcome,control_draws,p_up,p_down,p_outcome,mean_fwd_ticks,median_fwd_ticks,mfe,mae,median_t_favourable_s,median_t_adverse_s,lift_vs_base_pp,matched_lift_pp,matched_lift_sd,ctrl_mean_ticks,ticks_vs_ctrl,family,logic,formula,truth_class,status,reason
X_E1_and_TLPI1,2,up,4257,3560,1598,1511,279,14,0.42444,0.16826,1467,0.10556,20,0.22237,0.13766,0.22237,0.11648,0.0,0.22005,-0.04567,81.33513,82.07132,5.41116,11.68144,0.88555,-0.30823,0.42471,cross,E1 and TLPI(1) both above θ,,INFERRED,PROMISING,matched lift +11.68pp on 279 episodes
X_E1_and_TLPI1,4,up,4257,3533,1598,1487,279,14,0.42089,0.24455,1445,0.16097,20,0.3228,0.21318,0.3228,0.15198,0.0,0.5037,-0.26664,109.09845,116.48803,7.82486,16.18311,0.60138,-0.455,0.60698,cross,E1 and TLPI(1) both above θ,,INFERRED,PROMISING,matched lift +16.18pp on 279 episodes
X_E1_and_TLPI1,8,up,4257,3529,1598,1497,279,14,0.4242,0.29498,1448,0.22756,20,0.36339,0.29192,0.36339,0.03941,0.0,0.85204,-0.67001,133.80567,171.67378,6.84056,13.58348,0.87255,-0.5506,0.59001,cross,E1 and TLPI(1) both above θ,,INFERRED,PROMISING,matched lift +13.58pp on 279 episodes
X_TLPI1_vel,2,up,4257,3560,523,492,495,14,0.1382,0.16826,490,0.17531,20,0.1626,0.09756,0.1626,0.10976,0.0,0.18902,-0.07724,109.15003,108.94327,-0.56584,-1.27061,1.30407,-0.07995,0.18971,cross,TLPI(1) > θ and its velocity > 0,,INFERRED,WEAK,matched lift -1.27pp — inside ±5pp of its control
X_TLPI1_vel,4,up,4257,3533,523,491,495,14,0.13898,0.24455,489,0.23712,20,0.32179,0.2057,0.32179,0.17108,0.0,0.52546,-0.32383,126.24987,124.48838,7.72386,8.46734,1.71414,-0.13139,0.30247,cross,TLPI(1) > θ and its velocity > 0,,INFERRED,PROMISING,matched lift +8.47pp on 495 episodes
X_TLPI1_vel,8,up,4257,3529,523,491,495,14,0.13913,0.29498,489,0.28834,20,0.34216,0.3279,0.34216,0.04786,0.0,0.91242,-0.72505,155.74596,207.33112,4.71756,5.38164,1.76666,-0.22756,0.27542,cross,TLPI(1) > θ and its velocity > 0,,INFERRED,PROMISING,matched lift +5.38pp on 495 episodes
X_TLPI1_vel_acc,2,up,4257,3560,495,468,482,14,0.13146,0.16826,466,0.178,20,0.16453,0.09615,0.16453,0.11432,0.0,0.19338,-0.08013,109.00024,107.69012,-0.37284,-1.34743,2.07994,-0.0853,0.19962,cross,"TLPI(1) > θ, velocity > 0, acceleration > 0",,INFERRED,WEAK,matched lift -1.35pp — inside ±5pp of its control
X_TLPI1_vel_acc,4,up,4257,3533,495,467,482,14,0.13218,0.24455,465,0.24097,20,0.3212,0.20771,0.3212,0.16381,0.0,0.51499,-0.32334,124.14087,123.30684,7.66486,8.02323,1.89991,-0.12543,0.28924,cross,"TLPI(1) > θ, velocity > 0, acceleration > 0",,INFERRED,PROMISING,matched lift +8.02pp on 482 episodes
X_TLPI1_vel_acc,8,up,4257,3529,495,466,482,14,0.13205,0.29498,464,0.29871,20,0.34764,0.32833,0.34764,0.10837,0.0,0.91845,-0.68455,155.74596,212.00181,5.26556,4.89331,2.20607,-0.24283,0.3512,cross,"TLPI(1) > θ, velocity > 0, acceleration > 0",,INFERRED,WEAK,matched lift +4.89pp — inside ±5pp of its control
X_E1_market_noveto,2,up,4257,3560,1013,932,340,14,0.2618,0.16826,923,0.13397,20,0.20815,0.15773,0.20815,0.04828,0.0,0.15612,-0.07886,74.07072,72.0404,3.98916,7.41847,0.94141,-0.13375,0.18203,cross,"E1, market permission, no risk state",,INFERRED,PROMISING,matched lift +7.42pp on 340 episodes
