candidate_id,horizon_frames,outcome,n_rows,n_valid,n_signal,n_signal_valid,episodes,symbol_coverage,share_of_valid_rows,base_p_outcome,n_matched,ctrl_p_outcome,control_draws,p_up,p_down,p_outcome,mean_fwd_ticks,median_fwd_ticks,mfe,mae,median_t_favourable_s,median_t_adverse_s,lift_vs_base_pp,matched_lift_pp,matched_lift_sd,ctrl_mean_ticks,ticks_vs_ctrl,family,logic,formula,truth_class,status,reason,dev_val_agreement
TLPI_l0.25,4,up,4257,3533,2164,2016,205,14,0.57062,0.24455,1366,0.23799,20,0.2872,0.29762,0.2872,0.01612,0.0,0.47842,-0.44221,110.23954,110.17982,4.26486,4.92059,0.76776,-0.49107,0.50719,tlpi,TLPI(0.25) > 0.2,Σq·exp(-λ·|p-mid|/tick) imbalance,INFERRED,WEAK,matched lift +4.92pp — inside ±5pp of its control,"UNAVAILABLE — one session, no split"
DYN_E_touch_not_deep,4,up,4257,3533,361,345,93,14,0.09765,0.24455,342,0.24737,20,0.29565,0.24348,0.29565,0.12174,0.0,0.44783,-0.22319,115.22552,121.76869,5.10986,4.82816,1.19396,-0.10658,0.22832,dynamics,L1 > θ while |top5| ≤ θ (touch only),,INFERRED,WEAK,matched lift +4.83pp — inside ±5pp of its control,"UNAVAILABLE — one session, no split"
TLPI_l0.25_rank,4,up,4257,3533,2061,1915,204,14,0.54203,0.24455,1338,0.25605,20,0.28355,0.29817,0.28355,-0.00888,0.0,0.44491,-0.44413,110.26768,112.02882,3.89986,2.74962,0.90936,-0.42704,0.41816,tlpi_rank_ablation,rank-decayed twin of TLPI(0.25) > 0.2,,INFERRED,WEAK,matched lift +2.75pp — inside ±5pp of its control,"UNAVAILABLE — one session, no split"
DYN_I_exhaustion,4,up,4257,3533,205,195,198,14,0.05519,0.24455,195,0.23513,20,0.24615,0.23077,0.24615,-0.0359,0.0,0.37436,-0.35385,123.11,128.05202,0.15986,1.10218,2.80526,-0.12103,0.08513,dynamics,P above θ but V < 0 and A < 0,,INFERRED,WEAK,matched lift +1.10pp — inside ±5pp of its control,"UNAVAILABLE — one session, no split"
GEO_deep_only_ask,4,down,4257,3533,158,139,37,11,0.03934,0.31956,135,0.36148,20,0.17986,0.35971,0.35971,-0.52158,0.0,0.08633,-0.79496,121.53167,92.71649,4.01516,-0.17715,3.9314,-0.295,-0.22658,geometry,top5 < −θ and L1 ≥ −θ,,INFERRED,WEAK,matched lift -0.18pp — inside ±5pp of its control,"UNAVAILABLE — one session, no split"
RISK_depletion,4,down,4257,3533,405,234,229,14,0.06623,0.31956,233,0.38562,20,0.28632,0.35897,0.35897,-0.01496,0.0,0.65598,-0.72436,117.52328,92.56006,3.94116,-2.66523,2.41693,-0.23455,0.21959,risk,top-5 liquidity lost ≥30 % over 3 frames,,INFERRED,WEAK,matched lift -2.67pp — inside ±5pp of its control,"UNAVAILABLE — one session, no split"
DYN_F_l1_pos_top5_weak,4,up,4257,3533,175,157,55,14,0.04444,0.24455,153,0.31503,20,0.28025,0.28662,0.28025,0.08917,0.0,0.57962,-0.33439,114.00432,105.44042,3.56986,-3.47827,3.14241,-0.0549,0.14407,dynamics,L1 > θ and top5 < 0,,INFERRED,WEAK,matched lift -3.48pp — inside ±5pp of its control,"UNAVAILABLE — one session, no split"
RISK_any,4,down,4257,3533,777,581,547,14,0.16445,0.31956,577,0.39497,20,0.29776,0.358,0.358,-0.06713,0.0,0.52926,-0.61704,123.00132,116.50764,3.84416,-3.6974,1.76016,-0.22405,0.15692,risk,any of depletion / bid retreat / spread widening,,INFERRED,WEAK,matched lift -3.70pp — inside ±5pp of its control,"UNAVAILABLE — one session, no split"
REF_all,4,up,4257,3533,1875,1704,133,13,0.48231,0.24455,871,0.31561,20,0.26878,0.3081,0.26878,-0.06837,0.0,0.4196,-0.51056,110.26789,108.9308,2.42286,-4.68342,1.18375,-0.44067,0.3723,reference,imb_all > 0.2,,INFERRED,WEAK,matched lift -4.68pp — inside ±5pp of its control,"UNAVAILABLE — one session, no split"
TLPI_l0,4,up,4257,3533,1836,1704,133,13,0.48231,0.24455,871,0.31561,20,0.26878,0.3081,0.26878,-0.06837,0.0,0.4196,-0.51056,110.26789,108.9308,2.42286,-4.68342,1.18375,-0.44067,0.3723,tlpi,TLPI(0) > 0.2,Σq·exp(-λ·|p-mid|/tick) imbalance,INFERRED,WEAK,matched lift -4.68pp — inside ±5pp of its control,"UNAVAILABLE — one session, no split"
TLPI_l0_rank,4,up,4257,3533,1836,1704,133,13,0.48231,0.24455,871,0.31561,20,0.26878,0.3081,0.26878,-0.06837,0.0,0.4196,-0.51056,110.26789,108.9308,2.42286,-4.68342,1.18375,-0.44067,0.3723,tlpi_rank_ablation,rank-decayed twin of TLPI(0) > 0.2,,INFERRED,WEAK,matched lift -4.68pp — inside ±5pp of its control,"UNAVAILABLE — one session, no split"
RISK_bid_retreat,4,down,4257,3533,340,315,328,14,0.08916,0.31956,314,0.39029,20,0.30159,0.34286,0.34286,-0.13651,0.0,0.43968,-0.5746,123.16128,125.2146,2.33016,-4.74266,2.38205,-0.16003,0.02352,risk,best bid stepped down,,INFERRED,WEAK,matched lift -4.74pp — inside ±5pp of its control,"UNAVAILABLE — one session, no split"
RISK_spread_widening,4,down,4257,3533,152,141,151,13,0.03991,0.31956,138,0.47174,20,0.34043,0.41135,0.41135,-0.05674,0.0,0.45745,-0.60993,123.54504,122.57423,9.17916,-6.03891,3.13579,-0.42391,0.36717,risk,spread widened,,INFERRED,KILLED,matched lift -6.04pp — worse than its own control,"UNAVAILABLE — one session, no split"
GEO_deep_only_bid,4,up,4257,3533,876,823,194,14,0.23295,0.24455,800,0.30069,20,0.17861,0.3706,0.17861,-0.19441,0.0,0.28979,-0.56015,112.79521,108.9749,-6.59414,-12.20775,1.49146,-0.03134,-0.16307,geometry,top5 > θ and L1 ≤ θ,,INFERRED,KILLED,matched lift -12.21pp — worse than its own control,"UNAVAILABLE — one session, no split"
RISK_hard,4,down,4257,3533,107,97,104,14,0.02746,0.31956,96,0.46302,20,0.3299,0.38144,0.38144,-0.21649,0.0,0.40206,-0.71134,119.64921,132.68183,6.18816,-8.15808,2.99387,-0.59766,0.38117,risk,two or more risk states at once,,INFERRED,INSUFFICIENT_SAMPLE,"104 episodes / 97 rows — below the 30-episode, 100-row floor. NOT a kill.","UNAVAILABLE — one session, no split"
