candidate_id,horizon_frames,outcome,n_rows,n_valid,n_signal,n_signal_valid,episodes,symbol_coverage,share_of_valid_rows,base_p_outcome,n_matched,ctrl_p_outcome,control_draws,p_up,p_down,p_outcome,mean_fwd_ticks,median_fwd_ticks,mfe,mae,median_t_favourable_s,median_t_adverse_s,lift_vs_base_pp,matched_lift_pp,matched_lift_sd,ctrl_mean_ticks,ticks_vs_ctrl,family,logic,formula,truth_class,status,reason
CTX_market_permission,2,up,4257,3560,1234,1136,331,14,0.3191,0.16826,1115,0.14471,20,0.20335,0.15669,0.20335,0.05854,0.0,0.16681,-0.08143,82.82682,76.05005,3.50916,5.86415,0.99031,-0.1672,0.22574,context,E1 and market pressure > 0,,INFERRED,PROMISING,matched lift +5.86pp on 331 episodes
CTX_market_permission,4,up,4257,3533,1234,1107,331,14,0.31333,0.24455,1087,0.21582,20,0.2963,0.25384,0.2963,0.07317,0.0,0.42547,-0.30262,112.84761,118.01663,5.17486,8.04766,1.25054,-0.28293,0.3561,context,E1 and market pressure > 0,,INFERRED,PROMISING,matched lift +8.05pp on 331 episodes
CTX_market_permission,8,up,4257,3529,1234,1127,331,14,0.31935,0.29498,1109,0.26366,20,0.33185,0.33274,0.33185,-0.08962,0.0,0.71917,-0.72804,141.47418,167.67593,3.68656,6.8189,1.22398,-0.41037,0.32075,context,E1 and market pressure > 0,,INFERRED,PROMISING,matched lift +6.82pp on 331 episodes
CTX_sector_permission,2,up,4257,3560,655,596,171,8,0.16742,0.16826,590,0.15102,20,0.28356,0.16946,0.28356,0.16443,0.0,0.29698,-0.06124,81.87412,75.82152,11.53016,13.25431,1.02125,-0.32572,0.49015,context,E1 and sector pressure > 0 (observable sectors only),,INFERRED,PROMISING,matched lift +13.25pp on 171 episodes
CTX_sector_permission,4,up,4257,3533,655,579,171,8,0.16388,0.24455,574,0.22274,20,0.40415,0.25389,0.40415,0.25561,0.0,0.71244,-0.31434,108.62161,108.33832,15.95986,18.14148,1.42465,-0.52835,0.78396,context,E1 and sector pressure > 0 (observable sectors only),,INFERRED,PROMISING,matched lift +18.14pp on 171 episodes
CTX_sector_permission,8,up,4257,3529,655,598,171,8,0.16945,0.29498,591,0.27538,20,0.44147,0.34615,0.44147,0.03846,0.0,1.15635,-0.90719,128.62611,154.72054,14.64856,16.60893,1.78384,-0.60554,0.644,context,E1 and sector pressure > 0 (observable sectors only),,INFERRED,PROMISING,matched lift +16.61pp on 171 episodes
CTX_share_resid,2,up,4257,3560,1715,1595,365,14,0.44803,0.16826,1540,0.11312,20,0.22884,0.14545,0.22884,0.09906,0.0,0.21473,-0.0674,79.59566,76.98539,6.05816,11.57231,0.66107,-0.28175,0.38081,context,share pressure minus market > 0.2,,INFERRED,PROMISING,matched lift +11.57pp on 365 episodes
CTX_share_resid,4,up,4257,3533,1715,1582,365,14,0.44778,0.24455,1526,0.17788,20,0.32933,0.22314,0.32933,0.15044,0.0,0.51296,-0.29204,109.15003,111.33945,8.47786,15.14466,1.00524,-0.48476,0.6352,context,share pressure minus market > 0.2,,INFERRED,PROMISING,matched lift +15.14pp on 365 episodes
CTX_share_resid,8,up,4257,3529,1715,1581,365,14,0.448,0.29498,1517,0.23312,20,0.36559,0.29538,0.36559,0.0408,0.0,0.8716,-0.69861,133.07299,163.29838,7.06056,13.24654,0.76674,-0.58866,0.62946,context,share pressure minus market > 0.2,,INFERRED,PROMISING,matched lift +13.25pp on 365 episodes
CTX_xs_rank_top,2,up,4257,3560,511,482,204,14,0.13539,0.16826,475,0.14074,20,0.32365,0.12241,0.32365,0.26971,0.0,0.37033,0.04668,82.38693,85.30366,15.53916,18.29132,1.50466,-0.189,0.45871,context,top decile of cross-sectional pressure at this instant,,INFERRED,PROMISING,matched lift +18.29pp on 204 episodes
CTX_xs_rank_top,4,up,4257,3533,511,478,204,14,0.1353,0.24455,471,0.22187,20,0.43933,0.18201,0.43933,0.37029,0.0,0.73326,-0.1841,107.77905,119.74924,19.47786,21.74616,1.73923,-0.33625,0.70654,context,top decile of cross-sectional pressure at this instant,,INFERRED,PROMISING,matched lift +21.75pp on 204 episodes
CTX_xs_rank_top,8,up,4257,3529,511,483,204,14,0.13687,0.29498,476,0.28571,20,0.41201,0.26915,0.41201,0.07246,0.0,1.11077,-0.73395,120.43202,178.24175,11.70256,12.62957,1.84537,-0.31082,0.38328,context,top decile of cross-sectional pressure at this instant,,INFERRED,PROMISING,matched lift +12.63pp on 204 episodes
CTX_market_weak_share_strong,2,up,4257,3560,559,522,235,14,0.14663,0.16826,521,0.15509,20,0.27011,0.12069,0.27011,0.1954,0.0,0.30939,-0.00958,76.03132,87.88845,10.18516,11.50236,1.43174,-0.11032,0.30572,context,E1 while the market tier is negative — the decoupling case,,INFERRED,PROMISING,matched lift +11.50pp on 235 episodes
CTX_market_weak_share_strong,4,up,4257,3533,559,527,235,14,0.14917,0.24455,526,0.21797,20,0.37951,0.17078,0.37951,0.26376,0.0,0.6518,-0.25427,104.85898,110.991,13.49586,16.15442,1.21384,-0.23265,0.49641,context,E1 while the market tier is negative — the decoupling case,,INFERRED,PROMISING,matched lift +16.15pp on 235 episodes
CTX_market_weak_share_strong,8,up,4257,3529,559,521,235,14,0.14763,0.29498,520,0.28827,20,0.41267,0.26679,0.41267,0.15259,0.0,1.09213,-0.6929,120.84055,177.66089,11.76856,12.44008,1.63881,-0.26942,0.42201,context,E1 while the market tier is negative — the decoupling case,,INFERRED,PROMISING,matched lift +12.44pp on 235 episodes
