candidate_id,horizon_frames,outcome,n_rows,n_valid,n_signal,n_signal_valid,episodes,symbol_coverage,share_of_valid_rows,base_p_outcome,n_matched,ctrl_p_outcome,control_draws,p_up,p_down,p_outcome,mean_fwd_ticks,median_fwd_ticks,mfe,mae,median_t_favourable_s,median_t_adverse_s,lift_vs_base_pp,matched_lift_pp,matched_lift_sd,ctrl_mean_ticks,ticks_vs_ctrl,family,logic,formula,truth_class,status,reason
DYN_A_level,2,up,4257,3560,1793,1658,312,14,0.46573,0.16826,1612,0.11346,20,0.22437,0.14536,0.22437,0.10163,0.0,0.2117,-0.05881,81.33513,79.72187,5.61116,11.09085,0.78,-0.31208,0.41371,dynamics,P > 0.2,,INFERRED,PROMISING,matched lift +11.09pp on 312 episodes
DYN_A_level,4,up,4257,3533,1793,1634,312,14,0.4625,0.24455,1590,0.16538,20,0.32313,0.22705,0.32313,0.13464,0.0,0.49847,-0.28703,109.20054,115.30565,7.85786,15.77526,0.93786,-0.47604,0.61068,dynamics,P > 0.2,,INFERRED,PROMISING,matched lift +15.78pp on 312 episodes
DYN_A_level,8,up,4257,3529,1793,1648,312,14,0.46699,0.29498,1590,0.22858,20,0.3574,0.31189,0.3574,-0.01305,0.0,0.83708,-0.71693,133.78535,170.2342,6.24156,12.88151,1.00515,-0.57619,0.56314,dynamics,P > 0.2,,INFERRED,PROMISING,matched lift +12.88pp on 312 episodes
DYN_B_crossing,2,up,4257,3560,249,232,249,14,0.06517,0.16826,230,0.20261,20,0.18966,0.125,0.18966,0.12931,0.0,0.23707,-0.125,115.23706,100.46283,2.14016,-1.29487,2.03149,-0.0412,0.17051,dynamics,P crosses up through 0.2,,INFERRED,WEAK,matched lift -1.29pp — inside ±5pp of its control
DYN_B_crossing,4,up,4257,3533,249,231,249,14,0.06538,0.24455,228,0.27895,20,0.35498,0.22944,0.35498,0.25974,0.0,0.67965,-0.37879,128.87796,123.51198,11.04286,7.60326,2.02446,-0.11404,0.37378,dynamics,P crosses up through 0.2,,INFERRED,PROMISING,matched lift +7.60pp on 249 episodes
DYN_B_crossing,8,up,4257,3529,249,233,249,14,0.06602,0.29498,231,0.32424,20,0.35622,0.36481,0.35622,-0.00858,0.0,1.06867,-0.8927,150.65705,188.22628,6.12356,3.19776,2.62347,-0.29545,0.28687,dynamics,P crosses up through 0.2,,INFERRED,WEAK,matched lift +3.20pp — inside ±5pp of its control
DYN_C_level_vel,2,up,4257,3560,477,446,457,14,0.12528,0.16826,444,0.18615,20,0.17937,0.09417,0.17937,0.12556,0.0,0.21188,-0.08408,110.05936,104.66876,1.11116,-0.67786,1.44543,-0.06571,0.19127,dynamics,P > θ and V > 0,,INFERRED,WEAK,matched lift -0.68pp — inside ±5pp of its control
DYN_C_level_vel,4,up,4257,3533,477,442,457,14,0.12511,0.24455,439,0.24339,20,0.34389,0.18326,0.34389,0.25,0.0,0.56109,-0.27941,126.24987,125.92658,9.93386,10.04959,2.29852,-0.1635,0.4135,dynamics,P > θ and V > 0,,INFERRED,PROMISING,matched lift +10.05pp on 457 episodes
DYN_C_level_vel,8,up,4257,3529,477,445,457,14,0.1261,0.29498,443,0.29944,20,0.3618,0.30787,0.3618,0.03146,0.0,0.94944,-0.74944,150.55574,210.68798,6.68156,6.23643,1.99937,-0.23657,0.26803,dynamics,P > θ and V > 0,,INFERRED,PROMISING,matched lift +6.24pp on 457 episodes
DYN_D_level_vel_acc,2,up,4257,3560,451,422,444,14,0.11854,0.16826,420,0.18238,20,0.18483,0.09005,0.18483,0.14455,0.0,0.2263,-0.07464,110.05936,104.05161,1.65716,0.2449,1.79575,-0.08006,0.22461,dynamics,P > θ and V > 0 and A > 0,,INFERRED,WEAK,matched lift +0.24pp — inside ±5pp of its control
