candidate_id,horizon_frames,outcome,n_rows,n_valid,n_signal,n_signal_valid,episodes,symbol_coverage,share_of_valid_rows,base_p_outcome,n_matched,ctrl_p_outcome,control_draws,p_up,p_down,p_outcome,mean_fwd_ticks,median_fwd_ticks,mfe,mae,median_t_favourable_s,median_t_adverse_s,lift_vs_base_pp,matched_lift_pp,matched_lift_sd,ctrl_mean_ticks,ticks_vs_ctrl,family,logic,formula,truth_class,status,reason
E1,2,up,4257,3560,1793,1658,312,14,0.46573,0.16826,1612,0.11346,20,0.22437,0.14536,0.22437,0.10163,0.0,0.2117,-0.05881,81.33513,79.72187,5.61116,11.09085,0.78,-0.31208,0.41371,reference,imb_l1 > 0.2,(bid_qty1-ask_qty1)/(bid_qty1+ask_qty1),INFERRED from OBSERVED L1 quantities,PROMISING,matched lift +11.09pp on 312 episodes
E1,4,up,4257,3533,1793,1634,312,14,0.4625,0.24455,1590,0.16538,20,0.32313,0.22705,0.32313,0.13464,0.0,0.49847,-0.28703,109.20054,115.30565,7.85786,15.77526,0.93786,-0.47604,0.61068,reference,imb_l1 > 0.2,(bid_qty1-ask_qty1)/(bid_qty1+ask_qty1),INFERRED from OBSERVED L1 quantities,PROMISING,matched lift +15.78pp on 312 episodes
E1,8,up,4257,3529,1793,1648,312,14,0.46699,0.29498,1590,0.22858,20,0.3574,0.31189,0.3574,-0.01305,0.0,0.83708,-0.71693,133.78535,170.2342,6.24156,12.88151,1.00515,-0.57619,0.56314,reference,imb_l1 > 0.2,(bid_qty1-ask_qty1)/(bid_qty1+ask_qty1),INFERRED from OBSERVED L1 quantities,PROMISING,matched lift +12.88pp on 312 episodes
REF_top3,2,up,4257,3560,2169,2025,226,14,0.56882,0.16826,1701,0.14879,20,0.18667,0.1763,0.18667,0.03309,0.0,0.15704,-0.11235,80.02505,80.54998,1.84116,3.78752,0.52614,-0.44722,0.48031,reference,imb_top3 > 0.2,,INFERRED,WEAK,matched lift +3.79pp — inside ±5pp of its control
REF_top3,4,up,4257,3533,2169,2003,226,14,0.56694,0.24455,1673,0.18757,20,0.27409,0.27059,0.27409,0.02247,0.0,0.42411,-0.37094,109.4698,112.02126,2.95386,8.65228,0.4395,-0.59308,0.61555,reference,imb_top3 > 0.2,,INFERRED,PROMISING,matched lift +8.65pp on 226 episodes
REF_top3,8,up,4257,3529,2169,2007,226,14,0.56872,0.29498,1674,0.23817,20,0.31938,0.34728,0.31938,-0.04036,0.0,0.80942,-0.79895,143.09368,156.26537,2.43956,8.1208,0.75141,-0.78747,0.74711,reference,imb_top3 > 0.2,,INFERRED,PROMISING,matched lift +8.12pp on 226 episodes
REF_top5,2,up,4257,3560,2244,2091,209,14,0.58736,0.16826,1595,0.13812,20,0.18795,0.18412,0.18795,0.01626,0.0,0.15136,-0.1296,79.48371,80.99403,1.96916,4.98309,0.7778,-0.39884,0.4151,reference,imb_top5 > 0.2,,INFERRED,WEAK,matched lift +4.98pp — inside ±5pp of its control
REF_top5,4,up,4257,3533,2244,2061,209,14,0.58336,0.24455,1575,0.19476,20,0.27123,0.27608,0.27123,0.01553,0.0,0.42576,-0.39471,109.15003,111.31496,2.66786,7.64681,1.03078,-0.59878,0.61431,reference,imb_top5 > 0.2,,INFERRED,PROMISING,matched lift +7.65pp on 209 episodes
REF_top5,8,up,4257,3529,2244,2063,209,14,0.58458,0.29498,1584,0.21503,20,0.32719,0.35482,0.32719,-0.03272,0.0,0.83519,-0.84707,143.57068,150.87101,3.22056,11.21647,0.84238,-0.84304,0.81032,reference,imb_top5 > 0.2,,INFERRED,PROMISING,matched lift +11.22pp on 209 episodes
REF_weighted,2,up,4257,3560,2139,1985,200,14,0.55758,0.16826,1291,0.14524,20,0.2005,0.19244,0.2005,0.03476,0.0,0.17834,-0.12821,82.31661,79.61905,3.22416,5.52637,0.55431,-0.37748,0.41224,reference,imb_weighted > 0.2,,INFERRED,PROMISING,matched lift +5.53pp on 200 episodes
REF_weighted,4,up,4257,3533,2139,1956,200,14,0.55364,0.24455,1268,0.22453,20,0.2863,0.29192,0.2863,0.0184,0.0,0.46881,-0.42561,110.26768,110.9829,4.17486,6.17732,0.84013,-0.50607,0.52447,reference,imb_weighted > 0.2,,INFERRED,PROMISING,matched lift +6.18pp on 200 episodes
REF_weighted,8,up,4257,3529,2139,1960,200,14,0.5554,0.29498,1268,0.24547,20,0.34439,0.36173,0.34439,0.00332,0.0,0.91786,-0.8852,143.15176,148.74018,4.94056,9.89247,0.9082,-0.87397,0.87729,reference,imb_weighted > 0.2,,INFERRED,PROMISING,matched lift +9.89pp on 200 episodes
REF_all,2,up,4257,3560,1875,1733,133,13,0.4868,0.16826,891,0.22318,20,0.18292,0.20716,0.18292,-0.04183,0.0,0.12435,-0.19215,79.69841,77.56429,1.46616,-4.02562,1.06242,-0.33993,0.2981,reference,imb_all > 0.2,,INFERRED,WEAK,matched lift -4.03pp — inside ±5pp of its control
REF_all,4,up,4257,3533,1875,1704,133,13,0.48231,0.24455,871,0.31561,20,0.26878,0.3081,0.26878,-0.06837,0.0,0.4196,-0.51056,110.26789,108.9308,2.42286,-4.68342,1.18375,-0.44067,0.3723,reference,imb_all > 0.2,,INFERRED,WEAK,matched lift -4.68pp — inside ±5pp of its control
REF_all,8,up,4257,3529,1875,1696,133,13,0.48059,0.29498,872,0.31107,20,0.31781,0.37913,0.31781,-0.10967,0.0,0.88267,-1.00649,144.44693,137.88363,2.28256,0.67435,1.07699,-0.80235,0.69268,reference,imb_all > 0.2,,INFERRED,WEAK,matched lift +0.67pp — inside ±5pp of its control
