candidate_id,horizon_frames,outcome,n_rows,n_valid,n_signal,n_signal_valid,episodes,symbol_coverage,share_of_valid_rows,base_p_outcome,n_matched,ctrl_p_outcome,control_draws,p_up,p_down,p_outcome,mean_fwd_ticks,median_fwd_ticks,mfe,mae,median_t_favourable_s,median_t_adverse_s,lift_vs_base_pp,matched_lift_pp,matched_lift_sd,ctrl_mean_ticks,ticks_vs_ctrl,book_shape,family,status
E1,4,up,1310,1221,501,456,83,13,0.37346,0.24406,398,0.20628,20,0.3443,0.26316,0.3443,0.19518,0.0,0.68202,-0.40022,108.08304,110.98399,10.02378,13.80186,2.16277,-0.53813,0.73331,gapped,reference,PROMISING
TLPI_l1,4,up,1310,1221,655,605,66,13,0.4955,0.24406,407,0.16179,20,0.34545,0.27107,0.34545,0.22397,0.0,0.76942,-0.41983,108.85046,113.79733,10.13878,18.36564,1.36282,-0.8293,1.05327,gapped,tlpi,PROMISING
TLPI_l2,4,up,1310,1221,569,522,72,12,0.42752,0.24406,445,0.19719,20,0.34866,0.26628,0.34866,0.13985,0.0,0.64559,-0.43103,108.75521,112.70123,10.45978,15.1469,1.86577,-0.58978,0.72963,gapped,tlpi,PROMISING
DYN_C_level_vel,4,up,1310,1221,148,135,137,10,0.11057,0.24406,133,0.28271,20,0.34815,0.22222,0.34815,0.46296,0.0,0.8,-0.33704,120.55238,119.35,10.40878,6.54432,2.93137,-0.09474,0.5577,gapped,dynamics,PROMISING
DYN_H_persistent,4,up,1310,1221,321,288,66,12,0.23587,0.24406,272,0.19779,20,0.36458,0.25,0.36458,0.17535,0.0,0.54687,-0.32465,107.11935,114.20932,12.05178,16.67859,2.29316,-0.41728,0.59263,gapped,dynamics,PROMISING
GEO_touch_dominant_bid,4,up,1310,1221,232,216,55,10,0.1769,0.24406,180,0.25806,20,0.40278,0.25926,0.40278,0.37963,0.0,0.78704,-0.24306,107.5828,108.22471,15.87178,14.47244,2.40123,-0.23097,0.6106,gapped,geometry,PROMISING
VETO_E1_no_risk,4,up,1310,1221,409,370,101,13,0.30303,0.24406,352,0.24545,20,0.34054,0.25676,0.34054,0.16216,0.0,0.66081,-0.4,104.71714,112.64135,9.64778,9.50855,1.63432,-0.2397,0.40186,gapped,veto,PROMISING
CTX_market_permission,4,up,1310,1221,351,311,90,12,0.25471,0.24406,282,0.23635,20,0.29582,0.2926,0.29582,0.13987,0.0,0.53215,-0.36334,108.65996,115.05988,5.17578,5.94725,2.19284,-0.34938,0.48925,gapped,context,PROMISING
E1,4,up,205,196,79,78,15,10,0.39796,0.20408,34,0.03529,20,0.41026,0.10256,0.41026,0.39103,0.0,0.63462,-0.0641,120.43202,111.59513,20.61784,37.49659,2.25815,-0.82426,1.21529,slightly_gapped,reference,INSUFFICIENT_SAMPLE
TLPI_l1,4,up,205,196,98,97,13,10,0.4949,0.20408,22,0.03409,20,0.34021,0.20619,0.34021,0.14948,0.0,0.46392,-0.2268,110.10649,97.19787,13.61284,30.61191,3.25614,-0.66023,0.80971,slightly_gapped,tlpi,INSUFFICIENT_SAMPLE
