candidate_id,horizon_frames,outcome,n_rows,n_valid,n_signal,n_signal_valid,episodes,symbol_coverage,share_of_valid_rows,base_p_outcome,n_matched,ctrl_p_outcome,control_draws,p_up,p_down,p_outcome,mean_fwd_ticks,median_fwd_ticks,mfe,mae,median_t_favourable_s,median_t_adverse_s,lift_vs_base_pp,matched_lift_pp,matched_lift_sd,ctrl_mean_ticks,ticks_vs_ctrl,family,logic,formula,truth_class,status,reason
RISK_depletion,2,down,4257,3560,405,237,229,14,0.06657,0.21124,234,0.26923,20,0.16878,0.26582,0.26582,-0.11181,0.0,0.13924,-0.29958,74.6829,79.77987,5.4584,-0.34108,2.59762,-0.02009,-0.09172,risk,top-5 liquidity lost ≥30 % over 3 frames,,INFERRED,WEAK,matched lift -0.34pp — inside ±5pp of its control
RISK_depletion,4,down,4257,3533,405,234,229,14,0.06623,0.31956,233,0.38562,20,0.28632,0.35897,0.35897,-0.01496,0.0,0.65598,-0.72436,117.52328,92.56006,3.94116,-2.66523,2.41693,-0.23455,0.21959,risk,top-5 liquidity lost ≥30 % over 3 frames,,INFERRED,WEAK,matched lift -2.67pp — inside ±5pp of its control
RISK_depletion,8,down,4257,3529,405,227,229,14,0.06432,0.40861,224,0.49598,20,0.32599,0.49339,0.49339,-0.11013,0.0,1.29736,-1.4163,147.88413,129.50737,8.47757,-0.25921,3.11289,-0.60692,0.49679,risk,top-5 liquidity lost ≥30 % over 3 frames,,INFERRED,WEAK,matched lift -0.26pp — inside ±5pp of its control
RISK_bid_retreat,2,down,4257,3560,340,324,328,14,0.09101,0.21124,323,0.29985,20,0.15432,0.12654,0.12654,0.0,0.0,0.14043,-0.16667,112.51265,104.87806,-8.4696,-17.33052,2.51373,-0.12655,0.12655,risk,best bid stepped down,,INFERRED,KILLED,matched lift -17.33pp — worse than its own control
RISK_bid_retreat,4,down,4257,3533,340,315,328,14,0.08916,0.31956,314,0.39029,20,0.30159,0.34286,0.34286,-0.13651,0.0,0.43968,-0.5746,123.16128,125.2146,2.33016,-4.74266,2.38205,-0.16003,0.02352,risk,best bid stepped down,,INFERRED,WEAK,matched lift -4.74pp — inside ±5pp of its control
RISK_bid_retreat,8,down,4257,3529,340,321,328,14,0.09096,0.40861,320,0.4725,20,0.32087,0.44548,0.44548,-0.25545,0.0,0.88785,-1.15888,149.81825,167.41771,3.68657,-2.702,2.21807,-0.40367,0.14822,risk,best bid stepped down,,INFERRED,WEAK,matched lift -2.70pp — inside ±5pp of its control
RISK_spread_widening,2,down,4257,3560,152,142,151,13,0.03989,0.21124,140,0.35464,20,0.15493,0.19718,0.19718,-0.14437,0.0,0.09859,-0.32394,117.34915,111.16817,-1.4056,-15.74629,3.3525,-0.21429,0.06992,risk,spread widened,,INFERRED,KILLED,matched lift -15.75pp — worse than its own control
RISK_spread_widening,4,down,4257,3533,152,141,151,13,0.03991,0.31956,138,0.47174,20,0.34043,0.41135,0.41135,-0.05674,0.0,0.45745,-0.60993,123.54504,122.57423,9.17916,-6.03891,3.13579,-0.42391,0.36717,risk,spread widened,,INFERRED,KILLED,matched lift -6.04pp — worse than its own control
RISK_spread_widening,8,down,4257,3529,152,143,151,13,0.04052,0.40861,141,0.54149,20,0.39161,0.5035,0.5035,-0.26224,-0.0,0.98951,-1.33217,148.46086,150.5215,9.48857,-3.79894,3.60368,-0.76631,0.50407,risk,spread widened,,INFERRED,WEAK,matched lift -3.80pp — inside ±5pp of its control
RISK_any,2,down,4257,3560,777,591,547,14,0.16601,0.21124,586,0.30606,20,0.15905,0.19797,0.19797,-0.06853,0.0,0.13959,-0.23942,106.43338,92.71649,-1.3266,-10.8088,1.75193,-0.1125,0.04397,risk,any of depletion / bid retreat / spread widening,,INFERRED,KILLED,matched lift -10.81pp — worse than its own control
