cohort,n,gross,t_gross,hit_gross,net_verified_0.8%,t_net_verified,hit_net_verified,net_est_+0.2%,net_est_+0.4%,panel,regime,cohort_kind,hold,saleability_note
whole oversold cohort · hold 0,42,-0.004676462756576629,-1.1712063888696018,0.38095238095238093,-0.012676462756576629,-3.174782937785775,0.30952380952380953,-0.014676462756576629,-0.01667646275657663,PRIMARY,PRE_FLOOR,all,0,same-session round trip — needs intraday netting / same-day sell
whole oversold cohort · hold 1,42,0.00503344116752238,1.0183850890217594,0.6190476190476191,-0.0029665588324776213,-0.6002055413291122,0.42857142857142855,-0.004966558832477621,-0.006966558832477621,PRIMARY,PRE_FLOOR,all,1,sell at the next session's close
whole oversold cohort · hold 2,42,0.00015960216029324966,0.023102684823357447,0.5238095238095238,-0.007840397839706751,-1.1349109551378591,0.47619047619047616,-0.009840397839706751,-0.011840397839706751,PRIMARY,PRE_FLOOR,all,2,sell two sessions after entry
whole oversold cohort · hold 4,42,-0.002507944858400836,-0.2695333279369229,0.47619047619047616,-0.010507944858400836,-1.129307663194957,0.4523809523809524,-0.012507944858400837,-0.014507944858400837,PRIMARY,PRE_FLOOR,all,4,sell four sessions after entry
Q1 = most oversold fifth · hold 0,42,-0.003310434448380445,-0.5487955352276079,0.47619047619047616,-0.011310434448380443,-1.8750155073429744,0.38095238095238093,-0.013310434448380443,-0.015310434448380443,PRIMARY,PRE_FLOOR,q1,0,same-session round trip — needs intraday netting / same-day sell
Q1 = most oversold fifth · hold 1,42,0.014913670738694831,2.09433599334693,0.6190476190476191,0.006913670738694833,0.9708910521022555,0.5476190476190477,0.004913670738694833,0.002913670738694833,PRIMARY,PRE_FLOOR,q1,1,sell at the next session's close
Q1 = most oversold fifth · hold 2,42,0.00737695115190883,0.802449796779279,0.5238095238095238,-0.0006230488480911697,-0.06777399107556162,0.47619047619047616,-0.0026230488480911696,-0.00462304884809117,PRIMARY,PRE_FLOOR,q1,2,sell two sessions after entry
Q1 = most oversold fifth · hold 4,42,0.005962838018213792,0.4575127473912436,0.5,-0.002037161981786208,-0.15630603620642936,0.5,-0.004037161981786208,-0.006037161981786208,PRIMARY,PRE_FLOOR,q1,4,sell four sessions after entry
Q5 = least oversold fifth · hold 0,42,-0.012431493485578652,-3.0413216064231725,0.23809523809523808,-0.020431493485578652,-4.9984937579116835,0.23809523809523808,-0.02243149348557865,-0.024431493485578652,PRIMARY,PRE_FLOOR,q5,0,same-session round trip — needs intraday netting / same-day sell
Q5 = least oversold fifth · hold 1,41,-0.00040043965704235877,-0.05512678491488024,0.5609756097560976,-0.00840043965704236,-1.1564519697788538,0.43902439024390244,-0.01040043965704236,-0.01240043965704236,PRIMARY,PRE_FLOOR,q5,1,sell at the next session's close
Q5 = least oversold fifth · hold 2,42,-0.006693904963683638,-0.7281581814164517,0.5238095238095238,-0.014693904963683639,-1.5983924442175157,0.42857142857142855,-0.01669390496368364,-0.018693904963683637,PRIMARY,PRE_FLOOR,q5,2,sell two sessions after entry
Q5 = least oversold fifth · hold 4,42,-0.00935675510600199,-0.8637610505054785,0.4523809523809524,-0.017356755106001993,-1.6022743840019682,0.40476190476190477,-0.019356755106001995,-0.021356755106001993,PRIMARY,PRE_FLOOR,q5,4,sell four sessions after entry
Q1−Q5 spread [NOT long-only capturable] · hold 0,42,0.009121059037198207,1.5997338239264385,0.5952380952380952,,0.19662147269416988,0.5714285714285714,,,PRIMARY,PRE_FLOOR,spread,0,same-session round trip — needs intraday netting / same-day sell
Q1−Q5 spread [NOT long-only capturable] · hold 1,41,0.01362131129400488,1.5566612529345376,0.6341463414634146,,0.642410799752593,0.5365853658536586,,,PRIMARY,PRE_FLOOR,spread,1,sell at the next session's close
Q1−Q5 spread [NOT long-only capturable] · hold 2,42,0.01407085611559247,1.2784133515414675,0.6666666666666666,,0.5515700999074421,0.5476190476190477,,,PRIMARY,PRE_FLOOR,spread,2,sell two sessions after entry
Q1−Q5 spread [NOT long-only capturable] · hold 4,42,0.015319593124215783,1.3061830282405915,0.5952380952380952,,0.624085002451173,0.5714285714285714,,,PRIMARY,PRE_FLOOR,spread,4,sell four sessions after entry
whole oversold cohort · hold 0,1,0.0062905859405676685,,1.0,-0.0017094140594323317,,0.0,-0.0037094140594323317,-0.005709414059432332,PRIMARY,POST_FLOOR,all,0,same-session round trip — needs intraday netting / same-day sell
whole oversold cohort · hold 1,1,0.022766887710479723,,1.0,0.014766887710479723,,1.0,0.012766887710479723,0.010766887710479723,PRIMARY,POST_FLOOR,all,1,sell at the next session's close
whole oversold cohort · hold 2,0,,,,,,,,,PRIMARY,POST_FLOOR,all,2,sell two sessions after entry
whole oversold cohort · hold 4,0,,,,,,,,,PRIMARY,POST_FLOOR,all,4,sell four sessions after entry
Q1 = most oversold fifth · hold 0,1,0.028740157352374437,,1.0,0.020740157352374437,,1.0,0.018740157352374436,0.016740157352374437,PRIMARY,POST_FLOOR,q1,0,same-session round trip — needs intraday netting / same-day sell
Q1 = most oversold fifth · hold 1,1,0.050038520437492545,,1.0,0.042038520437492545,,1.0,0.04003852043749254,0.03803852043749255,PRIMARY,POST_FLOOR,q1,1,sell at the next session's close
Q1 = most oversold fifth · hold 2,0,,,,,,,,,PRIMARY,POST_FLOOR,q1,2,sell two sessions after entry
Q1 = most oversold fifth · hold 4,0,,,,,,,,,PRIMARY,POST_FLOOR,q1,4,sell four sessions after entry
Q5 = least oversold fifth · hold 0,1,0.003943914271877468,,1.0,-0.004056085728122532,,0.0,-0.006056085728122532,-0.008056085728122532,PRIMARY,POST_FLOOR,q5,0,same-session round trip — needs intraday netting / same-day sell
Q5 = least oversold fifth · hold 1,1,0.008398968401220758,,1.0,0.00039896840122075755,,1.0,-0.0016010315987792425,-0.0036010315987792425,PRIMARY,POST_FLOOR,q5,1,sell at the next session's close
Q5 = least oversold fifth · hold 2,0,,,,,,,,,PRIMARY,POST_FLOOR,q5,2,sell two sessions after entry
Q5 = least oversold fifth · hold 4,0,,,,,,,,,PRIMARY,POST_FLOOR,q5,4,sell four sessions after entry
Q1−Q5 spread [NOT long-only capturable] · hold 0,1,0.02479624308049697,,1.0,,,1.0,,,PRIMARY,POST_FLOOR,spread,0,same-session round trip — needs intraday netting / same-day sell
Q1−Q5 spread [NOT long-only capturable] · hold 1,1,0.04163955203627179,,1.0,,,1.0,,,PRIMARY,POST_FLOOR,spread,1,sell at the next session's close
Q1−Q5 spread [NOT long-only capturable] · hold 2,0,,,,,,,,,PRIMARY,POST_FLOOR,spread,2,sell two sessions after entry
Q1−Q5 spread [NOT long-only capturable] · hold 4,0,,,,,,,,,PRIMARY,POST_FLOOR,spread,4,sell four sessions after entry
whole oversold cohort · hold 0,5,-0.02777132223323564,-2.3031450240444653,0.2,-0.03577132223323564,-2.9666049787997055,0.2,-0.03777132223323564,-0.03977132223323564,POSTBREAK,POST_FLOOR,all,0,same-session round trip — needs intraday netting / same-day sell
whole oversold cohort · hold 1,5,-0.020017819450577033,-1.643162868801491,0.2,-0.028017819450577037,-2.2998429324251544,0.2,-0.030017819450577035,-0.03201781945057704,POSTBREAK,POST_FLOOR,all,1,sell at the next session's close
whole oversold cohort · hold 2,5,-0.021840669625867747,-1.4375182231794772,0.2,-0.02984066962586775,-1.9640655306766441,0.2,-0.03184066962586775,-0.03384066962586775,POSTBREAK,POST_FLOOR,all,2,sell two sessions after entry
whole oversold cohort · hold 4,5,-0.04654312887886446,-1.2389636680935041,0.4,-0.05454312887886448,-1.4519211890746306,0.4,-0.05654312887886448,-0.05854312887886448,POSTBREAK,POST_FLOOR,all,4,sell four sessions after entry
Q1 = most oversold fifth · hold 0,5,-0.06620315306424748,-1.958149668409358,0.2,-0.07420315306424749,-2.1947727992151136,0.2,-0.07620315306424749,-0.0782031530642475,POSTBREAK,POST_FLOOR,q1,0,same-session round trip — needs intraday netting / same-day sell
Q1 = most oversold fifth · hold 1,5,-0.046649403118176815,-0.8246302105946647,0.4,-0.05464940311817682,-0.9660477045772791,0.4,-0.05664940311817682,-0.05864940311817682,POSTBREAK,POST_FLOOR,q1,1,sell at the next session's close
Q1 = most oversold fifth · hold 2,5,-0.017951681448742006,-0.3690892483195771,0.6,-0.02595168144874201,-0.5335704416265993,0.6,-0.027951681448742008,-0.02995168144874201,POSTBREAK,POST_FLOOR,q1,2,sell two sessions after entry
Q1 = most oversold fifth · hold 4,5,-0.048346513545161646,-0.799013086130141,0.4,-0.05634651354516164,-0.9312274738971119,0.4,-0.05834651354516164,-0.06034651354516164,POSTBREAK,POST_FLOOR,q1,4,sell four sessions after entry
Q5 = least oversold fifth · hold 0,5,-0.026609656812652,-1.2608215422924587,0.2,-0.034609656812652004,-1.6398783790399303,0.2,-0.036609656812652006,-0.03860965681265201,POSTBREAK,POST_FLOOR,q5,0,same-session round trip — needs intraday netting / same-day sell
Q5 = least oversold fifth · hold 1,5,-0.029410135602780874,-0.8731713429582899,0.4,-0.03741013560278088,-1.1106871041234925,0.4,-0.03941013560278088,-0.04141013560278088,POSTBREAK,POST_FLOOR,q5,1,sell at the next session's close
