split,signal,h,n_frames,n_signal,n_signal_valid,episodes,share_of_frames,p_up,p_down,mean_fwd_ticks,base_p_up,base_mean_ticks,ctrl_p_up,ctrl_mean_ticks,n_matched,lift_vs_matched,lift_vs_base,ticks_vs_base
dev,composite,2,1696,5,5,1,0.00294811320754717,0.6,0.2,0.4000000000000057,0.19215155615696888,-0.0828822733423539,0.2,-0.6000000000000085,5,0.39999999999999997,0.4078484438430311,0.48288227334235956
dev,mirror_composite,2,1696,0,0,0,0.0,,,,0.19215155615696888,-0.0828822733423539,,,0,,,
dev,b_imb_l1,2,1696,625,599,133,0.36851415094339623,0.24874791318864775,0.14691151919866444,0.10267111853088604,0.19215155615696888,-0.0828822733423539,0.16695957820738136,-0.3875219683655579,569,0.08178833498126639,0.05659635703167887,0.18555339187323994
dev,b_imb_top5,2,1696,635,609,90,0.3744103773584906,0.2545155993431856,0.1986863711001642,0.12068965517241295,0.19215155615696888,-0.0828822733423539,0.16370106761565836,-0.6459074733096083,562,0.09081453172752721,0.06236404318621669,0.20357192851476685
dev,b_imb_weighted,2,1696,665,639,81,0.3920990566037736,0.24569640062597808,0.20500782472613457,0.07824726134585429,0.19215155615696888,-0.0828822733423539,0.1834319526627219,-0.46844181459565754,507,0.0622644479632562,0.0535448444690092,0.16112953468820818
dev,b_largest_wall_bid,2,1696,929,892,64,0.5477594339622641,0.20515695067264575,0.22757847533632286,-0.10313901345291518,0.19215155615696888,-0.0828822733423539,0.1116751269035533,-0.1916243654822335,394,0.09348182376909245,0.013005394515676866,-0.020256740110561278
dev,b_one_frame_pressure,2,1696,186,175,182,0.10966981132075472,0.2,0.13714285714285715,0.08857142857143227,0.19215155615696888,-0.0828822733423539,0.22413793103448276,-0.05459770114941483,174,-0.02413793103448275,0.007848443843031128,0.17145370191378617
dev,score_ge_3,2,1696,545,524,121,0.32134433962264153,0.22328244274809161,0.19083969465648856,-0.06583969465648712,0.19215155615696888,-0.0828822733423539,0.16377649325626203,-0.16955684007706828,519,0.05950594949182958,0.03113088659112273,0.017042578685866783
dev,score_ge_4,2,1696,195,191,65,0.11497641509433962,0.25654450261780104,0.16230366492146597,0.09685863874345575,0.19215155615696888,-0.0828822733423539,0.20418848167539266,-0.04188481675392934,191,0.05235602094240838,0.06439294646083216,0.17974091208580967
dev,score_ge_5,2,1696,59,58,26,0.0347877358490566,0.3620689655172414,0.2413793103448276,0.25862068965515833,0.19215155615696888,-0.0828822733423539,0.22413793103448276,-0.15517241379310812,58,0.13793103448275862,0.1699174093602725,0.34150296299751226
dev,score_ge_6,2,1696,14,14,8,0.008254716981132075,0.5714285714285714,0.21428571428571427,1.0357142857142878,0.19215155615696888,-0.0828822733423539,0.42857142857142855,0.5000000000000046,14,0.14285714285714285,0.3792770152716025,1.1185965590566418
dev,score_ge_7,2,1696,5,5,1,0.00294811320754717,0.6,0.2,0.4000000000000057,0.19215155615696888,-0.0828822733423539,0.2,-1.4210854715202004e-14,5,0.39999999999999997,0.4078484438430311,0.48288227334235956
dev,composite,4,1696,5,5,1,0.00294811320754717,0.8,0.0,1.0000000000000284,0.2695945945945946,-0.16418918918918884,0.6,-0.0999999999999801,5,0.20000000000000007,0.5304054054054055,1.1641891891892173
dev,mirror_composite,4,1696,0,0,0,0.0,,,,0.2695945945945946,-0.16418918918918884,,,0,,,
dev,b_imb_l1,4,1696,625,602,133,0.36851415094339623,0.3488372093023256,0.2574750830564784,0.1096345514950164,0.2695945945945946,-0.16418918918918884,0.24385964912280703,-0.4070175438596523,570,0.10497756017951856,0.07924261470773097,0.27382374068420523
dev,b_imb_top5,4,1696,635,610,90,0.3744103773584906,0.3590163934426229,0.2983606557377049,0.1663934426229494,0.2695945945945946,-0.16418918918918884,0.2117437722419929,-0.8007117437722442,562,0.14727262120063003,0.08942179884802831,0.3305826318121382
dev,b_imb_weighted,4,1696,665,636,81,0.3920990566037736,0.34276729559748426,0.31761006289308175,0.08018867924528421,0.2695945945945946,-0.16418918918918884,0.26043737574552683,-0.6630218687872772,503,0.08232991985195742,0.07317270100288964,0.24437786843447307
dev,b_largest_wall_bid,4,1696,929,894,64,0.5477594339622641,0.2986577181208054,0.3534675615212528,-0.18064876957494433,0.2695945945945946,-0.16418918918918884,0.30886075949367087,0.04556962025315925,395,-0.010203041372865485,0.029063123526210766,-0.016459580385755485
dev,b_one_frame_pressure,4,1696,186,179,182,0.10966981132075472,0.3240223463687151,0.329608938547486,-0.061452513966475365,0.2695945945945946,-0.16418918918918884,0.2303370786516854,-0.5758426966292173,178,0.09368526771702967,0.05442775177412046,0.10273667522271349
dev,score_ge_3,4,1696,545,526,121,0.32134433962264153,0.3193916349809886,0.2965779467680608,-0.04467680608365109,0.2695945945945946,-0.16418918918918884,0.23846153846153847,-0.22499999999999656,520,0.08093009651945013,0.04979704038639399,0.11951238310553775
dev,score_ge_4,4,1696,195,189,65,0.11497641509433962,0.37037037037037035,0.2751322751322751,0.08465608465608304,0.2695945945945946,-0.16418918918918884,0.2962962962962963,-0.0423280423280512,189,0.07407407407407407,0.10077577577577573,0.24884527384527189
dev,score_ge_5,4,1696,59,59,26,0.0347877358490566,0.4576271186440678,0.2542372881355932,0.1864406779660881,0.2695945945945946,-0.16418918918918884,0.3220338983050847,-0.22881355932204075,59,0.13559322033898308,0.18803252404947318,0.35062986715527694
dev,score_ge_6,4,1696,14,14,8,0.008254716981132075,0.6428571428571429,0.14285714285714285,0.9285714285714342,0.2695945945945946,-0.16418918918918884,0.42857142857142855,0.6071428571428606,14,0.21428571428571436,0.3732625482625483,1.092760617760623
dev,score_ge_7,4,1696,5,5,1,0.00294811320754717,0.8,0.0,1.0000000000000284,0.2695945945945946,-0.16418918918918884,0.6,0.4000000000000199,5,0.20000000000000007,0.5304054054054055,1.1641891891892173
dev,composite,8,1696,5,5,1,0.00294811320754717,1.0,0.0,2.000000000000057,0.3256756756756757,-0.2847972972972955,0.6,0.5,5,0.4,0.6743243243243243,2.2847972972973523
dev,mirror_composite,8,1696,0,0,0,0.0,,,,0.3256756756756757,-0.2847972972972955,,,0,,,
dev,b_imb_l1,8,1696,625,599,133,0.36851415094339623,0.39232053422370616,0.35392320534223703,-0.07512520868113291,0.3256756756756757,-0.2847972972972955,0.3204225352112676,-0.5325704225352087,568,0.07189799901243854,0.06664485854803048,0.2096720886161626
dev,b_imb_top5,8,1696,635,614,90,0.3744103773584906,0.4169381107491857,0.36482084690553745,0.17019543973941517,0.3256756756756757,-0.2847972972972955,0.2824156305506217,-0.9600355239786957,563,0.134522480198564,0.09126243507351,0.4549927370367107
dev,b_imb_weighted,8,1696,665,641,81,0.3920990566037736,0.41809672386895474,0.3619344773790952,0.15678627145085924,0.3256756756756757,-0.2847972972972955,0.3207920792079208,-0.7801980198019883,505,0.09730464466103395,0.09242104819327907,0.44158356874815474
dev,b_largest_wall_bid,8,1696,929,892,64,0.5477594339622641,0.33856502242152464,0.42713004484304934,-0.28082959641255434,0.3256756756756757,-0.2847972972972955,0.40153452685422,-0.4424552429667588,391,-0.06296950443269533,0.012889346745848962,0.003967700884741188
dev,b_one_frame_pressure,8,1696,186,180,182,0.10966981132075472,0.3333333333333333,0.4444444444444444,-0.48055555555554974,0.3256756756756757,-0.2847972972972955,0.4134078212290503,-0.39944134078212307,179,-0.08007448789571697,0.007657657657657635,-0.19575825825825421
dev,score_ge_3,8,1696,545,532,121,0.32134433962264153,0.38345864661654133,0.37406015037593987,-0.09492481203007547,0.3256756756756757,-0.2847972972972955,0.2676864244741874,-0.5296367112810679,523,0.11577222214235394,0.05778297094086565,0.18987248526722006
dev,score_ge_4,8,1696,195,189,65,0.11497641509433962,0.4497354497354497,0.30687830687830686,0.10846560846560795,0.3256756756756757,-0.2847972972972955,0.35978835978835977,-0.16402116402116862,189,0.08994708994708994,0.12405977405977403,0.39326290576290346
dev,score_ge_5,8,1696,59,55,26,0.0347877358490566,0.45454545454545453,0.2909090909090909,0.05454545454545403,0.3256756756756757,-0.2847972972972955,0.45454545454545453,0.3545454545454312,55,0.0,0.12886977886977885,0.33934275184274953
dev,score_ge_6,8,1696,14,14,8,0.008254716981132075,0.7142857142857143,0.14285714285714285,1.4642857142857275,0.3256756756756757,-0.2847972972972955,0.35714285714285715,-0.24999999999998326,14,0.35714285714285715,0.3886100386100386,1.7490830115830232
dev,score_ge_7,8,1696,5,5,1,0.00294811320754717,1.0,0.0,2.000000000000057,0.3256756756756757,-0.2847972972972955,0.4,0.1999999999999602,5,0.6,0.6743243243243243,2.2847972972973523
val,composite,2,1274,2,2,1,0.0015698587127158557,0.0,0.0,0.0,0.15638207945900254,-0.10397295012679704,0.5,0.5000000000000071,2,-0.5,-0.15638207945900254,0.10397295012679704
val,mirror_composite,2,1274,0,0,0,0.0,,,,0.15638207945900254,-0.10397295012679704,,,0,,,
val,b_imb_l1,2,1274,617,599,108,0.48430141287284145,0.21535893155258765,0.1302170283806344,0.1193656093489102,0.15638207945900254,-0.10397295012679704,0.09618874773139746,-0.3021778584392038,551,0.11917018382119018,0.05897685209358511,0.22333855947570724
val,b_imb_top5,2,1274,827,802,75,0.6491365777080063,0.15087281795511223,0.17331670822942644,-0.041147132169576425,0.15638207945900254,-0.10397295012679704,0.11925042589437819,-0.42163543441226614,587,0.03162239206073404,-0.005509261503890306,0.06282581795722061
val,b_imb_weighted,2,1274,730,706,72,0.5729984301412873,0.18271954674220964,0.19263456090651557,0.0007082152974471138,0.15638207945900254,-0.10397295012679704,0.1349862258953168,-0.38842975206611163,363,0.04773332084689283,0.0263374672832071,0.10468116542424416
val,b_largest_wall_bid,2,1274,839,811,55,0.6585557299843015,0.16152897657213316,0.2096177558569667,-0.13070283600493315,0.15638207945900254,-0.10397295012679704,0.21220930232558138,-0.20639534883721852,344,-0.05068032575344822,0.005146897113130627,-0.026729885878136114
val,b_one_frame_pressure,2,1274,123,121,117,0.09654631083202511,0.15702479338842976,0.19834710743801653,-0.05371900826446064,0.15638207945900254,-0.10397295012679704,0.125,-0.5041666666666552,120,0.032024793388429756,0.0006427139294272188,0.0502539418623364
val,score_ge_3,2,1274,717,694,99,0.5627943485086342,0.1239193083573487,0.15273775216138327,-0.04610951008645752,0.15638207945900254,-0.10397295012679704,0.11006289308176101,-0.22877358490566135,636,0.013856415275587688,-0.03246277110165384,0.05786344004033952
val,score_ge_4,2,1274,325,318,78,0.25510204081632654,0.1289308176100629,0.13836477987421383,-0.01572327044024945,0.15638207945900254,-0.10397295012679704,0.13522012578616352,-0.20754716981132101,318,-0.0062893081761006275,-0.027451261848939645,0.0882496796865476
val,score_ge_5,2,1274,62,62,28,0.04866562009419152,0.1774193548387097,0.1935483870967742,0.0645161290322544,0.15638207945900254,-0.10397295012679704,0.1774193548387097,-0.2903225806451637,62,0.0,0.02103727537970715,0.16848907915905142
val,score_ge_6,2,1274,13,13,6,0.01020408163265306,0.23076923076923078,0.07692307692307693,0.1538461538461533,0.15638207945900254,-0.10397295012679704,0.3076923076923077,0.30769230769229566,13,-0.07692307692307693,0.07438715131022824,0.2578191039729503
val,score_ge_7,2,1274,2,2,1,0.0015698587127158557,0.0,0.0,0.0,0.15638207945900254,-0.10397295012679704,0.0,0.0,2,0.0,-0.15638207945900254,0.10397295012679704
val,composite,4,1274,2,2,1,0.0015698587127158557,1.0,0.0,1.4999999999999858,0.21694915254237288,-0.20550847457627183,0.0,-1.5000000000000036,2,1.0,0.7830508474576271,1.7055084745762576
val,mirror_composite,4,1274,0,0,0,0.0,,,,0.21694915254237288,-0.20550847457627183,,,0,,,
val,b_imb_l1,4,1274,617,595,108,0.48430141287284145,0.28907563025210087,0.20168067226890757,0.09747899159663294,0.21694915254237288,-0.20550847457627183,0.1043956043956044,-0.4725274725274723,546,0.18468002585649645,0.07212647770972799,0.3029874661729048
val,b_imb_top5,4,1274,827,794,75,0.6491365777080063,0.21536523929471033,0.26322418136020154,-0.06801007556675147,0.21694915254237288,-0.20550847457627183,0.14655172413793102,-0.7862068965517175,580,0.0688135151567793,-0.0015839132476625495,0.13749839900952038
val,b_imb_weighted,4,1274,730,703,72,0.5729984301412873,0.24893314366998578,0.2958748221906117,-0.07610241820768462,0.21694915254237288,-0.20550847457627183,0.21978021978021978,-0.6675824175824105,364,0.029152923889766008,0.03198399112761291,0.1294060563685872
val,b_largest_wall_bid,4,1274,839,807,55,0.6585557299843015,0.2218091697645601,0.3184634448574969,-0.2447335811648096,0.21694915254237288,-0.20550847457627183,0.27485380116959063,-0.40350877192982043,342,-0.05304463140503052,0.004860017222187235,-0.039225106588537756
val,b_one_frame_pressure,4,1274,123,118,117,0.09654631083202511,0.23728813559322035,0.3559322033898305,-0.31355932203389736,0.21694915254237288,-0.20550847457627183,0.2905982905982906,-0.2948717948717948,117,-0.053310155005070275,0.02033898305084747,-0.10805084745762553
val,score_ge_3,4,1274,717,687,99,0.5627943485086342,0.18340611353711792,0.2663755458515284,-0.13828238719068686,0.21694915254237288,-0.20550847457627183,0.13672496025437203,-0.3903020667726549,629,0.046681153282745885,-0.03354303900525496,0.06722608738558497
val,score_ge_4,4,1274,325,316,78,0.25510204081632654,0.18037974683544303,0.2468354430379747,-0.07753164556961506,0.21694915254237288,-0.20550847457627183,0.1518987341772152,-0.34335443037975194,316,0.028481012658227833,-0.03656940570692985,0.12797682900665677
val,score_ge_5,4,1274,62,60,28,0.04866562009419152,0.25,0.3,0.049999999999994195,0.21694915254237288,-0.20550847457627183,0.3333333333333333,-0.29999999999999183,60,-0.08333333333333331,0.033050847457627125,0.255508474576266
val,score_ge_6,4,1274,13,13,6,0.01020408163265306,0.46153846153846156,0.07692307692307693,0.5384615384615216,0.21694915254237288,-0.20550847457627183,0.23076923076923078,-0.26923076923077305,13,0.23076923076923078,0.2445893089960887,0.7439700130377934
val,score_ge_7,4,1274,2,2,1,0.0015698587127158557,1.0,0.0,1.4999999999999858,0.21694915254237288,-0.20550847457627183,0.0,-1.5000000000000036,2,1.0,0.7830508474576271,1.7055084745762576
val,composite,8,1274,2,2,1,0.0015698587127158557,0.0,0.0,0.0,0.25170068027210885,-0.38945578231292577,0.0,-1.5000000000000036,2,0.0,-0.25170068027210885,0.38945578231292577
val,mirror_composite,8,1274,0,0,0,0.0,,,,0.25170068027210885,-0.38945578231292577,,,0,,,
val,b_imb_l1,8,1274,617,597,108,0.48430141287284145,0.3065326633165829,0.2830820770519263,-0.036013400335014954,0.25170068027210885,-0.38945578231292577,0.1575091575091575,-0.6318681318681323,546,0.1490235058074254,0.054831983044474064,0.35344238197791084
val,b_imb_top5,8,1274,827,795,75,0.6491365777080063,0.26540880503144654,0.3534591194968553,-0.1496855345911936,0.25170068027210885,-0.38945578231292577,0.1416382252559727,-1.1254266211604116,586,0.12377057977547384,0.013708124759337692,0.23977024772173217
