split,signal,h,n_frames,n_signal,n_signal_valid,episodes,share_of_frames,p_up,p_down,mean_fwd_ticks,base_p_up,base_mean_ticks,ctrl_p_up,ctrl_mean_ticks,n_matched,lift_vs_matched,lift_vs_base,ticks_vs_base
dev,composite,2,505,0,0,0,0.0,,,,0.22922636103151864,-0.18624641833810787,,,0,,,
dev,mirror_composite,2,505,0,0,0,0.0,,,,0.22922636103151864,-0.18624641833810787,,,0,,,
dev,b_imb_l1,2,505,144,132,33,0.2851485148514851,0.24242424242424243,0.2196969696969697,-0.1553030303030325,0.22922636103151864,-0.18624641833810787,0.2962962962962963,-0.09876543209876025,81,-0.05387205387205385,0.013197881392723793,0.030943388035075375
dev,b_imb_top5,2,505,179,165,32,0.35445544554455444,0.2787878787878788,0.24848484848484848,-0.030303030303033104,0.22922636103151864,-0.18624641833810787,0.16883116883116883,-0.6168831168831114,77,0.10995670995670997,0.04956151775636017,0.15594338803507476
dev,b_imb_weighted,2,505,176,163,26,0.3485148514851485,0.3006134969325153,0.2392638036809816,-0.0030674846625791284,0.22922636103151864,-0.18624641833810787,0.11475409836065574,-0.6475409836065549,61,0.18585939857185957,0.07138713590099668,0.18317893367552873
dev,b_largest_wall_bid,2,505,205,190,19,0.40594059405940597,0.24210526315789474,0.29473684210526313,-0.4078947368421051,0.22922636103151864,-0.18624641833810787,0.46875,0.9062500000000062,32,-0.22664473684210526,0.012878902126376102,-0.22164831850399722
dev,b_one_frame_pressure,2,505,58,53,56,0.11485148514851486,0.20754716981132076,0.20754716981132076,-0.018867924528303496,0.22922636103151864,-0.18624641833810787,0.2549019607843137,-0.7058823529411635,51,-0.047354790972992944,-0.021679191220197874,0.16737849380980438
dev,score_ge_3,2,505,113,111,27,0.22376237623762377,0.25225225225225223,0.23423423423423423,-0.35585585585585194,0.22922636103151864,-0.18624641833810787,0.34,0.6799999999999912,100,-0.0877477477477478,0.02302589122073359,-0.16960943751774407
dev,score_ge_4,2,505,31,31,14,0.061386138613861385,0.3225806451612903,0.22580645161290322,-0.29032258064515054,0.22922636103151864,-0.18624641833810787,0.25806451612903225,-0.22580645161288923,31,0.06451612903225806,0.09335428412977168,-0.10407616230704267
dev,score_ge_5,2,505,5,5,4,0.009900990099009901,0.6,0.2,0.29999999999999716,0.22922636103151864,-0.18624641833810787,0.2,0.6000000000000014,5,0.39999999999999997,0.37077363896848137,0.486246418338105
dev,score_ge_6,2,505,0,0,0,0.0,,,,0.22922636103151864,-0.18624641833810787,,,0,,,
dev,score_ge_7,2,505,0,0,0,0.0,,,,0.22922636103151864,-0.18624641833810787,,,0,,,
dev,composite,4,505,0,0,0,0.0,,,,0.33048433048433046,-0.28490028490028585,,,0,,,
dev,mirror_composite,4,505,0,0,0,0.0,,,,0.33048433048433046,-0.28490028490028585,,,0,,,
dev,b_imb_l1,4,505,144,134,33,0.2851485148514851,0.373134328358209,0.35074626865671643,-0.35074626865672487,0.33048433048433046,-0.28490028490028585,0.345679012345679,-0.5308641975308691,81,0.027455316012529984,0.04264999787387852,-0.06584598375643902
dev,b_imb_top5,4,505,179,167,32,0.35445544554455444,0.40119760479041916,0.31137724550898205,-0.03892215568862948,0.33048433048433046,-0.28490028490028585,0.18181818181818182,-0.4675324675324751,77,0.21937942297223734,0.0707132743060887,0.24597812921165638
