split,h,baseline,n_baseline,p_up_baseline,lift_baseline_vs_base,n_composite,p_up_composite,incremental_lift,n_both,p_up_both,n_only_baseline,p_up_only_baseline,within_baseline_gain
dev,2,b_imb_l1,132,0.24242424242424243,0.013197881392723793,0,,,0,,132,0.24242424242424243,
dev,2,b_imb_top5,165,0.2787878787878788,0.04956151775636017,0,,,0,,165,0.2787878787878788,
dev,2,b_imb_weighted,163,0.3006134969325153,0.07138713590099668,0,,,0,,163,0.3006134969325153,
dev,2,b_largest_wall_bid,190,0.24210526315789474,0.012878902126376102,0,,,0,,190,0.24210526315789474,
dev,2,b_one_frame_pressure,53,0.20754716981132076,-0.021679191220197874,0,,,0,,53,0.20754716981132076,
dev,4,b_imb_l1,134,0.373134328358209,0.04264999787387852,0,,,0,,134,0.373134328358209,
dev,4,b_imb_top5,167,0.40119760479041916,0.0707132743060887,0,,,0,,167,0.40119760479041916,
dev,4,b_imb_weighted,162,0.42592592592592593,0.09544159544159547,0,,,0,,162,0.42592592592592593,
dev,4,b_largest_wall_bid,192,0.3541666666666667,0.023682336182336228,0,,,0,,192,0.3541666666666667,
dev,4,b_one_frame_pressure,55,0.34545454545454546,0.014970214970215001,0,,,0,,55,0.34545454545454546,
dev,8,b_imb_l1,131,0.45038167938931295,0.031578260585894136,0,,,0,,131,0.45038167938931295,
dev,8,b_imb_top5,169,0.5207100591715976,0.10190664036817881,0,,,0,,169,0.5207100591715976,
dev,8,b_imb_weighted,165,0.5575757575757576,0.1387723387723388,0,,,0,,165,0.5575757575757576,
dev,8,b_largest_wall_bid,192,0.4791666666666667,0.06036324786324787,0,,,0,,192,0.4791666666666667,
dev,8,b_one_frame_pressure,54,0.4074074074074074,-0.01139601139601143,0,,,0,,54,0.4074074074074074,
val,2,b_imb_l1,150,0.13333333333333333,-0.008743169398907097,0,,,0,,150,0.13333333333333333,
val,2,b_imb_top5,150,0.16666666666666666,0.02459016393442623,0,,,0,,150,0.16666666666666666,
val,2,b_imb_weighted,159,0.13836477987421383,-0.003711722858026595,0,,,0,,159,0.13836477987421383,
val,2,b_largest_wall_bid,239,0.12552301255230125,-0.01655349017993918,0,,,0,,239,0.12552301255230125,
val,2,b_one_frame_pressure,41,0.1951219512195122,0.053045448487271774,0,,,0,,41,0.1951219512195122,
val,4,b_imb_l1,152,0.20394736842105263,0.01269053781995974,0,,,0,,152,0.20394736842105263,
val,4,b_imb_top5,151,0.2185430463576159,0.027286215756523013,0,,,0,,151,0.2185430463576159,
val,4,b_imb_weighted,159,0.1761006289308176,-0.015156201670275288,0,,,0,,159,0.1761006289308176,
val,4,b_largest_wall_bid,239,0.17573221757322174,-0.015524613027871143,0,,,0,,239,0.17573221757322174,
val,4,b_one_frame_pressure,42,0.2857142857142857,0.09445745511319281,0,,,0,,42,0.2857142857142857,
val,8,b_imb_l1,149,0.2214765100671141,0.02588422356573669,0,,,0,,149,0.2214765100671141,
val,8,b_imb_top5,149,0.21476510067114093,0.01917281416976352,0,,,0,,149,0.21476510067114093,
val,8,b_imb_weighted,158,0.20253164556962025,0.006939359068242834,0,,,0,,158,0.20253164556962025,
val,8,b_largest_wall_bid,236,0.1694915254237288,-0.02610076107764861,0,,,0,,236,0.1694915254237288,
val,8,b_one_frame_pressure,43,0.20930232558139536,0.013710039080017944,0,,,0,,43,0.20930232558139536,
holdout,2,b_imb_l1,126,0.3412698412698413,0.1395407346415992,0,,,0,,126,0.3412698412698413,
holdout,2,b_imb_top5,158,0.2974683544303797,0.09573924780213763,0,,,0,,158,0.2974683544303797,
holdout,2,b_imb_weighted,165,0.296969696969697,0.0952405903414549,0,,,0,,165,0.296969696969697,
holdout,2,b_largest_wall_bid,216,0.24074074074074073,0.03901163411249864,0,,,0,,216,0.24074074074074073,
holdout,2,b_one_frame_pressure,33,0.15151515151515152,-0.05021395511309057,0,,,0,,33,0.15151515151515152,
holdout,4,b_imb_l1,116,0.5086206896551724,0.2086206896551724,0,,,0,,116,0.5086206896551724,
holdout,4,b_imb_top5,149,0.44966442953020136,0.14966442953020137,0,,,0,,149,0.44966442953020136,
holdout,4,b_imb_weighted,150,0.44,0.14,0,,,0,,150,0.44,
holdout,4,b_largest_wall_bid,197,0.37055837563451777,0.07055837563451778,0,,,0,,197,0.37055837563451777,
holdout,4,b_one_frame_pressure,33,0.36363636363636365,0.06363636363636366,0,,,0,,33,0.36363636363636365,
holdout,8,b_imb_l1,93,0.5591397849462365,0.22705023270743052,0,,,0,,93,0.5591397849462365,
holdout,8,b_imb_top5,128,0.4765625,0.14447294776119401,0,,,0,,128,0.4765625,
holdout,8,b_imb_weighted,119,0.47058823529411764,0.13849868305531166,0,,,0,,119,0.47058823529411764,
holdout,8,b_largest_wall_bid,163,0.3558282208588957,0.02373866862008972,0,,,0,,163,0.3558282208588957,
holdout,8,b_one_frame_pressure,27,0.37037037037037035,0.038280818131564365,0,,,0,,27,0.37037037037037035,
