mechanism,test,variant,split,h,outcome,n_rows,n_signal,episodes,lift_vs_base,incremental_vs_best_baseline,passed,note
absorption,real,holdout,holdout,180,up,914,33,17,-0.07824414827,-0.1847680343,,best simple baseline = imb_l1; outcome = up; direction = 1
absorption,baseline_comparison,state - imb_l1,holdout,180,up,914,33,17,-0.07824414827,-0.1847680343,False,"block bootstrap 95% CI [-0.3540, 0.0056] (blocks of 20 rows, 500 resamples)"
absorption,baseline,imb_l1,holdout,180,up,914,452,64,0.1065238861,,,
absorption,baseline,imb_topk,holdout,180,up,914,707,30,0.02483758848,,,
absorption,baseline,imb_weighted,holdout,180,up,914,651,37,0.04059400283,,,
absorption,baseline,depth_ratio,holdout,180,up,914,542,18,0.02300822789,,,
absorption,baseline,price_only_response,holdout,180,up,914,208,54,0.0106253156,,,
absorption,baseline,volume_only_response,holdout,180,up,914,629,75,0.0166635937,,,
absorption,graded_score,score_ge_0.6,holdout,180,up,914,31,17,-0.1007270417,-0.2072509278,,
absorption,timestamp_permutation,circular shift within symbol,holdout,180,up,914,33,17,-0.07824414827,,False,"p = 0.8571 over 300 permutations; null mean 0.0264, null p95 0.2248; BH-FDR q=None pass=None"
absorption,side_flip,mirror → P(down),holdout,180,down,914,30,16,-0.06754194019,,False,lift of the mirrored signal on P(down) (must be > 0 for a symmetric mechanism)
absorption,anchor_shift,placebo_shift_-h,holdout,180,up,914,36,13,-0.1464259664,-0.2529498525,False,placebo must show |lift| < ½ real lift
absorption,anchor_shift,leak_control_shift_+h,holdout,180,up,914,18,14,-0.06309263311,-0.1696165192,,future-shifted signal: expected to inflate (sensitivity)
absorption,removal,largest_wall_removed,holdout,180,up,914,33,17,-0.07824414827,-0.1887147335,True,imbalance baselines recomputed without the largest displayed level; best baseline imb_l1 re-derived
absorption,leave_one_symbol_out,without BEXIMCO,holdout,180,up,825,32,16,-0.08496212121,-0.19625,False,
absorption,leave_one_symbol_out,without BRACBANK,holdout,180,up,832,33,17,-0.08646561772,-0.1993620415,False,
absorption,leave_one_symbol_out,without BXPHARMA,holdout,180,up,838,32,16,-0.06093377088,-0.1565578818,False,
absorption,leave_one_symbol_out,without GP,holdout,180,up,847,32,16,-0.07515495868,-0.1802655131,False,
absorption,leave_one_symbol_out,without IPDC,holdout,180,up,847,29,16,-0.1792126369,-0.2814376394,False,
absorption,leave_one_symbol_out,without LOVELLO,holdout,180,up,832,25,13,-0.06716346154,-0.1791089109,False,
absorption,leave_one_symbol_out,without MALEKSPIN,holdout,180,up,833,26,14,-0.0333825838,-0.1319553462,False,
absorption,leave_one_symbol_out,without ORIONPHARM,holdout,180,up,860,31,15,-0.07708177044,-0.1926289173,False,
absorption,leave_one_symbol_out,without POWERGRID,holdout,180,up,880,30,15,-0.06742424242,-0.1704374057,False,
absorption,leave_one_symbol_out,without PTL,holdout,180,up,833,33,17,-0.08257848594,-0.1833905089,False,
absorption,leave_one_symbol_out,without SAIHAMCOT,holdout,180,up,826,33,17,-0.07971971531,-0.191410508,False,
absorption,leave_one_symbol_out,without SHARPIND,holdout,180,up,882,33,17,-0.0775097918,-0.1865130175,False,
absorption,leave_one_symbol_out,without SQURPHARMA,holdout,180,up,833,27,15,-0.04050509093,-0.1481481481,False,
absorption,liquidity_split,top,holdout,180,up,453,16,8,-0.1494205298,-0.2475,False,"symbols: BEXIMCO, LOVELLO, MALEKSPIN, PTL, SAIHAMCOT, SAIHAMTEX, SHARPIND; basis: day_volume"
