mechanism,family,variant,split,h,outcome,primary_direction,n_rows,n_signal,n_signal_valid,episodes,share_of_rows,p_outcome,p_up,p_down,mean_fwd_ticks,base_p_outcome,base_mean_ticks,ctrl_p_outcome,ctrl_mean_ticks,n_matched,lift_vs_matched,lift_vs_base,ticks_vs_base,n_imb_l1,p_imb_l1,lift_imb_l1_vs_base,inc_vs_imb_l1,n_imb_topk,p_imb_topk,lift_imb_topk_vs_base,inc_vs_imb_topk,n_imb_weighted,p_imb_weighted,lift_imb_weighted_vs_base,inc_vs_imb_weighted,n_depth_ratio,p_depth_ratio,lift_depth_ratio_vs_base,inc_vs_depth_ratio,n_price_only_response,p_price_only_response,lift_price_only_response_vs_base,inc_vs_price_only_response,n_volume_only_response,p_volume_only_response,lift_volume_only_response_vs_base,inc_vs_volume_only_response,best_baseline,inc_vs_best
absorption,accumulation,mirror,dev,60,down,1,1624,64,64,35,0.039408867,0.078125,0.25,0.078125,0.484375,0.09259259259,0.03117283951,0.015625,0.2265625,64,0.0625,-0.01446759259,0.4532021605,657,0.1400304414,0.04743784881,-0.0619054414,295,0.1457627119,0.05317011927,-0.06763771186,230,0.1347826087,0.0421900161,-0.0566576087,273,0.1135531136,0.02096052096,-0.03542811355,490,0.06326530612,-0.02932728647,0.01485969388,612,0.09640522876,0.003812636166,-0.01828022876,imb_topk,-0.06763771186
absorption,accumulation,mirror,dev,180,down,1,1624,64,64,35,0.039408867,0.40625,0.421875,0.40625,0.1171875,0.3257389163,-0.1804187192,0.265625,-0.1171875,64,0.140625,0.08051108374,0.2976062192,659,0.4506828528,0.1249439366,-0.04443285281,295,0.4847457627,0.1590068465,-0.07849576271,231,0.380952381,0.0552134647,0.02529761905,275,0.3490909091,0.02335199283,0.05715909091,490,0.3551020408,0.02936312456,0.05114795918,614,0.3664495114,0.04071059514,0.0398004886,imb_topk,-0.07849576271
absorption,accumulation,mirror,dev,600,down,1,1624,64,64,35,0.039408867,0.390625,0.453125,0.390625,-0.0078125,0.4267241379,-0.3143472906,0.28125,0.8828125,64,0.109375,-0.03609913793,0.3065347906,659,0.5326251897,0.1059010518,-0.1420001897,295,0.6813559322,0.2546317943,-0.2907309322,231,0.619047619,0.1923234811,-0.228422619,275,0.4545454545,0.02782131661,-0.06392045455,490,0.4102040816,-0.0165200563,-0.01957908163,614,0.4153094463,-0.01141469168,-0.02468444625,imb_topk,-0.2907309322
absorption,accumulation,mirror,holdout,60,down,1,914,30,30,16,0.03282275711,0,0.1666666667,0,0.8,0.1062431544,-0.05366922234,0.1,-0.06666666667,30,-0.1,-0.1062431544,0.8536692223,282,0.1843971631,0.07815400868,-0.1843971631,25,0.08,-0.02624315444,-0.08,22,0.09090909091,-0.01533406353,-0.09090909091,51,0.01960784314,-0.0866353113,-0.01960784314,266,0.05263157895,-0.05361157549,-0.05263157895,628,0.1035031847,-0.002739969723,-0.1035031847,imb_l1,-0.1843971631
absorption,accumulation,mirror,holdout,180,down,1,914,30,30,16,0.03282275711,0.2333333333,0.4,0.2333333333,0.7166666667,0.3008752735,-0.09299781182,0.2,-0.1,30,0.03333333333,-0.06754194019,0.8096644785,283,0.4558303887,0.1549551152,-0.2224970554,25,0.32,0.01912472648,-0.08666666667,22,0.2272727273,-0.07360254625,0.006060606061,51,0.137254902,-0.1636203716,0.09607843137,266,0.3270676692,0.02619239565,-0.09373433584,629,0.2813990461,-0.01947622742,-0.04806571277,imb_l1,-0.2224970554
absorption,accumulation,mirror,holdout,600,down,1,914,30,30,16,0.03282275711,0.2666666667,0.3666666667,0.2666666667,0.08333333333,0.398249453,-0.2768052516,0.3,0.2166666667,30,-0.03333333333,-0.1315827863,0.360138585,283,0.5830388693,0.1847894163,-0.3163722026,25,0.4,0.001750547046,-0.1333333333,22,0.4090909091,0.01084145614,-0.1424242424,51,0.4901960784,0.09194662548,-0.2235294118,266,0.3834586466,-0.01479080634,-0.1167919799,629,0.3640699523,-0.03417950065,-0.09740328564,imb_l1,-0.3163722026
absorption,accumulation,mirror,val,60,down,1,1375,40,40,21,0.02909090909,0.025,0,0.025,-0.025,0.09249817917,-0.08849235251,0.025,-0.0125,40,0,-0.06749817917,0.06349235251,385,0.1272727273,0.0347745481,-0.1022727273,24,0.125,0.03250182083,-0.1,72,0.09722222222,0.004724043053,-0.07222222222,75,0.05333333333,-0.03916484584,-0.02833333333,326,0.1012269939,0.008728814695,-0.07622699387,544,0.09558823529,0.003090056124,-0.07058823529,imb_l1,-0.1022727273
absorption,accumulation,mirror,val,180,down,1,1375,40,40,21,0.02909090909,0.075,0.35,0.075,0.2875,0.2727272727,-0.1661818182,0.2,0.125,40,-0.125,-0.1977272727,0.4536818182,385,0.4077922078,0.1350649351,-0.3327922078,24,0.5416666667,0.2689393939,-0.4666666667,72,0.4444444444,0.1717171717,-0.3694444444,75,0.2533333333,-0.01939393939,-0.1783333333,327,0.3363914373,0.06366416458,-0.2613914373,545,0.2825688073,0.009841534612,-0.2075688073,imb_topk,-0.4666666667
absorption,accumulation,mirror,val,600,down,1,1375,40,40,21,0.02909090909,0.425,0.425,0.425,-0.1875,0.4567272727,-0.4934545455,0.45,-0.1875,40,-0.025,-0.03172727273,0.3059545455,385,0.6285714286,0.1718441558,-0.2035714286,24,0.5,0.04327272727,-0.075,72,0.6666666667,0.2099393939,-0.2416666667,75,0.2933333333,-0.1633939394,0.1316666667,327,0.4678899083,0.01116263553,-0.04288990826,545,0.4366972477,-0.02003002502,-0.01169724771,imb_weighted,-0.2416666667
absorption,accumulation,score_ge_0.6,dev,60,up,1,1624,77,77,41,0.0474137931,0.09090909091,0.09090909091,0.07792207792,-0.1363636364,0.09012345679,0.03117283951,0.1298701299,0.3571428571,77,-0.03896103896,0.000785634119,-0.1675364759,679,0.1207658321,0.03064237532,-0.0298567412,727,0.1348005502,0.04467709342,-0.0438914593,768,0.12109375,0.03097029321,-0.03018465909,743,0.1117092867,0.02158582989,-0.02080019577,379,0.06068601583,-0.02943744096,0.03022307508,612,0.08660130719,-0.003522149601,0.00430778372,imb_topk,-0.0438914593
